ABA	n+f.aba
satisfactorio	a+m.fulfilling@a+m.satisfactory@a+m.satisfying
satisfecha	a+f.contented@a+f.satisfied
satisfecho	a+m.contented@a+m.satisfied
satisfecho de sí mismo	a.complacent
satisfizo	v.satisfied
saturación	n+f.glut@n+f.saturation
saturada	a+f.saturated
saturado	a+m.saturated
satánica	a+f.satanic
satánico	a+m.satanic
satélite	n+m.satellite
satélites	n+m+pl.satellites
satén	n+m.sateen@n+m.satin
satírica	a+f.satirical
satírico	a+m.satirical
sauce	n+m.willow
sauces	n+m+pl.willows
saudí	a+m.saudi@a+f.saudi@n+m.saudi@n+f.saudi
saudíes	n+m+pl.saudis
sauk	n+m.sauk
sauna	n+f.sauna
saunas	n+f+pl.saunas
savia	n+f.sap
saxofones	n+m+pl.saxophones
saxofonista	n+m.saxophonist
saxofón	n+m.sax@n+m.saxophone
sazonada	a+f.seasoned
sazonado	a+m.seasoned
sazonadores	n+m+pl.seasonings
sazón	n+f.seasoning
schnauzer	n+m.schnauzer
scones	n+m+pl.scones
scooter	n+m.scooter
scooters	n+m+pl.scooters
scop	n+m.scop
scrimmage	n+m.scrimmage
scripting	n+m.scripting
scripts	n+m.scripts
se abstuvo	vi.abstained
se acerca	v.approaches@vi.zooms
se acerca a	vt.nears
se acercó	v.approached@vi.hove@vi.zoomed
se acurrucó	vi.huddled@vi.nestled
se adhiere	vi.adheres
se adhirió	vi.adhered@vt.cleaved
se aferra	vi.clings
se aferró	vi.clung
se afligió	vi.grieved
se agacha	vi.squats
se agachó	vi.crouched
se ahogó	vi.drowned
se ajusta	vi.conforms
se alivió	vi.eased
se amotina	vi.riots
se amplía	vi.broadens
se ampolla	vi.blisters
se apresuró	vi.hastened@vi.hurried
se aprieta	vi.tightens
se aproxima	vi.nears
se arrastra	vi.crawls@vi.creeps
se arrastró	vi.crawled@vi.crept@vi.trailed
se arrodilló	vi.knelt
se asienta	vi.settles
se asoció	vi.teamed
se atenúa	vi.dims
se atreve	vi.dares
se atrevió	vi.dared
se aventuró	vi.ventured
se balancea	vi.bobs
se balanceó	vi.swayed
se benefició	vi.benefited
se burló	vt.mocked
se cae	vi.topples
se cala	vi.stalls
se calmó	vi.subsided
se casa	vi.marries
se casa con	vt.marries@vt.weds
se cernió	vi.hovered
se cierne	vi.looms
se clasifica	vi.qualifies
se coagula	vi.clots
se comporta	vi.behaves
se comportó	vi.behaved
se conformó	vi.conformed
se congela	vi.freezes
se congeló	vi.froze
se convierte	v.becomes
se convirtió	v.became@v.turned
se corre	vi.cums
se correlaciona	vi.correlates
se cruza	vi.intersects
se da cuenta	vt.realises@vt.realizes
se debilita	vi.weakens
se dejó caer	vi.flopped
se deleita	vi.revels
se demoró	vi.lingered
se deprimió	vi.moped
se deriva	vi.derives
se derrite	vi.melts
se desarrolla	vi.unfolds
se desbordó	vi.overflowed
se descompone	vi.decays
se descompuso	vi.decayed
se desintegró	vi.disintegrated
se desliza	vi.glides@vi.slips
se deslizó	vi.crept@vi.slid
se desmoronó	vi.crumbled
se despierta	vi.awakens
se desplomó	vi.plummeted@vi.slumped@vi.toppled
se desvanece	vi.fades
se desvaneció	vi.faded
se desvió	vi.drifted@vi.strayed
se desvía	vi.deviates
se detuvo	vi.halted
se disculpa	vi.apologizes
se disculpó	vi.apologized
se disolvió	vi.disbanded
se disparó	vi.soared@vi.surged
se duchó	vi.showered
se eleva	vi.rises@vi.soars
se elevó	vi.soared
se embarca	vi.embarks
se encabritó	vi.reared
se encogió de hombros	vi.shrugged
se enfrentó	vi.clashed
se enfría	vi.cools
se enorgullece	vt.prides
se ensancha	vi.widens
se eriza	vi.bristles
se esforzó	vi.endeavoured@vi.strove@vi.struggled
se esfuerza	vi.endeavours@vi.strives
se esfuma	vi.vanishes
se especializa	vi.specialises@vi.specializes
se espesa	vi.thickens
se espirala	vi.spirals
se estrecha	vi.narrows@vi.tapers
se estrelló	vi.crashed
se estremeció	vi.shuddered
se estrena	vi.premieres
se estrenó	vi.premiered
se extravió	vi.strayed
se extravía	vi.strays
se filtró	vi.leaked
se fusiona	vi.merges
se hincha	vi.swells
se hinchó	vi.swelled
se hizo evidente	vi.dawned
se hunde	vi.sinks
se hundió	vi.sank
se inclina	vi.bows@vi.leans
se inclinó	vi.leaned@vi.sloped
se intensifica	vi.intensifies
se intensificó	vi.escalated
se jactó	vi.boasted
se jubila	vi.retires
se levantó	v.rose
se maravilla	vi.marvels
se marchita	vi.wilts@vi.withers
se marchitó	vi.withered
se masturba	vi.masturbates
se materializó	vi.materialized
se mezcló	vi.mingled
se niega	vi.refuses
se ofreció	vi.volunteered
se opone a	vt.opposes
se originó	v.originated
se parece a	vt.resembles
se parecía a	vt.resembled
se permitió	vi.indulged
se pone	vt.dons
se porta	vi.behaves
se posa	vi.perches
se posó	vi.perched
se precipita	vi.rushes
se pregunta	vt.wonders
se preguntó	v.wondered
se preocupa	vi.frets@vi.worries
se preocupó	v.cared
se produce	vi.ensues
se produjo	vi.ensued
se profundiza	vi.deepens
se propaga	vi.propagates
se pudre	vi.rots
se puso	vt.donned
se puso de pie	v.stood
se queda	vi.stays
se quedó	v.stayed
se quedó sin aliento	vi.gasped
se queja	vi.complains@vt.gripes
se quejó	v.complained@vi.groaned@vi.moaned
se ralentiza	vi.slows
se ralentizó	vi.slowed
se recupera	vi.rallies@vi.recovers
se recuperó	vi.rallied@vi.rebounded
se redujo	vi.shrank
se refiere	vt.refers
se regocijó	vi.rejoiced
se relaja	vi.eases@vi.relaxes
se retira	vi.retires@vi.retreats@vi.withdraws
se retiró	vi.retreated@vi.withdrew
se retrasa	vi.lags
se retrasó	vi.lagged
se reunió	vi.convened
se reunió con	vt.rejoined
se rindió	vi.surrendered
se riza	vi.curls
se rió entre dientes	vi.chuckled
se rió tontamente	vi.giggled
se ríe disimuladamente	vi.snickers
se ríe entre dientes	vi.chuckles
se ríe tontamente	vi.giggles
se seca	vi.dries
se separó	vi.parted
se sienta	vi.sits
se solapa	vt.overlaps
se solapó	vi.overlapped
se sonrojó	vi.blushed
se sumerge	vi.plunges
se suscribe	vi.subscribes
se tira pedos	vi.farts
se transformó	vi.morphed
se valoriza	vi.appreciates
se volvió a casar	vi.remarried
se volvió loco	vi.flipped
se zambulle	vi.dives
se zambulló	vi.dived@vi.plunged
sebo	n+m.tallow
seca	a+f.dried@vi.dries@a+f.dry@a+f.sear
secado	n+m.drying
secador de pelo	n+m.hairdryer
secadora	n+f.drier@n+f.dryer
secadoras	n+f+pl.dryers
secadores de pelo	n+m+pl.hairdryers
secando	vt.blotting@v.drying
secante	n+m.blotter@n+m.blotting
secar	v.dry
seccional	a.sectional
secciones	n+f.sections
sección	n+f.section
secesión	n+f.secession
seco	a.brut@a.curt@a+m.dried@a+m.dry@a+m.sear
secoya	n+m.redwood
secreciones	n+f+pl.secretions
secreción	n+f.secretion
secreta	a+f.backdoor@a+f.secret
secretamente	ad.secretly
secretar	vt.secrete
secretaria	n+f.secretary
secretarial	a.secretarial
secretarias	n+f+pl.secretaries
secretario	n+m.secretary
secretarios	n+m+pl.secretaries
secretaría	n+f.secretariat
secreto	a.backdoor@a.backroom@a.covert@n+m.secrecy@n+m.secret@a+m.secret
secretor	a+m.secretory
secretora	a+f.secretory
secretos	n+m.secrets
secretó	vt.secreted
secta	n+f.sect
sectaria	a+f.sectarian
sectario	a+m.sectarian
sectas	n+f+pl.cults@n+f+pl.sects
sector	n+m.sector
sectores	n+m.sectors
sectorial	a.sectoral
secuaces	n+m+pl.henchmen@n+m+pl.minions@n+m+pl.stooges
secuaz	n+m.minion@n+m.sidekick
secuela	n+f.aftermath@n+f.sequel
secuelas	n+f+pl.sequels
secuencia	n+f.seq@n+f.sequence
secuenciación	n+f.sequencing
secuenciada	a+f.sequenced
secuenciado	a+m.sequenced
secuenciador	n+m.sequencer
secuenciadores	n+m+pl.sequencers
secuencial	a+m.sequential@a+f.sequential
secuencialmente	ad.sequentially
secuencias	n+f.sequences
secuenció	vt.sequenced
secuente	a+m.sequent@a+f.sequent
secuestrada	a+f.abducted@a+f.hijacked@a+f.kidnapped
secuestrado	a+m.abducted@a+m.hijacked@a+m.kidnapped
secuestrador	n+m.hijacker
secuestradora	n+f.hijacker
secuestradores	n+m+pl.hijackers@n+m+pl.kidnappers
secuestrando	vt.hijacking@vt.kidnapping
secuestrar	vt.hijack@vt.kidnap
secuestro	n+m.abduction@n+m.hijack@n+m.hijacking@n+m.kidnap@n+m.kidnapping@n+m.sequestration
secuestros	n+m+pl.abductions
secuestró	vt.abducted@vt.hijacked@vt.kidnapped
secular	a+m.secular@a+f.secular
secularismo	n+m.secularism
secundaria	a+f.secondary
secundario	a.ancillary@a+m.secondary
secuoya	n+f.sequoia
secuoyas	n+f+pl.redwoods
sed	n+f.thirst
seda	n+f.silk
sedación	n+f.sedation
sedanes	n+m+pl.sedans
sedante	n+m.sedative@a+m.sedative@a+f.sedative
sedantes	n+m+pl.sedatives
sedas	n+f+pl.silks
sede	n+f.headquarters@n+f.venue
sedentaria	a+f.sedentary
sedentario	a+m.sedentary
sedes	n+f.venues
sedición	n+f.sedition
sedienta	a+f.thirsty
sediento	a+m.thirsty
sedimentación	n+f.sedimentation
sedimentaria	a+f.sedimentary
sedimentario	a+m.sedimentary
sedimento	n+m.sediment
sedimentos	n+m+pl.sediments
sedosa	a+f.silken@a+f.silky
sedoso	a+m.silken@a+m.silky
seducción	n+f.allure@n+f.seduction
seduce	vt.seduces
seducida	a+f.seduced
seducido	a+m.seduced
seduciendo	vt.seducing
seducir	vt.seduce
seductor	a.alluring@a+m.seductive
seductora	a+f.seductive
sedujo	vt.seduced
sedán	n+m.sedan
segador	n+m.reaper
segadora	n+f.reaper
segando	vt.mowing
segar	vt.mow@vt.scythe
segmentación	n+f.segmentation
segmentada	a+f.segmented
segmentado	a+m.segmented
segmental	a.segmental
segmento	n+m.segment
segmentos	n+m.segments
segregación	n+f.segregation
segregada	a+f.segregated
segregado	a+m.segregated
segregar	vt.segregate
segregó	vt.segregated
seguida	a+f.followed
seguido	a+m.followed
seguidor	n+m.follower@n+m.groupie@n+m.rooter
seguidora	n+f.follower@n+f.groupie
seguidoras	n+f+pl.followers
seguidoras fanáticas	n+f+pl.groupies
seguidores	n+m+pl.adherents@n+m+pl.followers@n+m+pl.followings@n+m+pl.followings
seguimiento	n+m.followup@n+m.shadowing@n+m.tracking
seguimientos	n+m+pl.followups
seguir	vi.ensue@v.follow
segunda	a+f.second
segundo	n+m.sec@a+m.second@n+m.second
segundo intento	n+m.mulligan
segundos	n+m.seconds@n+m+pl.secs
segura	a+f.confident@a+f.safe@a+f.secure@a+f.sure
seguramente	ad.surely
seguridad	n+f.assurance@n+f.safety@n+f.security
seguridades	n+f.securities
seguro	a+m.confident@n+m.insurance@a+m.safe@a+m.secure@a+m.sure@a.surefire
seguros	n+m+pl.insurances
segó	vt.mowed
según	prep.according
según se informa	ad.reportedly
seis	a+m.six@a+f.six@n+m.six
seis peniques	n+m.sixpence
selecciona	vt.selects
seleccionable	a.selectable
seleccionada	a+f.selected
seleccionada a mano	a+f.handpicked
seleccionado	a+m.selected
seleccionado a mano	a+m.handpicked
seleccionando	v.selecting
seleccionar	vt.cull@v.select
selecciones	n+f.picks@n+f.selections
seleccionó	vt.culled@vt.singled
selección	n+f.culling@n+f.selection
selecta	a+f.select
selectiva	a+f.selective
selectivamente	ad.selectively
selectividad	n+f.selectivity
selectivo	a+m.selective
selecto	a+m.select
selector	n+m.chooser@n+m.picker@n+m.selector
selectores	n+m+pl.selectors
selenio	n+m.selenium
sellada	a+f.sealed
sellado	a+m.sealed@n+m.sealing
sellador	n+m.sealant@n+m.sealer
selladores	n+m+pl.sealants@n+m+pl.sealers
sellando	v.sealing@v.stamping
sellante	n+m.sealant
sellantes	n+m+pl.sealants
sellar	v.seal@vt.sear@vt.stamp
sello	n+m.imprint@n+m.seal@n+m.signet@n+m.stamp
sello distintivo	n+m.hallmark
sellos	n+m.seals@n+m.stamps
sellos distintivos	n+m+pl.hallmarks
selló	vt.clinched
selva	n+f.jungle
selvas	n+f+pl.jungles
selvática	a+f.sylvan
selvático	a.sylvan
semana	n+f.week
semana laboral	n+f.workweek
semanal	a+m.weekly@a+f.weekly
semanalmente	ad.weekly
semanarios	n+m+pl.weeklies
semanas	n+f.weeks
semblante	n+m.countenance@n+m.mien@n+m.visage
sembrada	a+f.seeded@a+f.sown@a+f.strewn
sembrado	a+m.seeded@vt.sown@a+m.sown@a+m.strewn
sembrando	vt.seeding@vt.sowing
sembrar	vt.sow
semejanza	n+f.likeness@n+f.resemblance
semen	n+m.cum@n+m.semen
semental	n+m.sire@n+m.stallion@n+m.stud
sementales	n+m+pl.sires@n+m+pl.stallions@n+m+pl.studs
semestral	a.semiannual
semestre	n+m.semester
semestres	n+m+pl.semesters
semi	a+m.semi@a+f.semi
semiconductor	n+m.semiconductor
semiconductores	n+m+pl.semiconductors
semifinal	n+f.semifinal
semifinales	n+f+pl.semifinals@n+f+pl.semis
semilla	n+f.seed
semilla oleaginosa	n+f.oilseed
semillas	n+f+pl.pips@n+f.seeds
semillas de soja	n+f+pl.soybeans
semillero	n+m.hotbed
seminal	a.seminal
seminario	n+m.seminar@n+m.seminary
seminario web	n+m.webinar
seminarios	n+m+pl.seminaries@n+m.seminars
seminarios web	n+m+pl.webinars
seminola	n+m.seminole@a.seminole
seminolas	n+m+pl.seminoles
semitismo	n+m.semitism
semiótica	n+f.semiotics
semáforo	n+m.semaphore
semántica	a+f.semantic@n+f.semantics
semánticamente	ad.semantically
semántico	a+m.semantic
semítica	a+f.semitic
semítico	a+m.semitic
sen	n+f.senna
senado	n+m.senate
senador	n+m.sen@n+m.senator
senadora	n+f.senator
senadoras	n+f.senators
senadores	n+m.senators
senatorial	a.senatorial
sencilla	a+f.homespun@a+f.straightforward@a+f.uncomplicated
sencillamente	ad.plainly
sencillo	a.homely@a+m.homespun@a+m.straightforward@a+m.uncomplicated
sencillos	n+m.singles
senderismo	n+m.hiking@n+m.trekking
senderista	n+m.hiker
senderistas	n+m+pl.hikers
sendero	n+m.footpath@n+m.pathway@n+m.trail
senderos	n+m+pl.footpaths@n+m+pl.pathways@n+m.trails
senil	a+m.senile@a+f.senile
seno	n+m.bight@n+m.bosom@n+m.breast@n+m.sine@n+m.sinus
seno hiperbólico	n+m.sinh
seno paranasal	n+m.sinus
senos	n+m.breasts@n+m+pl.sinuses
senos paranasales	n+m+pl.sinuses
sens	n+m.sens
sensacional	a.sensational
sensacionalista	a.tabloid
sensaciones	n+f+pl.sensations
sensación	n+f.sensation
sensación térmica	n+f.windchill
sensata	a+f.sensible
sensatamente	ad.sensibly
sensatez	n+f.sanity@n+f.soundness
sensato	a.commonsense@a.sane@a+m.sensible
sensibilidad	n+f.sensibility@n+f.sensitivity
sensibilidades	n+f+pl.sensibilities@n+f+pl.sensitivities
sensibilización	n+f.sensitization
sensibilizada	a+f.sensitized
sensibilizado	a+m.sensitized
sensibilizó	vt.sensitized
sensible	a+m.sensitive@a+f.sensitive@a.sentient
sensiblero	a.mushy
sensor	n+m.sensor
sensores	n+m.sensors
sensorial	a+m.sensory@a+f.sensory
sensual	a.sensual@a+m.sensuous@a+f.sensuous@a.sultry
sensualidad	n+f.sensuality
sentada	a+f.seated
sentadilla	n+f.squat
sentadillas	n+f+pl.squats
sentado	a+m.seated@v.sitting
sentarse	v.sit
sentarse a horcajadas	vt.straddle
sentencia	n+f.judgement@n+f.sentence@n+f.sentencing
sentenciada	a+f.sentenced
sentenciado	a+m.sentenced
sentencias	n+f+pl.judgements@n+f.sentences
sentencioso	a.judgmental
sentida	a+f.heartfelt
sentido	a.heartfelt@n+m.sense
sentido común	n+m.commonsense
sentidos	n+m+pl.senses
sentimental	a.sentimental
sentimiento	n+m.feeling@n+m.sentiment
sentimientos	n+m.feelings@n+m+pl.sentiments
sentina	n+f.bilge
sentir	v.feel@v.sense
sentó	v.sat
separa	vt.separates
separable	a.detachable@a.separable
separaciones	n+f+pl.separations
separación	n+f.breakup@n+f.separation@n+f.severance
separada	a+f.detached@a+f.separate@a+f.separated
separadamente	ad.separately@ad.severally
separado	a+m.detached@a+m.separate@a+m.separated
separador	n+m.divider@n+m.separator@n+m.splitter
separadores	n+m+pl.dividers@n+m+pl.separators@n+m+pl.spacers
separados	ad.asunder@n+m+pl.separates
separando	v.separating
separar	vt.detach@v.separate
separatista	a.separatist@n+m.separatist@n+f.separatist
separatistas	n+m+pl.separatists
sepia	n+f.sepia
sepsis	n+f.sepsis
septal	a.septal
septiembre	n+m.sep@n+m.sept@n+m.september
septo	n+m.septum
sepulcros	n+m+pl.tombs
sepultura	n+f.burial
sepulturas	n+f+pl.burials
sequedad	n+f.dryness
sequía	n+f.drought
sequías	n+f+pl.droughts
ser	v.be@n+m.being@n+m.esse@n+m.ser
ser suficiente	vi.suffice
serbal	n+m.rowan
serbia	n+f.serb@a+f.serb@a+f.serbian@n+f.serbian
serbias	n+f+pl.serbs
serbio	n+m.serb@a+m.serb@a+m.serbian@n+m.serbian
serbios	n+m+pl.serbs
serena	a+f.serene
serenata	n+f.serenade
serendipia	n+f.serendipity
serenidad	n+f.serenity
sereno	a.poised@a+m.serene@n+m.watchman
seres	n+m.beings
seria	a+f.serious
serial	n+m.serial@a+m.serial@a+f.serial
seriales	n+m+pl.serials
serialización	n+f.serialization
serializada	a+f.serialized
serializado	a+m.serialized
serializar	vt.serialize
seriamente	ad.earnestly@ad.seriously
serie	n+f.series
seriedad	n+f.seriousness
series	n+f+pl.serials
serifa	n+f.serif
serigrafiar	vt.silkscreen
serigrafía	n+f.silkscreen
serina	n+f.serine
serio	a.earnest@a+m.serious
sermonea	vi.preaches
sermonear	vt.lecturing
sermones	n+m+pl.sermons
sermoneó	vi.lectured
sermón	n+m.sermon
serológica	a+f.serological
serológico	a+m.serological
serotonina	n+f.serotonin
serpenteando	vi.meandering
serpenteante	a.meandering
serpentear	vi.meander
serpentina	a+f.serpentine@n+f.streamer
serpentinas	n+f+pl.streamers
serpentino	a+m.serpentine
serpiente	n+f.serpent@n+f.snake
serpiente de cascabel	n+f.rattlesnake@n+m.sidewinder
serpiente de cascabel diamantina	n+f.diamondback
serpientes	n+f+pl.serpents@n+f+pl.snakes
serpientes de cascabel	n+f+pl.rattlers
serrada	a+f.serrated
serrado	a+m.serrated
serrana	a+f.serrano
serrano	a+m.serrano
serrín	n+m.sawdust
servicio	n+m.restroom@n+m.service
servicio de comidas	n+m.catering
servicio militar obligatorio	n+m.conscription
servicios	n+f.amenities@n+m+pl.restrooms@n+m.services
servicios de emergencias	n+m.ems
servida	a+f.served
servido	a+m.served
servidor	n+m.server
servidor de listas	n+m.listserver
servidores	n+m.hosts@n+m.servers
servidumbre	n+f.easement@n+f.servitude
servidumbres	n+f+pl.easements
servil	a+m.subservient@a+f.subservient
servilleta	n+f.napkin
servilletas	n+f+pl.napkins
servir	v.serve
servir con cucharón	vt.ladle
servir de enlace	vi.liaise
servo	n+m.servo
servomecanismo	n+m.servo
servos	n+m+pl.servos
sesenta	n+m+pl.sixties@n+m.sixty
sesgada	a+f.biased@a+f.skew@a+f.skewed@a+f.slanted
sesgado	a+m.biased@a+m.skew@a+m.skewed@a+m.slanted
sesgar	vt.skew
sesgo	n+m.bias@n+m.skew@n+m.slant
sesgos	n+m+pl.biases
sesiones	n+f.sessions@n+f+pl.sittings
sesiones informativas	n+f+pl.briefings
sesión	n+f.session
sesión informativa	n+f.debriefing
seta	n+f.mushroom
setas	n+f+pl.mushrooms
setenta	n+m+pl.seventies@n+m.seventy
seto	n+m.hedge
setos	n+m+pl.hedges
setter	n+m.setter
setters	n+m+pl.setters
seudónimo	n+m.pseudonym
seudónimos	n+m+pl.aliases
severa	a+f.harsh@a+f.severe@a+f.stark@a+f.stern
severamente	ad.harshly@ad.severely@ad.sternly
severidad	n+f.severity
severo	a.forbidding@a+m.harsh@a+m.severe@a+m.stark@a+m.stern
sexismo	n+m.sexism
sexista	a.sexist@n+m.sexist
sexo	n+m.sex
sexos	n+m+pl.sexes
sexta	a+f.sixth
sexteto	n+m.sextet
sexto	a+m.sixth
sexual	a+m.sexual@a+f.sexual
sexualidad	n+f.sexuality
sexualmente	ad.sexually
sexy	a+m.sexy@a+f.sexy
señal	n+f.blip@n+f.cue@n+f.sign@n+f.signal
señal de socorro	n+f.mayday
señalada	a+f.flagged@a+f.signalled
señalado	a+m.flagged@a+m.signalled
señalando	v.pointing@v.signalling
señalar	v.point@v.signal
señales	n+f+pl.cues@n+f.signals@n+f.signs
señalización	n+f.signage@n+f.signalling
señaló	vt.fingered@vt.signalled
señor	n+m.esq@n+m.esquire@n+m.herr@n+m.lord@n+m.mister@n+m.senor@n+m.sir@n+m.sire
señor de la guerra	n+m.warlord
señor feudal	n+m.liege@n+m.thane
señor supremo	n+m.overlord
señora	n+f.frau@n+f.lady@n+f.madam@n+f.mistress
señoras	n+f.ladies
señores	n+m.lords@n+m+pl.sirs
señores de la guerra	n+m+pl.warlords
señorita	n+f.mademoiselle@n+f.miss@n+f.missy
señoritas	n+f+pl.misses
señoría	n+m.lordship
señuelo	n+m.decoy@n+m.lure
señuelos	n+m+pl.decoys@n+m+pl.lures
shabat	n+m.shabbat
shah	n+m.shah
shakesperiana	a+f.shakespearean
shakesperiano	a+m.shakespearean
shalom	int.shalom@n+m.shalom
shareware	n+m.shareware
sharía	n+f.sharia
shekel	n+m.shekel
shekels	n+m+pl.shekels
sheriff	n+m.sheriff
sheriffs	n+m+pl.sheriffs
sherpa	n+m.sherpa
shiatsu	n+m.shiatsu
shiraz	n+m.shiraz
shogún	n+m.shogun
shoshone	n+m.shoshone@a.shoshone
si	conj.if@conj+pl.ifs@conj.whether
si no	conj.else
siamesa	a+f.siamese
siamés	a+m.siamese@n+m.siamese
siberiana	a+f.siberian
siberiano	a+m.siberian
sibilancia	n+f.wheezing
sic	ad.sic
siciliana	a+f.sicilian
siciliano	a+m.sicilian@n+m.sicilian
siclo	n+m.shekel
sicómoro	n+m.sycamore
sidecar	n+m.sidecar
sido	v.been
sidra	n+f.cider
siega	n+f.mowing
siembra	n+f.planting@n+f.seeding@n+f.sowing@vt.sows
siempre	ad.always@ad.aye
siempre que	conj.whenever
siena	n+m.sienna
siendo	v.being
siendo cómplice	vt.abetting
siendo tendencia	vi.trending
siente	vt.feels
sierra	n+f.saw@vt.saws@n+f.sierra
sierras	n+f+pl.saws
sierras de vaivén	n+f+pl.jigsaws
siesta	n+f.nap@n+m.napping@n+f.siesta@n+f.snooze
siestas	n+f+pl.naps
siete	a+m.seven@a+f.seven@n+m.seven
siete veces	ad.sevenfold
sietes	n+m+pl.sevens
sifonar	vt.siphon
sifón	n+m.siphon
sigilo	n+m.stealth
siglo	n+m.century
siglos	n+m.centuries
sigma	n+f.sigma
signataria	n+f.signatory
signatario	n+m.signatory@a+m.signatory
signatarios	n+m+pl.signatories
significa	v.means@vt.signifies
significado	n+m.meaning@n+m.purport@n+f.significance
significados	n+m+pl.meanings@n+m+pl.purports
significando	v.meaning@vt.signifying
significar	v.mean@vt.signify
significativa	a+f.meaningful@a+f.significant
significativamente	ad.meaningfully@ad.significantly
significativo	a+m.meaningful@a+m.significant
significó	v.meant@vt.signified
signo	n+m.sign
signo &	n+m.ampersand
signo de intercalación	n+m.caret
signos	n+m.signs
signos más	n+m+pl.pluses
sigue	vi.ensues@v.follows
siguiendo	v.following@vt.shadowing
siguiendo muy de cerca	vi.tailgating
siguiente	a.ensuing@a+m.following@a+f.following@a.succeeding
siguió	vi.ensued@v.followed@vt.shadowed@vt.tailed
siguió la pista	vt.trailed
sij	n+m.sikh@a.sikh
sijismo	n+m.sikhism
sijs	n+m+pl.sikhs
silba	vi.whistles
silbando	vi.hissing@vt.whistling
silbar	vi.hiss@vi.swish@vi.swoosh@vi.whistle
silbato	n+m.whistle
silbatos	n+m+pl.whistles
silbido	n+m.hiss@n+m.swish@n+m.swoosh@n+m.whistling
silencia	vt.silences
silenciada	a+f.silenced
silenciado	a.muted@a+m.silenced
silenciador	n+m.muffler@n+m.silencer
silenciadores	n+m+pl.mufflers
silenciamiento	n+m.silencing
silenciando	vt.silencing
silenciar	vt.mute@vt.silence
silencio	int.hush@n+m.hush@int.shh@n+m.silence@n+m.stillness
silencios	n+m+pl.silences
silenciosa	a+f.hushed@a+f.silent
silenciosamente	ad.quietly@ad.silently
silencioso	a+m.hushed@a+m.silent
silenció	vt.silenced
silicato	n+m.silicate
silicio	n+m.silicon
silicona	n+f.silicone
silla	n+f.chair@n+f.chaise
silla de montar	n+f.saddle@n+m.saddleback
silla de paseo	n+f.pushchair
silla de ruedas	n+f.wheelchair
sillas	n+f.chairs
sillas de montar	n+f+pl.saddles
sillas de paseo	n+f+pl.pushchairs
sillas de ruedas	n+f+pl.wheelchairs
sillones	n+m+pl.armchairs
sillones reclinables	n+m+pl.recliners
sillón	n+m.armchair
sillón reclinable	n+m.recliner
silo	n+m.silo
silos	n+m+pl.silos
silueta	n+f.silhouette
siluetas	n+f+pl.silhouettes
silueteada	a+f.silhouetted
silueteado	a+m.silhouetted
siluro	n+m.bullhead@n+m.catfish
silvestre	a.sylvan
silvicultura	n+f.forestry@n+f.silviculture
sima	n+f.chasm@n+f.sima
simbiosis	n+f.symbiosis
simbiótica	a+f.symbiotic
simbiótico	a+m.symbiotic
simbolismo	n+m.symbolism
simboliza	vt.symbolizes
simbolizar	vt.symbolize
simbolizó	vt.symbolized
simbólica	a+f.symbolic
simbólicamente	ad.symbolically
simbólico	a+m.symbolic
simetría	n+f.symmetry
simetrías	n+f+pl.symmetries
simiesca	a+f.simian
simiesco	a+m.simian
similar	a.akin@a+m.like@a+f.like@a+m.similar@a+f.similar
similitud	n+f.similarity
similitudes	n+f+pl.similarities
simio	n+m.ape@n+m.simian
simios	n+m+pl.apes
simpatizar	vi.sympathize
simpatía	n+f.sympathy
simpatías	n+f+pl.sympathies
simple	a+m.plain@a+f.plain@a+m.simple@a+f.simple@a.simplex
simplemente	ad.merely@ad.simply
simplicidad	n+f.simplicity
simplifica	vt.simplifies
simplificación	n+f.simplification
simplificada	a+f.simplified
simplificado	a+m.simplified
simplificando	vt.simplifying
simplificar	vt.simplify
simplista	a.simplistic
simplona	n+f.simp
simplón	n+m.simp
simposio	n+m.symposium
simpática	a+f.sympathetic
simpático	a.likable@a.likeable@a.personable@a+m.sympathetic
simula	vt.pretends@vt.simulates
simulaciones	n+f.simulations
simulación	n+f.simulation
simulacro	n+m.drill
simulacros	n+m+pl.drills
simulada	a+f.mock@a+f.simulated
simulado	n+m.dummy@a+m.mock@a+m.simulated
simulador	n+m.simulator
simuladores	n+m+pl.simulators
simulando	vt.simulating
simular	vi.pretend@vt.simulate
simultánea	a+f.simultaneous
simultáneamente	ad.concurrently@ad.simultaneously
simultáneo	a+m.simultaneous
simétrica	a+f.symmetric@a+f.symmetrical
simétrico	a+m.symmetric@a+m.symmetrical
sin	prep.sans@prep.without
sin abreviar	a.unabridged
sin abrir	a+m.unopened@a+f.unopened
sin afeitar	a+m.unshaved@a+f.unshaved@a+m.unshaven@a+f.unshaven
sin ajustar	a+m.unadjusted@a+f.unadjusted
sin aliento	a.breathless@a+m.winded@a+f.winded
sin amor	a.loveless
sin amueblar	a+m.unfurnished@a+f.unfurnished
sin anotar	a+m.unannotated@a+f.unannotated
sin arrugas	a+m.unlined@a+f.unlined
sin ataduras	a+m.footloose@a+f.footloose
sin ayuda	a+m.unassisted@a+f.unassisted
sin cabeza	a.headless
sin calificar	a+m.ungraded@a+f.ungraded
sin cambios	a+m.unchanged@a+f.unchanged
sin camisa	a.shirtless
sin censurar	a+m.uncensored@a+f.uncensored
sin cesar	ad.endlessly
