a	art+m.एक@art+f.एक@art+n.एक
sessions	n+n.सत्रे
set	vt.ठेवणे@n+m.संच
setback	n+m.अडथळा
setbacks	n.अडथळे
seth	n+m.सेठ
seton	n.सेटन
sets	n+m.संच
sett	n+n.बॅजरचे बीळ@n+m.दगडी फरसबंदी
setter	n+m.सेटर
setters	n.सेटर
setting	n+f.सेटिंग@v.सेट करत
settings	n+f.सेटिंग
settle	vt.स्थिर होणे@vt.सोडवणे@vi.बसणे
settled	a.स्थिरावलेला@v.स्थिरावले
settlement	n+f.वसाहत@n+m.तडजोड
settlements	n+f.वसाहती@n+n.तडजोड
settler	n+m.वसाहतकर्ता
settlers	n+m.वसाहतकार
settles	vt.स्थिर करणे
settling	vt.निकालात काढणे
setup	n+m.सेटअप
setups	n.व्यवस्था
seuss	n.स्यूस
seven	a.सात
sevenfold	a.सातपट
sevens	n+m+pl.सात
seventeen	a.सतरा
seventeenth	a.सतरावा
seventh	a.सातवा@n+m.सातवा
seventies	n.सत्तरीचे दशक
seventy	a.सत्तर
sever	vt.तोडणे
several	a.अनेक
severally	ad.स्वतंत्रपणे@ad.वेगवेगळे
severance	n+f.विभक्त होणे
severe	a.तीव्र
severed	v.तोडले@a.तोडलेला
severely	ad.तीव्रपणे@ad.कठोरपणे
severity	n+f.तीव्रता@n+f.कठोरता
severn	n.सेव्हर्न
severus	n+m.सेव्हरस
seville	n.सेव्हिल
sew	vt.शिवणे
sewage	n+n.सांडपाणी
seward	n.सेवर्ड
sewer	n+f.गटार@n+m.मलवाहिनी
sewerage	n+f.मलवाहिनी
sewers	n.गटार
sewing	n+n.शिवणकाम@v.शिवणे
sewn	a.शिवलेला
sex	n+m.लिंग@n+m.संभोग
sexes	n+m.लिंग
sexiest	a.सर्वात आकर्षक
sexism	n+m.लिंगभेद
sexist	a.लिंगभेदी@n+m.लिंगभेदी व्यक्ती
sextet	n+m.षट्क@n+n.सहा जणांचा गट
sexton	n+m.चर्च कारभारी
sexual	a.लैंगिक
sexuality	n+f.लैंगिकता
sexually	ad.लैंगिकदृष्ट्या
sexy	a.आकर्षक
seychelles	n+n.सेशेल्स
seymour	n+m.सेमोर
sgd	n+m.एसजीडी
sgt	n+m.हवालदार
shabbat	n+m.शब्बाथ
shabby	a.जीर्ण
shack	n+f.झोपडी
shackle	n+f.बेडी@v.बेड्या घालणे
shackles	n.बेड्या@v.बेड्या घालतो
shackleton	n+m.शॅकल्टन
shad	n+m.शॅड मासा
shade	n+f.सावली@n+m.छटा
shaded	a.सावलीचा
shades	n+f.छाया@n+m.रंग
shading	n+f.छायांकन
shadow	n+f.सावली@n+m.छाया
shadowed	v.मागावर होता@a.छायांकित
shadowing	v.पाठलाग करत आहे@n+n.छाया
shadows	n+f.सावली@n+m.छाया
shadowy	a.सावलीचा@a.अंधुक
shady	a.सावलीचा
shaffer	n.शॅफर
shaft	n+m.दांडा@n+f.खाण
shaftesbury	n+m.शाफ्ट्सबरी
shafts	n+m.दांडे
shag	n+m.झालरदार केस@vt.झवणे
shagging	v.संभोग करणे@n+n.झटपट धावणे
shaggy	a.केसाळ
shah	n+m.शाह
shake	v.हलवणे@n+f.थरथरणे
shakedown	n+f.तपासणी@n+m.खंडणी
shaken	a.हादरलेला
shaker	n+m.शेकर
shakers	n+m.शेकर
shakes	vt.हलवतो@n+f.हलवणे
shakespeare	n+m.शेक्सपियर
shakespearean	a.शेक्सपिअरी
shaking	vt.हलवणे
shakti	n+f.शक्ती
shaky	a.थरथरणारा
shale	n+m.शेल खडक
shall	v.करेल
shallots	n+m.कांद्याचे प्रकार
shallow	a.उथळ@a.वरवरचा
shalom	int.शालोम
shalt	v.करशील
sham	n+m.ढोंग@a.बनावट
shaman	n+m.शमन
shamanic	a.शामन संबंधित
shamanism	n+m.शामानिझम
shambles	n+m.गोंधळ
shame	n+f.लाज@v.शरमवणे
shamed	v.लाजवले@a.लज्जित
shameful	a.लाजिरवाणा
shameless	a.निर्लज्ज
shamelessly	ad.निर्लज्जपणे
shampoo	n+m.शाम्पू@vt.शाम्पू करणे
shampoos	n+m+pl.शाम्पू@v.शाम्पू करतो
shamrock	n+m.तीन पानांचा गवत
shams	n.ढोंग@vt.ढोंग करतो
shan	n.शान
shana	n+f.शाना
shandong	n.शानडोंग
shandy	n+f.शँडी पेय
shane	n+m.शेन
shang	n.शांग
shanghai	n+n.शांघाय
shank	n+m.पाय
shankar	n.शंकर
shanks	n.पायाची हाडे
shanna	n+f.शॅना
shannon	n+f.शॅनन
shanty	n+f.झोपडी@n+m.खलाशी गाणे
shape	n+f.आकार@vt.आकार देणे
shaped	a.आकाराचा@v.आकार दिला
shapely	a.सुडौल
shaper	n+m.आकार देणारा
shapers	n+m.आकार देणारे
shapes	n+f.आकार@v.आकार देतो
shaping	v.आकार देणे@n+n.आकारणी
shapiro	n.शापिरो
shard	n+m.तुकडा@n+f.खापरी
shards	n+m.pl.तुकडे@n+f.pl.खापरी
share	vt.सामायिक करणे@n+m.हिस्सा@n+m.शेअर
shared	a.सामायिक@v.सामायिक केले
shareholder	n+m.भागधारक
shareholders	n+m.भागधारक
shareholding	n+n.भागधारणा
shares	n+m.शेअर्स@v.सामायिक करतो
shareware	n+n.शेअरवेअर
shari	n.शारी
sharia	n+f.शरिया
sharif	n.शरीफ
sharing	n+f.सामायिकरण@v.सामायिक करत
shark	n+m.शार्क
sharks	n+m.शार्क
sharon	n+f.शॅरॉन
sharp	a+m.तीक्ष्ण@a+f.तीक्ष्ण@a+n.तीक्ष्ण
sharpe	n.शार्प
sharpen	vt.धार लावणे
sharpened	v.धारदार केले@a.धारदार
sharpener	n+m.तीक्ष्णक
sharpeners	n+m+pl.धारकर्ते
sharpening	vt.तीक्ष्ण करणे
sharper	a.अधिक तीक्ष्ण
sharpest	a.सर्वात धारदार@a.सर्वात तीक्ष्ण
sharpie	n+m.शार्पी
sharply	ad.तीव्रपणे
sharpness	n+f.तीक्ष्णता
sharps	n.तीक्ष्ण वस्तू
shasta	n.शास्ता
shatter	vt.चुराडा करणे@vi.फुटणे
shattered	a.चुराडा झालेला
shattering	v.तोडत आहे@a.भयंकर
shaun	n+m.शॉन
shauna	n+f.शॉना
shave	vt.दाढी करणे@n+f.दाढी
shaved	a.मुंडलेला@v.मुंडण केले
shaven	a.दाढी केलेला
shaver	n+m.दाढी करणारा
shavers	n.शेव्हर
shaving	n+n.दाढी करणे
shavings	n+f.छिलके
shaw	n+m.शॉ
shawl	n+f.शाल
shawls	n.शाल
shawn	n+m.शॉन
shawna	n+f.शॉना
shawnee	n.शॉनी
shay	n.शे
shaykh	n+m.शेख
shays	n+m.शेज
she	pron+f.ती
shea	n+m.शिया
sheaf	n+m.पेंढा@n+f.गठ्ठा
shear	vt.कापणे@n+f.कातरणे
shearer	n+m.कातरणारा
shearing	n+n.कातरणे@v.कातरत आहे
shears	n.कात्री
shearwater	n+m.शिअरवॉटर पक्षी
sheath	n+f.आवरण
sheathing	n+n.आच्छादन@v.म्यान घालणे
sheaves	n+f.पेंढ्या@n+n.गठ्ठे
sheba	n+f.शेबा
shed	n+f.शेड@v.सोडणे@v.गळणे
shedding	vt.गळणे
sheds	n+m.शेड@vt.गाळतो
sheen	n+f.चमक
sheena	n.शीना
sheep	n+f.मेंढी
sheepdog	n+m.शेपडॉग
sheepskin	n+f.मेंढीचे कातडे
sheer	a.निव्वळ@a.पातळ
sheet	n+f.पत्रक@n+f.चादर
sheeting	n+n.चादर
sheets	n+f.पत्रके
sheffield	n+n.शेफील्ड
sheik	n+m.शेख
sheikh	n+m.शेख
sheila	n+f.शीला
shekel	n+m.शेकेल
shekels	n+m.pl.शेकेल
shelby	n+f.शेल्बी
sheldon	n+m.शेल्डन
shelf	n+f.शेल्फ@n+m.कप्पा
shell	n+f.शेल@n+f.कवच
shelled	v.तोफगोळे मारले@a.कवच काढलेला
shelley	n+f.शेली
shellfish	n+m.शंखमासे
shelling	v.गोळीबार करणे@n+n.गोळाबारी
shells	n+f.शिंपले@n+m.कवच
shelly	n.शेली
shelter	n+m.आश्रय@n+f.निवारा
sheltered	a.संरक्षित
sheltering	v.आश्रय देणे@n+n.निवारा
shelters	n+f.आश्रय@vt.आश्रय देतो
shelton	n.शेल्टन
shelved	v.बाजूला ठेवले@a.बाजूला ठेवलेला
shelves	n+f.फळ्या@n+m.कप्पे
shelving	n+n.शेल्फिंग
shenandoah	n.शेनॅन्डोह
shenanigans	n+f.pl.लुच्चेगिरी@n+m.pl.कुचाळी
shenyang	n+m.शेनयांग
shepard	n.शेपर्ड
shepherd	n+m.मेंढपाळ@vt.राखणे
shepherds	n.मेंढपाळ
sheppard	n.शेपर्ड
sheraton	n+m.शेरॅटन
sherbet	n+n.शरबत
sherbrooke	n.शेरब्रुक
sheri	n.शेरी
sheridan	n+m.शेरिडन
sheriff	n+m.शेरिफ
sheriffs	n.शेरीफ
sherlock	n.शेरलॉक
sherman	n+m.शर्मन
sherpa	n+m.शेर्पा
sherri	n.शेरी
sherrie	n+f.शेरी
sherrill	n+m.शेरिल
sherry	n+f.शेरी
sherwin	n.शेरविन
sherwood	n+m.शेरवुड
sheryl	n.शेरील
shes	pron.ती
shetland	n.शेटलँड
shew	v.दाखवणे
shh	int.गप्प
shia	n+m.शिया@a.शिया
shiatsu	n+m.शियात्सू
shield	n+f.ढाल@v.संरक्षण करणे
shielded	a.संरक्षित
shielding	n+f.ढाल@vt.संरक्षण करणे
shields	n+f.ढाल@vt.संरक्षण करणे
shift	n+f.पाळी@vt.हलवणे
shifted	a.हलवलेला
shifter	n+m.शिफ्टर
shifters	n.बदलणारे
shifting	v.हलवणे@a.बदलणारा
shifts	n+f.पाळी@vt.हलवणे
shigella	n+f.शिगेला जीवाणू
shiite	n+m.शिया@a.शिया
shiites	n+m.pl.शिया
shilling	n+m.शिलिंग
shillings	n.शिलिंग
shillong	n+m.शिलाँग
shiloh	n.शायलो
shim	n+m.शिम@vt.शिम लावणे
shimmer	vi.झिलमिलणे@n+f.झिलमिल
shimmering	a.झिलमिलणारा@v.झिलमिलत आहे
shin	n+f.पिंडली
shine	vi.चमकणे@n+f.चमक
shiner	n+m.चमकणारा@n+f.काळी डोळी
shines	vi.चमकतो
shingle	n+f.लाकडी फळी@vt.छप्पर घालणे
shingles	n.नागीण
shining	a.चमकणारा@v.चमकणे
shins	n+f.pl.पिंडऱ्या@n+m.pl.नळ्यांची हाडे
shinto	n+m.शिंतो धर्म@a.शिंतो
shiny	a.चमकदार
ship	n+n.जहाज@vt.पाठवणे
shipboard	n+m.जहाजावर@a.जहाजावरील
shipbuilding	n+n.जहाज बांधणी
shipman	n.शिपमन
shipment	n+f.मालवाहतूक@n+m.पाठवणी
shipments	n+f.मालवाहतूक@n+n.पाठवणी
shipped	v.पाठवले
shipper	n+m.पाठवणारा
shippers	n.वाहतूकदार
shipping	n+f.वाहतूक@n+f.शिपिंग
ships	n+n.जहाजे
shipwreck	n+n.जहाज भंग@vt.जहाज उध्वस्त करणे
shipwrecks	n+f.जहाज दुर्घटना
shipyard	n+n.जहाज बांधणी कारखाना
shipyards	n+m.pl.जहाज बांधणी केंद्र
shiraz	n.शिराझ
shire	n+m.शायर
shirley	n+f.शर्ली
shirt	n+m.शर्ट
shirtless	a.शर्टविहीन
shirts	n+m.शर्ट
shit	n+f.विष्ठा@int.छी@v.शौचास जाणे
shits	v.शौच करतो@n+f.शौच
shitting	v.हगत आहे
shitty	a.घाणेरडा
shiv	n+m.चाकू@n+f.शिव
shiva	n+m.शिव
shiver	vi.थरथरणे@n+f.थरथर
shivering	v.थरथरत आहे@n+n.थरथरणे
shivers	v.थरथरतो@n+m+pl.थरथर
shoal	n+m.उथळ भाग@n+m.माशांचा थवा
shoals	n.उथळ जागा
shock	n+m.धक्का@v.धक्का देणे
shocked	a.धक्कादायक@v.धक्का बसणे
shocker	n+m.धक्का देणारी गोष्ट
shocking	a.धक्कादायक
shockingly	ad.धक्कादायकपणे
shocks	n+m.धक्के@vt.धक्का देतो
shockwave	n+f.आघात लहरी
shoddy	a.निकृष्ट@a.भंगार
shoe	n+m.बूट
shoebox	n+m.बुटांचा डबा
shoemaker	n+m.मोची
shoes	n+m.बूट
shogun	n+m.शोगुन
shone	v.चमकला
shoo	v.हाकलणे@int.हुश
shook	vt.हलवले
shoot	v.गोळी मारणे@v.चित्रीकरण करणे@n+m.अंकुर
shooter	n+m.गोळीबार करणारा
shooters	n+m.शूटर
shooting	n+f.गोळीबार@v.गोळीबार करणे
shootings	n.गोळीबार
shootout	n+m.गोळीबार
shoots	vt.गोळी मारतो@n+m.अंकुर
shop	n+n.दुकान@vi.खरेदी करणे
shopkeeper	n+m.दुकानदार
shoplifting	n+f.दुकान चोरी
shoppe	n+f.दुकान
shopped	v.खरेदी केली
shopper	n+m.खरेदीदार
shoppers	n+m.खरेदीदार
shopping	n+f.खरेदी
shops	n+n.दुकाने
shore	n+m.किनारा@n+f.तट
shoreline	n+f.किनारपट्टी
shorelines	n+f.किनारपट्ट्या
shores	n+f.किनारे
shoring	n+n.आधार देणे@v.आधार देणे
short	a+m.लहान@a+f.लहान@a+n.लहान@a+m.छोटा@a+f.छोटी@a+n.छोटे
shortage	n+f.कमतरता@n+m.तुटवडा
shortages	n+f.तुटवडा
shortcake	n+m.शॉर्टकेक
shortcoming	n+f.कमतरता@n+m.दोष
shortcomings	n+f.कमतरता
shortcut	n+m.शॉर्टकट
shortcuts	n+f.शॉर्टकट@n+m.लघुमार्ग
shorted	v.शॉर्ट सर्किट झाले@a.कमी केलेला
shorten	vt.कमी करणे
shortened	vt.लहान केले
shortening	n+f.कमी करणे
shorter	a.छोटा@a.आखूड
shortest	a.सर्वात लहान
shortfall	n+f.तूट
shortfalls	n.कमतरता
shorthand	n+f.लघुलेखन
shortlist	n+f.लघुसूची@vt.लघुसूचीत टाकणे
shortlisted	v.निवडसूचीत समाविष्ट केले@a.निवडलेला
shortly	ad.लवकरच@ad.थोड्याच वेळात
shortness	n+f.लहानपणा
shorts	n+f.शॉर्ट्स@n+m.चड्डी
shortstop	n+m.शॉर्टस्टॉप
shortwave	n+f.लघुतरंग@a.लघुतरंगी
shorty	n+m.ठेंगणा
shoshone	n.शोशोन
shostakovich	n+m.शोस्ताकोविच
shot	n+m.शॉट@v.गोळी झाडली
shotgun	n+f.बंदूक
shotguns	n.बंदुका
shots	n+m.शॉट
should	v.पाहिजे
shoulder	n+m.खांदा
shouldered	v.खांद्यावर घेतले@a.खांदा असलेला
shoulders	n+m.खांदे
shout	vi.ओरडणे@n+f.आरोळी
shouted	vt.ओरडले
shouting	n+n.ओरडणे
shouts	n+f.ओरड@vt.ओरडतो
shove	vt.ढकलणे@n+f.ढकल
shoved	v.ढकलले@a.ढकललेला
shovel	n+f.फावडे@vt.फावड्याने उचलणे
shovels	n+m+pl.फावडे@v.फावड्याने उचलतो
shoving	v.ढकलणे@n+n.ढकलणे
show	vt.दाखवणे@n+m.शो@n+m.कार्यक्रम
showbiz	n+m.मनोरंजन उद्योग
showcase	n+f.प्रदर्शनी@v.प्रदर्शित करणे
showcased	v.प्रदर्शित केले@a.प्रदर्शित
showcases	n+m.शोकेस@vt.प्रदर्शित करतो
showcasing	vt.प्रदर्शित करणे
showdown	n+m.निर्णायक सामना
showed	v.दाखवले
shower	n+m.शॉवर@vi.आंघोळ करणे
showered	v.अंघोळ केली@v.वर्षाव केला
showering	v.अंघोळ करत आहे@n+n.पाऊस पडणे
showers	n+f.वर्षाव@n+m.शॉवर
showing	v.दाखवत
showings	n+f.pl.प्रदर्शन
shown	v.दाखवले
showoff	n+m.दिखाऊपणा करणारा
showplace	n+n.प्रदर्शनस्थळ
showroom	n+m.शोरूम
showrooms	n.शोरूम
shows	n+m.शो@v.दाखवतो
showtime	n+m.शो टाइम
showy	a.दिखाऊ@a.भपकेबाज
shr	n.एसएचआर
shrank	v.आकसले@v.संकोचले
shrapnel	n+m.शार्पनेल
shred	n+m.तुकडा@vt.चिरणे
shredded	a.चिरलेला
shredder	n+m.श्रेडर
shredders	n.श्रेडर
shredding	v.चिंध्या करत आहे@n+n.तुकडे करणे
shreds	n+m.pl.चिंध्या@v.तुकडे करतो
shrek	n.श्रेक
shreveport	n.श्रेव्हपोर्ट
shrew	n+f.छछुंदर@n+f.कटकट करणारी बाई
shrewd	a.चतुर
shrewsbury	n.श्र्यूसबरी
shriek	v.किंकाळणे@n+f.किंकाळी
shrike	n+m.श्राइक पक्षी
shrill	a.कर्कश@a.तीक्ष्ण
shrimp	n+m.कोळंबी
shrimps	n+m.कोळंबी
shrine	n+m.मंदिर
shrines	n.मंदिरे
shrink	vi.आकुंचन होणे@n+m.मानसोपचारतज्ज्ञ
shrinkage	n+f.आकुंचन
shrinking	n+n.आकुंचन
shrinks	v.आकुंचन होतो@n+m+pl.मानसोपचारतज्ञ
shropshire	n+m.श्रॉपशायर
shroud	n+n.आच्छादन@vt.झाकणे
shrouded	v.झाकले@a.झाकलेला
shrub	n+f.झुडूप
shrubs	n+f.झुडपे
shrug	vi.खांदे उडवणे@n+m.खांदे उडवणे
shrugged	vt.खांदे उडवलेले
shrugs	v.खांदे उडवतो@n.खांदे उडवणे
shrunk	v.आकुंचन पावला@a.आकुंचित
shrunken	a.संकुचित@a.आकसलेला
shudder	vi.थरथरणे@n+f.थरथर
shuddered	v.थरथरला
shuffle	vt.मिसळणे@vi.पाय ओढत चालणे
shuffled	v.फेरबदल केले@v.पाय घासत चालले
shuffling	v.फेरबदल करत आहे@n+n.फेरबदल
shun	vt.टाळणे
shunned	v.टाळले@a.दुर्लक्षित
shunt	vt.बाजूला करणे@n+m.शंट
shut	v.बंद करणे@a.बंद
shutdown	n+f.बंद@n+n.शटडाउन
shutout	n+m.शटआउट
shuts	vt.बंद करणे
shutter	n+m.शटर
shutters	n.झडपा
shutting	vt.बंद करणे
shuttle	n+f.शटल@v.मागे पुढे जाणे
shuttles	n.शटल@vi.मागे पुढे जातो
shy	a.लाजाळू@vi.मागे हटणे
shyness	n+f.लाजाळूपणा@n+m.संकोच
siam	n.सियाम
siamese	a.सयामी@n+f.सयामी मांजर
sian	n+f.सियान
sib	n+m.भावंड
sibelius	n.सिबेलियस
siberia	n.सायबेरिया
siberian	a.सायबेरियन@n+m.सायबेरियन
sibling	n+m.भावंड
siblings	n+m.भावंडे
sic	ad.जसेच्या तसे
sichuan	n.सिचुआन
sicilia	n+f.सिसिली
sicilian	a.सिसिलियन@n+m.सिसिलियन
sicily	n.सिसिली
sick	a.आजारी
sickening	a.किळसवाणा@v.आजारी करणे
sickle	n+f.विळा
sickly	a.आजारी@a.रोगट
sickness	n+f.आजारपण
sics	v.हल्ला करायला लावतो
sid	n+m.सिड
siddhartha	n+m.सिद्धार्थ
side	n+f.बाजू
sidebar	n+m.साइडबार
sidebars	n+f.साइडबार@n+n.बाजूपट्टी
sideboard	n+m.साइडबोर्ड@n+f.बाजूची कपाट
sidecar	n+n.साइडकार
sided	a.बाजू असलेला
sidekick	n+m.साथीदार
sideline	n+f.बाजूची ओळ@vt.बाजूला ठेवणे
sidelined	v.बाजूला केले@a.बाजूला टाकलेला
sidelines	n.बाजूरेषा@vt.बाजूला ठेवतो
sides	n+f.बाजू
sideshow	n+m.दुय्यम प्रदर्शन
sidestep	vt.टाळणे@n+m.बाजूचे पाऊल
sidewalk	n+m.पदपथ
sidewalks	n+m.पदपथ
sidewall	n+f.बाजूची भिंत
sideways	ad.बाजूला
sidewinder	n+m.साइडवाइंडर
siding	n+f.साइडिंग
sidney	n+m.सिडनी
siege	n+m.वेढा
siegfried	n.सीगफ्रीड
siemens	n+m.सीमेन्स
siena	n+f.सिएना
sienna	n+f.तपकिरी रंग@n.सिएना
sierra	n+m.सियेरा
siesta	n+f.दुपारची झोप
sieve	n+f.चाळणी@vt.चाळणे
sift	vt.चाळणे
sifted	v.चाळले@a.चाळलेला
sifting	v.चाळणे@n+n.गाळणे
sig	n+f.स्वाक्षरी
sigh	vi.उसासा टाकणे@n+m.उसासा
sighed	vi.उसासा टाकलेला
sighing	v.उसासे टाकणे@n+n.उसासा
sighs	n.उसासे@v.उसासे टाकतो
sight	n+f.दृष्टी@n+n.दर्शन
sighted	a.दृष्टी असलेला
sighting	n+f.दृश्य
sightings	n+f.दृश्ये
sights	n+f.दृश्ये@n+n.नजारे
sightseeing	n+n.दर्शनीय स्थळे पाहणे
sigma	n+m.सिग्मा
sigmund	n.सिगमंड
sign	n+f.चिन्ह@n+f.खूण@vt.सही करणे
signage	n+n.चिन्हे
signal	n+m.सिग्नल@vt.संकेत देणे
signalled	v.संकेत दिला
signalling	n+n.सिग्नलिंग
signals	n+m.संकेत@v.संकेत देतो
signatories	n.स्वाक्षरीकर्ते
signatory	n+m.स्वाक्षरीदार@a.स्वाक्षरी करणारा
signature	n+f.स्वाक्षरी
signatures	n+f.स्वाक्षरी
signed	a.स्वाक्षरी केलेला@v.स्वाक्षरी केली
signer	n+m.स्वाक्षरी करणारा
signers	n+m.pl.स्वाक्षरीकर्ते
signet	n+f.शिक्का अंगठी
significance	n+f.महत्त्व@n+m.अर्थ
significant	a.महत्त्वपूर्ण
significantly	ad.लक्षणीयरित्या
signified	v.सूचित केले@a.अर्थपूर्ण
signifies	vt.दर्शवतो
signify	vt.सूचित करणे
signifying	v.सूचित करत आहे
signing	n+f.स्वाक्षरी@v.स्वाक्षरी करणे
signings	n.स्वाक्षऱ्या
signs	n+f.चिन्हे
sikh	n+m.शीख@a.शीख
sikhism	n+m.शीख धर्म
sikhs	n+m.pl.शीख
sikkim	n.सिक्किम
silage	n+n.सायलेज
silas	n.सायलस
silence	n+f.शांतता@n+m.मौन
silenced	v.शांत केले@a.शांत केलेला
silencer	n+m.मफलर
silences	v.गप्प करतो@n+f.शांतता
silencing	v.शांत करत आहे@n+n.शांत करणे
silent	a.शांत@a.मूक
silently	ad.शांतपणे
silhouette	n+f.छायाचित्र
silhouetted	a.छायाचित्रित@v.छायाकृती बनवली
silhouettes	n.छायाचित्रे
silica	n+f.सिलिका
silicate	n+m.सिलिकेट
silicon	n+m.सिलिकॉन
silicone	n+m.सिलिकॉन
silk	n+n.रेशीम@a.रेशमी
silken	a.रेशमी@a.मुलायम
silks	n+m+pl.रेशीम
silkscreen	n+m.सिल्कस्क्रीन मुद्रण
silky	a.रेशमी
sill	n+f.उंबरठा
silliness	n+f.मूर्खपणा
sills	n+m+pl.उंबरठे
silly	a.मूर्ख@a.वेडा
silo	n+m.सायलो
siloam	n+m.सिलोआम
silos	n.सायलो
silt	n+m.गाळ
silty	a.गाळयुक्त
silva	n+m.सिल्वा
silver	n+f.चांदी@a.चांदीचा
silvers	n+m.चांदी@v.चांदीसारखे होतो
silverware	n+f.चांदीची भांडी
silvery	a.चंदेरी
silvia	n.सिल्व्हिया
silviculture	n+n.वनशेती@n+f.वृक्षसंवर्धन
sim	n+m.सिम@n+f.सिम कार्ड
sima	n.सिमा
simba	n+m.सिंबा
simeon	n.सिमियन
simian	a.माकडासारखा@n+m.माकड
similar	a.समान@a.सारखा
similarities	n+f.साम्य
similarity	n+f.समानता
similarly	ad.त्याचप्रमाणे@ad.असेच
simile	n+f.उपमा
simmer	vi.मंद आचेवर शिजणे@n+f.मंद उकळी
simmering	v.मंद आचेवर शिजवणे@a.धुमसणारा
simmons	n+m.सिमन्स
simon	n+m.सायमन
simone	n+f.सिमोन
simp	n+m.मूर्ख
simple	a+m.सोपा@a+f.सोपी@a+n.सोपे
simpler	a.अधिक सोपा
simplest	a.सर्वात सोपा
simplex	n+m.सिम्प्लेक्स
simplicity	n+f.साधेपणा
simplification	n+f.सोपे करणे
simplified	a.सोपा केलेला@v.सुलभ करणे
simplifies	vt.सोपे करतो
simplify	vt.सोपे करणे
simplifying	vt.सोपे करणे
simplistic	a.अतिसरलीकृत
simply	ad.सोप्या शब्दात@ad.फक्त
simpson	n+m.सिम्पसन
simpsons	n+m.सिम्प्सन्स
sims	n+m.सिम्स
simulate	vt.नक्कल करणे
simulated	a.अनुकरित@v.अनुकरण करणे
simulates	v.नक्कल करतो
simulating	vt.अनुकरण करणे
simulation	n+f.अनुकरण
simulations	n+f.अनुकरण@n+n.सिम्युलेशन
simulator	n+m.सिम्युलेटर
simulators	n.सिम्युलेटर
simultaneous	a.एकाच वेळी होणारा
simultaneously	ad.एकाच वेळी@ad.समकालीन
sin	n+n.पाप@vi.पाप करणे
sinai	n.सिनाई
sinatra	n+m.सिनात्रा
sinbad	n+m.सिंदबाद
since	prep.पासून@conj.कारण
sincere	a.प्रामाणिक
sincerely	ad.प्रामाणिकपणे
sincerity	n+f.प्रामाणिकता
sinclair	n+m.सिंक्लेअर
sind	n.सिंध
sine	n+m.साइन
sinfonia	n+f.सिन्फोनिया
sinful	a.पापी
sing	v.गाणे
singapore	n+m.सिंगापूर
singaporean	n+m.सिंगापूरी@a.सिंगापूरी
singer	n+m.गायक@n+f.गायिका
singers	n+m.गायक
singh	n+m.सिंग
singing	n+n.गायन@v.गाणे
single	a.एकल@a.अविवाहित
singled	vt.निवडले
singles	n+m.एकल
singlet	n+m.बनियान
singleton	n+m.एकटा
singly	ad.एकट्याने
sings	vt.गातो
singular	a.एकवचनी@n+m.एकवचन
singularities	n+f+pl.एकमेवता
singularity	n+f.विलक्षणता
singularly	ad.विलक्षणपणे@ad.एकट्याने
sinh	n+m.सिंह
sinhalese	n+f.सिंहली भाषा@n+m.सिंहली लोक@a.सिंहली
sinister	a.अशुभ
sink	n+f.सिंक@v.बुडणे
sinking	n+n.बुडणे@a.बुडणारा
sinks	n+f.बुडवणे@vi.बुडणे
sinned	v.पाप केले
sinner	n+m.पापी
sinners	n.पापी
sins	n+f.पाप@vi.पाप करणे
sintered	v.सिंटर केले@a.सिंटर केलेला
sintering	n+n.सिंटरिंग@v.सिंटर करणे
sinus	n+m.सायनस
sinuses	n+m.सायनस
sinusitis	n+f.सायनुसायटिस
sinusoidal	a.ज्यावक्रीय
sion	n+m.सियोन
sioux	n+m.सिओक्स
sip	vt.घोट घेणे@n+m.घोट
siphon	n+m.सायफन@v.सायफनने काढणे
sipping	v.घोट घेत आहे
sips	n.घोट@vt.घोट घेणे
sir	n+m.सर
sire	n+m.पिता@vt.जन्म देणे
sired	v.पिता होणे@v.जन्म देणे
siren	n+f.सायरन
sirens	n.सायरन
sires	n+m.पिते@v.जन्म देतो
sirius	n+m.सिरियस
sirloin	n+m.सिरलॉइन
sirs	n+m.pl.साहेब@n+m.pl.महोदय
sis	n+f.बहीण
sisal	n+m.सायसल तंतू
sisley	n+m.सिस्ली
sissy	n+m.नामर्द
sister	n+f.बहीण
sisterhood	n+f.भगिनीत्व
sisters	n+f.बहिणी
sisyphus	n+m.सिसिफस
sit	vi.बसणे
sita	n.सीता
sitar	n+m.सतार
sitcom	n+m.सिटकॉम
sitcoms	n.सिटकॉम
site	n+n.स्थळ@n+f.जागा
sited	v.स्थित केले@a.स्थित
sitemap	n+m.साइटमॅप
sitemaps	n+m.pl.साइटमॅप
sites	n+n.स्थळे
siting	n+n.स्थान निश्चिती@v.स्थान निश्चित करत आहे
sitka	n.सिटका
sits	vi.बसणे
sitter	n+m.बसणारा
sitters	n+m+pl.बसणारे
sitting	v.बसत@n+f.बैठक
sittings	n+f.pl.बैठका
situated	a.स्थित@v.स्थित आहे
situation	n+f.परिस्थिती
situational	a.परिस्थितीजन्य
situations	n+f.परिस्थिती
situs	n+m.स्थान
siva	n+m.शिव
six	a.सहा
sixpence	n+m.सहा पेन्स
sixteen	a.सोळा
sixteenth	a.सोळावा
sixth	a.सहावा@n+m.सहावा
sixties	n+f.साठाव्या दशक
sixty	a.साठ@n+f.साठ संख्या
sizable	a.मोठा
size	n+m.आकार
sizeable	a.मोठा
sized	a.आकाराचा@v.आकार ठरवला
