reside	vi.cư trú
interestingly	ad.thú vị
secondly	ad.thứ hai
passively	ad.thụ động
ordinarily	ad.thông thường
smartly	ad.thông minh
comfortably	ad.thoải mái
rudely	ad.thô lỗ
coarsely	ad.thô
occasionally	ad.thỉnh thoảng@ad.đôi khi
appropriately	ad.thích hợp
proportionately	ad.theo tỷ lệ
traditionally	ad.theo truyền thống
alphabetically	ad.theo thứ tự bảng chữ cái
habitually	ad.theo thói quen
literally	ad.theo nghĩa đen@ad.thực sự
federally	ad.theo liên bang
contractually	ad.theo hợp đồng
constitutionally	ad.theo hiến pháp
accordingly	ad.theo đó@ad.do đó
whereby	ad.theo đó
horizontally	ad.theo chiều ngang
vertically	ad.theo chiều dọc
additionally	ad.thêm vào đó@ad.ngoài ra
instead	ad.thay vào đó
interchangeably	ad.thay thế lẫn nhau
genuinely	ad.thật sự
honestly	ad.thật lòng
unfortunately	ad.thật không may
competently	ad.thành thạo
successfully	ad.thành công
flatly	ad.thẳng thừng
bluntly	ad.thẳng thắn
frankly	ad.thẳng thắn
divinely	ad.thần thánh
cordially	ad.thân mật
even	ad.thậm chí@a.chẵn
defiantly	ad.thách thức
badly	ad.tệ@ad.rất
off	ad.tắt@prep.khỏi
collectively	ad.tập thể
downstairs	ad.tầng dưới
cruelly	ad.tàn nhẫn
trivially	ad.tầm thường
provisionally	ad.tạm thời
temporally	ad.tạm thời
temporarily	ad.tạm thời
why	ad.tại sao@conj.tại sao
locally	ad.tại địa phương@ad.ở địa phương
fiscally	ad.tài chính
apart	ad.tách ra
impatiently	ad.sốt ruột
vividly	ad.sống động
soonest	ad.sớm nhất
sooner	ad.sớm hơn
prematurely	ad.sớm
soon	ad.sớm
deeply	ad.sâu sắc@ad.sâu
later	ad.sau này@a.sau này
hereafter	ad.sau này
then	ad.sau đó@conj.thì
subsequently	ad.sau đó@ad.về sau
afterwards	ad.sau đó
thereafter	ad.sau đó
hereinafter	ad.sau đây
brightly	ad.sáng sủa
aside	ad.sang một bên@prep.bên cạnh
refreshingly	ad.sảng khoái
sideways	ad.sang bên
readily	ad.sẵn sàng@ad.dễ dàng
widely	ad.rộng rãi@ad.nhiều
amply	ad.rộng rãi
broadly	ad.rộng rãi
extensively	ad.rộng rãi
vastly	ad.rộng lớn
markedly	ad.rõ rệt
obviously	ad.rõ ràng@ad.hiển nhiên
apparently	ad.rõ ràng@ad.có vẻ
categorically	ad.rõ ràng
clearly	ad.rõ ràng
conspicuously	ad.rõ ràng
demonstrably	ad.rõ ràng
distinctly	ad.rõ ràng
evidently	ad.rõ ràng
explicitly	ad.rõ ràng
expressly	ad.rõ ràng
manifestly	ad.rõ ràng
patently	ad.rõ ràng
plainly	ad.rõ ràng
unambiguously	ad.rõ ràng
unequivocally	ad.rõ ràng
privately	ad.riêng tư
individually	ad.riêng lẻ@ad.cá nhân
severally	ad.riêng lẻ
separately	ad.riêng biệt@ad.riêng
inexpensively	ad.rẻ tiền
greatly	ad.rất@ad.vô cùng
highly	ad.rất
very	ad.rất
out	ad.ra@prep.ra
outwards	ad.ra ngoài
internationally	ad.quốc tế
importantly	ad.quan trọng
militarily	ad.quân sự
too	ad.quá@ad.cũng
overly	ad.quá mức
unduly	ad.quá mức
overboard	ad.qua mạn
overnight	ad.qua đêm@a.qua đêm
outrageously	ad.quá đáng
poco	ad.poco
intricately	ad.phức tạp
defensively	ad.phòng thủ
universally	ad.phổ quát
forward	ad.phía trước@v.chuyển tiếp
forwards	ad.phía trước@n.tiền đạo
ahead	ad.phía trước
aft	ad.phía sau
analytically	ad.phân tích
largely	ad.phần lớn@ad.chủ yếu
excitedly	ad.phấn khích
admittedly	ad.phải thừa nhận
affordably	ad.phải chăng
wrongfully	ad.oan uổng
centrally	ad.ở trung tâm
upstairs	ad.ở trên lầu@n.tầng trên
supra	ad.ở trên
stateside	ad.ở Mỹ
everywhere	ad.ở khắp nơi@ad.mọi nơi
herein	ad.ở đây@ad.trong đây
hereby	ad.ở đây@ad.theo đây
abroad	ad.nước ngoài@ad.ra nước ngoài
halfway	ad.nửa đường@a.giữa chừng
anymore	ad.nữa
hotly	ad.nóng bỏng
elsewhere	ad.nơi khác
internally	ad.nội bộ
spectacularly	ad.nổi bật
how	ad.như thế nào@conj.như thế nào
equally	ad.như nhau@ad.bình đẳng
much	ad.nhiều@art.nhiều@pron.nhiều
profusely	ad.nhiều
fervently	ad.nhiệt thành
softly	ad.nhẹ nhàng@ad.êm ái
gently	ad.nhẹ nhàng
lightly	ad.nhẹ nhàng
most	ad.nhất@art.hầu hết@pron.hầu hết
unanimously	ad.nhất trí
necessarily	ad.nhất thiết@ad.tất yếu
consistently	ad.nhất quán@ad.liên tục
rapidly	ad.nhanh chóng@ad.mau chóng
quickly	ad.nhanh chóng
swiftly	ad.nhanh chóng
idly	ad.nhàn rỗi
verbatim	ad.nguyên văn@a.nguyên văn
sic	ad.nguyên văn
conversely	ad.ngược lại
versa	ad.ngược lại
downwind	ad.ngược gió
upstream	ad.ngược dòng@a.ngược dòng
counterclockwise	ad.ngược chiều kim đồng hồ
foolishly	ad.ngu ngốc
semantically	ad.ngữ nghĩa
linguistically	ad.ngôn ngữ
stupidly	ad.ngốc nghếch
outdoors	ad.ngoài trời@n.ngoài trời
alternatively	ad.ngoài ra@ad.thay vào đó
withal	ad.ngoài ra
seriously	ad.nghiêm túc@ad.thật
critically	ad.nghiêm trọng@ad.phê bình
severely	ad.nghiêm trọng
strictly	ad.nghiêm ngặt@ad.hoàn toàn
sternly	ad.nghiêm khắc
figuratively	ad.nghĩa bóng
artistically	ad.nghệ thuật
anon	ad.ngay@ad.sớm
shortly	ad.ngay@ad.chẳng bao lâu
nowadays	ad.ngày nay
instantly	ad.ngay lập tức@ad.tức thì
immediately	ad.ngay lập tức
promptly	ad.ngay lập tức
increasingly	ad.ngày càng@ad.càng lúc càng
randomly	ad.ngẫu nhiên
intermittently	ad.ngắt quãng
laterally	ad.ngang
briefly	ad.ngắn gọn
concisely	ad.ngắn gọn
succinctly	ad.ngắn gọn
implicitly	ad.ngầm hiểu
otherwise	ad.nếu không@conj.nếu không
heavily	ad.nặng nề@ad.nhiều
dynamically	ad.năng động
partly	ad.một phần@ad.phần nào
partially	ad.một phần
someday	ad.một ngày nào đó
sometime	ad.một lúc nào đó@a.cựu
awhile	ad.một lúc
once	ad.một lần@conj.một khi
musically	ad.một cách âm nhạc
thinly	ad.mỏng
freshly	ad.mới
thankfully	ad.may mắn thay
fortunately	ad.may mắn
luckily	ad.may mắn
sharply	ad.mạnh mẽ@ad.sắc bén
strongly	ad.mạnh mẽ@ad.rất
mightily	ad.mạnh mẽ
evermore	ad.mãi mãi
forever	ad.mãi mãi
ideally	ad.lý tưởng
always	ad.luôn luôn
invariably	ad.luôn luôn
lazily	ad.lười biếng
backwards	ad.lùi@a.lạc hậu
deceptively	ad.lừa dối
loosely	ad.lỏng lẻo
flexibly	ad.linh hoạt
recklessly	ad.liều lĩnh
constantly	ad.liên tục@ad.không ngừng
continually	ad.liên tục
continuously	ad.liên tục
repeatedly	ad.liên tục
seamlessly	ad.liền mạch
up	ad.lên@prep.lên
sporadically	ad.lẻ tẻ
headlong	ad.lao đầu
quietly	ad.lặng lẽ
bis	ad.lần nữa
mutually	ad.lẫn nhau
please	ad.làm ơn@v.làm hài lòng
back	ad.lại@n.lưng@a.sau
again	ad.lại
digitally	ad.kỹ thuật số
thoroughly	ad.kỹ lưỡng@ad.hoàn toàn
eerily	ad.kỳ lạ
oddly	ad.kỳ lạ
peculiarly	ad.kỳ lạ
strangely	ad.kỳ lạ
miraculously	ad.kỳ diệu
discreetly	ad.kín đáo
architecturally	ad.kiến trúc
nay	ad.không@n.phiếu chống
involuntarily	ad.không tự nguyện
mercilessly	ad.không thương xót
inevitably	ad.không thể tránh khỏi
inextricably	ad.không thể tách rời
undeniably	ad.không thể phủ nhận
inexplicably	ad.không thể giải thích
impossibly	ad.không thể
nowhere	ad.không nơi nào
endlessly	ad.không ngừng
incessantly	ad.không ngừng
unsurprisingly	ad.không ngạc nhiên
improperly	ad.không đúng cách
incorrectly	ad.không đúng
insufficiently	ad.không đủ
inadequately	ad.không đầy đủ
needlessly	ad.không cần thiết
shamelessly	ad.không biết xấu hổ
unknowingly	ad.không biết
nevermore	ad.không bao giờ nữa
never	ad.không bao giờ
non	ad.không
not	ad.không
wisely	ad.khôn ngoan
roughly	ad.khoảng chừng@ad.thô bạo
approximately	ad.khoảng
scientifically	ad.khoa học
deftly	ad.khéo léo
affirmatively	ad.khẳng định
urgently	ad.khẩn cấp
differently	ad.khác nhau
harshly	ad.khắc nghiệt
differentially	ad.khác biệt
else	ad.khác
rather	ad.khá@ad.đúng hơn
fairly	ad.khá@ad.công bằng
quite	ad.khá
dually	ad.kép
poorly	ad.kém
least	ad.ít nhất@a.ít nhất
less	ad.ít hơn@a.ít hơn
silently	ad.im lặng
hopefully	ad.hy vọng@ad.may mắn
finitely	ad.hữu hạn
upwards	ad.hướng lên
seaward	ad.hướng biển
aggressively	ad.hung hãn
eloquently	ad.hùng biện
legally	ad.hợp pháp
reasonably	ad.hợp lý@ad.khá
justifiably	ad.hợp lý
logically	ad.hợp lý
sensibly	ad.hợp lý
validly	ad.hợp lệ
more	ad.hơn@art.nhiều hơn
furthermore	ad.hơn nữa@ad.ngoài ra
moreover	ad.hơn nữa@ad.ngoài ra
yesterday	ad.hôm qua@n.hôm qua
today	ad.hôm nay@n.hôm nay
somewhat	ad.hơi@ad.phần nào
retrospectively	ad.hồi tưởng
superficially	ad.hời hợt
kinda	ad.hơi
slightly	ad.hơi
operationally	ad.hoạt động
wildly	ad.hoang dại
entirely	ad.hoàn toàn@ad.toàn bộ
altogether	ad.hoàn toàn
completely	ad.hoàn toàn
outright	ad.hoàn toàn
totally	ad.hoàn toàn
utterly	ad.hoàn toàn
wholly	ad.hoàn toàn
perfectly	ad.hoàn hảo@ad.hoàn toàn
flawlessly	ad.hoàn hảo
geometrically	ad.hình học
effectively	ad.hiệu quả
efficiently	ad.hiệu quả
productively	ad.hiệu quả
currently	ad.hiện tại
presently	ad.hiện nay
rarely	ad.hiếm khi@ad.ít khi
scarcely	ad.hiếm khi
seldom	ad.hiếm khi
narrowly	ad.hẹp
virtually	ad.hầu như@ad.ảo
hardly	ad.hầu như không@ad.khó
almost	ad.hầu như
attractively	ad.hấp dẫn
generously	ad.hào phóng
handsomely	ad.hào phóng
eagerly	ad.háo hức
happily	ad.hạnh phúc
annually	ad.hàng năm@ad.mỗi năm
overseas	ad.hải ngoại@a.hải ngoại
neatly	ad.gọn gàng
educationally	ad.giáo dục
indirectly	ad.gián tiếp
fraudulently	ad.gian lận
anatomically	ad.giải phẫu
shockingly	ad.gây sốc
nearly	ad.gần như
lately	ad.gần đây
recently	ad.gần đây
decisively	ad.dứt khoát
seemingly	ad.dường như
purportedly	ad.được cho là
supposedly	ad.được cho là
reportedly	ad.được báo cáo
courageously	ad.dũng cảm
duly	ad.đúng cách
properly	ad.đúng cách
rightly	ad.đúng
enough	ad.đủ@a.đủ
anyhow	ad.dù sao
anyway	ad.dù sao
anyways	ad.dù sao
vehemently	ad.dữ dội
suddenly	ad.đột nhiên@ad.bỗng nhiên
simultaneously	ad.đồng thời@ad.cùng lúc
concurrently	ad.đồng thời
simply	ad.đơn giản
sometimes	ad.đôi khi
exclusively	ad.độc quyền@ad.chỉ
independently	ad.độc lập@ad.một cách độc lập
uniquely	ad.độc đáo
steeply	ad.dốc
there	ad.đó@ad.ở đó
therefore	ad.do đó@conj.do đó
consequently	ad.do đó@ad.hậu quả là
thereby	ad.do đó@ad.bằng cách đó
thus	ad.do đó
periodically	ad.định kỳ@ad.thường xuyên
nutritionally	ad.dinh dưỡng
downward	ad.đi xuống@a.đi xuống
fro	ad.đi và về
steadily	ad.đều đặn@ad.vững chắc
evenly	ad.đều đặn
uniformly	ad.đều đặn
beautifully	ad.đẹp
nicely	ad.đẹp
thereto	ad.đến đó@ad.ngoài ra
thither	ad.đến đó
easily	ad.dễ dàng
adequately	ad.đầy đủ
fully	ad.đầy đủ
sufficiently	ad.đầy đủ
passionately	ad.đầy đam mê
here	ad.đây
where	ad.đâu@conj.nơi mà
firstly	ad.đầu tiên
somewhere	ad.đâu đó@ad.nơi nào đó
reliably	ad.đáng tin cậy
woefully	ad.đáng tiếc
admirably	ad.đáng ngưỡng mộ
suspiciously	ad.đáng ngờ
surprisingly	ad.đáng ngạc nhiên
amazingly	ad.đáng kinh ngạc
astonishingly	ad.đáng kinh ngạc
substantially	ad.đáng kể@ad.về cơ bản
dramatically	ad.đáng kể@ad.một cách ấn tượng
appreciably	ad.đáng kể
considerably	ad.đáng kể
afoot	ad.đang diễn ra
notably	ad.đáng chú ý
remarkably	ad.đáng chú ý
sadly	ad.đáng buồn
gradually	ad.dần dần
progressively	ad.dần dần
characteristically	ad.đặc trưng
distinctively	ad.đặc trưng
exceptionally	ad.đặc biệt@ad.ngoại lệ
especially	ad.đặc biệt
particularly	ad.đặc biệt
singularly	ad.đặc biệt
specially	ad.đặc biệt
already	ad.đã
ultimately	ad.cuối cùng@ad.rốt cuộc
eventually	ad.cuối cùng
finally	ad.cuối cùng
lastly	ad.cuối cùng
ditto	ad.cũng vậy
together	ad.cùng nhau
rigidly	ad.cứng nhắc
ibid	ad.cùng nguồn
also	ad.cũng
extremely	ad.cực kỳ
terribly	ad.cực kỳ
thereof	ad.của nó@ad.về điều đó
namely	ad.cụ thể là
specifically	ad.cụ thể
ergonomically	ad.công thái học
painstakingly	ad.công phu
publicly	ad.công khai@ad.trước công chúng
openly	ad.công khai
overtly	ad.công khai
equitably	ad.công bằng
aka	ad.còn gọi là
intentionally	ad.cố ý@ad.có chủ tâm
meaningfully	ad.có ý nghĩa
deliberately	ad.cố ý
knowingly	ad.cố ý
arguably	ad.có thể nói
conceivably	ad.có thể
possibly	ad.có thể
purposefully	ad.có mục đích
profitably	ad.có lợi nhuận
maybe	ad.có lẽ
perhaps	ad.có lẽ
presumably	ad.có lẽ
probably	ad.có lẽ
potentially	ad.có khả năng@ad.tiềm năng
systematically	ad.có hệ thống
selectively	ad.có chọn lọc
yes	ad.có
professionally	ad.chuyên nghiệp
generically	ad.chung chung
jointly	ad.chung
yet	ad.chưa@conj.nhưng
chiefly	ad.chủ yếu
mainly	ad.chủ yếu
mostly	ad.chủ yếu
predominantly	ad.chủ yếu
predominately	ad.chủ yếu
primarily	ad.chủ yếu
principally	ad.chủ yếu
proactively	ad.chủ động
correctly	ad.chính xác@ad.đúng
accurately	ad.chính xác
exactly	ad.chính xác
precisely	ad.chính xác
formally	ad.chính thức
officially	ad.chính thức
lengthwise	ad.chiều dài
strategically	ad.chiến lược
just	ad.chỉ@ad.vừa mới
solely	ad.chỉ@ad.duy nhất
merely	ad.chỉ@ad.chỉ là
only	ad.chỉ@a.duy nhất
damn	ad.chết tiệt@a.chết tiệt@v.nguyền rủa
mortally	ad.chết người
diagonally	ad.chéo
closely	ad.chặt chẽ@ad.kỹ
tightly	ad.chặt chẽ
sincerely	ad.chân thành
slowly	ad.chậm@ad.từ từ
attentively	ad.chăm chú
intently	ad.chăm chú
definitely	ad.chắc chắn@ad.nhất định
surely	ad.chắc chắn@ad.hẳn
assuredly	ad.chắc chắn
certainly	ad.chắc chắn
undoubtedly	ad.chắc chắn
asap	ad.càng sớm càng tốt
carefully	ad.cẩn thận
personally	ad.cá nhân@ad.riêng tôi
indiscriminately	ad.bừa bãi
symbolically	ad.biểu tượng
confidentially	ad.bí mật
secretly	ad.bí mật
allegedly	ad.bị cáo buộc
sustainably	ad.bền vững
externally	ad.bên ngoài
outwardly	ad.bề ngoài
now	ad.bây giờ
irregularly	ad.bất thường
unusually	ad.bất thường
unexpectedly	ad.bất ngờ
helplessly	ad.bất lực
adversely	ad.bất lợi@ad.tiêu cực
regardless	ad.bất kể@prep.bất kể
whatsoever	ad.bất kể
illegally	ad.bất hợp pháp
anywhere	ad.bất cứ nơi nào
wherever	ad.bất cứ nơi đâu
anytime	ad.bất cứ lúc nào
unjustly	ad.bất công
conservatively	ad.bảo thủ
manually	ad.bằng tay
humanly	ad.bằng sức người
orally	ad.bằng miệng
electronically	ad.bằng điện tử
somehow	ad.bằng cách nào đó@ad.bằng cách này hay cách khác
busily	ad.bận rộn
initially	ad.ban đầu@ad.lúc đầu
originally	ad.ban đầu
thrice	ad.ba lần
impressively	ad.ấn tượng
safely	ad.an toàn@ad.một cách an toàn
securely	ad.an toàn
anonymously	ad.ẩn danh
weak	a.yếu@a.kém
loving	a.yêu thương@v.yêu
fond	a.yêu thích
faint	a.yếu ớt@v.ngất xỉu
patriotic	a.yêu nước
weaker	a.yếu hơn
frail	a.yếu đuối
infirm	a.yếu đuối
wimpy	a.yếu đuối
beloved	a.yêu dấu@n.người yêu dấu
quieter	a.yên tĩnh hơn
quiescent	a.yên tĩnh
quiet	a.yên tĩnh
tranquil	a.yên tĩnh
restful	a.yên bình
yemeni	a.Yemen
italian	a.ý@n.tiếng ý
medical	a.y tế
biomedical	a.y sinh
trans	a.xuyên@prep.xuyên
radial	a.xuyên tâm
transnational	a.xuyên quốc gia
transcontinental	a.xuyên lục địa
sacral	a.xương cùng
tibial	a.xương chày
skeletal	a.xương
surrounding	a.xung quanh@n.môi trường xung quanh@v.bao quanh
worthy	a.xứng đáng
catalytic	a.xúc tác
distinguished	a.xuất sắc@v.phân biệt
exc	a.xuất sắc
excellent	a.xuất sắc
hemorrhagic	a.xuất huyết
olden	a.xưa
welsh	a.xứ Wales@n.người Wales@n.tiếng Wales
porous	a.xốp
curly	a.xoăn@a.quăn
twisted	a.xoắn@a.méo mó@v.xoắn
helical	a.xoắn ốc
sorry	a.xin lỗi@int.xin lỗi
apologetic	a.xin lỗi
oblique	a.xiên@a.gián tiếp
equatorial	a.xích đạo
alternate	a.xen kẽ@v.xen kẽ@n.người thay thế
foul	a.xấu@n.phạm lỗi
ugly	a.xấu@a.xấu xí
homely	a.xấu xí
unsightly	a.xấu xí
evil	a.xấu xa@n.điều ác
ugliest	a.xấu nhất
ashamed	a.xấu hổ
embarrassed	a.xấu hổ
embarrassing	a.xấu hổ
bad	a.xấu
approximate	a.xấp xỉ@v.ước tính
approx	a.xấp xỉ@ad.khoảng
sly	a.xảo quyệt
verdant	a.xanh tươi
green	a.xanh lá@n.màu xanh lá
greener	a.xanh hơn
blue	a.xanh dương@n.màu xanh dương
verde	a.xanh
grey	a.xám@n.màu xám
dun	a.xám nâu
invasive	a.xâm lấn
probabilistic	a.xác suất
definite	a.xác định
remote	a.xa@n.điều khiển từ xa
distant	a.xa xôi
aloof	a.xa lánh
further	a.xa hơn@ad.xa hơn
sociological	a.xã hội học
social	a.xã hội
societal	a.xã hội
radiological	a.X-quang
superior	a.vượt trội@n.cấp trên
timeless	a.vượt thời gian@a.bất diệt
perpendicular	a.vuông góc
intertidal	a.vùng thủy triều
upstate	a.vùng thượng lưu
outlying	a.vùng ngoại ô
hypothalamic	a.vùng dưới đồi
glad	a.vui@a.vui mừng
jolly	a.vui vẻ@ad.rất
cheerful	a.vui vẻ
cheery	a.vui vẻ
lighthearted	a.vui vẻ
merry	a.vui vẻ
perky	a.vui tươi
playful	a.vui tươi
hilarious	a.vui nhộn
delighted	a.vui mừng@v.làm vui
moderate	a.vừa phải@v.điều hòa@n.người ôn hòa
arthurian	a.vua Arthur
cosmic	a.vũ trụ
armed	a.vũ trang@v.trang bị
retinal	a.võng mạc
inherent	a.vốn có
hasty	a.vội vàng
hopeless	a.vô vọng
tasteless	a.vô vị
selfless	a.vô tư
unselfish	a.vô tư
aseptic	a.vô trùng
sterile	a.vô trùng
inanimate	a.vô tri
crustal	a.vỏ trái đất
innocent	a.vô tội@a.ngây thơ
clonal	a.vô tính
godless	a.vô thần
ungodly	a.vô thần
endless	a.vô tận
mindless	a.vô tâm
unmatched	a.vô song
unparalleled	a.vô song
countless	a.vô số
abiotic	a.vô sinh
infertile	a.vô sinh
ungrateful	a.vô ơn
inhumane	a.vô nhân đạo
meaningless	a.vô nghĩa
pointless	a.vô nghĩa
absurd	a.vô lý@a.lố bịch
preposterous	a.vô lý
vain	a.vô ích@a.kiêu căng
intangible	a.vô hình
invisible	a.vô hình
indefinite	a.vô hạn
infinite	a.vô hạn
limitless	a.vô hạn
harmless	a.vô hại
worthless	a.vô giá trị
homeless	a.vô gia cư@n.người vô gia cư
invaluable	a.vô giá
priceless	a.vô giá
useless	a.vô dụng
unconditional	a.vô điều kiện
nameless	a.vô danh
infinitesimal	a.vô cùng nhỏ
inorganic	a.vô cơ
spousal	a.vợ chồng
baseless	a.vô căn cứ
insensitive	a.vô cảm
perpetual	a.vĩnh viễn@a.liên tục
permanent	a.vĩnh viễn
glorious	a.vinh quang
eternal	a.vĩnh cửu@a.bất tử
everlasting	a.vĩnh cửu
vietnamese	a.Việt Nam@n.người Việt Nam
viennese	a.Vienna
fulfilling	a.viên mãn@v.hoàn thành
inflammatory	a.viêm
locational	a.vị trí
juvenile	a.vị thành niên@n.thanh thiếu niên
altruistic	a.vị tha
microbial	a.vi sinh vật
microeconomic	a.vi mô
homeopathic	a.vi lượng đồng căn
bacteriological	a.vi khuẩn học
bacterial	a.vi khuẩn
unconstitutional	a.vi hiến
greatest	a.vĩ đại nhất
riparian	a.ven sông
riverine	a.ven sông
coastal	a.ven biển@a.duyên hải
littoral	a.ven biển
vedic	a.Veda
freehand	a.vẽ tay
janitorial	a.vệ sinh
sanitary	a.vệ sinh
taxing	a.vất vả
physical	a.vật lý@a.thể chất
materialistic	a.vật chất
yellow	a.vàng@n.màu vàng
absent	a.vắng mặt@v.vắng mặt
golden	a.vàng
clerical	a.văn phòng@a.giáo sĩ
literary	a.văn học@a.văn chương
cultural	a.văn hóa
textual	a.văn bản@a.theo văn bản
brindle	a.vằn
tweedy	a.vải tweed
septal	a.vách ngăn
uzbek	a.Uzbekistan@n.người Uzbekistan
erudite	a.uyên bác
prestigious	a.uy tín
reputable	a.uy tín
fiduciary	a.ủy thác@n.người ủy thác
majestic	a.uy nghi
preeminent	a.ưu việt
preferential	a.ưu đãi
uric	a.uric
wet	a.ướt@v.làm ướt
soggy	a.ướt sũng
iced	a.ướp lạnh
supportive	a.ủng hộ
improvisational	a.ứng biến
ukrainian	a.Ukraine@n.người Ukraine
australian	a.úc@n.người úc
immunosuppressive	a.ức chế miễn dịch
hydrophilic	a.ưa nước
sullen	a.ủ rũ
overcast	a.u ám
sombre	a.u ám
mitochondrial	a.ty thể
proportional	a.tỷ lệ
desperate	a.tuyệt vọng@a.liều lĩnh
fab	a.tuyệt vời@n.nhà máy
superb	a.tuyệt vời@a.xuất sắc
awesome	a.tuyệt vời@a.tuyệt
great	a.tuyệt vời@a.lớn
fabulous	a.tuyệt vời@a.khó tin
sublime	a.tuyệt vời@a.cao cả
amazing	a.tuyệt vời
fantastic	a.tuyệt vời
groovy	a.tuyệt vời
nifty	a.tuyệt vời
phat	a.tuyệt vời
terrific	a.tuyệt vời
wonderful	a.tuyệt vời
absolute	a.tuyệt đối@a.hoàn toàn
gorgeous	a.tuyệt đẹp@a.lộng lẫy
stunning	a.tuyệt đẹp@a.choáng váng
magnificent	a.tuyệt đẹp
extinct	a.tuyệt chủng
pancreatic	a.tuyến tụy
discretionary	a.tùy ý@a.tùy nghi
arbitrary	a.tùy ý@a.độc đoán
contingent	a.tùy thuộc@n.đoàn
optional	a.tùy chọn
customized	a.tùy chỉnh@v.tùy chỉnh
corresponding	a.tương ứng
respective	a.tương ứng
fanciful	a.tưởng tượng
imaginary	a.tưởng tượng
analog	a.tương tự@n.tương tự
analogous	a.tương tự
similar	a.tương tự
symbolic	a.tượng trưng
compatible	a.tương thích
interactive	a.tương tác
prospective	a.tương lai@a.tiềm năng
futuristic	a.tương lai
figural	a.tượng hình
tantamount	a.tương đương
relative	a.tương đối@n.họ hàng
lush	a.tươi tốt@a.sum suê
teenage	a.tuổi teen@a.thiếu niên
fresher	a.tươi hơn
fresh	a.tươi
tunisian	a.Tunisia@n.người Tunisia
vesicular	a.túi nhỏ
profane	a.tục tĩu@v.xúc phạm
obscene	a.tục tĩu
instant	a.tức thì@n.khoảnh khắc
pissed	a.tức giận@v.tiểu
angry	a.tức giận@a.giận dữ
sequential	a.tuần tự
compliant	a.tuân thủ
circulatory	a.tuần hoàn
lexical	a.từ vựng
consultative	a.tư vấn
ideological	a.tư tưởng
suicidal	a.tự tử
autonomous	a.tự trị
magnetic	a.từ tính
confident	a.tự tin
charitable	a.từ thiện
philanthropic	a.từ thiện
postural	a.tư thế
kinder	a.tử tế hơn
gracious	a.tử tế
priestly	a.tư tế
spontaneous	a.tự phát
judicial	a.tư pháp@a.thuộc tư pháp
juridical	a.tư pháp
natural	a.tự nhiên
naturalistic	a.tự nhiên
voluntary	a.tự nguyện@a.tình nguyện
complacent	a.tự mãn
homemade	a.tự làm
proud	a.tự hào
automated	a.tự động@v.tự động hóa
automatic	a.tự động
freelance	a.tự do@n.người làm tự do@v.làm tự do
liberal	a.tự do
uterine	a.tử cung
elective	a.tự chọn@n.môn tự chọn
compassionate	a.từ bi
obtuse	a.tù
traditional	a.truyền thống
infectious	a.truyền nhiễm
evangelistic	a.truyền giáo
inspiring	a.truyền cảm hứng@v.truyền cảm hứng
inspirational	a.truyền cảm hứng
mature	a.trưởng thành@v.trưởng thành
presbyterian	a.trưởng lão@n.người trưởng lão
prefrontal	a.trước trán
prenatal	a.trước sinh
antenatal	a.trước khi sinh
premarital	a.trước hôn nhân
preceding	a.trước đó@v.đi trước
prior	a.trước đó@ad.trước
previous	a.trước đó
erstwhile	a.trước đây
former	a.trước đây
preflight	a.trước chuyến bay
prewar	a.trước chiến tranh
prev	a.trước
honest	a.trung thực@a.thật thà
faithful	a.trung thành
leal	a.trung thành
loyal	a.trung thành
staunch	a.trung thành
central	a.trung tâm
centric	a.trung tâm
chinese	a.trung quốc@n.tiếng trung quốc
punitive	a.trừng phạt
neutral	a.trung lập@n.số trung tính
coincident	a.trùng hợp
coincidental	a.trùng hợp
mediaeval	a.trung cổ
medieval	a.trung cổ
intermediate	a.trung cấp@a.trung gian@n.trung gian
online	a.trực tuyến@ad.trực tuyến
rectal	a.trực tràng
direct	a.trực tiếp@v.chỉ đạo
firsthand	a.trực tiếp@ad.trực tiếp
intuitive	a.trực quan
orthogonal	a.trực giao
axial	a.trục
empty	a.trống@v.làm trống
blank	a.trống@n.chỗ trống
intrauterine	a.trong tử cung
horticultural	a.trồng trọt
intravenous	a.trong tĩnh mạch
arbitral	a.trọng tài
transparent	a.trong suốt@a.minh bạch
chaste	a.trong sạch
domestic	a.trong nước@a.gia đình
indoor	a.trong nhà@ad.trong nhà
intraocular	a.trong mắt
innermost	a.trong cùng
intramuscular	a.trong cơ
vacant	a.trống
rounded	a.tròn@v.làm tròn
round	a.tròn@n.vòng
slick	a.trơn@n.dầu loang
slippery	a.trơn
fluent	a.trôi chảy
brazen	a.trơ trẽn
philosophical	a.triết học
intellectual	a.trí tuệ@n.trí thức
epistemic	a.tri thức luận
aboveground	a.trên mặt đất
aerial	a.trên không@n.ăng ten
airborne	a.trên không
topmost	a.trên cùng
terrestrial	a.trên cạn
upper	a.trên
youthful	a.trẻ trung
youngest	a.trẻ nhất
younger	a.trẻ hơn@a.nhỏ tuổi hơn
infantile	a.trẻ con
young	a.trẻ
metabolic	a.trao đổi chất
pictorial	a.tranh ảnh@n.tranh ảnh
white	a.trắng@n.màu trắng
blanc	a.trắng@n.Blanc
flagrant	a.trắng trợn
decorative	a.trang trí
ornamental	a.trang trí
glazed	a.tráng men
whiter	a.trắng hơn
bare	a.trần@v.bộc lộ
rife	a.tràn lan
earthly	a.trần gian
pensive	a.trầm ngâm
