the	art.—
uruguayan	a.উরুগুয়ান@n+m.উরুগুয়ের নাগরিক
proteus	n+m.প্রোটিয়াস
simian	a.বানর সংক্রান্ত@n+m.বানরজাতীয় প্রাণী
denoting	v.নির্দেশ করা@v.বোঝানো
apiece	ad.প্রতিটি@ad.প্রত্যেকে
jeanie	n+f.জিনি
gammon	n+m.গ্যামন@n+m.শুকরের ঠেং
storming	v.ঝড়ের মতো আক্রমণ করা@a.প্রচণ্ড
islet	n+f.ছোট দ্বীপ@n+m.দ্বীপিকা
universes	n+m.মহাবিশ্ব
ganglia	n+f.স্নায়ুগুচ্ছ@n+m.গ্যাংলিয়া
conduits	n+m.নালী@n+f.পরিবাহী নল
headway	n+m.অগ্রগতি@n+f.উন্নতি
ghanaian	a.ঘানীয়@n+m.ঘানার নাগরিক
resonances	n+f.অনুরণন@n+f.প্রতিধ্বনি
friars	n+m.সন্ন্যাসী@n+m.ফ্রায়ার
subjectivity	n+f.বিষয়িতা@n+f.ব্যক্তিগত দৃষ্টিভঙ্গি
maples	n+m.ম্যাপল গাছ
alluring	a.মোহনীয়@a.আকর্ষণীয়
cobble	n+m.নুড়ি পাথর@v.মেরামত করা
spode	n+m.স্পোড@n+f.চীনামাটির বাসন
buzzard	n+m.শকুন@n+m.বাজপাখি
bony	a.হাড্ডিসার@a.অস্থিময়
plunger	n+m.প্লাঞ্জার@n+m.পিস্টন
halting	a.থামা@v.বিরতি দেওয়া@a.হেঁচকি টানা
sana	n+f.সানা
halley	n+m.হ্যালি
bookends	n+m.বুকএন্ড@n+m.বই ধরে রাখার সরঞ্জাম
klingon	n+m.ক্লিংগন
cranks	n+m.ক্র্যাঙ্ক@v.ঘোরায়@n+m.খামখেয়ালি
lowery	a.মেঘলা@n+m.লোওয়ারি
headwaters	n+f.নদীর উৎস@n+m.প্রধান উৎস
histograms	n+m.হিস্টোগ্রাম@n+f.স্তম্ভচিত্র
reviving	v.পুনরুজ্জীবিত করা@a.সজীব করা
moll	n+f.মল@n+f.অপরাধীর প্রেমিকা
netherland	n+m.নেদারল্যান্ড
burrow	n+m.গর্ত@v.গর্ত খোঁড়া
universality	n+f.সার্বজনীনতা@n+f.বিশ্বজনীনতা
veranda	n+f.বারান্দা
disposals	n+f.নিষ্পত্তি@n+m.বিলোপ
mosul	n+m.মসুল
underrated	a.অবমূল্যায়িত@v.কম মূল্যায়ন করা হয়েছিল
hyphen	n+m.হাইফেন@n+f.যোজক চিহ্ন
glycoproteins	n+m.গ্লাইকোপ্রোটিন
insatiable	a.অতৃপ্ত@a.লোভী
exquisitely	ad.অপূর্বভাবে@ad.চমৎকারভাবে
unsorted	a.অবিন্যস্ত@a.বাছাই না করা
unfriendly	a.অবন্ধুত্বপূর্ণ@a.বৈরী
scorsese	n+m.স্করসেসি
hatches	n+f.হ্যাচ@v.ডিম ফোটায়
christened	v.নামকরণ করেছিল@v.খ্রিস্টান ধর্মে দীক্ষিত করেছিল
grampian	n+m.গ্র্যাম্পিয়ান
actuality	n+f.বাস্তবতা@n+f.সত্যতা
teased	v.উত্যক্ত করেছিল@v.জ্বালাতন করেছিল
detain	v.আটক রাখা@v.বিলম্ব করা
attica	n+f.অ্যাটিকা
immunisation	n+f.টিকাদান@n+f.রোগ প্রতিরোধক্ষমতা প্রদান
eyelets	n+m.ছিদ্র@n+f.ফিতা গলানোর ছোট ছিদ্র
swordfish	n+m.তলোয়ার মাছ
legals	n+m.আইনি বিষয়@a.আইনসংক্রান্ত
flatten	v.সমতল করা@v.চ্যাপ্টা করা
homogeneity	n+f.সমসত্ত্বতা@n+f.একরূপতা
savant	n+m.পণ্ডিত@n+m.বিদ্বান
appreciating	v.প্রশংসা করা@v.মূল্য বৃদ্ধি হওয়া
recreated	v.পুনরায় তৈরি করেছিল@v.নতুন করে সৃষ্টি করেছিল
leaded	a.সীসাযুক্ত@v.সীসা দিয়ে আচ্ছাদিত
hunan	n+m.হুনান
supersonics	n+m.সুপারসনিক্স@n+f.অতিশব্দ বিজ্ঞান
stinging	a.হুল ফোটানো@v.দংশন করা
gulls	n+m.গাংচিল@n+f.সামুদ্রিক পাখি
vinaigrette	n+f.ভিনাইগ্রেট@n+f.সালাদের সস
prescribes	v.নির্দেশ দেয়@v.প্রেসক্রাইব করে
sultry	a.গুমোট@a.তীব্র গরম
sinned	v.পাপ করেছিল
globular	a.গোলাকার@a.গোলক আকৃতির
asiatic	a.এশিয়াটিক@a.এশীয়
unreadable	a.অপাঠ্য@a.পড়া যায় না
macaulay	n+m.ম্যাকওলে
balsa	n+m.বালসা@n+m.হালকা কাঠ
depositing	v.জমা করা@v.স্থাপন করা
brasserie	n+f.ব্রাসেরি@n+f.ফরাসি রেস্তোরাঁ
salton	n+m.সল্টন
engravings	n+f.খোদাই করা চিত্র@n+m.মুদ্রণ
showering	v.স্নান করা@v.বর্ষণ করা
peepshow	n+m.উঁকি দেখা প্রদর্শনী
fanatical	a.গোঁড়া@a.উগ্র
caper	n+m.লাফালাফি@n+f.কেপার ফুল@v.লাফানো
givens	n+m.প্রদত্ত তথ্য@n+f.স্বতঃসিদ্ধ
pecuniary	a.আর্থিক@a.অর্থ সংক্রান্ত
vintages	n+m.মদের ফসল@n+f.বিশেষ বছরের সংগ্রহ
predicated	v.ভিত্তি করেছিল@a.নির্ভরশীল
ozarks	n+m.ওজার্কস
montezuma	n+m.মন্টেজুমা
prehistory	n+f.প্রাগৈতিহাস@n+f.প্রাক-ইতিহাস
lentils	n+f.মসুর ডাল
histidine	n+m.হিস্টিডিন@n+m.অ্যামিনো অ্যাসিড
quack	n+m.হাতুড়ে ডাক্তার@v.কোয়াক কোয়াক করা
drape	v.কাপড় দিয়ে ঢাকা@n+m.পর্দা
tectonics	n+f.ভূগর্ভ বিদ্যা@n+f.টেকটোনিক্স
lorentz	n+m.লোরেন্টজ
distributive	a.বণ্টনমূলক@a.বিতরণ সংক্রান্ত
sharps	n+m.সূচালো বস্তু@n+f.শার্প চিহ্ন
bruges	n+m.ব্রুজ
gilberto	n+m.গিলবার্টো
grooms	n+m.বর@v.সাজায়@n+m.সহিস
doomsday	n+m.কিয়ামতের দিন@n+m.প্রলয়দিন
otters	n+m.ভোঁদড়
mews	n+f.আস্তাবল গলি@n+m.বিড়ালের ডাক
ousted	v.বহিষ্কার করেছিল@v.ক্ষমতাচ্যুত করেছিল
scarring	n+f.দাগ পড়া@v.ক্ষতচিহ্ন রেখে যাওয়া
daydream	n+m.দিবাস্বপ্ন@v.স্বপ্ন দেখা
bicarbonate	n+m.বাইকার্বনেট@n+m.খাবার সোডা
cask	n+m.পিপা@n+f.বড় পাত্র
grocer	n+m.মুদি@n+m.মুদি দোকানদার
dietitian	n+m.পুষ্টিবিদ@n+f.খাদ্য বিশেষজ্ঞ
speedily	ad.দ্রুতভাবে@ad.তাড়াতাড়ি
harriman	n+m.হ্যারিম্যান
auberge	n+f.সরাইখানা@n+f.ছোট হোটেল
negroes	n+m.নিগ্রো@n+m.কালো মানুষ
paprika	n+m.পেপরিকা@n+f.মিষ্টি মরিচের গুঁড়া
chases	v.তাড়া করে@n+f.পশ্চাদ্ধাবন
intervened	v.হস্তক্ষেপ করেছিল@v.মধ্যস্থতা করেছিল
biden	n+m.বাইডেন
disallowed	v.অনুমোদন করেনি@v.নিষিদ্ধ করেছিল
resourcing	n+f.সম্পদ সংগ্রহ@v.সংস্থান করা
mezzo	n+f.মেজো@a.মাঝারি
orbison	n+m.অরবিসন
geffen	n+m.গেফেন
incarnate	a.মূর্ত@v.মূর্তি ধারণ করা
chimneys	n+f.চিমনি@n+m.ধোঁয়া নির্গমন নল
novella	n+f.নভেলা@n+f.ছোট উপন্যাস
preoccupied	a.মগ্ন@a.চিন্তিত
brie	n+m.ব্রি@n+m.এক প্রকার পনির
hither	ad.এদিকে@ad.এখানে
diggers	n+m.খননকারী@n+m.গর্ত খোঁড়া মানুষ
glances	n+f.দৃষ্টি@v.তাকায়
silos	n+m.সাইলো@n+m.শস্য গুদাম
tyrants	n+m.স্বৈরাচারী@n+m.অত্যাচারী শাসক
shortstop	n+m.শর্টস্টপ@n+m.বেসবল খেলোয়াড়
giddy	a.মাথা ঘোরানো@a.চঞ্চল
denounce	v.নিন্দা করা@v.অভিযোগ করা
entertainments	n+f.বিনোদন@n+m.আমোদ প্রমোদ
dordrecht	n+m.ডরড্রেখ্ট
permissive	a.অনুমোদনমূলক@a.উদার
nehru	n+m.নেহরু
disposables	n+m.ব্যবহার্য জিনিস@a.নিষ্পত্তিযোগ্য
oaths	n+m.শপথ@n+f.প্রতিজ্ঞা
furness	n+m.ফার্নেস
ripples	n+f.তরঙ্গ@v.ঢেউ খেলে
bloodshed	n+m.রক্তপাত@n+f.হত্যাকাণ্ড
maw	n+m.পাকস্থলী@n+f.মুখগহ্বর
odometer	n+m.ওডোমিটার@n+m.দূরত্ব মাপক যন্ত্র
upsetting	a.বিরক্তিকর@v.বিচলিত করা
durante	n+m.দুরান্তে
druids	n+m.ড্রুইড@n+m.প্রাচীন পুরোহিত
rodger	n+m.রজার
oxen	n+m.ষাঁড়@n+m.গরু
griddle	n+m.তাওয়া@n+f.চাটু
nascent	a.উদ্ভূত@a.নবজাত
multipliers	n+m.গুণক@n+m.বর্ধক
reinforcements	n+f.শক্তিবৃদ্ধি@n+m.সহায়তা বাহিনী
precept	n+m.নীতি@n+f.উপদেশ
salerno	n+m.সালের্নো
pavements	n+m.ফুটপাত@n+f.রাস্তা
couplers	n+m.সংযোজক@n+f.যুগ্মক
aftershaves	n+m.আফটারশেভ@n+m.শেভের পরের লোশন
murmured	v.গুনগুন করেছিল@v.ফিসফিস করেছিল
rehabilitate	v.পুনর্বাসন করা@v.পুনঃপ্রতিষ্ঠা করা
patina	n+f.প্যাটিনা@n+f.প্রাচীন আবরণ
propellers	n+m.প্রপেলার@n+m.পাখা
sousa	n+m.সুসা
violinist	n+m.বেহালাবাদক@n+m.ভায়োলিনিস্ট
phonology	n+f.ধ্বনিবিজ্ঞান@n+f.ধ্বনিতত্ত্ব
plasmodium	n+m.প্লাজমোডিয়াম@n+m.ম্যালেরিয়া জীবাণু
himalaya	n+m.হিমালয়
gibbon	n+m.গিবন@n+m.উল্লুক
gratifying	a.সন্তোষজনক@v.তৃপ্ত করা
bums	n+m.ভবঘুরে@n+f.নিতম্ব
undersea	a.সমুদ্রের নীচে@ad.সাগরতলে
delirious	a.প্রলাপগ্রস্ত@a.উন্মত্ত
excepting	prep.ব্যতীত@v.বাদ দেওয়া
unlawfully	ad.বেআইনিভাবে@ad.অবৈধভাবে
vanadium	n+m.ভ্যানাডিয়াম
wilkerson	n+m.উইলকারসন
riverboat	n+m.নদীর নৌকা@n+f.নদীযান
urchin	n+m.ছিন্নমূল শিশু@n+m.সমুদ্র সজারু
polygamy	n+f.বহুবিবাহ
unstoppable	a.অপ্রতিরোধ্য@a.থামানো যায় না
pedometer	n+m.পেডোমিটার@n+m.পদক্ষেপ গণক
utterances	n+f.উক্তি@n+f.কথন
devising	v.উদ্ভাবন করা@v.পরিকল্পনা করা
shortfalls	n+m.ঘাটতি@n+f.অভাব
bookmarking	v.বুকমার্ক করা@n+f.চিহ্নিত করা
sustains	v.বজায় রাখে@v.ভরণপোষণ করে
barbershop	n+m.নাপিতের দোকান
woodman	n+m.কাঠুরে@n+m.বনজীবী
gravely	ad.গুরুতরভাবে@ad.গম্ভীরভাবে
idiosyncratic	a.বিশেষ বৈশিষ্ট্যপূর্ণ@a.অদ্ভুত
errands	n+f.দৌড়ঝাঁপ@n+m.কাজকর্ম
hells	n+f.নরক
floppies	n+f.ফ্লপি ডিস্ক
tashkent	n+m.তাসখন্দ
cartes	n+f.কার্তে@n+f.মানচিত্র
kilowatt	n+m.কিলোওয়াট
impulsive	a.আবেগপ্রবণ@a.তাড়নামূলক
spasms	n+m.খিঁচুনি@n+f.মাংসপেশীর সংকোচন
mops	n+m.মপ@v.মুছে দেয়
commutative	a.বিনিময়যোগ্য@a.সমবর্তী
rationally	ad.যুক্তিসঙ্গতভাবে@ad.বিচারবুদ্ধি দিয়ে
uproar	n+m.হট্টগোল@n+f.তুমুল হৈচৈ
savages	n+m.বর্বর@v.আক্রমণ করে
craters	n+m.জ্বালামুখ@n+f.গর্ত
angiogenesis	n+f.রক্তনালী সৃষ্টি
nicosia	n+f.নিকোসিয়া
nematode	n+m.নেমাটোড@n+m.সুতোকৃমি
administratively	ad.প্রশাসনিকভাবে
mockery	n+f.ঠাট্টা@n+f.উপহাস
railings	n+f.রেলিং@n+m.বেষ্টনী
northerly	a.উত্তরদিকে@ad.উত্তরমুখী
leverages	v.সুবিধা নেয়@n+m.লিভারেজ
tenths	n+m.দশমাংশ
cancerous	a.ক্যান্সারযুক্ত@a.কর্কটরোগাক্রান্ত
quench	v.তৃষ্ণা মেটানো@v.নিভানো
passer	n+m.পথচারী@n+m.পাস প্রদানকারী
gabriela	n+f.গ্যাব্রিয়েলা
secretory	a.ক্ষরণকারী@a.নিঃসরণ সংক্রান্ত
encompassed	v.পরিবেষ্টন করেছিল@v.অন্তর্ভুক্ত করেছিল
reassessment	n+f.পুনর্মূল্যায়ন
broil	v.ঝলসানো@n+m.ঝগড়া
hurrah	int.হুররে@n+m.জয়ধ্বনি
chillers	n+m.শীতলকারী@n+f.ভয়ের চলচ্চিত্র
elbert	n+m.এলবার্ট
modestly	ad.বিনয়ের সাথে@ad.সংযতভাবে
epitaph	n+m.সমাধিলেখ@n+f.স্মৃতিলিপি
allahabad	n+m.এলাহাবাদ
insurrection	n+f.বিদ্রোহ@n+f.অভ্যুত্থান
alger	n+m.আলজার
periodicity	n+f.পর্যাবৃত্তি@n+f.চক্রাবর্তন
emigrated	v.দেশান্তরিত হয়েছিল@v.প্রবাস করেছিল
trypsin	n+m.ট্রিপসিন@n+m.পাচক উৎসেচক
bursary	n+f.বৃত্তি@n+m.বৃত্তি তহবিল
dependability	n+f.নির্ভরযোগ্যতা@n+f.বিশ্বস্ততা
overdraft	n+m.ওভারড্রাফট@n+m.অতিরিক্ত উত্তোলন
deirdre	n+f.ডেইর্দ্রে
barges	n+f.নৌকা@n+m.বজরা
scribner	n+m.স্ক্রিবনার
frankel	n+m.ফ্র্যাংকেল
cacti	n+m.ক্যাকটাস
bugaboo	n+m.ভুতুড়ে@n+f.ভয়ের বস্তু
aeration	n+f.বায়ুচলাচল@n+f.বাতাসীকরণ
antennae	n+f.শুঁড়@n+m.অ্যান্টেনা
fermented	a.গাঁজানো@v.গেঁজেছিল
chowder	n+m.চাউডার@n+f.ঘন সুপ
expatriates	n+m.প্রবাসী@v.দেশান্তরিত করে
freaked	v.আতঙ্কিত হয়েছিল@a.ভয় পেয়েছিল
headmaster	n+m.প্রধান শিক্ষক
curbs	n+m.ফুটপাতের ধার@v.সংযত করে
walrus	n+m.ওয়ালরাস@n+m.সিন্ধুঘোটক
secretive	a.গোপনীয়@a.রহস্যময়
grievous	a.ভয়ংকর@a.গুরুতর
generative	a.উৎপাদনশীল@a.সৃষ্টিমূলক
assyrian	a.অ্যাসিরীয়@n+m.আসিরিয়ার অধিবাসী
vineland	n+m.ভাইনল্যান্ড
repetitions	n+f.পুনরাবৃত্তি
pensioner	n+m.পেনশনভোগী
stuttering	n+f.তোতলামি@v.তোতলাচ্ছে
forcefully	ad.জোরপূর্বক@ad.বলপূর্বক
spellbound	a.মন্ত্রমুগ্ধ@a.বিমোহিত
kwanzaa	n+f.কোয়ানজা@n+m.আফ্রিকান উৎসব
mascots	n+m.শুভ চিহ্ন@n+m.মাসকট
bretagne	n+f.ব্রেটেন
conundrum	n+m.ধাঁধা@n+f.জটিল সমস্যা
comedic	a.হাস্যকর@a.কমেডি সংক্রান্ত
fend	v.প্রতিরক্ষা করা@v.রক্ষা করা
apical	a.শীর্ষস্থ@a.চূড়ার
synoptic	a.সারসংক্ষেপমূলক@a.সামগ্রিক দৃষ্টিসম্পন্ন
sapphires	n+m.নীলকান্তমণি@n+f.নীলা
beryllium	n+m.বেরিলিয়াম
disinfectant	n+m.জীবাণুনাশক@a.জীবাণুমুক্তকারী
compressing	v.সংকুচিত করা@n+f.চাপ দেওয়া
jokers	n+m.জোকার@n+m.ঠাট্টাবাজ
piglet	n+m.শূকরশাবক@n+f.ছোট শূকর
wildcards	n+m.ওয়াইল্ডকার্ড@n+f.অপ্রত্যাশিত প্রবেশাধিকারী
intoxicating	a.মাদকতাময়@v.নেশাগ্রস্ত করা
crumble	v.চূর্ণবিচূর্ণ হওয়া@n+m.ভেঙে পড়া
sketchbook	n+m.স্কেচবুক@n+f.আঁকার খাতা
resorted	v.আশ্রয় নিয়েছিল@v.ব্যবহার করেছিল
lecturing	v.বক্তৃতা দেওয়া@n+f.উপদেশ দেওয়া
retreated	v.পিছু হটেছিল@v.সরে গিয়েছিল
windhoek	n+m.উইন্ডহোক
lomond	n+m.লোমন্ড
eccles	n+m.একলস
magdalene	n+f.ম্যাগডালিন
spatula	n+f.স্প্যাটুলা@n+f.খুন্তি
featurette	n+f.সংক্ষিপ্ত প্রামাণ্যচিত্র
gotcha	int.ধরে ফেললাম@int.বুঝেছি
drifter	n+m.ভবঘুরে@n+m.ভাসমান মানুষ
veer	v.দিক পরিবর্তন করা@v.ঘুরে যাওয়া
netted	v.জাল দিয়ে ধরেছিল@a.জালবিশিষ্ট
stardom	n+m.তারকাখ্যাতি@n+f.জনপ্রিয়তা
assad	n+m.আসাদ
brantford	n+m.ব্রান্টফোর্ড
nola	n+f.নোলা
dispel	v.দূর করা@v.বিতাড়িত করা
toastmasters	n+m.টোস্টমাস্টার্স@n+m.বক্তৃতা প্রশিক্ষণ সংস্থা
warships	n+f.যুদ্ধজাহাজ
ranchi	n+m.রাঁচি
exotics	n+m.বিদেশী প্রাণী@n+f.অপরিচিত বস্তু
articulating	v.স্পষ্ট করে বলা@a.সংযুক্ত
jiffy	n+m.মুহূর্ত@n+f.ক্ষণ
woodbine	n+m.উডবাইন@n+f.বনলতা
goodall	n+m.গুডঅল
straightening	v.সোজা করা@n+f.সরলীকরণ
immerse	v.ডুবিয়ে দেওয়া@v.নিমগ্ন করা
envious	a.ঈর্ষান্বিত@a.হিংসুক
regretted	v.অনুতাপ করেছিল@v.দুঃখ প্রকাশ করেছিল
wittenberg	n+m.ভিটেনবার্গ
colic	n+m.পেটের ব্যথা@n+f.শূলবেদনা
capone	n+m.ক্যাপোন
adolph	n+m.অ্যাডলফ
rebounding	v.ফিরে আসা@n+m.প্রতিক্ষেপণ
farthest	a.সবচেয়ে দূরে@ad.সর্বাধিক দূরত্বে
hirsute	a.লোমশ@a.কেশময়
iniquity	n+f.অন্যায়@n+f.পাপ
prelim	n+m.প্রাথমিক পরীক্ষা@a.প্রাথমিক
fooling	v.বোকা বানানো@n+f.ঠকানো
militias	n+f.মিলিশিয়া@n+f.স্বেচ্ছাসেবক বাহিনী
commodores	n+m.কমোডোর@n+m.নৌ-অধিনায়ক
roslyn	n+f.রোজলিন
vaulted	a.খিলানযুক্ত@v.লাফিয়ে উঠেছিল
warms	v.গরম করে@v.উষ্ণ হয়
lindbergh	n+m.লিন্ডবার্গ
formalities	n+f.আনুষ্ঠানিকতা
vertebral	a.মেরুদণ্ড সংক্রান্ত
ectopic	a.অস্বাভাবিক স্থানে অবস্থিত@a.এক্টোপিক
abcs	n+m.বর্ণমালা@n+f.প্রাথমিক জ্ঞান
resounding	a.প্রতিধ্বনিত@a.বিপুল
coulomb	n+m.কুলম্ব@n+m.তড়িৎ আধানের একক
restatement	n+f.পুনর্বিবৃতি@n+m.পুনঃপ্রকাশ
unscheduled	a.অনির্ধারিত@a.সময়সূচীবহির্ভূত
brazos	n+m.ব্রাজোস
saucy	a.ঔদ্ধত্যপূর্ণ@a.বেপরোয়া
blistering	a.ফোস্কা পড়া@a.তীব্র
illuminates	v.আলোকিত করে@v.ব্যাখ্যা করে
thermocouple	n+m.থার্মোকাপল@n+m.তাপমাপক যন্ত্র
masque	n+m.মুখোশ নাটক@n+f.মাস্ক
kazan	n+m.কাজান
shillings	n+m.শিলিং
gleaned	v.সংগ্রহ করেছিল@v.কুড়িয়ে পেয়েছিল
decomposed	a.পচে যাওয়া@v.বিয়োজিত হয়েছিল
flowery	a.ফুলেল@a.অলঙ্কারপূর্ণ
scandalous	a.কলঙ্কজনক@a.অপমানকর
mcclain	n+m.ম্যাকক্লেইন
sunburn	n+m.রোদে পোড়া@n+f.সূর্যদাহ
pleistocene	n+m.প্লাইস্টোসিন@a.প্লাইস্টোসিন যুগের
nips	v.চিমটি কাটে@n+m.কামড়
canisters	n+m.ক্যানিস্টার@n+f.ডিব্বা
menacing	a.ভয়ংকর@a.হুমকিস্বরূপ
elector	n+m.ভোটার@n+m.নির্বাচক
solvency	n+f.স্বচ্ছলতা@n+f.দেনা শোধের ক্ষমতা
lynette	n+f.লিনেট
neurotic	a.স্নায়বিক@n+m.নার্ভাস ব্যক্তি
fielded	v.মাঠে নামিয়েছিল@v.প্রশ্নের উত্তর দিয়েছিল
bituminous	a.বিটুমিনাস@a.আলকাতরাযুক্ত
askew	ad.তির্যকভাবে@a.বাঁকা
blowfish	n+m.ব্লোফিশ@n+m.ফোলা মাছ
phipps	n+m.ফিপস
groan	v.গোঙানো@n+m.কাতরানি
dusting	n+f.ধুলো ঝাড়া@v.পরিষ্কার করা
topologies	n+f.টপোলজি@n+f.সংস্থান বিদ্যা
touts	v.প্রচার করে@n+m.দালাল
lombardy	n+f.লম্বার্ডি
uncontrollable	a.অনিয়ন্ত্রিত@a.দমন করা যায় না
lora	n+f.লোরা
mendez	n+m.মেন্ডেজ
shackles	n+f.শিকল@n+m.বেড়ি
shrines	n+m.মাজার@n+f.পবিত্র স্থান
bridged	v.সেতু নির্মাণ করেছিল@a.সংযুক্ত
unjustified	a.অন্যায্য@a.অযৌক্তিক
consenting	v.সম্মতি দেওয়া@a.রাজি
torturing	v.নির্যাতন করা@n+f.অত্যাচার
toile	n+f.টোয়াল@n+f.নকশাদার কাপড়
sitcoms	n+f.সিটকম@n+m.হাস্যকর টিভি সিরিজ
analogues	n+m.সদৃশ বস্তু@n+f.অনুরূপ
leukaemia	n+f.লিউকেমিয়া@n+f.রক্তের ক্যান্সার
ukulele	n+m.ইউকুলেলে@n+f.ছোট গিটার
relentlessly	ad.নিরলসভাবে@ad.অবিরাম
paperboard	n+m.পেপারবোর্ড@n+f.পুরু কাগজ
bracken	n+m.ব্র্যাকেন@n+f.বড় ফার্ন
cobain	n+m.কোবেইন
couches	n+f.সোফা@v.প্রকাশ করে
decadence	n+f.অবক্ষয়@n+f.পতন
girlie	a.মেয়েলি@n+f.মেয়ে
antes	n+m.বাজির পূর্বঅর্থ@v.আগে বাজি ধরে
nourishing	a.পুষ্টিকর@v.পুষ্টি সরবরাহ করা
herschel	n+m.হার্শেল
reconsidered	v.পুনর্বিবেচনা করেছিল
callbacks	n+m.কলব্যাক@n+f.পুনরায় ডাক
arduous	a.কঠিন@a.শ্রমসাধ্য
replicates	v.প্রতিলিপি তৈরি করে@n+f.অনুলিপি
sidewinder	n+m.সাইডওয়াইন্ডার@n+m.পাশে চলা সাপ
queueing	v.সারিবদ্ধ হওয়া@n+f.লাইনে দাঁড়ানো
slugger	n+m.স্লাগার@n+m.জোরে মারা ব্যাটার
humidifiers	n+m.আর্দ্রতাকারী যন্ত্র
assimilated	v.আত্মীকরণ করেছিল@a.সম্মিলিত
watermarks	n+m.জলছাপ@n+f.ওয়াটারমার্ক
creeps	v.হামাগুড়ি দেয়@n+m.ভয়ংকর ব্যক্তি
streetcar	n+m.ট্রাম@n+f.রাস্তার গাড়ি
stoker	n+m.স্টোকার@n+m.চুল্লি জ্বালানিদার
fulcrum	n+m.ফালক্রাম@n+m.আধার বিন্দু
sadistic	a.ধর্ষকামী@a.নিষ্ঠুর
cassiopeia	n+f.ক্যাসিওপিয়া@n+f.তারকামণ্ডল
gripped	v.আঁকড়ে ধরেছিল@v.মুগ্ধ করেছিল
martingale	n+m.মার্টিংগেল@n+f.ঘোড়ার বেল্ট
criticizes	v.সমালোচনা করে@v.নিন্দা করে
unscrupulous	a.বিবেকহীন@a.অসৎ
synchronizing	v.সমলয় করা@v.সিঙ্ক্রোনাইজ করা
reclassification	n+f.পুনর্শ্রেণীবিভাগ
nymphs	n+f.অপ্সরা@n+f.পরী
caithness	n+m.কেইথনেস
takeaway	n+m.টেকআওয়ে@n+f.মূল বার্তা
unsettled	a.অস্থির@a.মীমাংসাহীন
timeouts	n+m.সময় শেষ@n+f.বিরতি
inseparable	a.অবিচ্ছেদ্য@a.পৃথক করা যায় না
jurist	n+m.আইনবিদ@n+m.বিচারপতি
ducky	a.চমৎকার@n+f.ছোট হাঁস
vestal	a.কুমারী সম্পর্কিত@n+f.পবিত্র নারী
bola	n+f.বোলা@n+f.দড়ির অস্ত্র
dismisses	v.বরখাস্ত করে@v.খারিজ করে
variously	ad.বিভিন্নভাবে@ad.নানাভাবে
recenter	v.পুনরায় কেন্দ্রীভূত করা
hensley	n+m.হেনসলি
multinationals	n+f.বহুজাতিক কোম্পানি
arran	n+m.আরান
unintentionally	ad.অনিচ্ছাকৃতভাবে@ad.ভুলবশত
debs	n+f.ডেবস@n+f.সামাজিক অনুষ্ঠানে অংশগ্রহণকারী
sprites	n+f.পরী@n+m.স্প্রাইট
dashing	a.চমকপ্রদ@a.উজ্জ্বল
shipman	n+m.নাবিক@n+m.জাহাজের কর্মী
tiring	a.ক্লান্তিকর@v.ক্লান্ত করা
incinerator	n+m.চুল্লি@n+m.দাহনকারী যন্ত্র
abate	v.কমানো@v.হ্রাস করা
convening	v.আহ্বান করা@v.সমবেত করা
unorthodox	a.অপ্রচলিত@a.অসাধারণ
fibroblast	n+m.ফাইব্রোব্লাস্ট@n+m.তন্তুকোষ
piloting	v.চালনা করা@n+m.বৈমানিকতা
immersive	a.নিমগ্নকারী@a.সম্পূর্ণ আবৃত
glob	n+m.গোলাকার ফোঁটা@n+f.পিণ্ড
fertiliser	n+m.সার@n+m.উর্বরক
voids	n+m.শূন্যতা@v.বাতিল করে
reinvent	v.পুনরায় আবিষ্কার করা@v.নতুন করে তৈরি করা
bellied	a.পেটওয়ালা@v.ফুলে উঠেছিল
oilfield	n+m.তেলক্ষেত্র
ream	n+m.রিম@n+f.কাগজের বান্ডিল
roundtrip	n+m.যাওয়া আসা@a.দ্বিমুখী ভ্রমণ
decreed	v.আদেশ দিয়েছিল@v.ঘোষণা করেছিল
mossy	a.শ্যাওলাযুক্ত@a.সবুজাভ
ores	n+m.আকরিক@n+f.খনিজ
droid	n+m.ড্রয়েড@n+m.রোবট
addenda	n+f.সংযোজনী@n+m.পরিশিষ্ট
restorations	n+f.পুনরুদ্ধার@n+f.পুনঃস্থাপন
boll	n+m.বল@n+f.তুলার ফল
balinese	a.বালিনিজ@n+m.বালি দ্বীপের অধিবাসী
keyhole	n+m.চাবির ছিদ্র
usages	n+m.ব্যবহার@n+f.প্রচলন
bursaries	n+f.বৃত্তি
cardiopulmonary	a.হৃদ-ফুসফুস সংক্রান্ত
biologic	a.জৈবিক@n+m.জৈব ওষুধ
bowels	n+m.অন্ত্র@n+f.পেটের ভেতর
shiatsu	n+m.শিয়াৎসু@n+f.জাপানি মালিশ
cornet	n+m.কর্নেট@n+f.বাদ্যযন্ত্র
schizophrenic	a.সিজোফ্রেনিক@n+m.সিজোফ্রেনিয়া রোগী
reversion	n+f.প্রত্যাবর্তন@n+f.পূর্বাবস্থায় ফেরা
unplug	v.প্লাগ খোলা@v.সংযোগ বিচ্ছিন্ন করা
pressroom	n+m.প্রেসরুম@n+f.মুদ্রণকক্ষ
gingrich	n+m.গিংরিচ
sanctuaries	n+m.অভয়ারণ্য@n+f.পবিত্র স্থান
basra	n+f.বসরা
