a	art+m.un@art+f.una
recruitment	n+m.reclutamiento
recruits	n+m+pl.reclutas@vt.recluta
rect	n+m.rectángulo
rectal	a.rectal
rectangle	n+m.rectángulo
rectangles	n+m+pl.rectángulos
rectangular	a+m.rectangular@a+f.rectangular
rectification	n+f.rectificación
rectified	vt.rectificó@a+m.rectificado@a+f.rectificada
rectifier	n+m.rectificador
rectifiers	n+m+pl.rectificadores
rectify	vt.rectificar@vt.corregir
rector	n+m.rector@n+f.rectora
rectory	n+f.rectoría@n+f.casa parroquial
rectum	n+m.recto
recumbent	a.recumbente@a+m.reclinado@a+f.reclinada
recur	vi.recurrir@vi.repetirse
recurrence	n+f.recurrencia
recurrent	a.recurrente
recurring	a+m.recurrente@a+f.recurrente
recursion	n+f.recursión
recursive	a+m.recursivo@a+f.recursiva
recursively	ad.recursivamente
recyclable	a.reciclable
recyclables	n+m+pl.reciclables
recycle	vt.reciclar
recycled	a+m.reciclado@a+f.reciclada
recycler	n+m.reciclador
recyclers	n+m+pl.recicladores
recycling	n+m.reciclaje
red	a+m.rojo@a+f.roja@n+m.rojo
redacted	vt.redactó@a+m.censurado@a+f.censurada
redbridge	n+m.Redbridge
redd	n+m.Redd
reddish	a+m.rojizo@a+f.rojiza
rede	vt.aconsejar@n+m.consejo
redeem	vt.canjear@vt.redimir
redeemable	a.canjeable@a.redimible
redeemed	vt.redimió@a+m.redimido@a+f.redimida
redeemer	n+m.redentor
redeeming	a.redentor@vt.redimiendo
redefine	vt.redefinir
redefined	vt.redefinió@a+m.redefinido@a+f.redefinida
redefines	vt.redefine
redefining	vt.redefiniendo
redefinition	n+f.redefinición
redemption	n+f.redención
redeployment	n+m.redespliegue@n+f.reubicación
redesign	vt.rediseñar@n+m.rediseño
redesigned	a+m.rediseñado@a+f.rediseñada@vt.rediseñó
redesigning	vt.rediseñando
redevelopment	n+f.reurbanización
redfish	n+m.pez rojo
redford	n+m.Redford
redgrave	n+m.Redgrave
redhead	n+m.pelirrojo@n+f.pelirroja
redheads	n+m+pl.pelirrojos@n+f+pl.pelirrojas
redial	vt.remarcar@n+f.rellamada
redirect	vt.redirigir
redirected	vt.redirigió@a+m.redirigido@a+f.redirigida
redirecting	vt.redirigiendo@vt.redireccionando
redirection	n+f.redirección
redirects	vt.redirige@n+f+pl.redirecciones
rediscover	vt.redescubrir
rediscovered	vt.redescubrió@a+m.redescubierto@a+f.redescubierta
rediscovering	vt.redescubriendo
redistribute	vt.redistribuir
redistributed	a+m.redistribuido@a+f.redistribuida
redistributing	vt.redistribuyendo
redistribution	n+f.redistribución
redistricting	n+f.redistribución de distritos
redline	vt.rechazar@n+f.línea roja
redmond	n+m.Redmond
redneck	n+m.paleto@n+m.campesino sureño
redness	n+m.enrojecimiento@n+f.rojez
redo	vt.rehacer@vt.volver a hacer
redone	a+m.rehecho@a+f.rehecha
redraw	vt.redibujar
redress	n+f.reparación@vt.reparar
reds	n+m+pl.rojos
redshift	n+m.corrimiento al rojo
redskins	n+m+pl.Redskins
redstone	n+m.Redstone
reduce	v.reducir
reduced	a+m.reducido@a+f.reducida@v.redujo
reducer	n+m.reductor
reduces	vt.reduce
reducing	v.reduciendo
reductase	n+f.reductasa
reduction	n+f.reducción
reductions	n+f.reducciones
redundancies	n+f+pl.redundancias@n+m+pl.despidos
redundancy	n+f.redundancia@n+m.despido
redundant	a+m.redundante@a+f.redundante
redux	a.redivivo@a+f.rediviva
redwood	n+m.secoya
redwoods	n+f+pl.secuoyas
reebok	n+m.Reebok
reed	n+f.caña@n+m.junco
reeds	n+f+pl.cañas@n+m+pl.juncos
reedy	a+m.lleno de juncos@a+f.llena de juncos@a.agudo
reef	n+m.arrecife
reefer	n+m.porro@n+m.refrigerador
reefs	n+m+pl.arrecifes
reel	n+m.carrete
reelected	vt.reeligió@a+m.reelegido@a+f.reelegida
reelection	n+f.reelección
reeling	vi.tambaleándose@n+m.devanado
reels	n+m+pl.carretes@vi.tambalea
reenter	vt.reingresar@vt.volver a entrar
reentry	n+m.reingreso@n+f.reentrada
reese	n+m.Reese
reestablish	vt.restablecer
reeve	n+m.alcalde@n+m.Reeve
reeves	n+m.Reeves
ref	n+f.referencia
refactoring	n+f.refactorización
refer	v.referir
referee	n+m.árbitro@n+f.árbitra
refereed	vt.arbitró@a.arbitrado
referees	n+m+pl.árbitros
reference	n+f.referencia@v.referenciar
referenced	a+m.referenciado@a+f.referenciada
references	n+f.referencias
referencing	v.referenciando
referendum	n+m.referéndum
referendums	n+m+pl.referéndums@n+m+pl.referendos
referent	n+m.referente
referential	a.referencial
referral	n+f.referencia@n+f.derivación
referrals	n+f.referencias
referred	v.refirió@a+m.referido@a+f.referida
referrer	n+m.referidor@n+m.remitente
referrers	n+m+pl.referidores
referring	v.refiriéndose
refers	vt.se refiere
refill	n+m.recarga@vt.rellenar
refillable	a.recargable@a.rellenable
refilled	vt.rellenó@a+m.rellenado@a+f.rellenada
refilling	vt.rellenando
refills	n+m+pl.rellenos@n+f+pl.recargas@vt.rellena
refinance	vt.refinanciar
refinanced	vt.refinanció@a+m.refinanciado@a+f.refinanciada
refinancing	n+f.refinanciación
refine	vt.refinar
refined	a+m.refinado@a+f.refinada
refinement	n+m.refinamiento
refinements	n+m+pl.refinamientos@n+f+pl.mejoras
refiner	n+m.refinador@n+f.refinería
refineries	n+f+pl.refinerías
refiners	n+m+pl.refinadores@n+f+pl.refinerías
refinery	n+f.refinería
refining	n+m.refinado@v.refinando
refinishing	n+m.acabado@vt.reacabando
reflect	v.reflejar
reflectance	n+f.reflectancia
reflected	a+m.reflejado@a+f.reflejada
reflecting	v.reflejando
reflection	n+f.reflexión
reflections	n+f.reflexiones
reflective	a+m.reflexivo@a+f.reflexiva
reflectivity	n+f.reflectividad
reflector	n+m.reflector
reflectors	n+m+pl.reflectores
reflects	vt.refleja
reflex	n+m.reflejo@a.reflejo
reflexes	n+m+pl.reflejos
reflexive	a+m.reflexivo@a+f.reflexiva
reflexology	n+f.reflexología
reflux	n+m.reflujo
refocus	vt.reenfocar@vi.reenfocarse
reforestation	n+f.reforestación
reform	n+f.reforma@v.reformar
reformat	vt.reformatear
reformation	n+f.reforma@n+f.Reforma
reformatted	vt.reformateó@a+m.reformateado@a+f.reformateada
reformed	a+m.reformado@a+f.reformada@vt.reformó
reformer	n+m.reformador@n+f.reformadora
reformers	n+m+pl.reformadores@n+f+pl.reformadoras
reforming	vt.reformando@n+m.reformado
reformist	n+m.reformista@a+m.reformista@a+f.reformista
reforms	n+f.reformas
reformulated	vt.reformuló@a+m.reformulado@a+f.reformulada
refraction	n+f.refracción
refractive	a+m.refractivo@a+f.refractiva
refractor	n+m.refractor
refractory	a+m.refractario@a+f.refractaria
refrain	n+m.estribillo@vi.abstenerse
refresh	vt.refrescar
refreshed	vt.refrescó@a+m.refrescado@a+f.refrescada
refresher	n+m.repaso@a.de actualización
refreshes	vt.refresca@vt.actualiza
refreshing	a+m.refrescante@a+f.refrescante
refreshingly	ad.refrescantemente
refreshment	n+m.refrigerio@n+m.refresco
refreshments	n+m+pl.refrigerios
refrigerant	n+m.refrigerante
refrigerate	vt.refrigerar
refrigerated	a+m.refrigerado@a+f.refrigerada
refrigeration	n+f.refrigeración
refrigerator	n+m.refrigerador@n+f.nevera
refrigerators	n+m+pl.refrigeradores@n+f+pl.neveras
refs	n+m+pl.árbitros@n+f+pl.referencias
refuge	n+m.refugio
refugee	n+m.refugiado@n+f.refugiada
refugees	n+m.refugiados@n+f.refugiadas
refuges	n+m+pl.refugios
refund	n+m.reembolso@vt.reembolsar
refundable	a+m.reembolsable@a+f.reembolsable
refunded	vt.reembolsó@a+m.reembolsado@a+f.reembolsada
refunding	vt.reembolsando
refunds	n+m+pl.reembolsos
refurbish	vt.renovar@vt.restaurar
refurbished	a+m.reacondicionado@a+f.reacondicionada
refurbishing	vt.renovando@n+f.renovación
refurbishment	n+f.renovación@n+m.reacondicionamiento
refusal	n+f.negativa@n+m.rechazo
refuse	vt.rechazar@vi.negarse@n+f.basura
refused	a+m.rechazado@a+f.rechazada
refuses	vt.rechaza@vi.se niega
refusing	v.rechazando
refutation	n+f.refutación
refute	vt.refutar
refuted	vt.refutó@a+m.refutado@a+f.refutada
reg	n+m.registro
regain	vt.recuperar
regained	vt.recuperó
regaining	vt.recuperando
regal	a.regio@a.real
regalia	n+f+pl.insignias reales
regard	n+m.respecto@v.considerar
regarded	a+m.considerado@a+f.considerada
regarding	prep.con respecto a
regardless	ad.independientemente
regards	n+m.saludos@vt.considera
regatta	n+f.regata
regency	n+f.regencia
regenerate	vt.regenerar@vi.regenerarse
regenerated	vt.regeneró@a+m.regenerado@a+f.regenerada
regenerating	vt.regenerando
regeneration	n+f.regeneración
regenerative	a+m.regenerativo@a+f.regenerativa
regensburg	n+m.Ratisbona
regent	n+m.regente
regents	n+m+pl.regentes
regex	n+f.expresión regular
regexp	n+f.expresión regular
reggae	n+m.reggae
reggie	n+m.Reggie
regime	n+m.régimen
regimen	n+m.régimen
regimens	n+m+pl.regímenes
regiment	n+m.regimiento
regimental	a.regimental@a.del regimiento
regiments	n+m+pl.regimientos
regimes	n+m+pl.regímenes
regina	n+f.Regina
reginald	n+m.Reginaldo
region	n+f.región
regional	a+m.regional@a+f.regional
regionalism	n+m.regionalismo
regionally	ad.regionalmente
regions	n+f.regiones
regis	n+m.Regis
register	n+m.registro@v.registrar
registered	a+m.registrado@a+f.registrada
registering	v.registrando
registers	n+m.registros@vt.registra
registrant	n+m.registrante@n+m.solicitante
registrants	n+m+pl.inscritos@n+m+pl.solicitantes
registrar	n+m.registrador@n+f.registradora
registrars	n+m+pl.registradores
registration	n+f.inscripción@n+m.registro
registrations	n+f+pl.inscripciones
registries	n+m+pl.registros
registry	n+m.registro
regress	vi.retroceder@n+f.regresión
regression	n+f.regresión
regressions	n+f+pl.regresiones
regressive	a+m.regresivo@a+f.regresiva
regret	n+m.arrepentimiento@vt.lamentar
regrets	n+m+pl.arrepentimientos@vt.lamenta
regrettable	a.lamentable
regrettably	ad.lamentablemente
regretted	vt.lamentó
regroup	vi.reagruparse@vt.reagrupar
regrowth	n+m.rebrote@n+m.nuevo crecimiento
regt	n+m.regimiento
regular	a+m.regular@a+f.regular
regularity	n+f.regularidad
regularization	n+f.regularización
regularly	ad.regularmente
regulars	n+m+pl.habituales@n+m+pl.clientes frecuentes
regulate	vt.regular
regulated	a+m.regulado@a+f.regulada
regulates	vt.regula
regulating	v.regulando
regulation	n+f.regulación
regulations	n+f.regulaciones
regulator	n+m.regulador
regulators	n+m+pl.reguladores
regulatory	a+m.regulatorio@a+f.regulatoria
rehab	n+f.rehabilitación
rehabilitate	vt.rehabilitar
rehabilitated	vt.rehabilitó@a+m.rehabilitado@a+f.rehabilitada
rehabilitation	n+f.rehabilitación
rehabilitative	a+m.rehabilitador@a+f.rehabilitadora
rehabs	n+f+pl.rehabilitaciones@vt.rehabilita
rehearing	n+f.nueva audiencia
rehearsal	n+m.ensayo
rehearsals	n+m+pl.ensayos
rehearse	vt.ensayar
rehearsed	vt.ensayó@a+m.ensayado@a+f.ensayada
rehearsing	vt.ensayando
rehnquist	n+m.Rehnquist
reich	n+m.Reich
reid	n+m.Reid
reign	n+m.reinado@vi.reinar
reigned	vi.reinó
reigning	a.reinante@vt.reinando
reigns	n+m+pl.reinados@vi.reina
reilly	n+m.Reilly
reimbursable	a.reembolsable
reimburse	vt.reembolsar
reimbursed	vt.reembolsó@a+m.reembolsado@a+f.reembolsada
reimbursement	n+m.reembolso
reimbursements	n+m+pl.reembolsos
reims	n+m.Reims
rein	n+f.rienda@vt.refrenar
reincarnation	n+f.reencarnación
reindeer	n+m.reno
reinforce	vt.reforzar
reinforced	a+m.reforzado@a+f.reforzada
reinforcement	n+m.refuerzo
reinforcements	n+m+pl.refuerzos
reinforces	vt.refuerza
reinforcing	vt.reforzando@a.de refuerzo
reinhardt	n+m.Reinhardt
reinhold	n+m.Reinhold
reining	vt.frenando@vt.controlando
reins	n+f+pl.riendas
reinstall	vt.reinstalar
reinstalled	vt.reinstalado@a+m.reinstalado@a+f.reinstalada
reinstalling	vt.reinstalando
reinstate	vt.reinstalar@vt.restablecer
reinstated	vt.restituyó@a.restituido
reinstatement	n+f.reincorporación@n+f.restauración
reinsurance	n+m.reaseguro
reintegration	n+f.reintegración
reintroduced	vt.reintrodujo@a+m.reintroducido@a+f.reintroducida
reintroduction	n+f.reintroducción
reinvent	vt.reinventar
reinvented	vt.reinventó@a+m.reinventado@a+f.reinventada
reinventing	vt.reinventando
reinvention	n+f.reinvención
reinvested	vt.reinvirtió
reinvestment	n+f.reinversión
reissue	n+f.reedición@vt.reeditar
reissued	vt.reeditó@a+m.reeditado@a+f.reeditada
reissues	n+f+pl.reediciones@vt.reedita
reiterate	vt.reiterar
reiterated	vt.reiteró@a+m.reiterado@a+f.reiterada
reiterates	vt.reitera
reject	vt.rechazar@n+m.rechazo
rejected	a+m.rechazado@a+f.rechazada
rejecting	v.rechazando
rejection	n+m.rechazo
rejections	n+m+pl.rechazos
rejects	vt.rechaza@n+m+pl.rechazos
rejoice	vi.regocijarse@vi.alegrarse
rejoiced	vi.se regocijó
rejoicing	vi.regocijándose@n+m.regocijo
rejoin	vt.reunirse con@vt.replicar
rejoined	vt.se reunió con@vt.replicó
rejuvenate	vt.rejuvenecer
rejuvenating	vt.rejuveneciendo@a+m.rejuvenecedor@a+f.rejuvenecedora
rejuvenation	n+m.rejuvenecimiento
rel	n+f.relación
relapse	n+f.recaída@vi.recaer
relapsed	vi.recayó@a+m.reincidente@a+f.reincidente
relate	vt.relacionar@vi.identificarse
related	a+m.relacionado@a+f.relacionada
relatedness	n+f.parentesco@n+f.relación
relates	vt.relaciona
relating	v.relacionando
relation	n+f.relación
relational	a+m.relacional@a+f.relacional
relations	n+f.relaciones
relationship	n+f.relación
relationships	n+f.relaciones
relative	n+m.pariente@a+m.relativo@a+f.relativa
relatively	ad.relativamente
relatives	n+m.parientes@n+f.parientes
relativism	n+m.relativismo
relativistic	a+m.relativista@a+f.relativista
relativity	n+f.relatividad
relaunch	vt.relanzar@n+m.relanzamiento
relax	vi.relajarse@vt.relajar
relaxant	n+m.relajante@a+m.relajante@a+f.relajante
relaxants	n+m+pl.relajantes
relaxation	n+f.relajación
relaxed	a+m.relajado@a+f.relajada
relaxes	vt.relaja@vi.se relaja
relaxing	a+m.relajante@a+f.relajante
relay	n+m.relé@vt.retransmitir
relayed	vt.retransmitió@a+m.retransmitido@a+f.retransmitida
relaying	vt.retransmitiendo
relays	n+m+pl.relés@n+f+pl.relevos@vt.retransmite
release	n+m.lanzamiento@n+f.liberación@v.lanzar
released	a+m.lanzado@a+f.lanzada@v.lanzó
releases	n+m.lanzamientos@v.lanza
releasing	v.liberando@v.lanzando
relegated	vt.relegó@a+m.relegado@a+f.relegada
relentless	a.implacable@a.incesante
relentlessly	ad.implacablemente
relevance	n+f.relevancia
relevancy	n+f.relevancia@n+f.pertinencia
relevant	a+m.relevante@a+f.relevante
reliability	n+f.confiabilidad
reliable	a+m.confiable@a+f.confiable
reliably	ad.confiablemente
reliance	n+f.dependencia
reliant	a.dependiente
relic	n+f.reliquia
relics	n+f+pl.reliquias
relied	v.dependió
relief	n+m.alivio
reliefs	n+m+pl.relieves
relies	vi.depende
relieve	vt.aliviar
relieved	a+m.aliviado@a+f.aliviada@vt.alivió
reliever	n+m.relevista@n+m.aliviador
relievers	n+m+pl.relevistas@n+m+pl.aliviadores
relieves	vt.alivia@vt.releva
relieving	vt.aliviando@vt.relevando
religion	n+f.religión
religions	n+f.religiones
religious	a+m.religioso@a+f.religiosa
religiously	ad.religiosamente
relinquish	vt.renunciar@vt.ceder
relinquished	vt.renunció a@a+m.abandonado@a+f.abandonada
relish	n+m.condimento@vt.saborear@n+m.deleite
relist	vt.volver a listar
relisted	vt.volvió a listar@a.relistado
relive	vt.revivir
reload	vt.recargar
reloaded	vt.recargó@a+m.recargado@a+f.recargada
reloading	vt.recargando@n+f.recarga
reloads	vt.recarga@n+f+pl.recargas
relocatable	a.reubicable
relocate	vt.reubicar@vi.mudarse
relocated	vt.reubicó@a+m.reubicado@a+f.reubicada
relocating	v.reubicando
relocation	n+f.reubicación
reluctance	n+f.renuencia@n+f.reluctancia
reluctant	a+m.reacio@a+f.reacia
reluctantly	ad.a regañadientes@ad.de mala gana
rely	vi.confiar@vi.depender
relying	v.confiando
rem	n+m.REM
remade	vt.rehizo@n+m.remake
remain	v.permanecer
remainder	n+m.resto
remained	v.permaneció
remaining	a+m.restante@a+f.restante@v.quedando
remains	n+m.restos@v.permanece
remake	n+m.remake@vt.rehacer
remakes	n+m+pl.remakes@vt.rehace
remaking	vt.rehaciendo
remand	vt.remitir@n+f.prisión preventiva
remanded	vt.remitió@a+m.bajo custodia
remark	n+m.comentario@vt.comentar
remarkable	a+m.notable@a+f.notable
remarkably	ad.notablemente@ad.extraordinariamente
remarked	vt.comentó@vt.observó
remarks	n+f.observaciones@n+m.comentarios
remarriage	n+m.nuevo matrimonio
remarried	vi.se volvió a casar@a+m.vuelto a casar@a+f.vuelta a casar
remaster	vt.remasterizar@n+f.remasterización
remastered	a+m.remasterizado@a+f.remasterizada
rematch	n+f.revancha
rembrandt	n+m.Rembrandt
remedial	a+m.correctivo@a+f.correctiva
remediation	n+f.remediación
remedied	vt.remedió@a+m.remediado@a+f.remediada
remedies	n+m.remedios
remedy	n+m.remedio@vt.remediar
remember	v.recordar
remembered	a+m.recordado@a+f.recordada
remembering	v.recordando
remembers	vt.recuerda
remembrance	n+m.recuerdo@n+f.conmemoración
remembrances	n+m+pl.recuerdos@n+f+pl.memorias
remind	vt.recordar
reminded	v.recordó
reminder	n+m.recordatorio
reminders	n+m+pl.recordatorios
reminding	vt.recordando
reminds	vt.recuerda
remington	n+m.Remington
reminisce	vi.rememorar
reminiscences	n+f+pl.reminiscencias
reminiscent	a.evocador@a.que recuerda
remission	n+f.remisión
remit	vt.remitir@n+m.competencia
remittance	n+f.remesa@n+m.giro
remittances	n+f+pl.remesas
remitted	vt.remitió@a+m.remitido@a+f.remitida
remix	n+m.remix
remixed	vt.remezcló@a+m.remezclado@a+f.remezclada
remixes	n+m+pl.remezclas@vt.remezcla
remnant	n+m.resto@n+m.remanente
remnants	n+m+pl.restos@n+m+pl.remanentes
remodel	vt.remodelar@vt.reformar
remorse	n+m.remordimiento
remortgage	n+f.rehipoteca@vt.rehipotecar
remortgages	n+f+pl.refinanciaciones@vt.refinancia
remote	a+m.remoto@a+f.remota
remotely	ad.remotamente
remotes	n+m+pl.controles remotos
removable	a+m.extraíble@a+f.extraíble
removal	n+f.eliminación
removals	n+f+pl.mudanzas@n+f+pl.eliminaciones
remove	v.quitar@v.eliminar
removed	a+m.eliminado@a+f.eliminada@v.eliminó
remover	n+m.quitador@n+m.removedor
removers	n+m+pl.quitamanchas@n+m+pl.removedores
removes	vt.elimina@vt.quita
removing	v.eliminando
remuneration	n+f.remuneración
remus	n+m.Remo
rena	n+f.Rena
renaissance	n+m.Renacimiento
renal	a+m.renal@a+f.renal
rename	vt.renombrar
renamed	a+m.renombrado@a+f.renombrada
renaming	vt.renombrando@n+m.cambio de nombre
renault	n+m.Renault
rencontre	n+m.encuentro
rend	vt.desgarrar
render	vt.renderizar@vt.prestar
rendered	a+m.renderizado@a+f.renderizada
renderer	n+m.renderizador
rendering	n+m.renderizado
renderings	n+f+pl.representaciones@n+m+pl.renderizados
renders	vt.hace@vt.renderiza
rendezvous	n+m.cita@n+m.punto de encuentro
rendition	n+f.interpretación@n+f.versión
renditions	n+f+pl.interpretaciones
rene	n+m.René
renee	n+f.Renee
renegade	n+m.renegado@n+f.renegada@a.renegado
renegades	n+m+pl.renegados
renew	vt.renovar
renewable	a+m.renovable@a+f.renovable
renewal	n+f.renovación
renewals	n+f+pl.renovaciones
renewed	a+m.renovado@a+f.renovada
renewing	vt.renovando
renews	vt.renueva
renfrew	n+m.Renfrew
renin	n+f.renina
rennes	n+m.Rennes
reno	n+m.Reno
renoir	n+m.Renoir
renormalization	n+f.renormalización
renounce	vt.renunciar
renounced	vt.renunció@a+m.renunciado@a+f.renunciada
renovate	vt.renovar@vt.reformar
renovated	a+m.renovado@a+f.renovada
renovating	vt.renovando
renovation	n+f.renovación
renovations	n+f+pl.renovaciones
renown	n+m.renombre
renowned	a+m.renombrado@a+f.renombrada
rent	n+m.alquiler@v.alquilar
rental	n+m.alquiler@a+m.de alquiler@a+f.de alquiler
rentals	n+m.alquileres
rented	a+m.alquilado@a+f.alquilada
renter	n+m.inquilino@n+f.inquilina
renters	n+m+pl.inquilinos@n+f+pl.inquilinas
renting	n+m.alquiler@v.alquilando
rents	n+m+pl.alquileres@vt.alquila
renumbered	vt.renumeró@a+m.renumerado@a+f.renumerada
renunciation	n+f.renuncia
reopen	vt.reabrir
reopened	vt.reabrió@a+m.reabierto@a+f.reabierta
reopening	n+f.reapertura@vt.reabriendo
reopens	vt.reabre
reorder	vt.reordenar@n+m.nuevo pedido
reordering	vt.reordenando@n+f.reordenación
reorg	n+f.reorganización
reorganisation	n+f.reorganización
reorganization	n+f.reorganización
reorganize	vt.reorganizar
reorganized	vt.reorganizó@a+m.reorganizado@a+f.reorganizada
reorganizing	vt.reorganizando
rep	n+m.representante
repaid	vt.devolvió@vt.reembolsó
repaint	vt.repintar@n+m.repintado
repair	n+f.reparación@v.reparar
repaired	a+m.reparado@a+f.reparada@vt.reparó
repairer	n+m.reparador
repairers	n+m+pl.reparadores
repairing	v.reparando
repairs	n+f.reparaciones
reparation	n+f.reparación
reparations	n+f+pl.reparaciones
repatriation	n+f.repatriación
repay	vt.reembolsar@vt.devolver
repayable	a+m.reembolsable@a+f.reembolsable
repayment	n+m.reembolso
repayments	n+m+pl.reembolsos@n+f+pl.amortizaciones
repeal	vt.derogar@n+f.derogación
repealed	a+m.derogado@a+f.derogada
repealing	vt.revocando
repeals	vt.deroga@n+f+pl.derogaciones
repeat	v.repetir@n+f.repetición
repeatability	n+f.repetibilidad
repeatable	a.repetible
repeated	a+m.repetido@a+f.repetida
repeatedly	ad.repetidamente
repeater	n+m.repetidor
repeaters	n+m+pl.repetidores
repeating	v.repitiendo
repeats	n+f+pl.repeticiones@vt.repite
repel	vt.repeler
repellent	n+m.repelente@a.repelente
repellents	n+m+pl.repelentes
repent	vi.arrepentirse
repentance	n+m.arrepentimiento
repercussions	n+f+pl.repercusiones
repertoire	n+m.repertorio
repertory	n+m.repertorio
repetition	n+f.repetición
repetitions	n+f+pl.repeticiones
repetitive	a+m.repetitivo@a+f.repetitiva
replace	v.reemplazar
replaceable	a.reemplazable
replaced	a+m.reemplazado@a+f.reemplazada@v.reemplazó
replacement	n+m.reemplazo
replacements	n+m+pl.reemplazos
replaces	vt.reemplaza
replacing	v.reemplazando
replay	n+f.repetición@vt.repetir
replays	n+f+pl.repeticiones@vt.reproduce
replenish	vt.reponer@vt.reabastecer
replenishment	n+m.reabastecimiento@n+f.reposición
replete	a+m.repleto@a+f.repleta
replica	n+f.réplica
replicas	n+f+pl.réplicas
replicate	vt.replicar
replicated	vt.replicó@a+m.replicado@a+f.replicada
replicates	vt.replica
replicating	vt.replicando
replication	n+f.replicación
replicator	n+m.replicador
replied	v.respondió
replies	n+f.respuestas@v.responde
reply	n+f.respuesta@v.responder
replying	v.respondiendo
report	n+m.informe@n+m.reporte@v.informar
reportable	a.notificable@a.declarable
reportage	n+m.reportaje
reported	a+m.reportado@a+f.reportada@v.reportó
reportedly	ad.según se informa
reporter	n+m.reportero@n+f.reportera
reporters	n+m.reporteros@n+f.reporteras
reporting	n+m.informe@v.informando
reports	n+m.informes@v.informa
repose	n+m.reposo@vi.reposar
reposition	vt.reposicionar@vt.reubicar
repositioning	vt.reposicionando@n+f.reposición
repositories	n+m+pl.repositorios
repository	n+m.repositorio
repossessed	vt.recuperó@a+m.embargado@a+f.embargada
repossession	n+f.recuperación@n+m.embargo
reprehensible	a+m.reprensible@a+f.reprensible
represent	v.representar
representation	n+f.representación
representational	a.representacional
representations	n+f.representaciones
representative	n+m.representante@a+m.representativo@a+f.representativa
representatives	n+m.representantes
represented	a+m.representado@a+f.representada@v.representó
representing	v.representando
represents	v.representa
repress	vt.reprimir
repressed	vt.reprimió@a+m.reprimido@a+f.reprimida
repression	n+f.represión
repressive	a+m.represivo@a+f.represiva
repressor	n+m.represor
reprieve	n+m.indulto@vt.indultar
reprimand	n+f.reprimenda@vt.reprender
reprint	n+f.reimpresión@vt.reimprimir
reprinted	a+m.reimpreso@a+f.reimpresa
reprinting	vt.reimprimiendo@n+f.reimpresión
reprints	n+f.reimpresiones
reprisal	n+f.represalia
reprisals	n+f+pl.represalias
reprise	n+f.repetición@vt.repetir
repro	n+f.reproducción
reproach	n+m.reproche@vt.reprochar
reprocessing	n+m.reprocesamiento
reproduce	vt.reproducir
reproduced	a+m.reproducido@a+f.reproducida
reproduces	vt.reproduce
reproducibility	n+f.reproducibilidad
reproducible	a.reproducible
reproducing	vt.reproduciendo
reproduction	n+f.reproducción
reproductions	n+f+pl.reproducciones
reproductive	a+m.reproductivo@a+f.reproductiva
reps	n+m+pl.repeticiones
rept	n+m.rept.
reptile	n+m.reptil
reptiles	n+m+pl.reptiles
republic	n+f.república
republican	a+m.republicano@a+f.republicana@n+m.republicano
republicans	n+m.republicanos@n+f.republicanas
republication	n+f.republicación
republics	n+f+pl.repúblicas
republish	vt.republicar
republished	vt.reeditó@a+m.reeditado@a+f.reeditada
repudiation	n+f.repudiación@n+m.repudio
repugnant	a.repugnante
repulsion	n+f.repulsión
repulsive	a+m.repulsivo@a+f.repulsiva
repurchase	n+f.recompra@vt.recomprar
reputable	a.respetable@a.de buena reputación
reputation	n+f.reputación
reputations	n+f+pl.reputaciones
reputed	a+m.reputado@a+f.reputada@a.supuesto
req	n+f.solicitud
request	n+f.solicitud@v.solicitar
requested	a+m.solicitado@a+f.solicitada@v.solicitó
requester	n+m.solicitante
requesting	v.solicitando
requests	n+f.solicitudes@v.solicita
requiem	n+m.réquiem
require	v.requerir
required	a+m.requerido@a+f.requerida
requirement	n+m.requisito
requirements	n+m.requisitos
requires	v.requiere
requiring	v.requiriendo
requisite	a+m.requisito@n+m.requisito
requisites	n+m+pl.requisitos
requisition	n+f.requisición@vt.requisar
requisitions	n+f+pl.requisiciones@vt.requisa
reread	vt.releer@vt.releyó
rerun	n+f.repetición@vt.volver a emitir
reruns	n+f+pl.repeticiones@vt.vuelve a emitir
res	n+f.resolución
resale	n+f.reventa
resales	n+f+pl.reventas
reschedule	vt.reprogramar
rescheduled	vt.reprogramó@a+m.reprogramado@a+f.reprogramada
rescheduling	n+f.reprogramación@vt.reprogramando
rescind	vt.rescindir
rescinded	vt.rescindió@a+m.rescindido@a+f.rescindida
rescission	n+f.rescisión
rescue	n+m.rescate@v.rescatar
rescued	vt.rescató@a+m.rescatado@a+f.rescatada
rescuers	n+m+pl.rescatadores@n+m+pl.socorristas
rescues	n+m+pl.rescates@vt.rescata
rescuing	vt.rescatando
reseal	vt.resellar
research	n+f.investigación@v.investigar
researched	a+m.investigado@a+f.investigada
researcher	n+m.investigador@n+f.investigadora
researchers	n+m.investigadores
researches	vt.investiga@n+f+pl.investigaciones
researching	v.investigando
resection	n+f.resección
resell	vt.revender
reseller	n+m.revendedor@n+f.revendedora
resellers	n+m+pl.revendedores
reselling	vt.revendiendo
resemblance	n+m.parecido@n+f.semejanza
resemble	vt.parecerse a
resembled	vt.se parecía a
resembles	vt.se parece a
resembling	vt.pareciéndose a
resend	vt.reenviar
resent	vt.resentir@vt.guardar rencor
resented	vt.resintió
resentment	n+m.resentimiento@n+m.rencor
reservation	n+f.reserva
reservations	n+f.reservaciones
