ABS	n+m.abs
учреждения	n+n.establishments
учреждённый	a.established@v.instituted
учтивость	n+f.civility@n+f.politeness
учтивый	a.polite@a.courteous@a.suave
учтённый	a.factored
учёба	n+f.study@n+f.studies
учёл	v.accounted@v.factored
учёность	n+f.scholarship
учёный	a.learned@n+m.scientist@n+m.scholar@a.scholarly@n+m.savant@a.erudite
учёный мир	n+f.academe
учёт времени	n+m.timekeeping
учётная запись	n+f.account@n+f.credential
учётные данные	n+f.credentials
ушастый	a.eared
ушедший	a.gone@a.departed
ушедший в отставку	v.resigned
ушибить	vt.bruised@v.bruise
ушибы	n+pl.bruises
ушко	n+m.lug
ушной	a.aural
ушёл	v.went@v.gone
ущелье	n+n.gorge@n+n.clough
ущерб	n+m.damage@n+m.detriment
ущипнул	v.pinched
уютно	ad.snugly
уютно устроился	v.nestled
уютно устроиться	vi.nestle@v.snuggle
уютный	a.comfy@a.cosy@a.snug@a.cuddly@a.homey
уязвимости	n+f.vulnerabilities
уязвимость	n+f.vulnerability
уязвимый	a.vulnerable@a.vul@a.exploitable
фабианский	a.fabian
фабрика	n+f.factory@n+f.fab
фабриканты	n+pl.fabricators
фабрики	n+f.factories
фабриковать	v.fabricate
фабрикуя	v.fabricating
фаворит	n+m.fave
фаг	n+m.phage
фагот	n+m.bassoon
фаза	n+f.phase
фазан	n+m.pheasant
фазированный	a.phased
фазировка	n+f.phasing
файервол	n+m.firewall
файл	n+m.file
файлы	n+m.files
файрволы	n+m.firewalls
факел	n+m.torch
факелы	n+m.torches
факс	n+m.fax
факсимиле	n+m.facsimile
факсы	n+m.faxes
факт	n+m.fact@n+m.factoid
фактически	ad.actually@ad.effectively@ad.virtually@ad.factually
фактический	a.actual@a.factual
фактоид	n+m.factoid
фактор	n+m.factor
факториал	n+m.factorial
факторизация	n+f.factorization
факторинг	n+m.factoring
факторный	a.factorial
фактуры	n+f.textures
факультативный	a.elective
факультативы	n+m.electives
факультет	n+m.faculty@n+m.fac
факультеты	n+m.faculties
фаланга	n+f.phalanx
фаллоимитатор	n+m.dildo
фаллоимитаторы	n+pl.dildoes
фаллопиев	a.fallopian
фаллопиевой трубы	a.tubal
фальсификат	n+m.forgery
фальсификатор	n+m.fabricator
фальсификация	n+f.counterfeiting@n+f.falsification
фальсифицировал	v.falsified
фальшивый	a.false@a.bogus
фамбл	n+m.fumble
фамилии	n+f.surnames
фамилия	n+f.surname
фамильный	a.familial
фанат	n+m.fan@n+m.freak@n+m.addict@n+m.fanboy@n+m.groupie@n+m.aficionado
фанатизм	n+f.bigotry@n+m.fanaticism
фанатик	n+m.fanatic@n+m.zealot@n+m.bigot
фанатики	n+m.fanatics
фанатичный	a.fanatic@a.fanatical
фанатка	n+f.groupie
фанаты	n+m.freaks@n+pl.fandom
фанбой	n+m.fanboy
фанданго	n+m.fandango
фандрайзинг	n+m.fundraising
фанера	n+f.plywood
фанк	n+m.funk
фанковый	a.funky
фантазии	n+pl.imaginations
фантазия	n+f.fantasy@n+f.imagination@n+f.fantasia
фантастически	ad.fantastically
фантастический	a.fantastic@a.fanciful
фантом	n+m.phantom@n+m.fantom
фанфара	n+f.fanfare
фара	n+f.headlight@n+f.headlamp
фараон	n+m.pharaoh@n+m.faro
фарватер	n+m.fairway
фарватеры	n+pl.fairways
фарина	n+f.farina
фармакологический	a.pharmacological@a.pharmacologic
фармакология	n+f.pharmacology
фармацевт	n+m.pharmacist
фармацевтика	n+f.pharmacy
фармацевтический	a.pharmaceutical
фармацевты	n+m.pharmacists
фарс	n+m.farce@n+m.slapstick
фарси	n+m.farsi
фарсовый	a.slapstick
фартук	n+m.apron
фартуки	n+m.aprons
фарфор	n+m.china@n+m.porcelain
фарфоровый	a.porcelain
фарш	n+m.mince
фаршированный	a.stuffed
фары	n+f.headlights
фасад	n+m.facade@n+m.frontage
фасад магазина	n+m.storefront
фасилитатор	n+m.facilitator
фасилитаторы	n+m.facilitators
фасилитация	n+f.facilitation
фаска	n+f.bevel
фасоль	n+f.bean
фасонный станок	n+m.shaper
фасоны	n+m.fashions
фастбол	n+m.fastball
фасция	n+f.fascia
фат	n+m.fop
фатально	ad.fatally
фатальный	a.fatal
фатом	n+m.fathom
фауна	n+f.fauna
фация	n+f.facies
фашизм	n+m.fascism
фашист	n+m.fascist
фашистский	a.fascist
фаэтон	n+m.phaeton
фебрильный	a.febrile
февраль	n+m.february@n+m.feb
федерализм	n+m.federalism
федералист	n+m.federalist
федералистский	a.federalist
федералы	n+m.feds
федеральная	a+f.federal
федерально	ad.federally
федеральное	a+n.federal
федеральный	a+m.federal
федеративный	a.federated
федерации	n+pl.federations
федерация	n+f.federation
федора	n+f.fedora
феерия	n+f.extravaganza
феи	n+f.fairies
фейдер	n+m.fader
фейерверк	n+m.fireworks@n+m.firework@n+m.firecracker
фейслифтинг	n+m.facelift
фекальный	a.faecal
фелляция	n+m.fellatio
фельдшер	n+m.paramedic
фельдшеры	n+pl.paramedics
феминизация	n+f.feminization
феминизм	n+m.feminism
феминистка	n+f.feminist
феминистки	n+f.feminists
феминистский	a.feminist
феминисты	n+m.feminists
фемме	n+f.femme
фен	n+m.hairdryer
феникс	n+m.phoenix
фенил	n+m.phenyl
фенилаланин	n+m.phenylalanine
фенобарбитал	n+m.phenobarbital
фенол	n+m.phenol
фенолика	n+f.phenolic
фенольный	a.phenolic
феномен	n+m.phenomenon@n+m.phenom
феноменальный	a.phenomenal
феноменологический	a.phenomenological
феноменология	n+f.phenomenology
фенотип	n+m.phenotype
фенотипический	a.phenotypic
фенотипы	n+pl.phenotypes
фенхель	n+m.fennel
феод	n+m.feu
феодальный	a.feudal
фервеи	n+pl.fairways
фервей	n+m.fairway
ферзь	n+f.queen
ферма	n+f.farm@n+f.ranch@n+f.farming@n+f.grange@n+f.truss
фермент	n+m.enzyme
ферментативный	a.enzymatic
ферментация	n+f.fermentation
ферментированный	a.fermented
ферменты	n+m.enzymes
фермер	n+m.farmer@n+m.grower@n+m.yeoman
фермерский дом	n+m.farmhouse
фермеры	n+pl.ranchers
фермион	n+m.fermion
феромон	n+m.pheromone
феррит	n+m.ferrite
ферромагнитный	a.ferromagnetic
фертильность	n+f.fertility@n+f.fecundity
феска	n+f.fez
фессалоникийцы	n+m.thessalonians
фестиваль	n+m.festival@n+m.fest@n+f.fete
фета	n+f.feta
фетальный	a.fetal
фетва	n+f.fatwa
фетиш	n+m.fetish@n+m.juju
фетиши	n+pl.fetishes
фехтовальщик	n+m.swordsman
фехтование	n+n.fencing
фехтовать	vt.fenced
фея	n+f.fairy@n+f.pixie@n+f.sprite@n+f.faerie
фи	n+f.phi
фиалка	n+f.violet
фиаско	n+n.fiasco
фибрилляция	n+f.fibrillation
фибрин	n+m.fibrin
фибриноген	n+m.fibrinogen
фибробласт	n+m.fibroblast
фибробласты	n+m.fibroblasts
фиброз	n+m.fibrosis
фиброзный	a.fibrous
фига	n+f.fig
фигура	n+f.figure@n+m.cutout
фигурально	ad.figuratively
фигуральный	a.figurative
фигурист	n+m.skater
фигуристы	n+m.skaters
фигуристый	a.shapely
фигурка	n+f.figurine
фигурки	n+f.figurines
фигурно подстриженный	a.topiary
фигурный	a.figured@a.contoured@a.figural
фиджиец	n+m.fijian
фиджийский	a.fijian
фидуциарный	a.fiduciary
фиеста	n+f.fiesta
физик	n+m.physicist
физика	n+f.physics
физики	n+m.physicists
физиологический	a.physiological@a.physiologic
физиология	n+f.physiology
физиономия	n+f.mug
физиотерапевт	n+m.physio@n+m.physiotherapist
физиотерапия	n+f.physiotherapy@n+f.physio
физическая нагрузка	n+f.exertion
физически	ad.physically@ad.bodily
физический	a.physical@a.phys
физраствор	n+m.saline
фиксатор	n+m.retainer@n+m.fixer
фиксация	n+f.fixation
фиксация времени	n+f.clocking
фиксированный	a.fixed
фиксировать	vt.commit
фиксирует	v.commits
фиктивный	a.dummy@a.fictitious
фикус	n+m.ficus
фикция	n+f.fiction
филантроп	n+m.philanthropist
филантропический	a.philanthropic
филантропия	n+f.philanthropy
филармонический	a.philharmonic
филармония	n+f.philharmonic
филателистический	a.philatelic
филе	n+n.fillet@n+n.filet@n+pl.fillets
филе-миньон	n+n.mignon
филейная часть	n+f.tenderloin@n+f.loin@n+m.sirloin
филиал	n+m.affiliate@n+m.branch@n+m.outstation
филибастер	n+m.filibuster
филигранный	a.filigree
филигрань	n+f.filigree
филиппика	n+f.diatribe
филиппинец	n+m.filipino
филиппинский	a.philippine@a.filipino
филлеры	n+m.fillers
филогенез	n+f.phylogeny
филогенетический	a.phylogenetic
филогения	n+f.phylogeny
филология	n+f.philology
философ	n+m.philosopher
философии	n+f.philosophies
философия	n+f.philosophy
философски	ad.philosophically
философский	a.philosophical@a.philosophic
философы	n+m.philosophers
филум	n+m.phylum
фильм	n+m.movie@n+m.film@n+m.flick
фильмография	n+f.filmography
фильмы	n+m.movies@n+m.flicks
фильс	n+m.fils
фильтр	n+m.filter@n+m.strainer
фильтрация	n+f.filtering@n+f.filtration
фильтровать	vt.filter
фильтрует	v.filters
фильтрующий	v.filtering
финал	n+m.final@n+m.finale@n+m.endgame
финалист	n+m.finalist
финалисты	n+m.finalists
финальная	a+f.final
финальное	a+n.final
финальный	a+m.final
финансировал	v.funded@v.financed
финансирование	n+n.funding@n+n.financing
финансировать	v.finance@vt.fund@vt.bankroll
финансируемый	a.funded@a.financed
финансирует	vt.finances
финансист	n+m.financier
финансовая	a+f.financial
финансово	ad.financially@ad.fiscally
финансовое	a+n.financial
финансовый	a+m.financial@a.fiscal@a.pecuniary
финансы	n+f.finance
финикиец	n+m.phoenician
финикийский	a.phoenician
финиш	n+m.finish
финишёр	n+m.finisher
финишёры	n+pl.finishers
финка	n+f.fin
финн	n+m.finn
фино	n+m.fino
финский	a.finnish
финский язык	n+m.finnish
фиолетовый	a.purple@a.violet
фиолетовый цвет	n+m.purple
фирма	n+f.firm
фирменное блюдо	n+n.speciality
фирменные блюда	n+pl.specialities
фирменный	a.branded
фискально	ad.fiscally
фискальный	a.fiscal
фисташка	n+f.pistachio
фисташковый цвет	n+m.pistachio
фистула	n+f.fistula
фитили	n+pl.wicks
фитиль	n+m.fuse@n+m.wick
фитинг	n+m.fitting
фитнес	n+f.fitness
фитопланктон	n+m.phytoplankton
фишинг	n+m.phishing
фишинговать	vi.phish
фишка	n+f.chip
флаг	n+m.flag@n+m.ensign
флагман	n+m.flagship
флагманский	a.flagship
флагшток	n+m.flagstaff@n+m.flagpole
флажки	n+f.bunting
флажок	n+m.checkbox
флакон	n+f.vial
флаконы	n+f.vials
фламандский	a.flemish
фламандский язык	n+m.flemish
фламенко	n+m.flamenco
фламинго	n+m.flamingo
фланг	n+m.flank
фланговый	a.flanking
фланелевый	a.flannel
фланель	n+f.flannel
фланец	n+m.flange
фланкированный	a.flanked
фланкировать	vt.flank
фланцевый	a.flanged
флаппер	n+f.flapper
флейта	n+f.flute@n+f.fife
флейта-пикколо	n+f.piccolo
флейты	n+f.flutes
флексия	n+f.flexion@n+f.inflection
флеш-карта	n+f.flashcard
флирт	n+m.flirt@n+m.flirting
флиртовать	vi.flirt@vi.flirting
флиртующий	a.flirty
флис	n+m.fleece
флокирование	n+n.flocking
флокированный	a.flocked
флокс	n+m.phlox
флора	n+f.flora
флорентиец	n+m.florentine
флорентийский	a.florentine
флоридец	n+m.floridian
флоридский	a.floridian
флорин	n+m.florin
флорист	n+m.florist
флот	n+m.navy@n+m.fleet
флотация	n+f.flotation
флотилия	n+f.flotilla
флоты	n+m.fleets
флуктуации	n+f.fluctuations
флуктуация	n+f.fluctuation
флуоресцеин	n+m.fluorescein
флуоресцентный	a.fluorescent
флуоресценция	n+f.fluorescence
флэшбэк	n+m.flashback
флювиальный	a.fluvial
флюгер	n+m.vane
флюорит	n+m.fluor
флюс	n+m.flux
флюсы	n+m.fluxes
фляга	n+f.flask@n+f.canteen@n+f.cruse
фляги	n+pl.flasks
фо	n+m.pho
фобия	n+f.phobia
фойе	n+n.foyer
фокальный	a.focal
фокстрот	n+m.foxtrot
фокус	n+m.focus
фокусировать	vt.focus@vt.focussing
фокусировка	n+f.focusing@n+n.focussing
фокусирует	vt.focuses
фокусирующий	v.focusing
фокусник	n+m.magician
фокусники	n+m.magicians
фокусный	a.focal
фол	n+m.foul
фолиант	n+m.tome
фолиевый	a.folic
фолио	n+m.folio
фолк	n+m.folk
фолликул	n+m.follicle
фолликулярный	a.follicular
фолы	n+m.fouls
фольга	n+f.foil@n+pl.foils
фольклор	n+m.folklore
фон	n+m.background@n+m.backdrop
фонари	n+m.lanterns
фонарик	n+m.torch@n+m.flashlight
фонарики	n+m.flashlights@n+m.torches
фонарь	n+m.lantern
фонд	n+m.fund@n+m.foundation@n+m.endowment
фонд оплаты труда	n+m.payroll
фондю	n+n.fondue
фонема	n+f.phoneme
фонематический	a.phonemic
фонемный	a.phonemic
фонетика	n+f.phonics@n+f.phonetics
фонетический	a.phonetic@a.phonic
фоновые процессы	n+pl.daemons
фоновый процесс	n+m.daemon
фонограф	n+m.phonograph
фонологический	a.phonological
фонология	n+f.phonology
фонон	n+m.phonon
фонтан	n+m.fountain
фонтанирующая скважина	n+m.gusher
фонтаны	n+m.fountains
форель	n+f.trout
форинт	n+m.forint
форма	n+f.form@n+f.fitness@n+f.fit@n+f.shape@n+f.uniform@n+f.mold@n+f.mould
форма волны	n+f.waveform
форма обращения	n+f.salutation
формализм	n+m.formalism
формализованный	a.formalized
формализовать	vt.formalized@v.formalize
формалин	n+m.formalin
формальдегид	n+m.formaldehyde
формально	ad.formally@ad.technically@ad.nominally
формальность	n+f.formality
формальный	a.formal
формат	n+m.format
формат ин-кварто	n+m.quarto
форматирование	n+n.formatting
форматировать	v.format
форматировщик	n+m.formatter
форматирует	v.formats
формации	n+f.formations
формика	n+m.formica
формирование	n+n.formation@n+n.forming@n+f.shaping@n+n.patterning
формирователь	n+m.shaper
формировать	v.form@vt.shape@vt.mold@vt.moulds
формирует	vt.shapes
формирующий	v.forming@a.formative
формируя	v.shaping
формование	n+n.moulding
формованный	a.moulded
формовать	vt.mould@vt.moulded
формула	n+f.formula
формулировать	vt.formulate@vt.articulate
формулировка	n+f.formulation@n+f.wording@n+f.phrasing
формулировки	n+f.formulations
формулируя	v.formulating
формулы	n+f.formulae
формуляр	n+m.formulary
формы	n+pl.moulds
форпост	n+m.outpost
форсунка	n+f.nozzle@n+f.injector
форсунки	n+f.nozzles
форт	n+m.fort@n+m.rath
форте	ad.forte
фортификация	n+f.fortification
форты	n+m.forts
форум	n+m.forum
форумы	n+m.forums@n+m.fora
форхенд	n+m.forehand
фосфат	n+m.phosphate
фосфатаза	n+f.phosphatase
фосфодиэстераза	n+f.phosphodiesterase
фосфолипид	n+m.phospholipid
фосфор	n+m.phosphorus@n+m.phosphor
фосфорилирование	n+n.phosphorylation
фосфорный	a.phosphorous@a.phosphoric
фот	n+m.phot
фото	n+n.photo@n+n.photos@n+n.pic
фотоаппарат	n+m.camera
фотовольтаический	a.photovoltaic
фотограмметрия	n+f.photogrammetry
фотограф	n+m.photographer
фотографии	n+f.pictures@n+f.photos@n+f.pics@n+f.snapshots
фотографирование	n+n.photographing
фотографировать	vt.photograph@vt.photographing
фотографический	a.photographic
фотография	n+f.photo@n+f.picture@n+f.photography@n+f.photograph
фотожурналист	n+m.photojournalist
фотожурналистика	n+m.photojournalism
фотокопии	n+pl.photocopies
фотокопирование	n+n.photocopying
фотокопировать	vt.photocopy@vt.photocopies
фотокопия	n+f.photocopy
фотолаборатория	n+f.darkroom
фотометрический	a.photometric
фотометрия	n+f.photometry
фотон	n+m.photon
фотонный	a.photonic
фотоны	n+m.photons
фотосинтез	n+m.photosynthesis
фотосинтетический	a.photosynthetic
фотоувеличитель	n+m.enlarger
фотохимический	a.photochemical
фотоэлектрический	a.photovoltaic@a.photoelectric
фра	n+m.fra
фрагмент	n+m.fragment@n+m.snippet
фрагментарный	a.patchy@a.fragmentary
фрагментация	n+f.fragmentation
фрагментированный	a.fragmented
фрагменты	n+m.fragments@n+m.snippets
фраза	n+f.phrase@n+f.phr
фразеологизмы	n+m.idioms
фразировка	n+f.phrasing
фрактал	n+m.fractal
фрактальный	a.fractal
фракции	n+f.factions
фракционирование	n+f.fractionation
фракция	n+f.faction
фрамуга	n+f.transom
франк	n+m.franc
франки	n+m.francs@n+m.franks
франкофон	n+m.francophone
франкоязычный	a.francophone
францисканец	n+m.franciscan
францисканский	a.franciscan
француз	n+m.frenchman
французская	a+f.french
французский	a+m.french
французский язык	n+m.french
французское	a+n.french
франчайзер	n+m.franchisor
франчайзи	n+pl.franchisees@n+m.franchisee
франчайзинг	n+m.franchising
франчайзинговый	a.franchised
франшиза	n+f.franchise@n+f.deductible
франшизы	n+f.franchises
фрау	n+f.frau
фрахтование	n+n.chartering
фрахтуя	v.chartering
фрегат	n+m.frigate
фрезерование	n+n.milling
фрезерованный	a.milled
фрезы	n+m.cutters
фрейдист	n+m.freudian
фрейдистский	a.freudian
фреймворк	n+m.framework
фреймворки	n+m.frameworks
фрейминг	n+m.framing
фреска	n+f.mural@n+f.fresco
фрески	n+f.murals
фригидный	a.frigid
фригольдный	a.freehold
фриз	n+m.frieze@n+m.frisian
фризский	a.frisian
фрикаделька	n+f.meatball
фриланс	n+m.freelance@n+n.freelancing
фрилансер	n+m.freelancer
фрилансеры	n+m.freelancers
фрисби	n+m.frisbee
фристайл	n+m.freestyle
фритюрница	n+f.fryer
фритюрницы	n+f.fryers
фронт	n+m.front
фронтальный	a.frontal
фронтон	n+m.gable
фронтоны	n+m.gables
фронты	n+m.fronts
фрукт	n+m.fruit
фруктовые сады	n+m.orchards
фруктовый	a.fruity
фруктовый сад	n+m.orchard
фруктоза	n+f.fructose
фрустрации	n+f.frustrations
фрустрация	n+f.frustration
фтор	n+m.fluor@n+m.fluorine
фторид	n+m.fluoride
фторирование	n+f.fluoridation
фу	n+m.foo@int.pooh@int.ugh@int.pah@int.whew@int.yuck@int.phew@int.fie@int.yuk
фубар	n.foobar
фуга	n+f.fugue
фузия	n+f.merger
фуксия	n+f.fuchsia
фум	n.fum
фумигация	n+f.fumigation
фунгицид	n+m.fungicide
фундамент	n+m.foundation@n+m.groundwork@n+m.substructure
фундаментализм	n+m.fundamentalism
фундаменталист	n+m.fundamentalist
фундаменталистский	a.fundamentalist
фундаменталисты	n+pl.fundamentalists
фундаментально	ad.fundamentally
фундаментальный	a.fundamental@a.foundational
фундук	n+m.hazelnut
функции	n+f.features@n+pl.functionalities
функционально	ad.functionally@ad.operationally
функциональность	n+f.functionality
функциональный	a.functional
функционировал	v.functioned
функционирование	n+n.functioning
функционировать	v.function
функционирующий	v.functioning
функция	n+f.function@n+f.feature
фунт	n+m.pound@n+m.quid
фунт на квадратный дюйм	n+m.psi
фунт на квадратный фут	n+m.psf
фунт стерлингов	n+m.sterling@n+m.stg
фунтовик	n+m.pounder
фураж	n+m.forage@n+m.fodder
фуражирование	n+n.foraging
фуражировать	vi.forage
фургон	n+m.van@n+m.wagon@n+m.bandwagon
фургоны	n+m.vans
фурлонг	n+m.furlong
фурункул	n+m.boil
фурункулы	n+m.boils
фут	n+m.foot
футбол	n+m.football@n+m.soccer@n+m.footy@n.fut
футболист	n+m.footballer
футболка	n+f.tee
футболки	n+f.tees
футбольное поле	n+m.gridiron
футбольные мячи	n+m.footballs
футбольный	a.football
футляр	n+m.slipcase
футон	n+m.futon
футоны	n+pl.futons
футуризм	n+m.futurism
футурист	n+m.futurist
футуристический	a.futuristic@a.futurist
фырканье	n+m.snort@n+n.snorting
фыркать	vi.snort
фыркая	v.snorting
фыркнул	v.sniffed
фьорд	n+m.fjord
фэндом	n+n.fandom
фэнзин	n+m.fanzine
фэнзины	n+m.zines
фюзеляж	n+m.fuselage@n+m.airframe
ха	int.hah
хаб	n+m.hub
хабар	n+m.swag
хабы	n+m.hubs
хаггис	n+m.haggis
хадж	n+m.hajj@n+m.haj
хайкинг	n+m.hiking
хайку	n+n.haiku
хайлайн	n+f.highline
хайлайтер	n+n.highlighter
хак	n+m.hack
хакер	n+m.hacker
хакерство	n+m.hacking
хаки	n+m.hacks@n+m.khaki
халапеньо	n+m.jalapeno
халат	n+m.robe@n+m.bathrobe@n+m.smock
халатность	n+f.malpractice@n+f.negligence
халатный	a.negligent
халаты	n+m.robes
халиф	n+m.calif@n+m.caliph
халтурный	a.shoddy
халява	n+f.freebies@n+f.freebie
халявщик	n+m.deadbeat
халяль	n+m.halal
халяльный	a.halal
хам	n+m.cham
хамви	n+m.humvee
хамелеон	n+m.chameleon
хамза	n+f.hamza
хамство	n+n.rudeness
хан	n+m.khan
хангыль	n+m.hangul
хандра	n+f.blues@n+f.funk
хандрил	v.moped
ханжа	n+m.bigot
хаос	n+m.chaos@n+m.mayhem@n+m.havoc@n+m.bedlam@n+m.shambles@n+m.pandemonium@n+m.snafu
хаотичный	a.chaotic@a.disorganized
характер	n+m.character@n+f.complexion
характеризация	n+f.characterization
характеризовать	vt.qualify@vt.characterize@vt.characterizing@vt.characterizes@v.characterise
характеризуемый	a.characterized
характеризующийся	a.characterised
характеристика	n+f.spec@n+f.characteristic@n+f.characterization@n+f.characterisation
характерно	ad.characteristically@ad.distinctively
характерный	a.typical@a.characteristic@a.distinctive@a.characterizing
характеры	n+m.natures
хардбол	n+m.hardball
хардкорный	a.hardcore
хардтоп	n+m.hardtop
харизма	n+f.charisma
харизматичный	a.charismatic
хариус	n+m.grayling
хартии	n+f.charters
хартия	n+f.charter
хаски	n+m.huskies@n+m.husky
хауса	n+m.hausa
хаусский	a.hausa
хвалебная речь	n+f.eulogy
хваленый	v.praised
хвалит	vt.praises@v.commends
хвалить	vt.praise@vt.commend@vt.commended@vt.praising
хвастается	v.boasts
хвастался	v.boasted
хвастаться	vi.boast@vi.boasting@vi.brag@vi.bragging
хвастовство	n+n.boasting@n+f.brag@n+f.bragging
хвастун	n+m.showoff
хватает	v.grips@vt.grabs@v.suffices@v.nabs@v.snatches
хватать	vt.grip@vt.grab@vt.grasp@vt.seize@vt.nab@vt.grasped@vt.seizing@vt.snatched
хватающий	a.grasping
хватая	v.grabbing@v.snatching
хватка	n+f.grip@n+f.grasp
хвойная древесина	n+f.softwood
хвойное дерево	n+n.conifer
хвойный	a.coniferous
хворать	vi.ail
хвост	n+m.tail
хвостатый	a.tailed
хвостик	n+m.ponytail
хвостовой	a.caudal
хвосты	n+m.tails
хедж	n+m.hedge
хеджи	n+m.hedges
хеджировал	v.hedged
хеджирование	n+n.hedging
хеджировать	vt.hedge
хедлайнер	n+m.headliner
хедхантер	n+m.headhunter
хейтер	n+m.hater
хейтеры	n+pl.haters
хек	n+m.hake
хемотаксис	n+m.chemotaxis
херес	n+m.sherry
херувим	n+m.cherub
хеширование	n+n.hashing
хешируя	v.hashing
хештег	n+m.hash
хи	n+f.chi
хиджаб	n+m.hijab
хижина	n+f.cabin@n+f.hut@n+f.shack@n+f.cabana
хижины	n+pl.huts
хилый	a.sickly
химера	n+f.chimera
химерический	a.chimeric
химерный	a.chimeric
химик	n+m.chemist
химики	n+m.chemists
химиотерапия	n+f.chemotherapy@n+f.chemo
химическая завивка	n+f.perm
химически	ad.chemically
химический	a.chemical
химическое вещество	n+n.chemical
химия	n+f.chemistry@n+f.chem
хинг	n.hing
хинди	n+m.hindi
хип-хоп	n+m.hiphop
хиппи	n+m.hippie@n+m.hippy
хипстер	n+m.hipster
хиральный	a.chiral
хиропрактик	n+m.chiropractor
хиропрактика	n+f.chiropractic
хиропрактики	n+m.chiropractors
хиропрактический	a.chiropractic
хирург	n+m.surgeon
хирургии	n+f.surgeries
хирургическая одежда	n+f.scrubs
хирургически	ad.surgically
хирургический	a.surgical
хирургия	n+f.surgery@n+f.surg
хит	n+m.hit@n+m.smash@n+m.banger
хитозан	n+m.chitosan
хитрец	n+m.sharpie
хитро	ad.cleverly@ad.artfully
хитрость	n+f.craft@n+f.trick@n+f.deception@n+f.guile@n+f.cunning@n+f.ruse@n+f.trickery@n+f.wile
хитрый	a.tricky@a.sly@a.crafty@a.cunning@a.foxy@a.sneaky@a.astute@a.artful@a.dodgy@a.shrewd@a.wily
хихикает	v.snickers
хихикал	v.chuckled@v.giggled
хихиканье	n+m.giggle@n+pl.giggles@n+n.giggling
хихикать	vi.giggle@vi.chuckle@vi.giggles
хихикая	v.giggling
хищение	n+n.predation@n+n.embezzlement
хищная птица	n+m.raptor
хищник	n+m.predator
хищники	n+m.predators
хищнический	a.predatory
хищничество	n+f.predation
хищные птицы	n+m.raptors
хищный	a.predatory@a.carnivorous
хладагент	n+m.refrigerant
хладнокровие	n+f.coolness
хлам	n+m.junk
хламидия	n+f.chlamydia
хлеб	n+m.bread
хлеба	n+m.breads
хлебать	vt.slurp
хлебная крошка	n+f.breadcrumb
хлебнуть	v.swig
хлебные крошки	n+pl.breadcrumb
хлестал	v.lashed
хлестать	vt.whip@vt.lash
хлестая	v.lashing
хлещет	vt.whips
хлещущий	v.whipping
хлипкий	a.flimsy
хлопает	v.pops@vt.bangs@vt.slams
хлопанье	n+n.popping@n+n.flapping
хлопать	vi.pop@vt.slam@vi.flap@vt.clap@vt.slamming@vt.clapping
хлопая	v.flapping
хлопки	n+m.pops
хлопковый	a.cotton
хлопнул	v.banged@v.slammed@v.batted
хлопок	n+m.pop@n+m.cotton@n+m.clap@n+m.slamming
хлопотный	a.troublesome
хлопоты	n+f.hassle@n+f.hassles@n+pl.bothers
хлопушка	n+f.flapper
хлопья	n+m.flakes@n+f.flake
хлор	n+m.chlorine
хлорамфеникол	n+m.chloramphenicol
хлорелла	n+f.chlorella
хлорид	n+m.chloride
хлорированный	a.chlorinated
хлористоводородный	a.hydrochloric
хлоропласт	n+m.chloroplast
хлорофилл	n+m.chlorophyll
хлороформ	n+m.chloroform
хлороформировать	vt.chloroform
хлынув	v.gushing
хлынул	v.surged
хлынуть	vi.surge@vi.gush@v.spurt
хлыстовая травма	n+f.whiplash
хлюпанье	n+m.squish@n+m.squelch
хлюпать	v.squelch
хлюпик	n+m.wimp
хлёбание	n+m.slurp
хм	int.huh
хмель	n+m.hop@n+m.hops
хмм	int.hmm
хмонги	n+pl.hmong
хмуриться	vi.frown
хмурый	a.lowery
хна	n+f.henna
хныкающий	a.whiny
хобби	n+n.hobby
хоббист	n+m.hobbyist
хоббит	n+m.hobbit
ход	n+n.going@n+m.move@n+m.ploy
ходатайства	n+f.motions@n+f.petitions@n+f.solicitations
ходатайство	n+n.petition@n+f.solicitation@n+n.intercession
ходатайствовал	v.petitioned
ходатайствовать	vt.solicited@vt.soliciting@v.petitioning
ходатайствует	vi.pleads@v.solicits
ходит	v.goes@vi.walks
ходить	v.go@vi.walk
ходить слухам	v.rumoured
ходунки	n+f.walkers
ходьба	n+f.walking@n+f.pacing
ходьба на снегоступах	n+n.snowshoeing
хозяин	n+m.master@n+m.owner@n+m.host@n+m.landlord
хозяин гостиницы	n+m.innkeeper
хозяйка	n+f.mistress@n+f.hostess
хозяйство	n+n.farm@n+n.homestead
хоккей	n+m.hockey
холдинг	n+m.holding
холера	n+f.cholera
холестерин	n+m.cholesterol
холин	n+m.choline
холистический	a.holistic
холить	vt.pamper
холка	n+f.withers
холл	n+m.hall@n+m.lounge
холм	n+m.hill@n+m.mound
холмик	n+m.knoll
холмистый	a.rolling@a.hilly
холмы	n+m.downs
холод	n+m.cold@n+m.chill
холодильная техника	n+f.refrigeration
холодильник	n+m.refrigerator@n+m.fridge
холодильники	n+m.refrigerators@n+m.fridges
холодильный агент	n+m.refrigerant
холоднее	a.colder
холодный	a.cold@a.frosty@a.frigid@a.wintry
холокост	n+m.holocaust
холостой вал	n+m.idler
холостой ход	n+n.idling
холостяк	n+m.bachelor
холостяки	n+m.bachelors
холст	n+m.canvas
хомяк	n+m.hamster
