the	art+m.o@art+f.a
reassess	v.reavaliar
myrna	n.Myrna
dunstan	n.Dunstan
bioremediation	n+f.biorremediação
validly	ad.validamente
rematch	n+f.revanche
rollovers	n+f+pl.renovações@n+m+pl.capotamentos
instrumented	a+m.instrumentado@a+f.instrumentada
fijian	a+m.fijiano@a+f.fijiana@n+m.fijiano@n+f.fijiana
chutes	n+m+pl.tobogãs@n+f+pl.calhas
faberge	n.Fabergé
bolshevik	n+m.bolchevique@n+f.bolchevique@a+m.bolchevique@a+f.bolchevique
gwyn	n.Gwyn
unsound	a+m.doentio@a+f.doentia@a+m.pouco sólido@a+f.pouco sólida
hatter	n+m.chapeleiro
charmaine	n.Charmaine
creepers	n+f+pl.trepadeiras
splatter	v.espirrar@n+m.respingo
stents	n+m+pl.stents
quilters	n+m+pl.acolchoadores@n+f+pl.acolchoadoras
takeout	n+m.comida para viagem
silty	a+m.siltoso@a+f.siltosa
recreations	n+f+pl.recreações
profusely	ad.profusamente
dumbarton	n.Dumbarton
bearish	a+m.baixista@a+f.baixista
intelligences	n+f+pl.inteligências
sorrel	n+f.azedinha@a+m.alazão@a+f.alazã
heep	n.Heep
curitiba	n.Curitiba
reverie	n+m.devaneio
phonon	n+m.fônon
colloquial	a+m.coloquial@a+f.coloquial
thievery	n+m.roubo
callous	a+m.insensível@a+f.insensível@a+m.calejado@a+f.calejada
jingles	n+m+pl.jingles@v.tilinta
erk	n+m.recruta
reconnection	n+f.reconexão
mismatched	a+m.incompatível@a+f.incompatível@a+m.descombinado@a+f.descombinada
saps	v.mina@n+f+pl.seivas
perplexing	a+m.desconcertante@a+f.desconcertante@v.deixando perplexo
splashes	v.espirra@n+m+pl.respingos
homesick	a+m.com saudade de casa@a+f.com saudade de casa
duper	n+m.enganador@n+f.enganadora
gainer	n+m.ganhador@n+f.ganhadora
shiv	n+f.faca improvisada
ochre	n+m.ocre@a+m.ocre@a+f.ocre
venn	n.Venn
heartbreaker	n+m.conquistador@n+f.conquistadora
ster	n+m.estereorradiano
bystander	n+m.espectador@n+f.espectadora
dilatation	n+f.dilatação
actuation	n+f.atuação
commemorates	v.comemora
beachcomber	n+m.vagabundo de praia
distiller	n+m.destilador@n+f.destilaria
encyclopedic	a+m.enciclopédico@a+f.enciclopédica
varicella	n+f.varicela
greenock	n.Greenock
quell	v.reprimir@v.sufocar
repulsion	n+f.repulsão
parachutes	n+m+pl.paraquedas@v.salta de paraquedas
imprecise	a+m.impreciso@a+f.imprecisa
caw	v.grasnar@n+m.grasnido
dianna	n.Dianna
imagines	v.imagina
resurrect	v.ressuscitar
softens	v.amolece
harnessed	v.arreou@a+m.aproveitado@a+f.aproveitada
unfilled	a+m.não preenchido@a+f.não preenchida
flanged	a+m.flangeado@a+f.flangeada
posit	v.postular@n+m.postulado
sinuses	n+m+pl.seios nasais
amputee	n+m.amputado@n+f.amputada
exuberance	n+f.exuberância
obligate	v.obrigar@a+m.obrigatório@a+f.obrigatória
endotoxin	n+f.endotoxina
flocking	v.afluindo@n+f.flocagem
unnumbered	a+m.sem número@a+f.sem número
blankenship	n.Blankenship
clary	n+f.sálvia-esclareia@n.Clary
deselected	v.desselecionou@a+m.desselecionado@a+f.desselecionada
charleroi	n.Charleroi
garnishment	n+f.penhora
outbursts	n+m+pl.explosões@n+m+pl.acessos
humidors	n+m+pl.umidificadores de charutos
undying	a+m.eterno@a+f.eterna
proteases	n+f+pl.proteases
stubble	n+f.barba por fazer@n+f.restolho
caddies	n+m+pl.caddies
bamberg	n.Bamberg
amie	n.Amie
appendicitis	n+f.apendicite
colliding	v.colidindo
knesset	n.Knesset
mughal	a+m.mogol@a+f.mogol@n+m.mogol@n+f.mogol
enumerator	n+m.enumerador
splines	n+f+pl.ranhuras@n+f+pl.splines
marvell	n.Marvell
existentialism	n+m.existencialismo
quivering	v.tremendo@a+m.trêmulo@a+f.trêmula
crossbar	n+f.barra transversal@n+m.travessão
toastmaster	n+m.mestre de cerimônias
uptight	a+m.tenso@a+f.tensa
actives	n+m+pl.ativos
doodles	n+m+pl.rabiscos@v.rabisca
chimeric	a+m.quimérico@a+f.quimérica
hatters	n+m+pl.chapeleiros
cochise	n.Cochise
severus	n.Severo
peacetime	n+m.tempo de paz
gringo	n+m.gringo@n+f.gringa
commending	v.elogiando
flattery	n+f.bajulação@n+f.lisonja
soothes	v.acalma
expropriation	n+f.expropriação
millstone	n+f.pedra de moinho
payrolls	n+f+pl.folhas de pagamento
mortgaged	v.hipotecou@a+m.hipotecado@a+f.hipotecada
impossibly	ad.impossivelmente
reselling	v.revendendo
cocteau	n.Cocteau
beluga	n+f.beluga
compels	v.compele
drunkenness	n+f.embriaguez
indulged	v.cedeu@v.mimou
habitable	a+m.habitável@a+f.habitável
diatom	n+f.diatomácea
bobsled	n+m.bobsled
subtleties	n+f+pl.sutilezas
incarnations	n+f+pl.encarnações
oscilloscopes	n+m+pl.osciloscópios
trappings	n+m+pl.adornos@n+f+pl.armadilhas
afterthought	n+m.reflexão tardia
legume	n+f.leguminosa
redial	v.rediscar
hillbillies	n+m+pl.caipiras
zionists	n+m+pl.sionistas
storefronts	n+f+pl.fachadas de lojas
damsel	n+f.donzela
euphrates	n.Eufrates
duomo	n+m.duomo
josephson	n.Josephson
decorum	n+m.decoro
nondurable	a+m.não durável@a+f.não durável
taffeta	n+m.tafetá
barbells	n+f+pl.barras de musculação
spoiling	v.estragando@v.mimando
syndicates	n+m+pl.sindicatos@v.sindicaliza
detritus	n+m.detrito
galactose	n+f.galactose
yellowing	v.amarelando@n+m.amarelamento
submariner	n+m.submarinista
robs	v.rouba
bustiers	n+m+pl.corpetes
assortments	n+m+pl.sortimentos
giselle	n.Giselle
earthenware	n+f.cerâmica@n+f.louça de barro
implementers	n+m+pl.implementadores@n+f+pl.implementadoras
proust	n.Proust
incendiary	a+m.incendiário@a+f.incendiária@n+m.incendiário
pickwick	n.Pickwick
lenient	a+m.brando@a+f.branda@a+m.tolerante@a+f.tolerante
dined	v.jantou
schleswig	n.Schleswig
idly	ad.ociosamente
freshers	n+m+pl.calouros@n+f+pl.calouras
polysaccharides	n+m+pl.polissacarídeos
sporadically	ad.esporadicamente
nontrivial	a+m.não trivial@a+f.não trivial
disinfected	v.desinfetou@a+m.desinfetado@a+f.desinfetada
freda	n.Freda
devilish	a+m.diabólico@a+f.diabólica
rimmed	a+m.com aro@a+f.com aro
feedstock	n+f.matéria-prima
haematology	n+f.hematologia
aristocrat	n+m.aristocrata@n+f.aristocrata
scathing	a+m.mordaz@a+f.mordaz
twinkling	v.cintilando@a+m.cintilante@a+f.cintilante
ede	n.Ede
pantomime	n+f.pantomima
byproducts	n+m+pl.subprodutos
hyphens	n+m+pl.hifens
autobahn	n+f.autobahn
bulgari	n.Bulgari
efflux	n+m.efluxo
wanderings	n+f+pl.andanças
orang	n+m.orangotango
dislocations	n+f+pl.luxações
capetown	n.Cidade do Cabo
astaire	n.Astaire
decimated	v.dizimou@a+m.dizimado@a+f.dizimada
hijab	n+m.hijab
overthrown	v.derrubado@a+m.derrubado@a+f.derrubada
magus	n+m.mago
medulla	n+f.medula
regressive	a+m.regressivo@a+f.regressiva
moored	v.atracou@a+m.ancorado@a+f.ancorada
burks	n.Burks
peered	v.espiou@v.olhou fixamente
cedi	n+m.cedi
uninterruptible	a+m.ininterrupto@a+f.ininterrupta
bores	v.entedia@n+m+pl.furos
regrettable	a+m.lamentável@a+f.lamentável
strangled	v.estrangulou@a+m.estrangulado@a+f.estrangulada
bonito	n+m.bonito
undertones	n+m+pl.tons subjacentes
zeolite	n+f.zeólita
scrappy	a+m.brigão@a+f.brigona@a+m.fragmentado@a+f.fragmentada
vladivostok	n.Vladivostok
maxims	n+f+pl.máximas
camisoles	n+f+pl.camisolas
engrossing	a+m.absorvente@a+f.absorvente@v.absorvendo
fere	n+m.companheiro
jezebel	n.Jezabel
vireo	n+m.juruviara
lethargy	n+f.letargia
nagaland	n.Nagaland
clydesdale	n+m.clydesdale
prescriber	n+m.prescritor@n+f.prescritora
reverts	v.reverte
purine	n+f.purina
counterpunch	n+m.contra-ataque@v.contra-atacar
frolic	v.brincar@n+f.brincadeira
transfusions	n+f+pl.transfusões
lightyear	n+m.ano-luz
valletta	n.Valeta
gites	n+m+pl.casas de campo
casework	n+m.trabalho de assistência social
cassia	n+f.cássia
painstaking	a+m.meticuloso@a+f.meticulosa
lamina	n+f.lâmina
umber	n+m.umber@a+m.terra de sombra@a+f.terra de sombra
goths	n+m+pl.godos@n+m+pl.góticos
finality	n+f.finalidade@n+f.irrevogabilidade
bimini	n.Bimini
toppled	v.derrubou@a+m.derrubado@a+f.derrubada
ewes	n+f+pl.ovelhas
mending	v.consertando@n+m.conserto
excavators	n+f+pl.escavadeiras
wrestled	v.lutou
sciatica	n+f.ciática
areal	a+m.areal@a+f.areal
shakedown	n+f.extorsão@n+m.teste
aneurysms	n+m+pl.aneurismas
caucuses	n+m+pl.comitês eleitorais
reruns	n+f+pl.reprises@v.repete
nonlinearity	n+f.não linearidade
plazas	n+f+pl.praças
hurtful	a+m.magoante@a+f.magoante
chivas	n.Chivas
alternation	n+f.alternância
astigmatism	n+m.astigmatismo
ibo	n+m.ibo@n.Ibo
receding	v.recuando@a+m.que recua@a+f.que recua
laban	n.Labão
conjugates	v.conjuga@n+m+pl.conjugados
candelabra	n+m.candelabro
levittown	n.Levittown
malfunctioning	v.funcionando mal@a+m.defeituoso@a+f.defeituosa
outposts	n+m+pl.postos avançados
polyunsaturated	a+m.poli-insaturado@a+f.poli-insaturada
millennial	a+m.milenar@a+f.milenar@n+m.millennial@n+f.millennial
roasts	v.assa@n+m+pl.assados
hemispheric	a+m.hemisférico@a+f.hemisférica
asymmetries	n+f+pl.assimetrias
treading	v.pisando
downy	a+m.felpudo@a+f.felpuda@a+m.penugento@a+f.penugenta
rossetti	n.Rossetti
conformed	v.conformou@a+m.conformado@a+f.conformada
tach	n+m.tacômetro
kudzu	n+m.kudzu
characteristically	ad.caracteristicamente
treatable	a+m.tratável@a+f.tratável
goldsmiths	n+m+pl.ourives
erupts	v.entra em erupção
swarms	n+m+pl.enxames@v.enxameia
toroidal	a+m.toroidal@a+f.toroidal
puglia	n.Puglia
geographers	n+m+pl.geógrafos@n+f+pl.geógrafas
spinnaker	n+m.balão
incinerators	n+m+pl.incineradores
doctorow	n.Doctorow
megawatt	n+m.megawatt
superuser	n+m.superusuário
evolutions	n+f+pl.evoluções
minimised	v.minimizou@a+m.minimizado@a+f.minimizada
escorting	v.escoltando
irregularly	ad.irregularmente
malmo	n.Malmö
chives	n+f+pl.cebolinhas
oratory	n+f.oratória@n+m.oratório
harvesters	n+f+pl.colheitadeiras
wingnut	n+f.porca borboleta
scruggs	n.Scruggs
velma	n.Velma
excitations	n+f+pl.excitações
sharpest	a+m.mais afiado@a+f.mais afiada
palisade	n+f.paliçada
septal	a+m.septal@a+f.septal
sprains	n+f+pl.entorses@v.distende
corvettes	n+f+pl.corvetas
slovene	a+m.esloveno@a+f.eslovena@n+m.esloveno@n+f.eslovena
moccasin	n+m.mocassim
circumcised	v.circuncidou@a+m.circuncidado@a+f.circuncidada
lemur	n+m.lêmure
growled	v.rosnou
auxiliaries	n+m+pl.auxiliares@n+f+pl.auxiliares
aphrodisiac	n+m.afrodisíaco@a+m.afrodisíaco@a+f.afrodisíaca
benefactors	n+m+pl.benfeitores@n+f+pl.benfeitoras
saxophonist	n+m.saxofonista@n+f.saxofonista
resented	v.ressentiu-se
terse	a+m.conciso@a+f.concisa@a+m.lacônico@a+f.lacônica
masjid	n+f.mesquita
insistent	a+m.insistente@a+f.insistente
peppered	v.temperou com pimenta@a+m.apimentado@a+f.apimentada
nebulae	n+f+pl.nébulas
abstentions	n+f+pl.abstenções
lidocaine	n+f.lidocaína
sterne	n.Sterne
utile	a+m.útil@a+f.útil
digitizer	n+m.digitalizador
frightful	a+m.assustador@a+f.assustadora@a+m.horrível@a+f.horrível
waxy	a+m.ceroso@a+f.cerosa
trite	a+m.banal@a+f.banal@a+m.trivial@a+f.trivial
gentler	a+m.mais gentil@a+f.mais gentil@a+m.mais suave@a+f.mais suave
vex	v.irritar@v.vexar
cystitis	n+f.cistite
proforma	n+f.proforma@a+m.proforma@a+f.proforma
shard	n+m.caco@n+m.fragmento
infects	v.infecta
dilapidated	a+m.dilapidado@a+f.dilapidada@a+m.arruinado@a+f.arruinada
loos	n+m+pl.banheiros@n+f+pl.latrinas
mien	n+m.semblante@n+m.aspecto
hanky	n+m.lencinho
squats	n+m+pl.agachamentos@v.agacha
guanajuato	n.Guanajuato
libertarianism	n+m.libertarianismo
prolapse	n+m.prolapso@v.prolapsar
stubby	a+m.atarracado@a+f.atarracada@a+m.rechonchudo@a+f.rechonchuda
evangelistic	a+m.evangelístico@a+f.evangelística
lugo	n.Lugo
sixpence	n+m.seis pence
energetics	n+f.energética
impaled	v.empalou@a+m.empalado@a+f.empalada
forays	n+f+pl.incursões@v.faz incursões
charon	n.Caronte
coniferous	a+m.conífero@a+f.conífera
fath	n+m.braça
sickly	a+m.doentio@a+f.doentia@a+m.enfermo@a+f.enferma
flanks	n+m+pl.flancos@v.flanqueia
nanette	n.Nanette
inexplicably	ad.inexplicavelmente
curbed	v.refreou@a+m.refreado@a+f.refreada
retest	v.retestar@n+m.reteste
efficacious	a+m.eficaz@a+f.eficaz
philanthropist	n+m.filantropo@n+f.filantropa
chloramphenicol	n+m.cloranfenicol
thaddeus	n.Tadeu
repairer	n+m.reparador@n+f.reparadora
diesels	n+m+pl.diesels@n+m+pl.motores a diesel
argentinean	a+m.argentino@a+f.argentina@n+m.argentino@n+f.argentina
convinces	v.convence
banjos	n+m+pl.banjos
geodesy	n+f.geodesia
valuers	n+m+pl.avaliadores
innuendo	n+f.insinuação@n+f.indireta
kasparov	n.Kasparov
pitfall	n+f.armadilha@n+m.perigo oculto
attenuator	n+m.atenuador
rede	n+f.rede@v.aconselhar
polysaccharide	n+m.polissacarídeo
superhighway	n+f.superestrada@n+f.supervia
disservice	n+m.desserviço@n+m.prejuízo
minder	n+m.cuidador@n+f.cuidadora@n+m.vigia
orator	n+m.orador@n+f.oradora
assessable	a+m.avaliável@a+f.avaliável@a+m.tributável@a+f.tributável
pinata	n+f.pinhata
photocopied	v.fotocopiou@a+m.fotocopiado@a+f.fotocopiada
mopeds	n+f+pl.motonetas@n+f+pl.lambrettas
bumblebee	n+m.mamangaba@n+f.abelha-mamangaba
digicams	n+f+pl.câmeras digitais
abet	v.instigar@v.incitar
biomechanical	a+m.biomecânico@a+f.biomecânica
harland	n.Harland
highlighter	n+m.marca-texto@n+m.iluminador
malachite	n+f.malaquita
steppe	n+f.estepe
thorndike	n.Thorndike
sires	n+m+pl.progenitores@n+m+pl.senhores@v.procria
featherweight	n+m.peso pena@a+m.peso pena@a+f.peso pena
intricately	ad.intrincadamente
transgressions	n+f+pl.transgressões
lingers	v.demora@v.perdura
digitize	v.digitalizar
blockbusters	n+m+pl.arrasa-quarteirões@n+m+pl.sucessos de bilheteria
supergrass	n+m.delator@n+f.delatora
kerb	n+m.meio-fio
semiotics	n+f.semiótica
smothering	v.sufocando@a+m.sufocante@a+f.sufocante
tomorrows	n+m+pl.amanhãs
drifters	n+m+pl.vagabundos@n+m+pl.andarilhos
encampment	n+m.acampamento
calamari	n+f.lula@n+m+pl.calamares
lempira	n+f.lempira
roque	n.Roque
prophesy	v.profetizar
recast	v.reformular@v.refundir@n+f.reformulação
bursar	n+m.tesoureiro@n+f.tesoureira
misrepresentations	n+f+pl.deturpações@n+f+pl.representações falsas
dowel	n+m.cavilha@n+m.pino de madeira
interdiction	n+f.interdição@n+f.proibição
percents	n+m+pl.porcentos
chaste	a+m.casto@a+f.casta
bards	n+m+pl.bardos
burgas	n.Burgas
bestial	a+m.bestial@a+f.bestial
restock	v.reabastecer@v.repor estoque
jarrod	n.Jarrod
lineups	n+f+pl.escalações@n+f+pl.formações
irradiance	n+f.irradiância
buddhas	n+m+pl.budas
oozing	v.exsudando@a+m.escorrendo@a+f.escorrendo
polarizing	v.polarizando@a+m.polarizador@a+f.polarizadora
richelieu	n.Richelieu
curd	n+f.coalhada@n+m.coalho
bookish	a+m.livresco@a+f.livresca@a+m.estudioso@a+f.estudiosa
subdue	v.subjugar@v.dominar
raking	v.rastando@v.varrendo
denouncing	v.denunciando
traumatized	v.traumatizou@a+m.traumatizado@a+f.traumatizada
ascertaining	v.averiguando@v.verificando
gillies	n+m+pl.criados escoceses
pepin	n.Pepino
previewed	v.pré-visualizou@a+m.pré-visualizado@a+f.pré-visualizada
stags	n+m+pl.veados@n+m+pl.cervos
hogue	n.Hogue
beauregard	n.Beauregard
mentation	n+f.mentação@n+f.atividade mental
chattahoochee	n.Chattahoochee
bowyer	n+m.fabricante de arcos
soldered	v.soldou@a+m.soldado@a+f.soldada
pylon	n+m.pilar@n+m.poste de alta tensão
privateer	n+m.corsário@n+m.navio corsário
ratliff	n.Ratliff
grommet	n+m.ilhós@n+f.arruela
kirkuk	n.Kirkuk
neonates	n+m+pl.neonatos@n+m+pl.recém-nascidos
hellenistic	a+m.helenístico@a+f.helenística
vicarious	a+m.vicário@a+f.vicária@a+m.indireto@a+f.indireta
rwy	n+f.pista de pouso
ruckus	n+m.tumulto@n+m.alvoroço
traverses	v.atravessa@n+f+pl.travessas
seedy	a+m.decadente@a+f.decadente@a+m.sórdido@a+f.sórdida
centimetres	n+m+pl.centímetros
assertiveness	n+f.assertividade
raincoat	n+m.capa de chuva@n+m.impermeável
barf	v.vomitar@n+m.vômito
personable	a+m.agradável@a+f.agradável@a+m.simpático@a+f.simpática
implosion	n+f.implosão
scammers	n+m+pl.golpistas@n+m+pl.fraudadores
jeanine	n.Jeanine
wetness	n+f.umidade@n+m.molhado
megalithic	a+m.megalítico@a+f.megalítica
straddle	v.montar@v.cavalgar@n+m.posição de pernas abertas
bindery	n+f.encadernadora
imbedded	a+m.embutido@a+f.embutida@a+m.incorporado@a+f.incorporada
elysium	n+m.Elísio@n+m.paraíso
quenched	v.saciou@a+m.saciado@a+f.saciada@v.extinguiu
tantrum	n+m.acesso de raiva@n+f.birra
conifers	n+f+pl.coníferas
juiced	v.extraiu suco@a+m.com suco@a+f.com suco
antithesis	n+f.antítese
arthropods	n+m+pl.artrópodes
flexing	v.flexionando
tracers	n+m+pl.traçadores@n+f+pl.balas traçantes
timbuktu	n.Timbuktu
nonnegative	a+m.não negativo@a+f.não negativa
awakens	v.desperta
amoeba	n+f.ameba
sonoran	a+m.sonorense@a+f.sonorense
accentuate	v.acentuar@v.enfatizar
duvets	n+m+pl.edredons
neodymium	n+m.neodímio
squandered	v.desperdiçou@a+m.desperdiçado@a+f.desperdiçada
kwa	n.Kwa
sortie	n+f.surtida@n+f.missão aérea
alternators	n+m+pl.alternadores
caret	n+m.sinal de intercalação@n+m.acento circunflexo
shipwrecks	n+m+pl.naufrágios@v.naufraga
withal	ad.além disso@prep.com
eyelashes	n+m+pl.cílios
colliers	n+m+pl.mineiros de carvão@n+m+pl.carvoeiros
lookalike	n+m.sósia@a+m.parecido@a+f.parecida
gehrig	n.Gehrig
barman	n+m.barman
asti	n.Asti
blindfold	n+f.venda@v.vendar os olhos
bromine	n+m.bromo
rampart	n+m.muralha@n+m.baluarte
possessive	a+m.possessivo@a+f.possessiva@n+m.possessivo
immunoassay	n+m.imunoensaio
feldspar	n+m.feldspato
facades	n+f+pl.fachadas
maharaja	n+m.marajá
idealist	n+m.idealista@n+f.idealista
compensates	v.compensa
constables	n+m+pl.policiais@n+m+pl.guardas
mourns	v.lamenta@v.chora
solidified	v.solidificou@a+m.solidificado@a+f.solidificada
ferric	a+m.férrico@a+f.férrica
conceit	n+f.vaidade@n+f.presunção
needful	a+m.necessário@a+f.necessária
piso	n+m.piso@n+m.chão
campaigner	n+m.ativista@n+f.ativista@n+m.militante@n+f.militante
locusts	n+m+pl.gafanhotos
thatch	n+m.sapé@n+f.palha@v.cobrir com sapé
emboss	v.gravar em relevo@v.estampar
meiosis	n+f.meiose
diversifying	v.diversificando
inadequacies	n+f+pl.inadequações@n+f+pl.insuficiências
cappadocia	n.Capadócia
weathers	v.resiste@v.enfrenta@n+m+pl.climas
riverhead	n+f.nascente do rio
suva	n.Suva
grunts	n+m+pl.grunhidos@v.grunhe
thicket	n+m.matagal@n+m.bosque denso
depraved	a+m.depravado@a+f.depravada
continence	n+f.continência@n+f.contenção
puppetry	n+f.arte de marionetes
hypothalamic	a+m.hipotalâmico@a+f.hipotalâmica
treatises	n+m+pl.tratados
polygonal	a+m.poligonal@a+f.poligonal
prying	v.bisbilhotando@a+m.intrometido@a+f.intrometida
rascals	n+m+pl.malandros@n+m+pl.patifes
stopover	n+f.escala@n+f.parada
amway	n.Amway
koppel	n.Koppel
blip	n+m.ponto no radar@n+m.bipe@n+m.sinal breve
multivitamins	n+m+pl.multivitamínicos
voyageurs	n+m+pl.viajantes@n+m+pl.exploradores
bast	n+m.líber@n+f.fibra de casca
potholes	n+m+pl.buracos na estrada
rudely	ad.rudemente@ad.grosseiramente
renditions	n+f+pl.interpretações@n+f+pl.versões
vichy	n.Vichy
hammerstein	n.Hammerstein
bloemfontein	n.Bloemfontein
pubescent	a+m.pubescente@a+f.pubescente
icky	a+m.nojento@a+f.nojenta@a+m.pegajoso@a+f.pegajosa
weeps	v.chora@v.lamenta
berlitz	n.Berlitz
deplorable	a+m.deplorável@a+f.deplorável
smacking	v.estapeando@n+m.estalo@n+f.palmada
reintroduced	v.reintroduziu@a+m.reintroduzido@a+f.reintroduzida
aggravate	v.agravar@v.irritar
ariz	n.Ariz.
broadleaf	a+m.de folha larga@a+f.de folha larga@n+f.folha larga
quoth	v.disse
gretel	n.Gretel
iconography	n+f.iconografia
snowstorm	n+f.nevasca@n+f.tempestade de neve
lacuna	n+f.lacuna
postgraduates	n+m+pl.pós-graduandos@n+f+pl.pós-graduandas
solvable	a+m.solucionável@a+f.solucionável
combe	n+m.vale@n+m.desfiladeiro
intensifies	v.intensifica
birdies	n+m+pl.birdies@n+m+pl.passarinhos
queers	n+m+pl.queers@v.estraga
neckties	n+f+pl.gravatas
levelled	v.nivelou@a+m.nivelado@a+f.nivelada
incessantly	ad.incessantemente
sorption	n+f.sorção
depressant	n+m.depressor@a+m.depressivo@a+f.depressiva
radians	n+m+pl.radianos
flaring	v.flamejando@a+m.flamejante@a+f.flamejante
cormorant	n+m.cormorão@n+m.biguá
pedigrees	n+m+pl.pedigrees@n+f+pl.linhagens
seafarers	n+m+pl.marinheiros@n+m+pl.navegantes
yanked	v.puxou bruscamente@v.arrancou
langton	n.Langton
dempster	n.Dempster
switchgear	n+m.equipamento de manobra
stargazer	n+m.astrônomo amador@n+m.contemplador de estrelas
testa	n+f.testa@n+f.casca de semente
minted	v.cunhou@a+m.cunhado@a+f.cunhada@a+m.novinho em folha@a+f.novinha em folha
lye	n+f.lixívia@n+f.soda cáustica
baseballs	n+f+pl.bolas de beisebol
ditty	n+f.cantiga@n+f.canção simples
homomorphism	n+m.homomorfismo
pestilence	n+f.pestilência@n+f.peste
thoroughfare	n+f.via pública@n+f.artéria principal
skiff	n+m.esquife@n+m.barco pequeno
tripura	n.Tripura
spreaders	n+m+pl.espalhadores@n+m+pl.disseminadores
doss	v.dormir@n+f.dormida
belligerent	a+m.beligerante@a+f.beligerante@n+m.beligerante
impeached	v.impugnou@a+m.impugnado@a+f.impugnada
fingerboard	n+m.braço do instrumento@n+f.escala
deaconess	n+f.diaconisa
gummy	a+m.gomoso@a+f.gomosa@a+m.pegajoso@a+f.pegajosa
biodegradation	n+f.biodegradação
tartu	n.Tartu
hight	v.chamado@a+m.nomeado@a+f.nomeada
eclipsed	v.eclipsou@a+m.eclipsado@a+f.eclipsada
preschooler	n+m.pré-escolar@n+f.pré-escolar
conspired	v.conspirou
auctioning	v.leiloando
cationic	a+m.catiônico@a+f.catiônica
varia	n+f+pl.varia@n+f+pl.miscelânea
catacombs	n+f+pl.catacumbas
paperweights	n+m+pl.pesos de papel
agonizing	a+m.agonizante@a+f.agonizante@v.agonizando
bottomless	a+m.sem fundo@a+f.sem fundo@a+m.infinito@a+f.infinita
sows	n+f+pl.porcas@v.semeia
attributing	v.atribuindo
londoners	n+m+pl.londrinos@n+f+pl.londrinas
mouthpieces	n+f+pl.bocais@n+m+pl.porta-vozes
encumbrances	n+m+pl.ônus@n+f+pl.cargas
tilapia	n+f.tilápia
sardis	n.Sardes
interferometry	n+f.interferometria
rhondda	n.Rhondda
lullabies	n+f+pl.canções de ninar
slasher	n+m.cortador@n+m.filme de terror
critiquing	v.criticando@v.analisando
polypeptides	n+m+pl.polipeptídeos
oxfords	n+m+pl.sapatos oxford
excruciating	a+m.excruciante@a+f.excruciante@a+m.lancinante@a+f.lancinante
munchkin	n+m.munchkin@n+f.criança pequena
punctual	a+m.pontual@a+f.pontual
audiotape	n+f.fita de áudio
retrospectively	ad.retrospectivamente
runaways	n+m+pl.fugitivos@n+f+pl.fugitivas
boniface	n.Bonifácio
conjunctivitis	n+f.conjuntivite
witter	v.tagarelar@v.papaguear
grafted	v.enxertou@a+m.enxertado@a+f.enxertada
watercourse	n+m.curso de água@n+m.leito de rio
climatological	a+m.climatológico@a+f.climatológica
propped	v.apoiou@v.escorou@a+m.apoiado@a+f.apoiada
marginalised	a+m.marginalizado@a+f.marginalizada
prostheses	n+f+pl.próteses
telegrams	n+m+pl.telegramas
privatize	v.privatizar
interphase	n+f.interfase
florsheim	n.Florsheim
staking	v.estacando@v.apostando
conversing	v.conversando
testable	a+m.testável@a+f.testável
backtracking	v.retrocedendo@n+m.retrocesso
differentiable	a+m.diferenciável@a+f.diferenciável
sisal	n+m.sisal
acetylene	n+m.acetileno
calamities	n+f+pl.calamidades
bedouin	n+m.beduíno@n+f.beduína@a+m.beduíno@a+f.beduína
viennese	a+m.vienense@a+f.vienense@n+m.vienense@n+f.vienense
fancies	n+f+pl.fantasias@v.imagina@v.gosta de
peeves	n+f+pl.irritações@v.irrita
accuser	n+m.acusador@n+f.acusadora
ballymena	n.Ballymena
copolymers	n+m+pl.copolímeros
bystanders	n+m+pl.espectadores@n+m+pl.transeuntes
connotation	n+f.conotação
minos	n.Minos
bookable	a+m.reservável@a+f.reservável
alienating	v.alienando@a+m.alienante@a+f.alienante
brokaw	n.Brokaw
animas	n+f+pl.animas@n+f+pl.almas
ganymede	n.Ganimedes
normalizing	v.normalizando
sultans	n+m+pl.sultões
enjoined	v.ordenou@v.proibiu
banknote	n+f.cédula@n+f.nota bancária
finches	n+m+pl.tentilhões
basques	n+m+pl.bascos@n+f+pl.bascas
animating	v.animando
mercurial	a+m.mercurial@a+f.mercurial@a+m.volúvel@a+f.volúvel
bargained	v.negociou@v.barganhou
repugnant	a+m.repugnante@a+f.repugnante
mullahs	n+m+pl.mulás
repossessed	v.retomou@a+m.retomado@a+f.retomada
citron	n+m.cidra@n+f.cidreira
clave	n+f.clave
pageants	n+m+pl.desfiles@n+m+pl.concursos de beleza
grosses	v.arrecada
tacked	v.pregou@v.fixou
broadens	v.amplia@v.alarga
supplant	v.suplantar
oilseed	n+f.semente oleaginosa
stiffer	a+m.mais rígido@a+f.mais rígida
pokes	v.cutuca@n+f+pl.cutucadas
saxophones	n+m+pl.saxofones
slates	n+f+pl.lousas@n+f+pl.ardósias@v.programa
corroborated	v.corroborou@a+m.corroborado@a+f.corroborada
iwo	n.Iwo
andros	n.Andros
bestiary	n+m.bestiário
allelic	a+m.alélico@a+f.alélica
magnetically	ad.magneticamente
arteriosclerosis	n+f.arteriosclerose
permafrost	n+m.permafrost@n+m.pergelissolo
hunky	a+m.musculoso@a+f.musculosa@a+m.atraente@a+f.atraente
cranking	v.girando a manivela@v.acionando
