ABA	n.aba
script	n+m.script
scripting	n+m.scripting
scripts	n+m.scripts
scrum	n+m.scrum
se	conj.if@conj.whether
se importa	v.cares
sebo	n+m.tallow
seca	a+f.dry@n+f.drought@a+f.curt@v.dries@a+f.sear
secador	n+m.dryer@n+m.drier
secador de cabelo	n+m.hairdryer
secadora	n+f.dryer
secadores	n+m.dryers
secadores de cabelo	n+m+pl.hairdryers
secagem	n+f.drying
secando	v.drying
secar	v.dry
secas	n+f+pl.droughts
seccional	a.sectional
secessão	n+f.secession
seco	a+m.dry@a.dried@a+m.curt@a+m.sear
secou	v.dried
secreta	a+f.secret@a+f.covert@a+f.backdoor
secretada	a+f.secreted
secretado	a+m.secreted
secretamente	ad.secretly
secretar	v.secreted@v.secrete
secretaria	n+f.clerkship
secretariado	n+m.secretariat
secretarial	a.secretarial
secreto	a+m.secret@a+m.covert@a+m.backdoor
secretor	a+m.secretory
secretora	a+f.secretory
secretude	n+f.secrecy
secretária	n+f.secretary
secretárias	n+f.secretaries
secretário	n+m.secretary@n+m.registrar
secretários	n+m.secretaries
secreção	n+f.secretion
secreções	n+f+pl.secretions
sectária	a+f.sectarian@n+f.sectarian
sectário	a+m.sectarian@n+m.sectarian
secular	a.secular
secularismo	n+m.secularism
secundária	a+f.secondary
secundário	a+m.secondary
secura	n+f.dryness
seda	n+f.silk
sedas	n+f+pl.silks
sedativa	a+f.sedative
sedativo	n+m.sedative@a+m.sedative
sedativos	n+m+pl.sedatives
sedação	n+f.sedation
sede	n+f.venue@n+f.headquarters@n+f.thirst
sede do clube	n+f.clubhouse
sedenta	a+f.thirsty
sedento	a+m.thirsty
sedentária	a+f.sedentary
sedentário	a+m.sedentary
seder	n+m.seder
sediada	a+f.headquartered
sediado	a+m.headquartered
sediar	v.headquarter
sedimentar	a+m.sedimentary@a+f.sedimentary
sedimentação	n+f.sedimentation
sedimento	n+m.sediment
sedimentos	n+m.sediments
sedição	n+f.sedition
sedosa	a+f.silky@a+f.silken
sedoso	a+m.silky@a+m.silken
sedutor	a+m.seductive@a+m.alluring
sedutora	a+f.seductive@a+f.alluring
seduz	v.seduces
seduzida	a+f.seduced
seduzido	a+m.seduced
seduzindo	v.seducing
seduzir	v.vamp@v.seduce@v.entice@v.seduced
sedução	n+f.seduction@n+f.allure
sedã	n+m.sedan
sedãs	n+m.sedans
seg	n+f.mon
segmentada	a+f.segmented
segmentado	a+m.segmented
segmental	a+m.segmental@a+f.segmental
segmentar	v.segmented
segmentação	n+f.targeting@n+f.segmentation
segmento	n+m.segment
segmentos	n+m+pl.segments
segredo	n+m.secret
segredos	n+m.secrets
segregada	a+f.segregated
segregado	a+m.segregated
segregar	v.segregate
segregação	n+f.segregation
segregou	v.segregated
segue	v.follows
segue-se	v.ensues
seguida	a+f.followed@a+f.ensued
seguido	a+m.followed@a+m.ensued
seguidor	n+m.follower
seguidora	n+f.follower
seguidoras	n+f.followers
seguidores	n+m.followers@n+m.followings@n+m+pl.retainers
seguimento	n+m.followup
seguimentos	n+m+pl.followups
seguindo	v.shadowing@v.dogging
seguindo muito de perto	v.tailgating
seguinte	a+m.following@a+f.following@a+m.succeeding@a+f.succeeding
seguir	v.follow@v.ensued@v.trailed@v.segue
seguir-se	v.ensue
seguiu	v.followed@v.tailed@v.shadowed
segunda	a+f.second
segunda chance	n+m.mulligan
segunda feira	n+f.monday
segundas-feiras	n+f.mondays
segundo	a+m.second@n+m.second@n+m.sec@n+m.segundo
segundo consta	ad.reportedly
segundo turno	n+m.runoff
segundo-anista	n+m.soph@n+f.soph
segundos	n+m.seconds@n+m.secs
segura	a+f.sure@a+f.safe@a+f.secure@v.holds@a+f.secured
segurada	n+f.policyholder
seguradas	n+f+pl.policyholders
segurado	a.insured@v.insured@n+m.policyholder
segurador	n+m.underwriter
seguradora	n+f.insurer@n+f.underwriter
seguradoras	n+f.insurers
segurados	n+m+pl.policyholders
segurando	v.holding
segurança	n+f.security@n+f.safety@n+m.bouncer
seguranças	n+f.assurances@n+m+pl.bouncers
segurar	v.hold@v.insure@v.insuring@v.insures@v.belay
seguro	n+m.insurance@a+m.sure@a+m.safe@a+m.secure@a+m.secured@n+m.assurance@n+m.insuring
seguros	n+m+pl.insurances
segurou	v.held
seio	n+m.breast@n+m.tit@n+m.boob@n+m.sinus@n+m.bosom
seios	n+m.tits@n+m.boobs@n+m.breasts@n+m.boobies
seios nasais	n+m+pl.sinuses
seis	n+m.six@a+m.six@a+f.six
seis pence	n+m.sixpence
seita	n+f.sect
seitas	n+f.cults@n+f+pl.sects
seiva	n+f.sap
seivas	n+f+pl.saps
seixo	n+m.pebble@n+m.shingle
seixos	n+m.pebbles
seja como for	ad.anyhow
sela	v.seals@n+f.saddle@v.saddles
selada	a+f.sealed@a+f.seared@a+f.saddled
selado	a+m.sealed@a+m.seared@a+m.saddled
selador	n+m.sealer
seladores	n+m+pl.sealers
selante	n+m.sealant
selantes	n+m.sealants
selar	v.seal@v.saddle@v.sealing@v.sear
selaria	n+f.saddlery
selas	n+f.saddles
seleciona	v.selects
selecionada	a+f.selected
selecionado	a+m.selected
selecionando	v.selecting
selecionar	v.select@v.cull
selecionou	v.selected@v.culled
selecionável	a+m.selectable@a+f.selectable
seleta	a+f.select
seletiva	a+f.picky
seletivamente	ad.selectively
seletividade	n+f.selectivity
seletivo	a.selective@a+m.picky
seleto	a+m.select
seletor	n+m.selector@n+m.chooser
seletores	n+m.selectors
seleção	n+f.selection
seleções	n+f+pl.selections@n+f+pl.tryouts
selo	n+m.seal@n+m.stamp@n+m.hallmark@n+m.signet@n+m.cachet
selos	n+m.stamps@n+m+pl.seals
selou	v.sealed@v.seared@v.saddled
selva	n+f.jungle
selvagem	a+m.wild@a+f.wild@a.savage@n+m.savage@a+m.feral@a+f.feral
selvagemente	ad.wildly
selvagens	n+m+pl.savages@n+f+pl.savages
selvas	n+f+pl.jungles
selênio	n+m.selenium
sem	prep.without@prep.sans
sem alças	a+m.strapless@a+f.strapless
sem amor	a+m.loveless@a+f.loveless
sem assistência	a+m.unassisted@a+f.unassisted
sem atração	a+m.unattractive@a+f.unattractive
sem base	a+m.baseless@a+f.baseless
sem blusa	a.topless
sem cabeça	a+m.headless@a+f.headless
sem camisa	a+m.shirtless@a+f.shirtless
sem caroço	a+m.pitted@a+f.pitted
sem chumbo	a+m.unleaded@a+f.unleaded
sem classificação	a.unrated
sem coração	a+m.heartless@a+f.heartless
sem data	a+m.undated@a+f.undated
sem demora	ad.forthwith
sem destaque	a+m.unremarkable@a+f.unremarkable
sem documentos	a+m.undocumented@a+f.undocumented
sem dormir	a+m.sleepless@a+f.sleepless
sem dúvida	ad.undoubtedly@ad.arguably@ad.doubtless
sem esforço	ad.effortlessly@a+m.effortless@a+f.effortless
sem esperança	a+m.hopeless@a+f.hopeless
sem filhos	a+m.childless@a+f.childless
sem fim	a.endless
sem fins lucrativos	a.nonprofit
sem fio	a+m.wireless@a+f.wireless@a.cordless
sem forro	a+m.unlined@a+f.unlined
sem fumaça	a+m.smokeless@a+f.smokeless
sem fundo	a+m.bottomless@a+f.bottomless
sem fôlego	a+m.breathless@a+f.breathless@a+m.winded@a+f.winded
sem garantia	a.unsecured
sem gol	a+m.scoreless@a+f.scoreless
sem gosto	a+m.tasteless@a+f.tasteless
sem graça	a+m.bland@a+f.bland@a+m.drab@a+f.drab
sem idade	a+m.ageless@a+f.ageless
sem identificação	a+m.unmarked@a+f.unmarked
sem igual	a+m.unmatched@a+f.unmatched
sem importância	a+m.unimportant@a+f.unimportant
sem incidentes	a+m.uneventful@a+f.uneventful
sem instrução	a+m.uneducated@a+f.uneducated
sem interrupções	ad.seamlessly
sem lei	a+m.lawless@a+f.lawless
sem licença	a+m.unlicensed@a+f.unlicensed
sem litoral	a+m.landlocked@a+f.landlocked
sem mangas	a+m.sleeveless@a+f.sleeveless
sem marca	a+m.unbranded@a+f.unbranded
sem moldura	a+m.unframed@a+f.unframed
sem nome	a+m.nameless@a+f.nameless
sem noção	a+m.clueless@a+f.clueless
sem número	a+m.unnumbered@a+f.unnumbered
sem oposição	a+m.unopposed@a+f.unopposed
sem palavras	a+m.speechless@a+f.speechless
sem papel	a+m.paperless@a+f.paperless
sem paralelo	a+m.unparalleled@a+f.unparalleled
sem parar	ad.nonstop
sem pelo	a+m.hairless@a+f.hairless
sem perdas	a+m.lossless@a+f.lossless
sem perfume	a+m.unscented@a+f.unscented
sem poder	a+m.powerless@a+f.powerless
sem precedentes	a.unprecedented
sem receita	a+m.nonprescription@a+f.nonprescription
sem resposta	a+m.unresponsive@a+f.unresponsive
sem rival	a+m.unrivalled@a+f.unrivalled
sem rodeios	ad.bluntly
sem rosto	a+m.faceless@a+f.faceless
sem rugas	a+m.unlined@a+f.unlined
sem saber	ad.unknowingly
sem sal	a+m.unsalted@a+f.unsalted
sem seguro	n+m.uninsured
sem sela	ad.bareback@a+m.bareback@a+f.bareback
sem sentido	a+m.pointless@a+f.pointless@a+m.mindless@a+f.mindless@a+m.meaningless@a+f.meaningless@a+m.senseless@a+f.senseless@a+m.nonsensical@a+f.nonsensical
sem sinal	a.unsigned
sem sol	a+m.sunless@a+f.sunless
sem sucesso	ad.unsuccessfully
sem surpresa	ad.unsurprisingly
sem terra	a+m.landless@a+f.landless
sem título	a.untitled
sem valor	a+m.worthless@a+f.worthless
sem vergonha	ad.shamelessly
sem vida	a+m.lifeless@a+f.lifeless
sem-teto	a.homeless@n+m+pl.homeless
semana	n+f.week
semana de trabalho	n+f.workweek
semanal	a+m.weekly@a+f.weekly
semanalmente	ad.weekly
semanas	n+f.weeks
semanticamente	ad.semantically
semanários	n+m+pl.weeklies
semblante	n+m.countenance@n+m.mien
semeada	a+f.seeded@a+f.sown
semeado	a+m.seeded@a+m.sown
semeadura	n+f.seeding@n+f.sowing
semeando	v.seeding
semear	v.sow@v.sowing@v.sown
semeia	v.sows
semelhante	a+m.similar@a+f.similar@a.alike@a+m.akin@a+f.akin
semelhança	n+f.similarity@n+f.resemblance@n+f.likeness@n+f.semblance
semelhanças	n+f.similarities
semente	n+f.seed@n+f.pip
semente oleaginosa	n+f.oilseed
sementes	n+f+pl.seeds@n+m+pl.pips
semestral	a+m.semiannual@a+f.semiannual
semestre	n+m.semester
semestres	n+m.semesters
semi	a.semi@n+m.semi
semicondutor	n+m.semiconductor
semicondutores	n+m+pl.semiconductors
semifinais	n+f.semifinals@n+f+pl.semis
semifinal	n+f.semifinal
seminal	a+m.seminal@a+f.seminal
seminole	n.seminole
seminoles	n+m+pl.seminoles
seminova	a+f.preowned
seminovo	a+m.preowned
seminário	n+m.seminar@n+m.seminary
seminário online	n+m.webinar
seminários	n+m.seminars@n+m+pl.seminaries
semitismo	n+m.semitism
semiótica	n+f.semiotics
sempre	ad.always@ad.ever
sempre que	conj.whenever
semáforo	n+m.semaphore
semântica	n+f.semantics
semântico	a.semantic
semítica	a+f.semitic
semítico	a+m.semitic
senado	n+m.senate
senador	n+m.senator@n.sen
senadora	n+f.senator
senadores	n+m+pl.senators
senatorial	a+m.senatorial@a+f.senatorial
senciente	a+m.sentient@a+f.sentient
sendo	v.being
sene	n+m.senna
senha	n+f.password
senhas	n+f+pl.passwords
senhor	n+m.lord@n+m.sir@n+m.mister@n+m.sire@n+m.monsieur@n+m.herr@n+m.esquire@n+m.senor
senhor da guerra	n+m.warlord
senhor de terras	n+m.laird
senhor supremo	n+m.overlord
senhora	n+f.lady@n+f.mrs@n+f.mistress@n+f.madam@n+f.frau@n+f.sra
senhoras	n+f.ladies
senhores	n+m+pl.sirs@n+m+pl.sires
senhores da guerra	n+m+pl.warlords
senhoria	n+m.lordship
senhorio	n+m.landlord
senhorios	n+m.landlords
senhorita	n+f.miss@n+f.missy@n+f.mademoiselle
senhoritas	n+f.misses
senil	a+m.senile@a+f.senile
senioridade	n+f.seniority
seno	n+m.sine
seno hiperbólico	n+m.sinh
sensacional	a+m.sensational@a+f.sensational
sensata	a+f.sane@a+f.commonsense
sensatamente	ad.sensibly
sensato	a.sensible@a+m.sane@a+m.commonsense
sensação	n+f.feel@n+f.sense@n+f.sensation
sensação térmica	n+f.windchill
sensações	n+f.sensations
sensibilidade	n+f.sensitivity@n+f.sensibility
sensibilidades	n+f+pl.sensitivities@n+f+pl.sensibilities
sensibilizada	a+f.sensitized
sensibilizado	a+m.sensitized
sensibilização	n+f.sensitization
sensibilizou	v.sensitized
sensor	n+m.sensor
sensores	n+m+pl.sensors
sensorial	a.sensory
sensual	a.sensual@a+m.steamy@a+f.steamy@a+m.sultry@a+f.sultry@a+m.sensuous@a+f.sensuous
sensualidade	n+f.sensuality
sensível	a.sensitive@a+m.touchy@a+f.touchy
senta	v.sits
sentada	a+f.seated
sentado	v.sitting@a+m.seated
sentar	v.seat@v.sit
sente	v.feels@v.senses
sente falta	v.misses
sentenciada	a+f.sentenced
sentenciado	a+m.sentenced
sentenciar	v.sentencing
sentenciou	v.sentenced
sentença	n+f.sentence@n+f.sentencing
sentenças	n+f+pl.sentences@n+f.rulings
sentida	a+f.sensed
sentido	n+m.sense@a+m.sensed
sentidos	n+m+pl.senses@n+m.sens
sentimental	a+m.sentimental@a+f.sentimental
sentimento	n+m.feeling@n+m.sentiment
sentimentos	n+m+pl.feelings@n+m.sentiments
sentindo	v.feeling@v.sensing
sentinela	n+m.sentinel@n+f.sentry
sentinelas	n+m+pl.sentinels
sentir	v.feel@v.sense@v.sensed
sentir falta	v.miss
sentiu	v.felt
sentou	v.sat
senão	conj.else
separa	v.separates
separada	a+f.separate@a+f.parted@a+f.estranged
separadamente	ad.separately@ad.severally
separado	a+m.separate@ad.apart@a.separated@v.separated@a.discrete@a.detached@a+m.parted@a+m.estranged@ad.asunder
separador	n+m.separator
separadores	n+m+pl.separators
separando	a.separating
separar	v.part@v.separate@v.separating@v.detach
separatista	a+m.separatist@a+f.separatist@n+m.separatist@n+f.separatist
separatistas	n+m+pl.separatists
separação	n+f.separation@n+f.parting@n+f.breakup
separações	n+f.separations
separou	v.parted
separável	a+m.separable@a+f.separable
sepse	n+f.sepsis
septal	a+m.septal@a+f.septal
septo	n+m.septum
sepultamento	n+m.burial@n+m.interment
sepultamentos	n+m.burials
sepultura	n+f.grave
sepulturas	n+f.graves
sequazes	n+m.followings
sequenciada	a+f.sequenced
sequenciado	a+m.sequenced
sequenciador	n+m.sequencer
sequenciadores	n+m+pl.sequencers
sequencial	a.sequential
sequencialmente	ad.sequentially
sequenciamento	n+m.sequencing
sequenciar	v.sequenced
sequente	a+m.sequent@a+f.sequent@n+m.sequent
sequestrada	a+f.kidnapped@a+f.abducted@a+f.hijacked
sequestrado	a+m.kidnapped@a+m.abducted@a+m.hijacked
sequestrador	n+m.hijacker
sequestradora	n+f.hijacker
sequestradoras	n+f+pl.hijackers
sequestradores	n+m+pl.hijackers@n+m+pl.kidnappers@n+m+pl.captors
sequestrando	v.kidnapping
sequestrar	v.hijack@v.abducted@v.hijacked@v.hijacking@v.kidnap
sequestração	n+f.sequestration
sequestro	n+m.kidnapping@n+m.abduction@n+m.hijack@n+m.hijacking@n+m.kidnap
sequestro de carbono	n+m.sequestration
sequestros	n+m+pl.abductions
sequestrou	v.kidnapped
sequoia	n+f.redwood@n+f.sequoia
sequoias	n+f+pl.redwoods
sequência	n+f.sequence@n.seq@n+f.sequel@n+f.streak
sequências	n+f+pl.sequences@n+f+pl.sequels
ser	v.be@n+m.being@n+m.ens
ser suficiente	v.suffice
sereia	n+f.mermaid@n+f.siren
sereias	n+f+pl.mermaids
serena	a+f.serene@a+f.halcyon
serenata	n+f.serenade
serendipidade	n+f.serendipity
serenidade	n+f.serenity
sereno	a+m.serene@a+m.halcyon
seres	n+m+pl.beings
serge	n.serge
seria	v.would
seriados	n+m.serials
serial	a.serial@n+m.serial
serializada	a+f.serialized
serializado	a+m.serialized
serializar	v.serialized@v.serialize
serialização	n+f.serialization
seriamente	ad.seriously@ad.earnestly
seriedade	n+f.seriousness
serifa	n+f.serif
serigrafar	v.silkscreen
serigrafia	n+f.silkscreen
serina	n+f.serine
seringa	n+f.syringe
seringas	n+f.syringes
sermão	n+m.sermon
sermões	n+m.sermons
serotonina	n+f.serotonin
serpente	n+f.serpent
serpenteando	v.meandering
serpentear	v.meander
serpentes	n+f+pl.serpents
serpentina	a+f.serpentine@n+f.serpentine@n+f.streamer
serpentinas	n+f+pl.streamers
serpentino	a+m.serpentine
serra	n+f.saw@n+f.serra
serra tico-tico	n+f.jigsaw
serragem	n+f.sawdust
serrana	a+f.serrano
serrando	v.sawing
serrano	a+m.serrano
serraria	n+f.sawmill
serrarias	n+f+pl.sawmills
serras	n+f.saws
serras tico-tico	n+f+pl.jigsaws
serrilhada	a+f.serrated@a+f.sawtooth
serrilhado	a+m.serrated@a+m.sawtooth
serrilhamento	n+f.aliasing
sertão	n+m.outback
serva	n+f.servant
servas	n+f+pl.servants
serve	v.serves@v.fits@v.suits
servida	a+f.served
servido	a+m.served
servidor	n+m.server
servidor de listas	n+m.listserver
servidores	n+m.servers
servidão	n+f.easement@n+f.servitude@n+f.thrall
servidões	n+f.easements
servindo	v.serving
servir	v.serve@v.suit@v.pours
servir com concha	v.ladle
serviu	v.served
serviço	n+m.service@n+m.servicing
serviço de emergência médica	n.ems
serviços	n+m.services
servo	n+m.servant@n+m.servo
servomotor	n+m.servo
servomotores	n+m+pl.servos
servos	n+m+pl.servants
ses	n+m.ifs
sessenta	num.sixty
sessão	n+f.session@n+f.sitting
sessão plenária	n+f.plenary
sessões	n+f.sessions@n+f+pl.sittings
sesta	n+f.siesta
set	n+m.sep
seta	n+f.arrow
setas	n+f.arrows
sete	n+m.seven@a+m.seven@a+f.seven
sete vezes	ad.sevenfold
setembro	n+m.september@n.sept
setenta	n+m.seventy@a.seventy
setentrional	a+m.northern@a+f.northern
setes	n+m+pl.sevens
setor	n+m.sector
setor aeroespacial	n+m.aerospace
setor bancário	n+m.banking
setores	n+m.sectors
setorial	a+m.sectoral@a+f.sectoral
setters	n+m+pl.setters
setup	n+m.setup
seu	pron+m.your@pron+m.their@pron+m.his@pron+m.its@pron.yours@pron.yer
severa	a+f.severe
severamente	ad.severely@ad.sternly
severidade	n+f.severity
severo	a+m.severe@a.stern@a.harsh
sevilha	n.seville
sex	n+f.fri
sexismo	n+m.sexism
sexista	a+m.sexist@a+f.sexist@n+m.sexist@n+f.sexist
sexo	n+m.sex
sexo oral	n+m.blowjob@n+m.blowjobs
sexo virtual	n+m.cybersex
sexos	n+m.sexes
sexta feira	n+f.friday
sextas-feiras	n+f.fridays
sexteto	n+m.sextet
sexto	num.sixth@a.sixth
sexual	a.sexual
sexualidade	n+f.sexuality
sexualmente	ad.sexually
sexy	a+m.sexy@a+f.sexy@a+m.foxy@a+f.foxy
seção	n+f.section
seções	n+f.sections
shabat	n+m.shabbat
shakespeariana	a+f.shakespearean
shakespeariano	a+m.shakespearean
shalom	int.shalom
shampoo	n+m.shampoo
shapiro	n.shapiro
shareware	n+m.shareware
sharia	n+f.sharia
sharpe	n.sharpe
shawnee	n.shawnee
shea	n.shea
shekel	n+m.shekel
shekels	n+m+pl.shekels
shell	n+m.shell
shelly	n.shelly
shelton	n.shelton
shepard	n.shepard
sherlock	n.sherlock
sherpa	n+m.sherpa
shetland	n.shetland
shiatsu	n+m.shiatsu
shigella	n+f.shigella
shiraz	n+m.shiraz
shopping	n+m.mall
shoppings	n+m+pl.malls
shorts	n+m.shorts
show	n+m.show@n+m.concert@n+m.gig
show aéreo	n+m.airshow
showbiz	n+m.showbiz
showroom	n+m.showroom
showrooms	n+m.showrooms
shows	n+m.shows@n+m+pl.concerts@n+m.gigs
shr	n+m.shr
shrek	n.shrek
shreveport	n.shreveport
shrewsbury	n.shrewsbury
shunt	n+m.shunt
si mesma	pron.oneself
si mesmo	pron.self@pron.yourself@pron.itself@pron.himself@pron.oneself
si mesmos	pron.themselves@pron.selves
siamesa	a+f.siamese@n+f.siamese
siamês	a+m.siamese@n+m.siamese
siberiana	a+f.siberian
siberiano	a+m.siberian
sibilando	v.hissing
sibilar	v.swish@v.hiss
sibilo	n+m.hiss@n+m.hissing
sic	ad.sic
siciliana	a+f.sicilian@n+f.sicilian
siciliano	a+m.sicilian@n+m.sicilian
sicília	n.sicily
sicômoro	n+m.sycamore
sidecar	n+m.sidecar
sido	v.been
sidra	n+f.cider
siena	n.siena@n+m.sienna
sifonar	v.siphon
sifão	n+m.siphon
sig	n+f.sig
sigilo	n+m.secrecy
sigla	n+f.acronym@n+f.abbreviation
siglas	n+f.acronyms
sigma	n+m.sigma
signatária	n+f.signatory@a+f.signatory@n+f.signer
signatárias	n+f+pl.signatories@n+f+pl.signers
signatário	n+m.signatory@a+m.signatory@n+m.signer
signatários	n+m+pl.signatories@n+m+pl.signers
significa	v.means@v.signifies
significada	a+f.signified
significado	n+m.meaning@n+m.purport@a+m.signified
significados	n+m+pl.meanings
significando	v.meaning@v.signifying
significar	v.mean@v.signify
significativa	a+f.significant
significativamente	ad.significantly@ad.meaningfully
significativo	a+m.significant@a.meaningful
significou	v.meant@v.signified
significância	n+f.significance
sikh	n+m.sikh@a+m.sikh@a+f.sikh
silagem	n+f.silage
silencia	v.silences
silenciada	a+f.muted@a+f.silenced@a+f.hushed
silenciado	a+m.muted@a+m.silenced@a+m.hushed
silenciador	n+m.muffler@n+m.silencer
silenciadores	n+m+pl.mufflers
silenciamento	n+m.silencing
silenciar	v.silence@v.mute@v.muted@v.silenced@v.silencing
silenciosa	a+f.silent
silenciosamente	ad.quietly@ad.silently
silencioso	a.quiet@a+m.silent
silenciou	v.hushed
silhueta	n+f.silhouette
silhuetas	n+f+pl.silhouettes
silicato	n+m.silicate
silicone	n+m.silicone
silo	n+m.silo
silos	n+m+pl.silos
siltosa	a+f.silty
siltoso	a+m.silty
silvestre	a+m.sylvan@a+f.sylvan
silvicultura	n+f.forestry@n+f.silviculture
silvo	n+m.swish@n+m.swoosh
silêncio	n+m.silence@n+m.hush@int.hush
silêncios	n+m+pl.silences
silício	n+m.silicon
sim	ad.yes@int.yes@int.yeah@int.aye@int.yea@ad.yea@int.yep@int.yup@int.yah@int.oui
simbiose	n+f.symbiosis
simbiótica	a+f.symbiotic
simbiótico	a+m.symbiotic
simbolicamente	ad.symbolically
simbolismo	n+m.symbolism
simboliza	v.symbolizes
simbolizar	v.symbolize
simbolizou	v.symbolized
simbólico	a.symbolic
simetria	n+f.symmetry
simetrias	n+f+pl.symmetries
similar	a+m.similar@a+f.similar
similaridade	n+f.similarity
similarmente	ad.similarly
simone	n.simone
simpatia	n+f.sympathy@n+f.friendliness
simpatias	n+f+pl.sympathies
simpatizar	v.sympathize
simples	a+m.simple@a+f.simple@a.plain@a.straightforward@a+m.simplex@a+f.simplex@a+m.homespun@a+f.homespun@a+m.homely@a+f.homely@a+m.noddy@a+f.noddy
simplesmente	ad.simply@ad.merely@ad.plainly
simplex	n+m.simplex
simplicidade	n+f.simplicity
simplifica	v.simplifies@v.streamlines
simplificada	a+f.streamlined
simplificado	a.simplified@a+m.streamlined
simplificando	v.simplifying
simplificar	v.simplify@v.streamline
simplificação	n+f.simplification
simplista	a+m.simplistic@a+f.simplistic
simpática	a+f.sympathetic@a+f.likable@a+f.likeable@a+f.personable
simpático	a+m.sympathetic@a+m.likable@a+m.likeable@a+m.personable
simpósio	n+m.symposium
simulada	a+f.mock
simulado	a.simulated@a+m.mock
simulador	n+m.simulator
simuladores	n+m.simulators
simulando	v.simulating
simular	v.pretend@v.simulate@v.simulates
simulação	n+f.simulation
simulação de ONU	n+m.mun
simulações	n+f+pl.simulations
simulou	v.simulated
simultaneamente	ad.simultaneously@ad.concurrently
simultâneo	a.concurrent@a.simultaneous
simétrica	a+f.symmetric@a+f.symmetrical
simétrico	a+m.symmetric@a+m.symmetrical
sinagoga	n+f.synagogue
sinagogas	n+f+pl.synagogues
sinai	n.sinai
sinais	n+m.signs@n+m.signals
sinais distintivos	n+m+pl.hallmarks
sinal	n+m.sign@n+m.mark@n+m.signal
sinal breve	n+m.blip
sinal de intercalação	n+m.caret
sinal de jogo da velha	n+m.hash
sinaliza	v.signals
sinalizada	a+f.flagged
sinalizado	a+m.flagged
sinalizadores	n+m.flares
sinalizando	v.signalling
sinalizar	v.signal
sinalização	n+f.signage@n+f.signalling
sinalizou	v.flagged@v.signalled
sinapse	n+f.synapse
sinapses	n+f+pl.synapses
sincera	a+f.sincere@a+f.earnest@a+f.heartfelt
sinceramente	ad.sincerely@ad.truthfully@ad.earnestly@ad.heartily@ad.wholeheartedly
sinceridade	n+f.sincerity@n+f.truthfulness
sincero	a+m.sincere@a+m.earnest@a+m.heartfelt
sincronicidade	n+f.synchronicity
sincronizada	a+f.synchronized@a+f.synchro
sincronizado	a+m.synchronized@a+m.synchro
sincronizador	n+m.synchronizer
sincronizando	v.syncing
sincronizar	v.sync@v.synchronize@v.synch@v.synchronizing
sincronização	n+f.sync@n+f.synchronization@n+f.synch@n+f.synchronisation@n+m.synchro@n+m.entrainment
sincronizou	v.synchronized
sind	n.sind
sindicalismo	n+m.unionism
sindicalista	n+m.unionist@n+f.unionist
sindicalistas	n+m+pl.unionists
sindicaliza	v.syndicates
sindicalizada	a+f.syndicated@a+f.unionized
sindicalizado	a+m.syndicated@a+m.unionized
sindicalização	n+f.syndication
sindicalizou	v.unionized
sindicato	n+m.union@n+m.syndicate
sindicatos	n+m+pl.unions@n+m+pl.syndicates
sinergia	n+f.synergy
sinergias	n+f+pl.synergies
sinete	n+m.signet
sinfonia	n+f.symphony@n+f.sinfonia
sinfonias	n+f.symphonies
sinfônica	a+f.symphonic
sinfônico	a+m.symphonic
singapurense	a+m.singaporean@a+f.singaporean@n+m.singaporean@n+f.singaporean
singles	n+m.singles
singleton	n+m.singleton@n.singleton
singular	a.singular@n+m.singular
singularidade	n+f.uniqueness@n+f.singularity@n+f.distinctiveness
singularidades	n+f+pl.singularities
singularmente	ad.uniquely@ad.singularly
sinistra	a+f.creepy@a+f.sinister@a+f.spooky@a+f.eerie
sinistro	a+m.creepy@a+m.sinister@a+m.spooky@a+m.eerie
sino	n+m.bell
sino de vaca	n+m.cowbell
sinopse	n+f.synopsis@n+f.blurb
sinopses	n+f+pl.synopses@n+f+pl.blurbs
sinos	n+m+pl.bells@n+m.chimes@n+m.ringers
sinovial	a+m.synovial@a+f.synovial
sins	n+m.ayes@int.yeahs
sintaxe	n+f.syntax
sinterizada	a+f.sintered
sinterizado	a+m.sintered
sinterizando	v.sintering
sinterização	n+f.sintering
sinterizou	v.sintered
sintetiza	v.summarizes
sintetizada	a+f.synthesized
sintetizado	a+m.synthesized
sintetizador	n+m.synth@n+m.synthesizer
sintetizadores	n+m+pl.synths@n+m+pl.synthesizers
sintetizando	v.synthesizing
sintetizar	v.synthesize
sintetizou	v.synthesized
sintoma	n+m.symptom
sintomas	n+m.symptoms
sintomática	a+f.symptomatic
sintomático	a+m.symptomatic
sintonia	n+f.tuning
sintonizada	a+f.attuned
sintonizado	a.tuned@a+m.attuned
sintonizador	n+m.tuner
sintonizadores	n+m.tuners
sintonizar	v.tune
sintonizou	v.tuned@v.attuned
sintonizável	a+m.tunable@a+f.tunable
sintática	a+f.syntactic
sintático	a+m.syntactic
sintético	a.synthetic
sintéticos	n+m+pl.synthetics
sinuca	n+m.snooker
sinuosa	a+f.twisting@a+f.slinky@a+f.meandering@a+f.twisty
sinuoso	a.winding@a+m.twisting@a+m.slinky@a+m.meandering@a+m.twisty
sinus	n+m.sinus
sinusite	n+f.sinusitis
sinusoidal	a+m.sinusoidal@a+f.sinusoidal
sináptica	a+f.synaptic
sináptico	a+m.synaptic
sinérgica	a+f.synergistic
sinérgico	a+m.synergistic
sinótica	a+f.synoptic
sinótico	a+m.synoptic
