آب	n+m.abe
مونتاج	n+m.montage
مونتاغيو	n+m.montague@n+m.montagu
مونتانا	n+f.montana
مونتبلييه	n+m.montpelier
مونتريال	n+f.montreal
مونتسيرات	n+f.montserrat
مونتغمري	n+m.montgomery
مونتفورت	n+m.montfort
مونتويا	n+m.montoya
مونتي	n+m.monte@n+m.monty
مونتيرو	n+m.montero
مونتيري	n+f.monterey@n+m.monterrey
مونتيزوما	n+m.montezuma
مونتيس	n+m.montes
مونتيسوري	n+f.montessori
مونتيسيلو	n+m.monticello
مونتيفيديو	n+f.montevideo
مونتين	n+m.montaigne
مونرو	n+m.monroe@n+m.munro
مونروفيا	n+f.monrovia
مونس	n+m.mons
مونسانتو	n+f.monsanto
مونستر	n+m.munster@n+m.muenster
مونسنيور	n+m.msgr
مونغ	n+m.mong
مونكتون	n+m.moncton
مونمارتر	n+f.montmartre
مونماوث	n+m.monmouth
مونماوثشير	n+f.monmouthshire
مونوتايب	n+m.monotype
مونولوج	n+m.monologue
مونولوجات	n+m.monologues
مونومر	n+m.monomer
مونومرات	n+f.monomers
موني	n+m.mooney
مونيك	n+f.monique
مونيكا	n+f.monica
مونيه	n+m.monet
مونيوز	n+m.munoz
موهافي	n+f.mojave@n+m.mohave@a.mohave
موهبة	n+f.talent@n+f.flair@n+f.aptitude@n+f.knack@n+m.phenom
موهن	a.debilitating
موهوب	a.talented@a.gifted@a.endowed
موهوك	n+m.mohawk
موهوم	a.delusional
موهير	n+m.mohair@n+m.angora
موهيغان	n+m.mohegan
موهيغاني	a.mohegan
مويت	n+m.moet
مويجة	n+m.wavelet
مويرا	n+f.moira
موّن	v.provisioned
ميؤوس منه	a.hopeless
ميا	n+f.mia
ميالين	n+m.myelin
ميامي	n+f.miami
ميانمار	n+f.myanmar
مياه	n+f.waters
مياه بيضاء	n+m.whitewater@n+f.cataracts
مياه جوفية	n+f.groundwater
مياه راكدة	n+m.backwater@n+f.backwaters
مياه زرقاء	n+f.glaucoma
مياه صرف	n+f.wastewater@n+f.sewage
مياه ضحلة	n+f.shoals@n+m.shoal
ميت	a+m.dead@n+m.mitt@a.lifeless
ميتا	n+f.meta
ميتافيزيقا	n+f.metaphysics
ميتافيزيقي	a.metaphysical
ميتاليكا	n+f.metallica
ميتة	a+f.dead
ميترا	n+m.mitra
ميترونوم	n+m.metronome
ميتز	n+f.metz
ميتزفاه	n+f.mitzvah
ميتزي	n+f.mitzi
ميتسوبيشي	n+f.mitsubishi
ميتش	n+m.mitch
ميتشل	n+m.mitchell@n+m.mitchel
ميتلاند	n+m.maitland
ميتوكوندري	a.mitochondrial
ميتوكوندريا	n+f.mitochondria
ميتيري	n+f.metairie
ميتيس	n+f.metis
ميتيكال	n+m.metical
ميث	n+m.meath
ميثادون	n+m.methadone
ميثاق	n+m.charter@n+m.pact
ميثامفيتامين	n+m.meth@n+m.methamphetamine
ميثان	n+m.methane
ميثانول	n+m.methanol
ميثوتريكسات	n+m.methotrexate
ميثودي	n+m.methodist
ميثوديون	n+m.methodists
ميثولوجيا	n+f.mythos
ميثيل	n+m.methyl
ميثيلين	n+m.methylene
ميثيونين	n+m.methionine
ميجي	n+m.meiji
ميخا	n+m.micah
ميخائيل	n+m.mikhail
ميد	n+m.meade
ميداس	n+m.midas
ميداليات	n+f.medals@n+f.medallions
ميدالية	n+f.medal@n+f.medallion
ميدان سباق	n+m.racecourse
ميدستون	n+m.maidstone
ميدغارد	n+f.midgard
ميدلاندز	n+f.midlands
ميدلتون	n+m.middleton
ميدلسبره	n+f.middlesbrough
ميدلوثيان	n+f.midlothian
ميدنهيد	n+m.maidenhead
ميدوسا	n+f.medusa
ميدي	n+m.midi
ميديا	n+f.medea
ميديتشي	n+m.medici
ميديكيد	n+m.medicaid
ميديكير	n+m.medicare
مير	n+f.mir
ميرا	n+f.mira
ميراث	n+m.inheritance
ميراندا	n+f.miranda
ميرتون	n+m.merton
ميرزا	n+m.mirza
ميرسر	n+m.mercer
ميرسي	n+m.mersey
ميرسيسايد	n+f.merseyside
ميرفين	n+m.mervyn
ميرك	n+m.merck
ميركاتور	n+m.mercator
ميركادو	n+m.mercado
ميرل	n+f.merle
ميرلو	n+m.merlot
ميرلين	n+m.merlin
ميرمية	n+f.sage
ميرمية برية	n+m.sagebrush
ميرنا	n+f.myrna
ميرو	n+m.miro
ميروت	n+f.meerut
ميريام	n+m.merriam
ميريت	n+m.merritt
ميريدا	n+f.merida
ميريديث	n+f.meredith
ميريك	n+m.merrick
ميريل	n+m.merrill
ميريلاند	n+f.maryland
ميريماك	n+m.merrimack
ميرينغي	n+f.merengue
ميز	v.differentiated@v.discriminated
ميزات	n+f.features
ميزاني	a.budgetary
ميزانيات	n+f.budgets
ميزانية	n+f.budget
ميزة	n+f.plus@n+f.feature@n+f.advantage@n+f.vantage@n+f.perk
ميزو	n+f.mezzo
ميزوري	n+f.missouri
ميزون	n+m.meson
ميزونات	n+m.mesons
ميست	n+m.myst
ميسترال	n+m.mistral
ميسر	n+m.facilitator
ميسرون	n+m.facilitators
ميسو	n+m.miso
ميسور	a.affluent@n+m.mysore@a.heeled
ميسور التكلفة	a+m.affordable
ميسورة التكلفة	a+f.affordable
ميسي	n+f.missy@n+f.macy
ميسيساغا	n+f.mississauga
ميسيسيبي	n+f.mississippi
ميشلان	n+m.michelin
ميشيغان	n+f.michigan@n+f.mich
ميشيل	n+f.michelle@n+m.michel@n+f.michele
ميغ	n+f.meg@n+m.mig
ميغا	n+m.mega
ميغابايت	n+f.megabytes@n+m.megabyte
ميغابايتات	n+f.megs
ميغابكسل	n+m.megapixel@n+m.megapixels
ميغاليتي	a.megalithic
ميغان	n+f.megan@n+f.meghan@n+f.meagan
ميغاهرتز	n+m.mhz@n+m.megahertz
ميغاواط	n+m.megawatt
ميغاواطات	n+f.megawatts
ميغز	n+f.megs
ميغيل	n+m.miguel
ميك	n+m.mick
ميكا	n+f.mica
ميكانيكا	n+f.mechanics@n+f.mech
ميكانيكا حيوية	n+f.biomechanics
ميكانيكي	a+m.mechanical@n+m.mechanic@a.mech@n+m.machinist@a.mechanistic@a.mechanized
ميكانيكي حيوي	a.biomechanical
ميكانيكياً	ad.mechanically
ميكانيكية	a+f.mechanical
ميكانيكيون	n+m.mechanics@n+m.machinists
ميكروب	n+m.microbe
ميكروبات	n+f.microbes
ميكروبي	a.microbial
ميكروبيولوجي	a.microbiological
ميكروثوانٍ	n+f.microseconds
ميكروغرام	n+m.microgram
ميكروغرامات	n+f.micrograms
ميكروفون	n+m.mike@n+m.microphone@n+m.mic
ميكروفونات	n+m.microphones@n+m.mikes@n+f.mics
ميكروفيش	n+f.microfiche
ميكروفيلم	n+m.microfilm
ميكرومتر	n+m.micrometer
ميكرون	n+m.micron
ميكرونات	n+m.microns
ميكرونيزيا	n+f.micronesia
ميكروويف	n+m.microwave
ميكلنبورغ	n+m.mecklenburg
ميكلون	n+f.miquelon
ميكن	v.mechanized
ميكونغ	n+m.mekong
ميكي	n+m.mickey@n+m.micky
ميل	n+m.mile@n+m.mel@n+m.tilt@n+m.tendency@n+m.leaning@n+m.slant@n+m.inclination@n+f.propensity@n+m.penchant@n+m.mils
ميل في الساعة	n+m.mph
ميل لكل غالون	n+m.mpg
ميلاتونين	n+m.melatonin
ميلاد	n+f.nativity
ميلارد	n+m.millard
ميلامين	n+m.melamine
ميلان	n+f.milan@n+f.tilts
ميلاني	n+f.melanie
ميلبا	n+f.melba
ميلت	n+m.milt
ميلتون	n+m.milton@n+m.melton
ميلدريد	n+f.mildred
ميلر	n+m.miller
ميلف	n+f.milf
ميلفات	n+f.milfs
ميلفورد	n+m.milford
ميلفين	n+m.melvin
ميلك شيك	n+m.milkshake
ميلكن	n+m.milken
ميلن	n+m.milne
ميلو	n+m.milo
ميلودراما	n+f.melodrama
ميلوس	n+m.milos
ميلوسيفيتش	n+m.milosevic
ميلون	n+m.mellon
ميلووكي	n+f.milwaukee
ميلي	n+f.millie
ميلي ثانية	n+f.milliseconds@n+f.millisecond
ميليسا	n+f.melissa
ميليشيا	n+f.militia
ميليشيات	n+f.militias
ميليندا	n+f.melinda
ميم	n+m.meme@n+m.mim
ميمات	n+f.memes
ميموزا	n+f.mimosa
ميمون	a.auspicious
ميمي	n+f.mimi
مين	n+f.maine
مينا	n+m.enamel@n+f.minna
مينا مُحزَّزة	n+m.cloisonne
ميناء	n+m.port@n+m.harbour
ميناء بحري	n+m.seaport
مينداناو	n+f.mindanao
ميندوزا	n+m.mendoza
ميندي	n+f.mindy
مينديز	n+m.mendez
مينرفا	n+f.minerva
مينزيز	n+m.menzies
مينسا	n+f.mensa
مينسك	n+f.minsk
مينغ	n+m.ming
مينغوس	n+m.mingus
مينكين	n+m.mencken
مينوت	n+m.minot
مينوتور	n+m.minotaur
مينوركا	n+f.menorca
مينوس	n+m.minos
مينولتا	n+f.minolta
مينوميني	n+m.menominee
مينونايت	n+m.mennonite
مينونايتي	a.mennonite
ميني	n+f.minnie
ميني فان	n+f.minivan
مينيابوليس	n+f.minneapolis
مينيسوتا	n+f.minnesota@n+f.minn
ميور	n+m.muir
ميوسين	n+m.myosin
ميوسيني	a.miocene
ميول	n+f.tendencies@n+f.leanings@n+f.affinities@n+f.inclinations
ميون	n+m.muon
ميونخ	n+f.munich
مَرِن	a.malleable
مَسخور منه	a.ridiculed
مَنبوذ	a.shunned
مُؤثر	a.heartwarming
مُؤثّر	n+m.effector
مُؤكسَج	a.oxygenated
مُؤكسِد	a.oxidizing
مُؤكَّد	a.emphatic@a.corroborated
مُؤلم	a.distressing@a.wrenching
مُؤلِم	a.agonizing
مُؤيِّن	a.ionizing@n+m.ionizer
مُبالَغ في تقديره	a.overestimated
مُبالَغ فيه	a.overstated@a.campy
مُبتلَع	a.ingested@a.engulfed
مُبتهج	a.euphoric
مُبث	a.streamed
مُبخّر	n+m.evaporator
مُبدَّد	a.dissipated@a.squandered
مُبدّلون	n+m.switchers
مُبذّر	a.prodigal
مُبرقش	a.mottled
مُبرمَج	a.programmed
مُبرَز	a.accentuated
مُبرَّأ	a.vindicated@a.exonerated
مُبرَّر	a.justified
مُبرِح	a.excruciating
مُبشَّر به	a.heralded
مُبطَل	a.invalidated
مُبعثر	a.littered
مُبقَّع	a.spotted@a.spotty
مُبكِر النضج	a.precocious
مُبلل	a.soggy
مُبلِّغ	n+m.notifier
مُبلّغ	a.notified
مُبهرج	a.flamboyant@a.showy@a.gaudy
مُبيح	a.permissive
مُبيَّض	a.bleached
مُتآمر	a.scheming
مُتأمِّل	a.thoughtful
مُتأنٍّ	a.deliberative
مُتأيّن	a.ionized
مُتاجَر به	a.commercialized
مُتاخم	a.abutting
مُتباهٍ	n+m.showoff
مُتبرَّأ منه	a.disclaimed
مُتبنى	a.espoused
مُتبنٍّ	n+m.adopter
مُتبنَّى	n+m.adoptee
مُتجاوَز	a.bypassed@a.overtaken@a.outgrown
مُتجدد	a.regenerating
مُتجسّد	a.incarnate
مُتجنَّب	a.averted
مُتحدَّى	a.challenged
مُتحرَّش به	a.molested
مُتحوِّل	a.morphed
مُتخفٍّ	a.cloaked
مُتخلى عنه	a.renounced
مُتدرَّب عليه	a.rehearsed
مُتذمر	a.bitching
مُتزاوج	a.mated
مُتسلسل	a.concatenated
مُتسلَّل	a.infiltrated
مُتصل	a.cursive
مُتصلِّب	a.solidified
مُتصوَّر	a.visualized
مُتعب	a.tiring@a.tiresome
مُتعدِّد الإرسال	a.multiplexed
مُتعَب	a.fatigued
مُتفحَّص	a.scrutinized
مُتفكِّك	a.disintegrated
مُتفوَّق عليه	a.trumped
مُتكلَّف	a.twee
مُتكلِّف	a.pompous
مُتكِئ	n+m.leaner
مُتلاعب	n+m.manipulator
مُتماسك	a.firming
مُتمدّن	a.urbanized
مُتملَّق له	a.flattered
مُتملِّص	a.eluded
مُتنازَل عنه	a.ceded
مُتناقَض	a.contradicted
مُتنمَّر عليه	a.bullied
مُتوسَّط فيه	a.brokered
مُتَّجَر به	a.trafficked
مُتَّصل	n+m.caller
مُتَّهِم	n+m.accuser
مُثابر	a.persistent
مُثار	a.roused@a.cranked
مُثبت	a.demonstrated
مُثبَّت	a.clamped@a.pegged
مُثبَّت بالإسمنت	a.cemented
مُثبِت	n+m.prover
مُثبِّت	n+m.installer
مُثبِّط	n+m.depressant@a.depressant
مُثبِّط للمناعة	a.immunosuppressive
مُثبّتات	n+f.stabilizers
مُثبّط	n+m.suppressant
مُثقَل	a.burdened@a.swamped@a.encumbered
مُثقَّف	n+m.bookman
مُثير	a.rousing@a.tantalizing@a.emotive@a.electrifying@a.arousing
مُثيرون	n+m.teasers
مُثُل	n+f.ideals
مُجادِل	a.argumentative
مُجتمِع	a.congregate
مُجتهد	n+m.swot
مُجحف	a.prejudicial
مُجدول	a.tabulated
مُجدَّد	a.renewed@a.reconditioned@a.regenerated@a.overhauled@a.revitalized
مُجدِّد للشباب	a.rejuvenating
مُجدِّف	n+m.rafter@n+m.rower
مُجدِّفون	n+m.paddlers
مُجرِّب	n+m.experimenter
مُجزٍ	a.rewarding
مُجزَّأ	a.piecemeal
مُجسَّد	a.personified
مُجصَّص	a.plastered
مُجعَّد	a.crumpled
مُجعّد	a.creased
مُجلفَن	a.galvanised
مُجلَّد	a.hardbound
مُجمَّد	a.glace
مُجمَّع	a.assembled@a.grouped@a.lumped@a.pieced
مُجمّعون	n+m.assemblers
مُجنَّد	n+m.recruit
مُجنَّس	a.naturalized
مُجهَد	a.stressed
مُجهَّز	a.outfitted
مُحاط	a.hedged@a.encircled
مُحاكى	a.emulated
مُحاورون	n+m.interviewers
مُحايَد	a.neutralized
مُحبط	n+m.downer
مُحبَط	a.disappointed@a.frustrated@a.thwarted@a.foiled
مُحتار	a.stumped
مُحتال عليه	a.scammed
مُحتجَز	a.interned
مُحترَم	a.honorable
مُحتشد	a.swarming
مُحتفى به	a.commemorated
مُحتَج	n+m.protester
مُحدَّث	a.modernized
مُحدِّد	n+m.selector@n+m.designator
مُحدِّد كمية	n+m.quantifier
مُحدِّدات	n+f.specifiers
مُحرج	a.compromising
مُحرَّر	a.deregulated
مُحرَّض عليه	a.instigated
مُحرَّف	a.lettered
مُحرَّك	a.actuated
مُحرِّض	n+m.agitator@n+m.provocateur
مُحزَّز	a.notched@a.grooved
مُحزَّم	a.belted
مُحسن	n+m.benefactor
مُحسَّس	a.sensitized
مُحسَّن	a.optimized
مُحسّنات	n+f.optimizers
مُحفَّز	a.motivated
مُحفِّز	n+m.motivator@n+m.rouser
مُحكَّم	a.adjudicated
مُحكِّم	n+m.adjudicator
مُحكّ	a.scratchy
مُحلٍّ	n+m.sweetener
مُحمَّل	a.saddled
مُحوَّل لخطي	a.linearized
مُحيٍ	a.animating
مُحيِّد	a.neutralizing
مُحيِّر	a.confusing@a.bewildering
مُحيّر	a.boggling
مُخادع	a.deceitful@n+m.trickster@a.disingenuous
مُخاطَر به	a.risked
مُخالِف	n+m.contrarian@a.contrarian
مُخبر	n+m.informer
مُخبر مخدرات	n+m.narc
مُخبرون	n+m.informants
مُخبِر	n+m.supergrass
مُختار	n+m.chooser
مُختبرون	n+m.testers
مُختبِر	n+m.tester
مُخجَل	a.shamed
مُخدر	a.intoxicating
مُخدَّر	a.drugged
مُخدِّر	a.numbing
مُخربَش	a.scribbled
مُخزٍ	a.disgraceful
مُخصخَص	a.privatized
مُخصَّب	a.fertilized
مُخصَّص	a.customised@a.personalised
مُخصِّص	n+m.allocator
مُخضَرّ	a.verdant
مُخطَّط	a.marbled@a.brindle@a.streaked
مُخفَّض	a.downgraded@a.lessened
مُخفَّف	a.attenuated@a.abated@a.alleviated@a.thinned
مُخفِّت	n+m.fader
مُخفِّتات	n+f.dimmers@n+f.attenuators
مُخفِّف	a.alleviating@n+m.attenuator@a.extenuating
مُخلص	a.faithful
مُخلى	a.evacuated
مُخلِّص	a.redeeming
مُخمَّد	a.damped
مُخمَّر	a.fermented
مُخيخ	n+m.cerebellum
مُخيخي	a.cerebellar
مُخيف	a.menacing@a.forbidding
مُخيِّم	a.camped
مُخَيَّم	n+m.encampment
مُدار	a.administered
مُدافِعون	n+m.apologists
مُدام	a.perpetuated
مُدان	a.convicted
مُدبَّس	a.stapled
مُدجَّن	a.domesticated
مُدخَّن	a.smoked
مُدر	n+m.diuretic
مُدر للبول	a.diuretic
مُدرج	a.inserted
مُدرك	a.realized@a.perceptive
مُدرَج	a.subsumed
مُدرَج بالقائمة السوداء	a.blacklisted
مُدرَك	a.perceived@a.discerned
مُدرَّب	a.schooled
مُدعَّم	a.braced
مُدقِّق	n+m.checker
مُدلَّل	a.indulged
مُدلّل	a.indulgent
مُدمن	a.hooked
مُدمن حانات	n+m.barfly
مُدمَج	a.amalgamated
مُدمَّر	a.trashed@a.decimated@a.blighted
مُدمِّر	a.destructive@n+m.buster@n+m.wrecker
مُدوٍّ	a.thundering
مُدوَّر	a.rounded
مُديم	a.perpetuating
مُدين	a.damning@a.incriminating
مُدَّعون	n+m.plaintiffs
مُدَّعى	a.purporting
مُدَّعى عليهم	n+m.defendants
مُدَّعٍ	n+m.claimant@n+m.pretender
مُدّعون	n+m.complainants
مُذاب	n+m.solute
مُذلّ	a.humiliated
مُذنب	a.culpable
مُذِل	a.humbling
مُر	a.bitter@n+f.myrrh
مُرافق	n+m.chaperone
مُرافقون	n+m.chaperones
مُراقَب	a.monitored@a.supervised@a.bugged
مُراكم	n+m.accumulator
مُراهن	n+m.punter
مُراهَن عليه	a.staked
مُربك	a.confounding
مُربٍّ	n+m.minder
مُربَك	a.confounded
مُربَّت عليه	a.patted
مُربِك	a.disconcerting
مُربّون	n+m.raisers
مُربّى	a.nurtured
مُرتاح	a.comforted
مُرتاد	a.frequented
مُرتبط تشعبياً	a.hyperlinked
مُرتبِك	a.floored
مُرتدي	a.donned
مُرتَّب	a.collated@a.spiffy@a.arrayed
مُرتّب حسب الأولوية	a.prioritized
مُرجَّح	a.presumptive
مُرخى	a.loosened
مُرخيات	n+f.relaxants
مُرخٍّ	n+m.relaxant@a.relaxant
مُرخَّص	a.authorised@a.licenced
مُرخَّص له	n+m.licensee
مُرخَّم	a.marbled
مُردَّد	a.chanted
مُرسَل إليه	n+m.addressee@n+m.consignee
مُرسَّم	a.charted
مُرسِلون	n+m.dispatchers@n+m.committers
مُرشد	n+m.usher@a.guiding
مُرشَد	a.mentored
مُرشَّح	a.nominated@n+m.nominee
مُرشَّحون	n+m.nominees
مُرشِد	n+m.preceptor
مُرصَّص	a.leaded
مُرصَّع	a.inlaid@a.spangled
مُرصَّع بالترتر	a.sequined
مُرضٍ	a.satisfying@a.fulfilling@a.gratifying
مُرطِّب	a.hydrating
مُرطّبات	n+f.humidifiers
مُرعب	a.horrifying
مُرفَق	a.enclosed
مُرقَّط	a.mottled
مُرقَّم	a.numbered
مُرقَّى	a.upgraded
مُركَّز	a.concentrated
مُركِّبات صوتية	n+f.synthesizers
مُركِّزات	n+f.concentrators
مُركّبون	n+m.fitters
مُرهق	a.burdensome@a.onerous
مُرهَق	a.overworked
مُروَّض	a.tamed
مُروِّض	n+m.tamer
مُروِّع	a.grisly@a.lurid
مُروّجون	n+m.touts
مُريب	a.suspicious
مُريح	a.relaxing
مُريع	a.ghastly
مُريّش	a.feathered
مُرَصِّن	a.sobering
مُرَقَّى	a.promoted
مُزاد	a.incremented
مُزال	a.uninstalled
مُزامِن	n+m.synchronizer
مُزجج	n+m.glazer
مُزخرَف	a.figured
مُزدرى	a.scorned
مُزدهِر	a.blossomed
مُزرَّر	a.buttoned
مُزعج	a.aggravating@a.upsetting@a.irritant@a.bothersome@a.jarring@a.disagreeable@n+m.gadfly
مُزلّق	a.lubricating
مُزهر	a.flowered
مُزوَّد	a.fuelled@a.instrumented
مُزوَّد بمحرك	a.motorised
مُزوَّر	a.falsified
مُزيل	n+m.remover
مُزيَّت	a.lubricated
مُزيَّف	a.faked@a.shoddy
مُزيَّن	a.decorated@a.decked
مُزيَّن بالخرز	a.beaded
مُزيّن	a.embellished
مُساء تفسيره	a.misinterpreted
مُساء فهمه	a.misread
مُساء معاملته	a.mistreated
مُسامحة	n+f.admittance
مُسامي	a.permeable
مُساوَى	a.equated
مُسبَق التصور	a.preconceived
مُسبَق الصنع	a.prefab
مُسبِّب للدوار	a.dizzying
مُسبِّب للطفرات	a.mutagenic
مُستأجَر	a.chartered@a.rented
مُستأصَل	a.eradicated@a.excised
مُستأنِف	n+m.appellant
مُستاء	a.displeased
مُستاء منه	a.resented
مُستبدَل	a.superseded@a.overwritten
مُستبَق	a.preempted
مُستجوَب	a.interrogated
مُستحضَر	n+f.concoction
مُستحوِذ	n+m.acquirer
مُستخدَم	a.wielded
مُستدعى	a.paged
مُسترَد	a.repossessed
مُستضدي	a.antigenic
مُستعبَد	a.enslaved
مُستعصٍ	a.insurmountable
مُستعمَر	a.colonized
مُستعمَل	a.preowned
مُستغرق	a.engrossing
مُستغَل	a.capitalised
مُستقبِل	n+m.acceptor
مُستقرَأ	a.extrapolated
مُستقطِب	n+m.polarizer@a.polarizing
مُستقيم	a.straightened
مُستقِر	a.stabilised
مُستند	a.premised
مُستنزِف	a.depleting
مُستنكَر	a.reprehensible
مُستهزَأ به	a.mocked
مُستهلك	a.consuming
مُستهلَك	a.amortized@a.depreciated
مُستوعَب	a.internalized
مُستَرَد	a.recovered
مُسجَّل	n+m.enrollee
مُسخَّر	a.harnessed
مُسرَّع	a.accelerated
مُسرِّع	n+m.accelerator
مُسعد	a.gratifying
مُسقَط	a.toppled@a.felled
مُسكر	a.intoxicating@a.heady
مُسكَّر	a.candied
مُسكّنات	n+m.relievers
مُسلٍّ	a.diverting@a.tickled
مُسلَّمات	n+f.postulates
مُسلّمات	n+f.givens
مُسمّى على اسمه	a.eponymous
مُسنَد	a.propped
مُسنَّن	a.toothed
مُسنّن	a.scalloped
مُسوَدّ بالسناج	a.sooty
مُسوّى	a.levelled
مُسيء	a.abusive@n+m.abuser
مُسيَّل	a.liquefied
مُسِح	v.scanned
مُشار إليه	a.signalled
مُشاع	a.rumoured
مُشاكس	a.feisty
مُشبَع	a.replete@a.imbued
مُشبَّع	a.impregnated
مُشبَّك	a.clasped
مُشتعل	a.ignited@a.ablaze
مُشتعِل	a.flamed@a.alight@a.blazed@a.kindled
مُشتكون	n+m.complainants
مُشتكٍ	n+m.complainant
مُشتَق	a.derivative
مُشرف	n+m.overseer
مُشرف صيانة	n+m.maintainer
مُشرق	a.beamed@a.beaming
مُشرَّح	a.dissected
مُشرَّع	a.legalized@a.legislated
مُشرِّعون	n+m.legislators
مُشرّع	n+m.solon@n+m.lawmaker
مُشط	v.brushed
مُشع	a.radiating
مُشعوِذ	n+m.juggler
مُشفَّر	a.coded@a.encrypted@a.encoded
مُشفِّر	n+m.encoder
مُشكَّل مسبقاً	a.preformed
مُشكِّل	n+m.shaper
مُشكِّلون	n+m.shapers
مُشلّ	a.crippling
مُشهِّر	n+m.defamer
مُشوَّش	a.muddled@a.garbled
مُشوَّه	a.misrepresented@a.mutilated@a.tarnished@a.maimed
مُشوِّش	n+m.scrambler
مُشوِّق	a.suspenseful
مُشوِّه	a.distorting@a.unsightly
مُشين	a.deplorable
مُصاب بالتهاب المفاصل	a.arthritic
مُصاب بعسر القراءة	n+m.dyslexic
مُصادق	n+m.authenticator
مُصادَر	a.impounded
مُصادَق عليه	a.sanctioned
مُصادِقون	n+m.endorsers
مُصحح	n+m.corrector
مُصححات أخطاء	n+f.debuggers
مُصحَّح	a.rectified
مُصدِر	n+m.issuer
مُصدِّر	n+m.exporter
مُصدِّرون	n+m.exporters
مُصر	a.adamant
مُصرَّف	a.cashed
مُصطبغ	a.pigmented
مُصطدم	a.collided
مُصطف	a.aligned
مُصففات شعر	n+f.hairdressers
مُصففة شعر	n+f.hairdresser
مُصفٍّ	n+m.liquidator@n+m.refiner
مُصفَّق له	a.applauded
مُصفَّى	a.filtered
مُصفّفات	n+f.stylists
مُصفّون	n+m.liquidators@n+m.refiners
مُصقَل	a.honed
مُصلح	n+m.reformer@n+m.repairer
مُصلَح	a.mended
مُصلِح مشاكل	n+m.troubleshooter
مُصمَّم	a.choreographed
مُصمِّمو رقصات	n+m.choreographers
مُصمّمون	n+m.stylists
مُصنَّع	a.industrialised
مُصنَّف	a.graded@a.classed
مُصنِّع	n+m.fabricator
مُصنّفات	n+m.classifiers
مُصوَّر	a.imaged@a.videotaped@a.photocopied
مُصِر	a.insistent
مُضاء	a.illuminated
مُضاد للحساسية	a.hypoallergenic
مُضارب	a.speculating
مُضارب بالتذاكر	n+m.scalper
مُضاربون	n+m.speculators
مُضاعف	a.tripled
مُضاعفات	n+f.multipliers
مُضاعِف	a.multiplicative
مُضايقات	n+f.teases
مُضايَق	a.beleaguered
مُضبَط	a.tuned
مُضخِّم أولي	n+m.preamplifier
مُضرَّب	a.taxed
مُضطرب	a.perturbed
مُضلَّل	a.misinformed
مُضلِّل	a.misleading
مُضمَّن	a.imbedded
مُضنٍ	a.laborious
مُضيء	a.luminescent
مُطابق	n+m.matcher
مُطاح به	a.ousted
مُطارَد	a.hunted@a.stalked
مُطاطي	a.rubberized
مُطبَّع	a.normalised
مُطرَّز	a.embroidered
مُطعم	a.fed
مُطعَّم	a.inlaid@a.immunized@a.grafted
مُطفأ	a.extinguished
مُطفَأ	a.quenched
مُطقطِق	a.crackling
مُطلق	a.launched
مُطلق نار	n+m.shooter
مُطلقات	n+f.absolutes
مُطلَق	a.unbridled
مُطلَق النار عليه	a.gunned
مُطمَئِن	a.reassured
مُطهر	n+m.disinfectant
مُطهَّر	a.purged@a.cleansed
مُطهّر	a.antiseptic@n+m.antiseptic
مُطوَّق	a.ringed
مُطوَّل	a.elongate@a.lengthened
مُطَّلع	a.knowledgeable
مُظلَّل	a.overshadowed@a.shadowed@a.silhouetted
مُظهر بشكل جميل	a.flattering
مُعاد	a.redone
مُعاد إرساله	a.retransmitted
مُعاد إنشاؤه	a.recreated
مُعاد اختراعه	a.reinvented
مُعاد استثماره	a.reinvested
مُعاد انتخابه	a.reelected
مُعاد تأهيله	a.rehabilitated
مُعاد تثبيته	a.reinstalled
مُعاد تحجيمه	a.resized
مُعاد تدويره	a.recycled
مُعاد ترتيبه	a.rearranged
مُعاد ترقيمه	a.renumbered
مُعاد تشكيله	a.reworked
مُعاد تعيينه	a.reassigned
مُعاد تقديمه	a.reintroduced
مُعاد تكوينه	a.reconstituted@a.reconfigured
مُعاد تمويله	a.refinanced
مُعاد تنشيطه	a.reactivated
مُعاد حسابه	a.recalculated
مُعاد شحنه	a.recharged
مُعاد صنعه	a.remade
مُعاد صياغته	a.reformulated
مُعاد ملؤه	a.refilled
مُعادل	a.countervailing
مُعاق	a.impeded
مُعاقَب	a.sanctioned
مُعالَج	a.remedied
مُعالَج طبياً	a.medicated
مُعاين مسبقاً	a.previewed
مُعايِر	n+m.calibrator
مُعبَّأ	a.packaged
مُعبَّأ مسبقاً	a.prepackaged
مُعتدى عليه	a.abused
مُعتدٍ	n+m.aggressor
مُعترَض عليه	a.objectionable
مُعتقد	a.believed
مُعتمَد	a.credentialed
مُعتنى به	a.manicured
مُعتَرِض	n+m.objector
مُعجب	n+m.admirer
مُعجب متعصب	n+m.groupie
مُعجَّل	a.precipitated
مُعدٍ	a.infecting@a.infective
مُعدَّل	a.tweaked
مُعدِّل	a.modulating
مُعدِّلون	n+m.adjusters
مُعذَّب	a.racked
مُعذِّب	a.agonizing
مُعرَّض	a.predisposed
مُعزَّز	a.reinforced@a.bolstered
مُعطَّر	a.perfumed
مُعطَّل	a.inactivated
مُعطِّل حركة	n+m.immobiliser
مُعظَّم	a.maximized
مُعفى	a.exempts
مُعقَّم	a.sterilized@a.disinfected@a.aseptic@a.sanitized
مُعقَّمة	a.spayed
مُعقِّد	a.complicating
