अँधेरा कमरा	n+m.darkroom
सुधार करना	v.ameliorate
सुधार किया	v.improved@v.reformed
सुधार रहा	v.improving
सुधारक	n+m.reformers@n+m.fixer@n+m.reformer
सुधारता है	v.corrects
सुधारना	v.improve@v.correct@v.reform@v.enhance@v.improves@v.correcting@v.reclaim@v.rectify@v.retouching
सुधारवादी	a.reforming@n+m.reformist@a.reformist
सुधारा	v.corrected@v.rectified
सुधारा हुआ	a.remedied
सुधारात्मक	a.corrective@a.correctional
सुधारित	a.reformed
सुन रहा	v.hearing@v.listening
सुन लिया	v.overheard
सुनता है	v.hears@v.listens
सुनना	v.hear@v.listen@n+f.listening@v.listened
सुनवाई	n+f.hearing@n+f.hearings
सुनहरा	a.gold@a+m.golden@a.gilded
सुनहरा चाँदी	n+m.vermeil
सुनहरी	a+f.golden
सुनहरी मछली	n+f.goldfish
सुनहरे दिन	n+m.heyday
सुनहरे बाल वाला	a.blond
सुनहरे बालों वाली	a+f.blonde@n+f.blondes
सुनहरे बालों वाली महिला	n+f.blonde
सुना	v.heard
सुनाई देता है	v.sounds
सुनाई देना	v.sounding
सुनाई देने योग्य	a.audible
सुनाना	v.recite@n+m.recitation@v.reciting
सुनामी	n+f.tsunami@n+f.tsunamis
सुनाया	v.recited
सुनार	n+m.goldsmith@n+m.goldsmiths
सुनिश्चित करता है	v.ensures
सुनिश्चित करना	v.ensure@v.ensuring
सुनिश्चित किया	v.ensured
सुनी-सुनाई बात	n+m.hearsay
सुनो	v.hark@int.oyez
सुन्न	a.numb
सुन्न करना	v.numb@v.numbing
सुन्न करने वाला	a.numbing
सुन्नता	n+f.numbness
सुन्नी	a.sunni@n+m.sunni@n+m.sunnis
सुपरकंप्यूटर	n+m.supercomputer@n+m.supercomputers
सुपरक्लास	n+f.superclass
सुपरचार्जर	n+m.supercharger
सुपरचार्ज्ड	a.supercharged
सुपरनोवा	n+f.supernova@n+f.supernovae
सुपरफंड	n+m.superfund
सुपरबाउल	n+m.superbowl
सुपरमार्केट	n+m.supermarket@n+m.supermarkets
सुपरमैन	n+m.superman
सुपरमॉडल	n+f.supermodels@n+f.supermodel
सुपरयूज़र	n+m.superuser
सुपरवाइज़र	n+m.supervisor
सुपरसाइज़ करना	v.supersize
सुपरस्टार	n+m.superstar
सुपरस्टोर	n+m.superstore@n+m.superstores
सुपरहाइवे	n+m.superhighway
सुपरहीरो	n+m.superhero@n+m.superheroes
सुपोषण	n+f.eutrophication
सुबह	n+f.morning@n+f.morn
सुबहें	n+f.mornings
सुबारू	n+m.subaru
सुमात्रा	n+m.sumatra
सुमेर	n+m.sumer
सुम्मा	n+f.summa
सुरंग	n+f.tunnel@n+f.subway
सुरंग बनाना	v.tunnelling
सुरंगें	n+f.tunnels
सुरक्षा	n+f.security@n+f.safety@n+f.protection@n+m.safeguard@n+f.protections
सुरक्षा उपाय	n+f.safeguards
सुरक्षा कर रहा	v.safeguarding
सुरक्षा में	a.escorted
सुरक्षात्मक	a.protective
सुरक्षित	a.safe@a.secure@a.secured@a.unharmed
सुरक्षित करता है	v.safeguards@v.secures
सुरक्षित करना	v.secure@v.protect@v.protects@v.securing@v.safeguard
सुरक्षित किया	v.secured@v.safeguarded
सुरक्षित रखवाली	n+f.safekeeping
सुरक्षित रूप से	ad.safely@ad.securely
सुरम्य	a.picturesque
सुराग	n+m.clue@n+m.clues
सुराबाया	n+f.surabaya
सुराहियाँ	n+f.jugs
सुराही	n+f.jug@n+m.decanter@n+f.carafe
सुरीला	a.melodic
सुरुचिपूर्ण	a.elegant@a.tasteful
सुरुचिपूर्ण ढंग से	ad.tastefully
सुर्खियाँ	n+f.headlines
सुलझाना	v.solve@v.settle@v.reconcile@v.unravel@v.deciphering
सुलझाया	v.reconciled
सुलझाया हुआ	a.solved
सुलभ	a.accessible
सुलह	n+f.reconciliation@n+f.conciliation
सुलावेसी	n+m.sulawesi
सुलिवान	n+m.sullivan
सुलेखन	n+f.calligraphy
सुलेमानी पत्थर	n+m.agate
सुल्तान	n+m.sultan@n+m.sultans
सुल्ला	n+m.sulla
सुवा	n+f.suva
सुवानी	n+m.suwannee@n+f.suwanee
सुविधा	n+f.facility@n+f.convenience@n+f.facilitation@n+f.amenity
सुविधा अधिकार	n+m.easement
सुविधा प्रदान करता है	v.facilitates
सुविधा प्रदान करना	v.facilitate@v.facilitating
सुविधा प्रदान की	v.facilitated
सुविधाएँ	n+f.benefits@n+f.facilities@n+f.conveniences
सुविधाएं	n+f.advantages@n+f.amenities
सुविधाकर्ता	n+m.facilitator@n+m.facilitators
सुविधाजनक	a.convenient
सुविधाजनक रूप से	ad.conveniently
सुव्यवस्थित	a.trim@a.streamline@a.streamlined
सुव्यवस्थित कर रहा	v.streamlining
सुव्यवस्थित करता है	v.streamlines
सुव्यवस्थित करना	v.streamline@n+m.streamlining
सुशी	n+m.sushi
सुशील	a.tractable
सुशोभित करना	v.beautify
सुशोभित किया	v.graced
सुसंगत	a.consistent@a.coherent@a.harmonized
सुसंगतता	n+f.coherence
सुसंस्कृत	a.cultured@a.cultivated
सुसज्जित	a.equipped@a.furnished@a.decked
सुसज्जित करना	v.equip@v.furnish@v.equipping
सुसज्जित किया	v.outfitted
सुसन्ना	n+f.susanna
सुसमाचार	n+m.gospel
सुसमाचारवादी	a.evangelistic
सुसान	n+f.susan
सुसाना	n+f.susannah@n+f.susana
सुस्त	a.dull@a.sluggish@a.idling@a.tardy
सुस्ताहट	n+m.breather
सुस्ती	n+f.lethargy
सू	n+f.sue@n+m.sou
सूँघता है	v.scents
सूंघ	n+f.sniff
सूंघ रहा	v.smelling
सूंघता है	v.smells@v.noses
सूंघना	v.smell@v.sniff@n+m.smelling@v.sniffing@n+m.sniffing
सूंघनी	n+m.snuff
सूंघने वाला	n+m.sniffer
सूंघा	v.smelled@v.nosed@v.sniffed
सूअर	n+m.pig@n+m.pigs@n+m.hog@n+m.swine@n+m.hogs
सूअर का मांस	n+m.pork@n+m.hams
सूअर की चर्बी	n+m.lard
सूअरबाड़ा	n+m.sty
सूई	n+m.sui
सूक्ति	n+f.maxim@n+m.maxims
सूक्ष्म	a.minute@a.micro@a.subtle@a.microscopic@a.astral@a.meticulous
सूक्ष्म अंतर वाला	a.nuanced
सूक्ष्म अर्थशास्त्र	n+f.microeconomics
सूक्ष्म आर्थिक	a.microeconomic
सूक्ष्म इलेक्ट्रॉनिक	a.microelectronic
सूक्ष्म गुरुत्वाकर्षण	n+f.microgravity
सूक्ष्म जगत	n+m.microcosm
सूक्ष्म जीव विज्ञान	n+f.microbiology
सूक्ष्म संरचना	n+f.microstructure
सूक्ष्मजीव	n+m.microorganisms@n+m.microbes@n+m.microbe
सूक्ष्मजीवी	a.microbial
सूक्ष्मजैविक	a.microbiological
सूक्ष्मता	n+f.subtlety
सूक्ष्मता से	ad.subtly
सूक्ष्मताएँ	n+f.subtleties
सूक्ष्मदर्शिकी	n+f.microscopy
सूक्ष्मदर्शी	n+m.microscope@n+m.microscopes@a.perceptive
सूख गया	v.withered
सूखता है	v.dries
सूखना	v.wither
सूखा	a+m.dry@a.dried@n+m.drought@a.evaporated@a.sear@n+f.droughts
सूखा आलूबुखारा	n+m.prune@n+m.prunes
सूखा मांस	n+m.jerky
सूखा हुआ	a.drained
सूखापन	n+f.dryness
सूखी	a+f.dry
सूखी घाटी	n+f.coulee
सूखी नदी	n+f.wadi
सूखी नाला	n+m.arroyo
सूखी लकड़ी	n+m.deadwood
सूचक	n+m.pointers@a.suggestive@n+m.indexer@n+m.notifier
सूचकांक	n+m.index@n+m.indexes@n+m.indices
सूचकांकन	n+f.indexation
सूचना	n+m.information@n+f.notice@n+f.notification@n+m.inf
सूचना पट्ट	n+m.noticeboard
सूचना विज्ञान	n+f.informatics
सूचनाएँ	n+f.notices
सूचनाएं	n+f.notifications
सूचनात्मक	a.informational@a.informative
सूचित	a.informed@a.signified
सूचित करता है	v.informs@v.notifies@v.intimates
सूचित करना	v.notify@v.inform@v.informing@v.notifying
सूचित किया	v.informed@v.notified
सूचियाँ	n+f.listings@n+f.lists@n+f.rosters
सूची	n+f.list@n+f.listing@n+m.inventory@n+f.catalogue@n+f.roster@n+f.docket@n+f.carte@n+f.inventories
सूचीबद्ध	a.listed@a.enumerated
सूचीबद्ध करता है	v.lists@v.indexes
सूचीबद्ध करना	v.list@v.catalogue@v.enlist@v.cataloguing
सूचीबद्ध किया	v.listed@v.catalogued
सूजन	n+f.inflammation@n+f.swelling@n+f.swell@n+m.welt@n+f.bloat@n+f.bloating
सूजना	v.swelling@v.swell
सूज़ी	n+f.susie@n+f.suzy
सूजा हुआ	a.swollen@a.inflamed@a.swelled
सूझोउ	n+m.suzhou
सूट	n+m.suite@n+m.suites@n+m.suit@n+m.suits
सूट करता है	v.suits
सूट किया	v.suited
सूटकेस	n+m.suitcase@n+m.suitcases
सूटर	n+m.souter
सूडान	n+m.sudan
सूडानी	a.sudanese
सूडानी व्यक्ति	n+m.sudanese
सूत	n+f.yarn
सूत्र	n+m.formula@n+m.formulas@n+m.sutra@n+m.formulae
सूत्र संग्रह	n+m.formulary
सूत्रकृमि	n+m.nematode@n+m.nematodes
सूत्रण	n+f.formulations
सूत्रधार	n+m.mastermind
सूत्रबद्ध कर रहा	v.formulating
सूत्रीकरण	n+f.formulation
सूत्रीय	a.formulary
सूप	n+m.soup@n+m.soups
सूफी	n+m.sufi@a.sufi
सूफीवाद	n+m.sufism
सूफ्ले	n+m.souffle
सूमो	n+m.sumo
सूरज	n+m.sun
सूरजमुखी	n+m.sunflower@n+m.sunflowers
सूरत	n+m.surat
सूरा	n+f.surah@n+f.sura
सूरीनाम	n+m.suriname
सूर्य	n+m.sun@n+m.sol@n+m.suns@n+m.surya
सूर्य किरण	n+f.sunbeam@n+m.sunburst
सूर्य धब्बा	n+m.sunspot
सूर्यहीन	a.sunless
सूर्यास्त	n+m.sunset@n+m.sunsets@n+m.sundown
सूर्योदय	n+m.sunrise
सूली पर चढ़ाना	n+f.crucifixion
सूली पर चढ़ाया	v.crucified
सूस	n+m.seuss
सूसा	n+m.sousa
सृष्टि	n+f.creations
सृष्टिवाद	n+m.creationism
सृष्टिवादी	n+m.creationist@n+m.creationists
से	prep.by@prep.from@conj.than@prep.since
से ऊपर	prep.supra
से दूर	prep.off
से पहले	conj.before
से बाहर	prep.outta
सेंक	n+m.compresses
सेंचुरियन	n+m.centurion
सेंट	n+m.cent@n+m.cents
सेंटीमीटर	n+m.centimetres
सेंटोर	n+m.centaur
सेंट्रेलिया	n+f.centralia
सेंडाई	n+m.sendai
सेंधमारी	n+f.burglary
सेंसर	n+m.sensor@n+m.sensors@n+m.censor@n+m.censors
सेंसर करता है	v.censors
सेंसर करना	v.censor@v.censoring
सेंसर किया	v.censored
सेंसरशिप	n+f.censorship
सेकंड	n+m.second@n+m.sec@n+m.seconds@n+m.secs
सेका	v.toasted
सेका हुआ	a.toasted
सेक्विन	n+m.sequin@n+m.sequins
सेक्स	n+m.sex
सेक्सी	a.sexy
सेगफॉल्ट	n+m.segfault
सेगर	n+m.sager
सेगा	n+m.sega
सेगुंडो	n+m.segundo
सेगोविया	n+m.segovia
सेज	n+f.sage
सेजब्रश	n+m.sagebrush
सेज़ान	n+m.cezanne
सेट	n+m.set@n+m.sets
सेट कर रहा	v.setting
सेट करता है	v.sets
सेट करना	v.set
सेटअप	n+m.setup@n+f.setups
सेटअप करना	v.setup
सेटन	n+m.seton
सेटर	n+m.setter@n+m.setters
सेटिंग	n+f.setting@n+f.settings
सेठ	n+m.seth
सेडर	n+m.seder
सेडान	n+m.sedan
सेडान कारें	n+f.sedans
सेडी	n+m.cedi
सेड्रिक	n+m.cedric
सेन	n+m.sen
सेना	n+m.military@n+f.army@n+f.troops@n+f.corps@v.hatch@n+f.legion@v.incubate
सेना पंक्ति	n+f.phalanx
सेनाएँ	n+f.forces@n+f.armies@n+f.legions
सेनानी	n+m.fighters@n+m.fighter
सेनापति	n+m.commander
सेनियोर	n+m.senor
सेनेका	n+m.seneca
सेनेगल	n+m.senegal
सेन्स	n+m.sens
सेपियन्स	n+m.sapiens
सेपिया	n+m.sepia
सेपिया रंग का	a.sepia
सेप्टिक	a.septic
सेप्टुआजिंट	n+f.septuagint
सेप्सिस	n+m.sepsis
सेफ़वे	n+m.safeway
सेब	n+m.apple@n+m.apples
सेब का बीज	n+m.appleseed
सेब की चटनी	n+m.applesauce
सेबल	n+m.sable
सेबिन	n+m.sabin
सेबू	n+m.cebu
सेबेस्टियन	n+m.sebastian
सेमाफ़ोर	n+m.semaphore
सेमिटिक	a.semitic
सेमिटिज़्म	n+m.semitism
सेमिनार	n+m.seminar@n+m.seminars
सेमिनोल	n+m.seminole@n+m.seminoles
सेमीफ़ाइनल	n+m.semifinals
सेमीफाइनल	n+m.semifinal@n+m.semis
सेमेस्टर	n+m.semester@n+m.sem@n+m.semesters
सेया	v.incubated
सेरा	n+m.serra
सेरानो	n+m.serrano
सेरिफ	n+m.serif
सेरीन	n+m.serine
सेरेंगेटी	n+m.serengeti
सेरेना	n+f.serena
सेरेस	n+f.ceres
सेरोटोनिन	n+m.serotonin
सेल	n+m.cell
सेलफोन	n+m.cellphones
सेलांगोर	n+m.selangor
सेलिना	n+f.celina
सेलिनी	n+m.cellini
सेलिब्रिटी	n+m.celebrities@n+m.celebs@n+m.celeb
सेलिया	n+f.celia
सेलुलर	a.cellular
सेलूलोज़	n+m.cellulose
सेलेन	n+f.selene
सेलेना	n+f.selena
सेलेनियम	n+m.selenium
सेलेस्ट	n+f.celeste
सेलो	n+m.cello
सेलोफेन	n+m.cellophane
सेल्किर्क	n+m.selkirk
सेल्ट	n+m.celts
सेल्टज़र	n+m.seltzer
सेल्टिक	a.celtic@n+m.celtic
सेल्टिक्स	n+m.celtics
सेल्डन	n+m.selden
सेल्मा	n+f.selma
सेल्युलाइट	n+f.cellulite
सेल्युलॉइड	n+m.celluloid
सेल्समैन	n+m.salesman
सेल्सियस	n+m.celsius
सेवक	n+m.retainer@n+m.retainers
सेवन	n+m.intake@n+m.intakes
सेवर्न	n+m.severn
सेवा	n+f.service
सेवा कर रहा	v.serving
सेवा करता है	v.serves
सेवा करना	v.serve@v.servicing@v.serviced@v.ministering
सेवा की	v.served
सेवाएँ	n+f.services
सेवाक्षमता	n+f.serviceability
सेवानिवृत्त	a.retired@n+m.retirees
सेवानिवृत्त मानद	a.emeritus
सेवानिवृत्त व्यक्ति	n+m.retiree
सेवानिवृत्त होता है	v.retires
सेवानिवृत्त होना	v.retire@v.retiring
सेवानिवृत्ति	n+f.retirement@n+f.retirements
सेवानिवृत्ति निधि	n+f.superannuation
सेवामुक्त कर रहा	v.decommissioning
सेवामुक्त किया	v.decommissioned
सेवामुक्ति	n+m.decommissioning
सेवित	a.serviced
सेविला	n+f.seville
सेवेरस	n+m.severus
सेवॉय	n+m.savoy
सेशेल्स	n+m.seychelles
सेसना	n+m.cessna
सेसिल	n+m.cecil@n+f.cecile
सेसिलिया	n+f.cecilia
सेसेलिया	n+f.cecelia
सेहत	n+f.health
सैंगर	n+m.sanger
सैंटियागो	n+m.santiago
सैंटी	n+m.santee
सैंटोस	n+m.santos
सैंडपाइपर	n+m.sandpiper
सैंडबर्ग	n+m.sandburg
सैंडबॉक्स	n+m.sandbox
सैंडर	n+m.sander
सैंडर्स	n+m.sanders
सैंडल	n+f.sandals@n+f.sandal
सैंडविच	n+m.sandwich@n+m.sandwiches
सैंडविच किया	a.sandwiched
सैंडी	n+f.sandy
सैंडोवल	n+m.sandoval
सैंड्रा	n+f.sandra
सैंपलर	n+m.sampler@n+m.samplers
सैकड़ों	n+m.hundreds
सैकविल	n+m.sackville
सैक्रामेंटो	n+m.sacramento
सैक्स	n+m.sachs@n+m.saks
सैक्सन	a.saxon@n+m.saxon@n+m.sachsen@n+m.saxons
सैक्सोनी	n+f.saxony
सैक्सोफोन	n+m.sax@n+m.saxophone@n+m.saxophones
सैक्सोफोनवादक	n+m.saxophonist
सैगिनॉ	n+m.saginaw
सैटेलाइट	n+f.satellite
सैडी	n+f.sadie
सैद्धांतिक	a.theoretical@a.theoretic@a.doctrinal
सैद्धांतिक रूप से	ad.theoretically
सैन	n+m.san
सैनफोर्ड	n+m.sanford
सैनिक	n+m.soldiers@n+m.troops@n+m.soldier@n+m.troopers@n+m.servicemen
सैनिटाइज़र	n+m.sanitizer
सैन्य	a.military@a.martial
सैन्य चौकी	n+f.garrison
सैन्य नेता	n+m.warlords
सैन्य रूप से	ad.militarily
सैन्य सरकार	n+m.junta
सैन्यवाद	n+m.militarism
सैपान	n+m.saipan
सैफ़िक	a.sapphic
सैम	n+m.sam
सैमसंग	n+m.samsung
सैमसोनाइट	n+m.samsonite
सैमी	n+m.sammy
सैमुअल	n+m.samuel
सैमुअलसन	n+m.samuelson
सैम्पसन	n+m.sampson
सैर	n+f.walk@n+f.walks@n+f.stroll@n+f.outings@n+f.ramble@n+f.rambles
सैरगाह	n+f.promenade
सैलामैंडर	n+m.salamander
सैलिंगर	n+m.salinger
सैलिनास	n+m.salinas
सैलिसिलेट	n+m.salicylate
सैली	n+f.sally@n+f.sallie
सैलून	n+m.salon@n+m.salons@n+m.saloon
सैल्मन मछली	n+m.salmon
सैवोई	n+f.savoie
सैसक्वाच	n+m.sasquatch
सैसून	n+m.sassoon
सॉकआई सालमन	n+m.sockeye
सॉकेट	n+m.socket@n+m.sockets
सॉना	n+m.sauna
सॉनेट	n+m.sonnet@n+m.sonnets
सॉन्डर्स	n+m.saunders
सॉफ्टबॉल	n+f.softball
सॉफ्टवेयर	n+m.software
सॉयर	n+m.sawyer
सॉलफोर्ड	n+m.salford
सॉलिटेयर	n+m.solitaire
सॉल्सबरी	n+m.salisbury
सॉस	n+m.sauce
सॉसपैन	n+m.saucepan
सॉसेज	n+m.sausage@n+m.sausages@n+m.banger
सोंटैग	n+m.sontag
सोंड्रा	n+f.sondra
सोंधाइम	n+m.sondheim
सोआ	n+m.dill
सोकोरो	n+m.socorro
सोखना	v.blotting
सोच	n+f.thinking@n+f.reflections
सोच रहा	v.thinking
सोचता हुआ	a.pondering
सोचता है	v.thinks@v.muses
सोचते रहना	v.brooding
सोचना	v.think@v.suppose@v.wondering@v.wonders@v.wondered@v.ponder@v.musing@v.ween
सोचने योग्य	a.conceivable
सोचा	v.thought@v.pondered
सोटो	n+m.soto
सोडा	n+m.soda@n+m.sodas
सोडायुक्त	v.carbonated
सोडियम	n+m.sodium
सोता हुआ	a.sleeping
सोना	n+m.gold@v.sleep@v.sleeping@v.sleeps@v.kip@v.slumber@v.doss
सोना चढ़ाया	v.gilded
सोनाटा	n+f.sonata@n+f.sonatas
सोनार	n+m.sonar
सोनिक	n+m.sonic
सोनिया	n+f.sonia
सोनी	n+m.sony
सोने का टुकड़ा	n+m.nugget
सोने का पानी	n+m.gilt
सोने का मुलम्मा	a.gilt
सोने का समय	n+m.bedtime
सोने की खदानें	n+m.goldfields
सोने की खान	n+f.goldmine
सोने के सिक्के	n+m.golds
सोने-चांदी की ईंट	n+m.bullion
सोनोरन	a.sonoran
सोनोरा	n+f.sonora
सोन्या	n+f.sonja@n+f.sonya
सोप ऑपेरा	n+f.soap
सोपबॉक्स	n+m.soapbox
सोप्रानो	n+f.soprano@n+m.sopranos
सोफ़े	n+m.sofas
सोफा	n+m.sofa@n+m.couch
सोफिया	n+f.sofia@n+f.sophia
सोफी	n+f.sophie
सोफे	n+m.couches
सोफोक्लीज़	n+m.sophocles
सोम	n+m.som@n+f.somme
सोमवार	n+m.monday@n+m.mon@n+m.mondays
सोमा	n+m.soma
सोमालिया	n+m.somalia
सोमाली	a.somali
सोमाली व्यक्ति	n+m.somali
सोमालीलैंड	n+m.somaliland
सोया	n+m.soy@v.slept
सोया हुआ	a.asleep
सोयाबीन	n+m.soybean@n+m.soybeans
सोयुज़	n+m.soyuz
सोरा	n+m.sora
सोरायसिस	n+m.psoriasis
सोरेंटो	n+m.sorrento
सोरोरिटी	n+f.sorority
सोर्सफोर्ज	n+m.sourceforge
सोर्सिंग	n+m.sourcing
सोल	n+m.sol@n+m.sols
सोल मछली	n+f.sole
सोलह	a.sixteen
सोलहवाँ	a.xvi
सोलहवां	a.sixteenth
सोलहवां भाग	n+m.sixteenth
सोला	n+f.sola
सोलानो	n+m.solano
सोलिस	n+m.solis
सोलिहल	n+m.solihull
सोलेंट	n+m.solent
सोलेनॉइड	n+m.solenoid
सोलोन	n+m.solon
सोलोमन	n+m.solomon
सोवियत	a.soviet@n+m.soviet@n+m.soviets
सोवेटो	n+m.soweto
सोसा	n+m.sosa
सोसाइटी	n+f.society
सोहो	n+m.soho
सौ	n+m.hundred@a.hundred
सौंदर्य	n+m.beauty
सौंदर्य प्रसाधन	n+m.cosmetic@n+m.cosmetics
सौंदर्य विज्ञान	n+f.cosmetology
सौंदर्य संबंधी	a.cosmetic
सौंदर्यपरक	a.aesthetic
सौंदर्यशास्त्र	n+f.aesthetic@n+f.aesthetics
सौंदर्यात्मक रूप से	ad.aesthetically
सौंपता है	v.assigns
सौंपना	v.assign@v.delegates@v.delegate@v.assigning@v.handing@v.entrust
सौंपा	v.assigned@v.handed@v.vested@v.entrusted@v.consigned@v.ceded
सौंपा गया	a.assigned
सौंफ	n+m.anise
सौंफ़	n+m.fennel
सौजन्य	n+m.courtesy
सौतेला पिता	n+m.stepfather
सौतेली माँ	n+f.stepmother
सौदा	n+m.deal@n+m.bargain
सौदे	n+m.deals@n+m.bargains
सौदेबाज़ी	n+f.bargaining
सौदेबाज़ी की	v.bargained
सौना	n+m.saunas
सौभाग्य	n+m.bonanza
सौभाग्य से	ad.fortunately@ad.luckily@ad.thankfully
सौम्य	a.gentle@a.mild@a.benign@a.innocuous@a.suave
सौम्यता	n+f.gentleness
सौर	a.solar
सौवां	a.hundredth
सौवां भाग	n+m.hundredths
सौहार्द	n+m.friendliness@n+f.camaraderie
सौहार्दपूर्ण	a.cordial
सौहार्दपूर्ण ढंग से	ad.cordially
स्कंक	n+m.skunk
स्कर्ट	n+f.skirt@n+f.skirts
स्का	n+m.ska
स्काइप	n+m.skype
स्काई	n+f.skye
स्काईडाइव करना	v.skydive
स्काईडाइविंग	n+m.skydiving
स्काउट	n+m.scout@n+m.scouts
स्काउटिंग	n+f.scouting
स्कायलर	n+m.schuyler
स्कारबरो	n+m.scarborough
स्कार्फ	n+m.scarf
स्काला	n+f.scala
स्किटल्स	n+m.skittles
स्किड	n+m.skids
स्किन	n+m.skins
स्किनर	n+m.skinner
स्किपर	n+m.skipper
स्किपी	n+m.skippy
स्किमर	n+m.skimmer
स्किलिंग	n+m.skilling
स्की	n+f.ski@n+m.skis
स्की ट्रैक	n+f.piste
स्कीइंग	n+f.skiing
स्कीइंग करना	v.ski
स्कीट	n+m.skeet
स्कीटर	n+m.skeeter
स्कीमा	n+m.schema
स्कीयर	n+m.skiers@n+m.skier
स्कुलकिल	n+m.schuylkill
स्कूटर	n+m.scooter@n+m.scooters
स्कूनर	n+m.schooner
स्कूप	n+m.scoops
स्कूप किया	a.scooped
स्कूबा	n+m.scuba
स्कूल	n+m.school@n+m.schools@n+m.sch
स्कूल का काम	n+m.schoolwork
स्कूल का मैदान	n+m.schoolyard
स्कूल के बाद	a.afterschool
स्कूल भवन	n+m.schoolhouse
स्कूल से भागना	n+f.truancy
स्कूली छात्रा	n+f.schoolgirl
स्कूली बच्चे	n+m.schoolchildren
स्कूली लड़का	n+m.schoolboy
स्कूली लड़कियाँ	n+f.schoolgirls
स्कूली शिक्षा	n+f.schooling
स्केच किया हुआ	a.sketched
स्केच बनाना	v.sketch
स्केचबुक	n+m.sketchbook
स्केट	n+m.skate
स्केट करता है	v.skates
स्केटबोर्ड	n+m.skateboard@n+m.skateboards
स्केटबोर्ड चलाना	v.skateboard
स्केटबोर्डिंग	n+m.skateboarding
स्केटर	n+m.skater@n+m.skaters
स्केटिंग	n+f.skating
स्केटिंग करना	v.skate
स्केट्स	n+m.skates
स्केनेक्टैडी	n+m.schenectady
स्केलर	n+m.scalars@n+m.scaler
स्केलिंग	n+m.scaling
स्केलेबिलिटी	n+f.scalability
स्केल्टन	n+m.skelton
स्कैंडिक	a.scandic
स्कैंडिनेविया	n+f.scandinavia
स्कैंडिनेवियाई	a.scandinavian@n+m.scandinavian
स्कैगवे	n+m.skagway
स्कैन	n+m.scan@n+m.scans
स्कैन करना	v.scan@v.scanning@v.scanned@v.scans
स्कैन किया गया	a.scanned
स्कैनर	n+m.scanner@n+m.scanners
स्कैनिंग	n+f.scanning
स्कैलप	n+m.scallops@n+m.scallop
स्कैलिया	n+m.scalia
स्कॉच	n+f.scotch
स्कॉट	n+m.scott@n+m.scot
स्कॉटलैंड	n+m.scotland
स्कॉटलैंडवासी	n+m.scotsman
स्कॉटिश	a.scottish@a.scotch@a.scots
स्कॉटी	n+m.scottie
स्कॉट्स	n+m.scots
स्कॉट्सडेल	n+m.scottsdale
स्कोटस	n+m.scotus
स्कोन	n+m.scones
स्कोप	n+m.scop
स्कोप्जे	n+m.skopje
स्कोर	n+m.score@n+m.scores
स्कोर करता है	v.scores
स्कोर करना	v.score@v.scoring
स्कोर किया	v.scored
स्कोरकार्ड	n+m.scorecard@n+m.scorecards
स्कोरबोर्ड	n+m.scoreboard@n+m.scoreboards
स्कोरर	n+m.scorer@n+m.scorers
स्कोरिंग	n+f.scoring
स्कोर्सेसे	n+m.scorsese
स्कोलियोसिस	n+f.scoliosis
स्कोशिया	n+f.scotia
स्क्रग्स	n+m.scruggs
स्क्रबर	n+m.scrubber@n+m.scrubbers
स्क्रम	n+m.scrum
स्क्रिप्ट	n+f.script@n+f.scripts
स्क्रिप्ट लिखा	v.scripted
स्क्रिप्टिंग	n+f.scripting
स्क्रिबनर	n+m.scribner
स्क्रीन	n+f.screen@n+f.screens
स्क्रीन पर	a.onscreen@ad.onscreen
स्क्रीनर	n+m.screener
स्क्रीनशॉट	n+m.screenshots@n+m.screenshot
स्क्रीनसेवर	n+m.screensaver@n+m.screensavers
स्क्रीनिंग	n+f.screening@n+m.screenings
स्क्रैंटन	n+m.scranton
स्क्रैपबुक	n+m.scrapbook@n+f.scrapbooks
स्क्रैबल	n+m.scrabble
स्क्रैम्बलर	n+m.scrambler
स्क्रॉल	n+m.scroll@n+m.scrolls
स्क्रॉल करता है	v.scrolls
स्क्रॉल करना	v.scroll@v.scrolling
स्क्रॉल किया	v.scrolled
स्क्रॉलिंग	n+f.scrolling
स्क्लेरोडर्मा	n+f.scleroderma
स्क्वाट	n+m.squats
स्क्वाड्रन	n+m.squadron@n+f.squadrons
स्क्वायर	n+m.squires
स्क्विड	n+m.squid
स्क्विब	n+m.squibb
स्क्वैश	n+m.squash
स्क्वॉ	n+f.squaw
स्खलन	n+m.ejaculation@n+f.ejaculations
स्खलन करना	v.ejaculating
स्खलित होना	v.ejaculate@v.cums
स्टटगार्ट	n+m.stuttgart
स्टड	n+m.stud@n+m.studs
स्टर	n+m.ster
स्टर्जन	n+m.sturgeon
स्टर्न	n+m.sterne
स्टर्लिंग	n+m.sterling@n+m.stirling
स्टल	n+m.stull
स्टाइन	n+m.stine
स्टाइनबेक	n+m.steinbeck
स्टाइनर	n+m.steiner
स्टाइनवे	n+m.steinway
स्टाइरीन	n+m.styrene
स्टाइल	n+m.style
स्टाइलस	n+m.stylus@n+m.styli
स्टाइलिंग	n+f.styling
स्टाइलिश	a.stylish
स्टाइलिस्ट	n+m.stylist@n+m.stylists
स्टाइल्स	n+m.stiles
स्टाउट बीयर	n+f.stout
स्टाफ	n+m.staff
स्टाफिंग	n+f.staffing
स्टायरोफोम	n+m.styrofoam
स्टार	n+m.starr
स्टारबक्स	n+m.starbucks
स्टारबर्स्ट	n+m.starburst
स्टार्की	n+m.starkey
