অ	a.non
লম্বকোণী	a.orthogonal
লম্বন	n+f.parallax
লম্বা	a.long@a.tall
লম্বা ও পাতলা	a.slinky
লম্বা করা	v.elongated@a.lengthened
লম্বা চুলের গালিচা	n+m.shag
লম্বা চেয়ার	n+f.chaise
লম্বা ধনুক	n+m.longbow
লম্বা নৌকা	n+f.longboat
লম্বা পা ফেলে হাঁটে	vi.strides
লম্বা পায়ের গ্লাস	n+f.stemware
লম্বা রুটি	n+f.baguette
লম্বাটে	a.elongate
লম্বাতর	a.taller
লম্বার্ড	n+m.lombard
লম্বার্ডি	n+f.lombardy
লম্বালম্বি	a.lengthwise
লম্বোক	n+m.lombok
লয়েড	n+m.lloyd@n+m.loyd
লয়োলা	n+m.loyola
লরা	n+f.laura
লরি	n+f.lori@n+f.laurie@n+m.lorry@n+f.lauri@n+f.lullabies@n+f.lorie@n+m.lorries@n+f.lorrie
লরিয়ে	n+m.laurier
লরেঞ্জ	n+m.lorenz
লরেঞ্জো	n+m.lorenzo
লরেন	n+f.lauren@n+f.lorraine@n+f.loren
লরেনশীয়	a.laurentian
লরেন্ট	n+m.laurent
লরেন্স	n+m.lawrence@n+m.laurence
লর্ড	n+m.lord
লর্না	n+f.lorna
ললাট	n+m.forehead
ললাট সংক্রান্ত	a.frontal
ললিতা	n+f.lolita
ললিপপ	n+m.lollipop@n+m.lollipops@n+f.lolly
লস	n+m.los
লস এঞ্জেলেস	n+m.la
লসন	n+m.lawson
লসিকা	n+m.lymph
লসিকা গ্রন্থির ক্যান্সার	n+f.lymphoma
লসিকা সংক্রান্ত	a.lymphoid
লসিকা সম্পর্কিত	a.lymphatic
লসিকানালী	n+m.lymphatic
লাইকেন	n+f.lichen@n+m.lichens
লাইক্রা	n+m.lycra
লাইগেশন	n+f.ligation
লাইট	a.lite
লাইটার	n+m.lighter@n+m.lighters
লাইটিং	n+m.lighting
লাইডেন	n+m.leiden
লাইন	n+f.line@n+f.lines
লাইনচ্যুত করা	v.derail
লাইনচ্যুত হল	v.derailed
লাইনব্যাকার	n+m.linebacker
লাইনম্যান	n+m.lineman
লাইনার	n+m.liner@n+m.liners
লাইনে দাঁড়ানো	n+f.queueing
লাইনে দাঁড়ায়	vi.queues
লাইনোটাইপ	n+m.linotype
লাইপজিগ	n+m.leipzig
লাইপেজ	n+f.lipase
লাইপোপ্রোটিন	n+m.lipoprotein@n+m.lipoproteins
লাইপোসাকশন	n+f.liposuction
লাইফগার্ড	n+m.lifeguard
লাইবনিজ	n+m.leibniz
লাইবেরিয়া	n+f.liberia
লাইবেরিয়ার অধিবাসী	n+m.liberian
লাইবেরীয়	a.liberian
লাইব্রেরি	n+f.library@n+f.libraries@n+m.lib
লাইম	n+m.lyme
লাইম্যান	n+m.lyman
লাইল	n+m.lyle@n+m.lisle
লাইলাক	n+m.lilac
লাইসিন	n+m.lysine
লাইসিয়াম	n+m.lyceum
লাইসেন্স	n+f.license@n+f.licence@n+f.licenses@n+f.licences
লাইসেন্স দেওয়া	v.licenses
লাইসেন্সধারী	n+m.licensee@n+m.licensees
লাইসেন্সপ্রাপ্ত	a+m.licensed@a+f.licensed@a.licenced
লাইসেন্সবিহীন	a.unlicensed
লাইসেন্সিং	n+m.licensing
লাইসোজাইম	n+m.lysozyme
লাউ	n+f.gourd@n+f.gourds
লাউঞ্জ	n+m.lounge@n+m.lounges
লাউডস্পিকার	n.loudspeakers@n+m.loudspeaker
লাউথ	n+m.louth
লাউরি	n+m.lowry
লাও	n+m.lao
লাওস	n+m.laos
লাওসবাসী	n+m.laotian
লাওসীয়	a.laotian
লাওসের	a.lao
লাকড়ি	n+f.firewood
লাকোটা	n+m.lakota
লাক্কার	n+m.lacquer
লাক্ষা	n+m.lac
লাক্স	n+m.lux
লাখ	n+m.lakhs
লাগানো	v.stick@a.fitted@a.affixed
লাগাম	n+m.rein@n.reins@n+m.bridle
লাগাম টানা	v.reining
লাগামহীন	a.unbridled
লাগার বিয়ার	n+m.lager
লাগেজ	n+m.luggage@n+f.baggage
লাগোস	n+m.lagos
লাগ্রাঞ্জ	n+m.lagrange
লাঘব	n+f.mitigation@n+f.abatement@n+f.alleviation
লাঘব করছে	v.alleviating
লাঘব করা	vt.alleviate@v.alleviated
লাঙ্গল	n+m.plough
লাজার	n+m.lazar
লাজারাস	n+m.lazarus
লাজুক	a.shy@a.timid
লাজুকতা	n+f.timidity
লাজুলি	n+m.lazuli
লাঞ্চ	n+m.lunch
লাঞ্চবক্স	n+m.lunchbox
লাট মুদ্রা	n+f.lats
লাটভিয়া	n+f.latvia
লাটভিয়ান	n+m.lett@a.latvian
লাটভিয়ার বাসিন্দা	n+m.latvian
লাট্রোব	n+m.latrobe
লাঠি	n+m.stick@n+m.sticks@n+m.cosh@n+m.batons
লাঠি দিয়ে মারা	v.cosh
লাতিন আমেরিকান	n+m.latinos
লাতিনো	n+m.latinos
লাথি	n+m.kick@n+f.kicks@n+f.kicking
লাথি মারছে	v.punting
লাথি মারা	v.kick@v.kicked@v.kicking@vt.punt
লাথি মারা ব্যক্তি	n+m.kicker
লাথি মারার খেলোয়াড়	n+m.kickers
লাথি মারে	v.kicks@v.punts
লানা	n+f.lana
লানাই	n+m.lanai
লানো তৃণভূমি	n+m.llano
লান্টানা	n+f.lantana
লাপ্লাস	n+m.laplace
লাফ	n+m.skip@n+m.jump@n+m.hop@n+f.jumping@n+m.leap@n+m.bounce@n+m.jumps@n+m.leaps@n+m.skips
লাফ দিয়েছিল	v.sprang
লাফ দেওয়া	v.spring@v.jump@v.hop@v.vault@v.leap@vi.bounce@vi.bounds@v.jumped@v.jumps
লাফ দেয়	v.springs@vi.leaps
লাফাচ্ছে	v.hopping@v.bounding@v.leaping@v.jigs@v.springing@v.bucking
লাফানো	v.bound@v.jumping@a.jumped@a.bouncing@v.skipping@vi.jig@n+m.leaping@v.caper
লাফানো ব্যক্তি	n+m.jumper
লাফানোর মাদুর	n.trampolines
লাফায়	vi.hops@vi.bounces
লাফায়েট	n+m.lafayette
লাফালাফি	n+m.caper
লাফালাফিকারী	n+m.hoppers
লাফিয়ে উঠেছিল	v.vaulted
লাফিয়ে উঠেছে	v.bounced@v.sprung
লাফিয়ে গেছে	v.skipped
লাফিয়ে দৌড়ায়	v.lopes
লাফিয়ে যায়	v.skips
লাফিয়েছিল	v.hopped
লাফিয়েছে	v.leapt@v.leaped
লাফের তক্তা	n+f.springboard
লাবক	n+m.lubbock
লাবান	n+m.laban
লাভ	n+f.benefits@n+m.profit@n+m.gain@n+m.catch@n+f.profits@n+m.gains@n.winnings
লাভ করছে	v.profiting
লাভ করা	v.gain@v.gaining@v.acquires@v.reaping
লাভকারী	n+m.gainers@n+m.gainer
লাভক্রাফট	n+m.lovecraft
লাভজনক	a.beneficial@a.profitable@a.lucrative@a.advantageous
লাভজনকতা	n+f.profitability
লাভজনকভাবে	ad.profitably
লাভবান হচ্ছে	v.benefiting
লাভবান হয়েছে	v.benefited
লাভলেস	n+m.lovelace
লাভহীন	a.unprofitable
লাভা	n+f.lava
লাভার্ন	n+f.laverne
লাভাল	n+m.laval
লাভিনিয়া	n+f.lavinia
লামন্ট	n+m.lamont
লামা	n+m.lama@n+m.llama@n+m.llamas@n+m.lamas
লামাজ	n+m.lamaze
লামার	n+m.lamar
লাম্পট্য	n+f.debauchery
লায়রা	n+f.lyra
লায়লা	n+f.layla
লায়ার	n+f.lyre
লায়োনেল	n+m.lionel
লার	n+m.lar
লারসন	n+m.larson
লারসেন	n+m.larsen
লারা	n+f.lara
লারামি	n+m.laramie
লারেডো	n+m.laredo
লার্কস্পার	n+m.larkspur
লার্গো	n+m.largo
লার্চ গাছ	n+m.tamarack@n+m.larch
লার্ন	n+m.larne
লার্নার	n+m.lerner
লার্ভা	n+f.larvae@n+f.larva
লার্ভা অবস্থার	a.larval
লার্স	n+m.lars
লাল	a+m.red@a+f.red@n+m.reds
লাল কাঠ	n+f.redwood
লাল কাঠের গাছ	n+m.redwoods
লাল চুলের ব্যক্তি	n+m.redhead@n.redheads
লাল ফল	n+m.cranberry
লাল ফুল	n+f.poinsettia
লাল মরিচ	n+m.cayenne
লাল মাছ	n+m.redfish
লাল রঙ	n+m.red@n+f.rouge
লাল রেখা দেওয়া	vt.redline
লাল হয়ে যায়	v.flushes
লালচে	a.flushed@a.reddish@a.ruddy
লালচে বাদামি	a.roan
লালচে-বাদামি	a.rufous
লালচে-বাদামী	a.sorrel
লালচেভাব	n+f.redness
লালন করা	v.foster@vt.cherish@vt.nourish
লালন করে	vt.fosters
লালন করেছে	v.cherished
লালন-পালন	n+m.upbringing
লালনপালন করছে	v.nurturing
লালনপালন করল	v.nurtured
লালনপালন করা	v.fostering@vt.nurture
লালসা	n+f.lust@n+f.greed
লালসা করা	v.lech
লালসাপূর্ণ দৃষ্টি	n+m.leer
লালসিত	a.greedy
লালা	n+f.saliva@n+f.lala@n+m.drool
লালা ঝরছে	v.drooling
লালা ঝরা	vi.drool
লালা ঝরানো	v.dribble
লালাগ্রন্থি সম্পর্কিত	a.salivary
লাশ	n+f.corpse@n.corpses
লাস	n+m.las
লাসা	n+f.lhasa
লাসাগনা	n+f.lasagna
লাসেন	n+m.lassen
লাস্কি	n+m.laski
লাহোর	n+m.lahore
লি	n+m.lee@n+f.lea@n+m.leigh
লিং	n+m.ling
লিংক	n+f.enlaces
লিংকন	n+m.lincoln
লিংকনশায়ার	n+m.lincolnshire
লিংক্স	n+m.lynx
লিউকেমিয়া	n+f.leukaemia
লিউট	n+m.lute
লিউব্লিয়ানা	n+f.ljubljana
লিউয়েলিন	n+m.llewellyn
লিউসিন	n+m.leucine
লিও	n+m.leo
লিওঁ	n+m.lyon
লিওটার্ড	n+m.leotard
লিওন	n+m.leone@n+m.leon
লিওনা	n+f.leona
লিওনার্ড	n+m.leonard
লিওনার্দো	n+m.leonardo
লিওনিড	n+m.leonid
লিওনিদাস	n+m.leonidas
লিওনোরা	n+f.leonora
লিওপোল্ড	n+m.leopold
লিক	n+m.leek@n+m.leeks
লিকার	n+m.liqueur@n+m.liqueurs
লিখটেনস্টাইন	n+m.lichtenstein
লিখন	n+m.writing
লিখল	v.penned
লিখিত	a+m.written@a+f.written@a.authored@a.inscribed@a.scripted
লিখিত আদেশ	n+m.writ
লিখিত বিবরণ	n+m.writeup
লিখিত রূপ	n.transcriptions
লিখে রাখছে	v.transcribing
লিখেছিল	v.wrote
লিখেছে	v.scribed
লিগ	n+f.league
লিগনাইট	n+m.lignite
লিগনিন	n+m.lignin
লিগামেন্ট	n+m.ligament@n+m.ligaments
লিগুরিয়া	n+f.liguria
লিগ্যান্ড	n+m.ligand@n.ligands
লিঙ্ক	n+m.links@n+m.link
লিঙ্কার	n+m.linker
লিঙ্গ	n+m.sex@n+m.gender@n+m.penis@n+f.sexuality@n+m.sexes@n+m.genders
লিঙ্গবাদ	n+f.sexism
লিঙ্গবৈষম্য	n+m.sexism
লিঙ্গবৈষম্যকারী	n+m.sexist
লিঙ্গবৈষম্যমূলক	a.sexist
লিঙ্গভিত্তিক	a.gendered
লিঙ্গমুণ্ডাবরণ	n+m.foreskin
লিচটেনস্টাইন	n+m.liechtenstein
লিচফিল্ড	n+m.lichfield
লিজ	n+m.lease@n+f.liz
লিজকৃত	a.leasehold
লিজা	n+f.liza
লিজি	n+f.lizzie@n+f.lizzy
লিজিং	n+m.leasing
লিজিয়ন	n+m.legion
লিজে দেওয়া	vt.leases@v.leased
লিজ্ট	n+m.liszt
লিঞ্চ	n+m.lynch
লিটন	n+m.lytton@n+m.litton
লিটমাস	n+m.litmus
লিটার	n+m.litre@n+m.litres
লিটারাল	n+m.literals
লিটাস	n+m.litas
লিটো	n+m.leto
লিড	n+m.leads
লিডস	n+m.leeds
লিডার	n+m.lieder
লিডিয়া	n+f.lydia@n+f.lidia
লিডো	n+m.lido
লিডোকেইন	n+m.lidocaine
লিথ	n+m.leith@n+m.lith
লিথিয়াম	n+m.lithium
লিথুয়ানিয়া	n+f.lithuania
লিথুয়ানিয়ার মুদ্রা	n+f.litas
লিথুয়ানীয়	a.lithuanian
লিথুয়ানীয় ব্যক্তি	n+m.lithuanian
লিথো	n+m.litho
লিথোগ্রাফ	n+m.lithograph@n+m.lithographs
লিথোগ্রাফি	n+f.lithography@n+f.litho
লিথোগ্রাফিক	a.lithographic
লিন	n+f.lynn@n+m.lin@n+f.lynne@n+m.linn
লিনউড	n+m.linwood
লিনডেন	n+m.linden
লিনা	n+f.lina
লিনাক্স	n+m.linux
লিনাস	n+m.linus
লিনিয়ারাইজড	a.linearized
লিনিয়াস	n+m.linnaeus
লিনেট	n+f.lynette
লিনেন	n+m.linen@n+m.linens
লিনো	n+m.lino
লিনোলিয়াম	n+m.lino@n+m.linoleum
লিন্ট	n+m.lint
লিন্টন	n+m.linton
লিন্ড	n+m.lind
লিন্ডন	n+m.lyndon
লিন্ডবার্গ	n+m.lindbergh
লিন্ডসে	n+f.lindsay@n+f.lindsey
লিন্ডা	n+f.linda@n+f.lynda
লিন্ডি	n+f.lindy
লিনৎস	n+m.linz
লিপটন	n+m.lipton
লিপসকম্ব	n+m.lipscomb
লিপস্টিক	n+m.lipstick
লিপি	n+f.script@n+f.scripts
লিপিকার	n+m.scribe
লিপিড	n+m.lipid@n+m.lipids
লিপ্যন্তর	n+f.transliteration
লিফট	n+m.lift@n+m.lifts@n+m.elevator@n+m.elevators
লিফট চাওয়া ব্যক্তি	n+m.hitchhikers
লিফলেট	n+m.flier
লিবারটেরিয়ানিজম	n+m.libertarianism
লিবারম্যান	n+m.lieberman
লিবার্টেরিয়ান	a.libertarian
লিবি	n+f.libby
লিবিডো	n+m.libido
লিবিয়া	n+f.libya
লিবিয়াবাসী	n+m.libyan
লিবিয়ার	a.libyan
লিবের	n+m.liber
লিবেরো	n+m.libero
লিব্রা	n+m.libra
লিব্রেটো	n+m.libretto
লিভাইস	n+m.levis
লিভার	n+m.liver@n+m.lever@n+m.levers
লিভারপুল	n+m.liverpool
লিভারেজ	n+f.leverage@n+m.leverages
লিভারেজড	a.leveraged
লিভারেজিং	n+m.leveraging
লিভিংস্টন	n+m.livingston
লিভিংস্টোন	n+m.livingstone
লিভিয়া	n+f.livia
লিভোনিয়া	n+f.livonia
লিভোর্নো	n+m.livorno
লিভ্র	n+m.livre
লিমবার্গ	n+m.limburg
লিমা	n+f.lima
লিমাসল	n+m.limassol
লিমিটার	n+m.limiter
লিমিটেড	n+m.ltd
লিমুজিন	n+f.limousines@n+f.limousine@n+f.limo@n+m.limousin
লিমুজিন গাড়ি	n.limos
লিমেরিক	n+m.limerick
লিমো	n+f.limo
লিমোজ	n+m.limoges
লিম্পোপো	n+m.limpopo
লিম্ফ	n+f.lymph
লিম্ফয়েড	a.lymphoid
লিম্ফোমা	n+m.lymphoma@n+m.lymphomas
লিম্ফোসাইট	n+m.lymphocytes@n+m.lymphocyte
লিম্বাগ	n+m.limbaugh
লিয়ঁ	n+m.lyons
লিয়া	n+f.leah
লিয়াও	n+m.liao
লিয়াওনিং	n+m.liaoning
লিয়ান	n+f.leanne@n+f.leann
লিয়ান্ডার	n+m.leander
লিয়াম	n+m.liam
লিয়ার	n+m.lear
লিয়ারি	n+m.leary
লিয়েজ	n+m.liege
লিরয়	n+m.leroy
লিরা	n+f.lira@n.lire
লিল	n+m.lille
লিলা	n+f.lila
লিলাঙ্গেনি	n+m.lilangeni
লিলি	n+f.lilly@n+f.lillie
লিলি ফুল	n+f.lily@n+m.lilies
লিলিথ	n+f.lilith
লিলিপুট	n+m.lilliput
লিলিয়ান	n+f.lillian@n+f.lilian
লিলো	n+m.lilo
লিস	n+m.lis
লিসবন	n+f.lisbon
লিসবার্ন	n+m.lisburn
লিসা	n+f.lisa
লিস্টন	n+m.liston
লিস্টসার্ভার	n+m.listserver
লিস্টার	n+m.lister
লিস্টেরিয়া	n+f.listeria
লিস্প	n+m.lisp
লীগ	n+f.leagues
লু	n+m.lou@n+m.lew
লুই	n+m.louis@n+m.louie
লুইজি	n+m.luigi
লুইজিয়ানা	n+f.louisiana
লুইশাম	n+m.lewisham
লুইস	n+m.lewis@n+m.luis@n+f.louise@n+m.lewes
লুইসভিল	n+m.louisville
লুইসা	n+f.louisa@n+f.luisa
লুইস্টন	n+m.lewiston
লুক	n+m.luke
লুকানো	v.hide@a+m.hidden@a+f.hidden@n+f.hiding@a.concealed@v.hid@vt.camouflage@vt.conceal@n+f.concealment@v.concealing
লুকানো ব্যক্তি	n+m.lurker
লুকানোর জায়গা	n+m.hideaway@n+m.hideout
লুকায়	vt.hides@v.conceals
লুকাস	n+m.lucas
লুকিয়ে	ad.secretly
লুকিয়ে ঘোরা ব্যক্তি	n+m.prowler
লুকিয়ে থাকা	v.hiding@v.lurk
লুকিয়ে থাকে	v.lurks
লুকিয়ে দেখা	n+m.voyeurism
লুকিয়ে যাওয়া	v.sneaking
লুকিয়ে যাত্রী	n+m.stowaway
লুকিয়ে রাখা	vt.stash@v.secrete
লুকিয়ে রেখেছিল	v.secreted
লুক্কা	n+f.lucca
লুক্রেশিয়া	n+f.lucretia
লুক্সর	n+m.luxor
লুক্সেমবার্গ	n+m.luxembourg
লুগার	n+m.luger
লুগো	n+m.lugo
লুঙ্গি	n+m.sarong
লুচ	n+f.luce
লুজ	n+f.luz@n+m.luge
লুজন	n+m.luzon
লুজান	n+f.lausanne
লুট করছে	v.looting
লুট করা	vt.loot@vt.plunder@v.robbing
লুট করে	v.robs
লুট করেছে	v.robbed@v.looted
লুটন	n+m.luton
লুটপাট	n+m.looting@n+m.pillage
লুটের মাল	n+m.booty@n+m.spoil@n+m.loot@n.booties@n+m.swag@n+m.spoils@n+m.plunder
লুটেরা	n+m.raiders@n+m.raider@n+m.robber@n.robbers@n+m.marauder@n+m.looters
লুডভিগ	n+m.ludwig
লুডলো	n+m.ludlow
লুণ্ঠন	n+m.robbery
লুণ্ঠন করা	v.pillage
লুণ্ঠন করেছিল	v.sacked
লুণ্ঠন করেছে	v.looted
লুণ্ঠনকারী	a.predatory
লুথার	n+m.luther
লুথেরান	a.lutheran@n+m.lutherans
লুথেরান ধর্মাবলম্বী	n+m.lutheran
লুধিয়ানা	n+m.ludhiana
লুন	n+f.lune
লুন পাখি	n+m.loon
লুনা	n+f.luna
লুপ	n+m.loop@n+m.loops@n+m.loup
লুপ করা	v.loop@v.looping
লুপ করে	v.loops
লুপ করেছে	v.looped
লুপার	n+m.looper
লুপাস	n+m.lupus
লুপিন	n+m.lupin@n+m.lupine
লুপে	n+f.lupe
লুপ্তপ্রায়	a.vanishing
লুফটভাফে	n+f.luftwaffe
লুফতানসা	n+f.lufthansa
লুব্ধক তারা	n+m.sirius
লুব্রিকেন্ট	n+f.lubricants@n+m.lube@n+m.lubricant
লুব্রিক্যান্ট	n+m.lubes
লুভেন	n+m.louvain
লুমিনা	n+f.lumina
লুমিনাল	a.luminal
লুমিয়ের	n+m.lumiere
লুমেন	n+m.lumens@n+m.lumen
লুয়াউ	n+m.luau
লুর্দ	n+f.lourdes
লুলা	n+f.lula
লুলু	n+f.lulu
লুস	n+m.loos
লুসাইট	n+m.lucite
লুসাকা	n+f.lusaka
লুসার্ন	n+f.lucerne
লুসি	n+f.lucy
লুসিও	n+m.lucio
লুসিন্ডা	n+f.lucinda
লুসিফার	n+m.lucifer
লুসিফারেজ	n+m.luciferase
লুসিয়া	n+f.lucia
লুসিয়ান	n+m.lucian
লুসিয়ানো	n+m.luciano
লুসিয়াস	n+m.lucius
লুসিয়েন	n+m.lucien
লুসিল	n+f.lucille@n+f.lucile
লুসেন্ট	n+m.lucent
লে	n+m.ley
লেআউট	n+m.layout
লেআপ	n+m.layup
লেই	n+m.lei@n+m.leis
লেইটন	n+m.leighton
লেইডেন	n+m.leyden
লেইনস্টার	n+m.leinster
লেইফ	n+m.leif
লেইলা	n+f.leila
লেইশম্যানিয়া	n+f.leishmania
লেউ	n+m.leu
লেউইনস্কি	n+m.lewinsky
লেক	n+m.lek
লেকউড	n+m.lakewood
লেকল্যান্ড	n+m.lakeland
লেক্ট	n+m.lect
লেক্স	n+m.lex
লেক্সাস	n+m.lexus
লেক্সিংটন	n+m.lexington
লেখক	n+m.author@n+m.authors@n+m.writer@n+m.writers@n+m.scribe@n+m.scribes
লেখকত্ব	n+m.authorship
লেখকের নাম	n+f.byline
লেখচিত্র	n+f.graph@n+f.graphs
লেখনী	n+m.stylus@n+m.styli
লেখা	v.write@n+f.writing@v.writes@n+f.writings@n+m.lettering@n+m.inscription@v.penning
লেখা হয়নি এমন	a.unwritten
লেখা হয়েছে	v.written@v.spelled
লেখানো	vt.dictate
লেখার যোগ্য	a.writable
লেখার সরঞ্জাম	n+m.stationery
লেখালেখি	n+f.authoring
লেখিকা	n+f.author@n+f.writer
লেগ বিফোর উইকেট	n.lbw
লেগাটো	a.legato
লেগিংস	n+m.leggings
লেগে থাকছে	v.adhering
লেগে থাকা	vi.adhere@vi.cling@a.clinging
লেগে থাকে	v.sticks@vi.persists@v.clings
লেগো	n+m.lego
লেচে	n+m.lecce
লেজ	n+m.tail@n+f.tails
লেজ নাড়া	n+m.wag
লেজযুক্ত	a.tailed
লেজার	n+m.laser@n+m.lasers@n+m.ledger@n+m.leger
লেজের	a.caudal
লেট	n+m.lett
লেটন	n+m.layton
লেটারম্যান	n+m.letterman
লেটারহেড	n+m.letterhead
লেটুস	n+m.lettuce
লেডিবাগ	n+f.ladybug
লেডিবার্ড	n+f.ladybird
লেডিস্মিথ	n+m.ladysmith
লেথব্রিজ	n+m.lethbridge
লেথাম	n+m.latham
লেদ	n+m.lathe
লেদ মেশিন	n+m.lathes
লেদা	n+f.leda
লেদারেট	n+m.leatherette
লেন	n+f.lane@n+m.len@n+m.lanes
লেনদেন	n+f.transactions@n+f.transaction@n+m.dealing@n+m.dealings
লেনদেন করা	vt.transact
লেনদেন করেছিল	v.transacted
লেনদেনমূলক	a.transactional
লেনন	n+m.lennon
লেনা	n+f.lena
লেনি	n+m.lenny
লেনিন	n+m.lenin
লেনিনগ্রাদ	n+m.leningrad
লেনো	n+m.leno
লেনোয়ার	n+m.lenoir
লেনোর	n+f.lenore
লেন্ট	n+m.lent
লেন্স	n+m.lens@n+m.lenses
লেপ	n+m.quilt@n+f.quilts@n+m.comforter@n+m.duvet@n.comforters@n+m.duvets
লেপ তৈরি করা	v.quilt
লেপ প্রস্তুতকারক	n+m.quilters
লেপ প্রস্তুতকারী	n+m.quilter
লেপটন	n+m.lepton
লেপটিন	n+m.leptin
লেপে দেওয়া	vt.smear
লেফটেন্যান্ট	n+m.lieutenant@n+m.lieut@n+m.lieutenants
লেবানন	n+m.lebanon
লেবাননের বাসিন্দা	n+m.lebanese
লেবানিজ	a.lebanese
লেবীয় পুস্তক	n+m.leviticus
লেবু	n+m.lemon@n+f.lime@n.lemons@n+m.limes
লেবু ঘাস	n+f.lemongrass
লেবু জাতীয় ফল	n+m.citron
লেবু সংক্রান্ত	a.citric
লেবুজাতীয় ফল	n+m.citrus
লেবুপানি	n+f.lemonade
লেবুর খোসা	n+f.zest
লেবুর মতো	a.lemony
লেবুর স্বাদযুক্ত	a.lemony
লেবেল	n+m.label@n+m.labels
লেবেল লাগানো	v.label@v.labels@v.labelled
লেবেলযুক্ত	a.labelled
লেবেলিং	n+m.labelling
লেব্লাঁ	n+m.leblanc
লেভ	n+m.lev
লেভান্ট	n+m.levant
লেভি	n+m.levi
লেভিট	n+m.levitt
লেভিটাউন	n+m.levittown
লেভিন	n+m.levine@n+m.levin
লেভিয়াথান	n+m.leviathan
লেভেন	n+m.leven
লেভেনওয়ার্থ	n+m.leavenworth
লেভেল	n+m.level@n+m.levels
লেভেস্ক	n+m.levesque
লেম	n+m.lem
লেমনগ্রাস	n+m.lemongrass
লেমপিরা	n+m.lempira
লেমস	n+m.lems
লেমা	n+m.lemma@n+m.lemmas
লেমিং ইঁদুর	n+m.lemmings
লেমুর	n+m.lemur
লেল্যান্ড	n+m.leland
লেস	n+m.les@n+f.lace@n+f.laces
লেসবস	n+m.lesbos
লেসবিয়ান	n+f.lesbian@a+f.lesbian@n+f.lesbians
লেসলি	n+m.leslie@n+f.lesley
লেসি	n+f.lacey@n+f.lacy
লেসিথিন	n+m.lecithin
লেসোথো	n+m.lesotho
লেস্টার	n+m.leicester@n+m.lester
লেস্টারশায়ার	n+m.leicestershire
লেহন করেছিল	v.licked
লেহম্যান	n+m.lehman@n+m.lehmann
লৈঙ্গিকভাবে	ad.sexually
লো	n+m.lowe
লোউস	n+m.loews
লোওয়ারি	n+m.lowery
লোক	n+m.people@n+m.guy@n+m.guys@a.folk@n+m.dude@n+m.chap@n+m.bloke@n.hombres@n+m.hombre@n+m.fella@n+m.blokes
লোককথা	n+f.folktales
লোককাহিনী	n+m.folklore
লোকগীতি	n+m.ballad
লোকজন	n+m.folk@n+m.folks@n.chaps
লোকনৃত্য	n+f.hora
লোকপাল	n+m.ombudsman
লোকসহ	a.manned
লোকসান	n+m.loss@n+m.losses@n+f.deficit
লোকসাহিত্য	n+f.folklore
লোকাম	n+m.locum
লোকালাইজেশন	n+f.localization
লোকাস	n.loci
লোকি	n+m.loki
লোকেটর	n+m.locator
লোকোমোটিভ	n.locomotives
লোগান	n+m.logan
লোগো	n+m.logo@n+m.logos
লোগোটাইপ	n+m.logotype
লোটা	n+f.lotta
লোটি	n+m.loti
লোড	n+m.load
লোড করা	v.load@v.loading@v.loaded@v.loads
লোডযোগ্য	a.loadable
লোডার	n+m.loader@n.loaders
লোডি	n+m.lodi
লোডিং	n+m.loading@n+f.loadings
লোথিয়ান	n+m.lothian@n+m.lothians
লোপেজ	n+m.lopez
লোপেস	n+m.lopes
লোফার জুতা	n+m.loafers@n+m.loafer
লোবো	n+m.lobo
লোভ	n+m.temptation@n+m.greed@n.temptations
লোভ করে	v.lusts
লোভ দেখানো	vt.entice
লোভনীয়	a.lucrative@a.coveted@a.enviable
লোভী	a.greedy@a.grasping@a.insatiable@n+m.miser
লোভেল	n+m.lovell
লোম	n+f.fur
লোমকূপ	n.pores@n+f.follicle
লোমন্ড	n+m.lomond
লোমশ	a.hairy@a.furry@a.hirsute
লোমহীন	a.bald@a.hairless
লোম্বার্ডি	n+m.lombardi
লোম্যাক্স	n+m.lomax
লোয়ার	n+m.loire
লোয়ে	n+m.loewe
লোয়েব	n+m.loeb
লোয়েল	n+m.lowell
লোয়েস্টফট	n+m.lowestoft
লোরা	n+f.lora
লোরান	n+m.loran
লোরিস	n+m.loris
লোরেটা	n+f.loretta
লোরেনা	n+f.lorena
লোরেন্টজ	n+m.lorentz
লোরেলাই	n+f.lorelei
লোর্কা	n+m.lorca
লোলা	n+f.lola
লোলুপ দৃষ্টিতে তাকানো	v.ogle
লোশন	n+f.lotion@n+m.lotions
লোহা	n+m.iron
লোহাযুক্ত	a.ferrous
লোহার আকর	n+m.ironstone
লোহার কারিগর	n+m.blacksmith
লোহার জিনিস	n+m.irons
লোহার টুকরো	n+m.billet
লোহার রড	n+m.crowbar
লোহিত রক্তকণিকা	n+m.erythrocytes@n+m.erythrocyte
লোহিত সরণ	n+m.redshift
লৌহ সংক্রান্ত	a.ferrous
লৌহকাঠ	n+m.ironwood
লৌহঘটিত	a.ferric
লৌহচুম্বকীয়	a.ferromagnetic
লৌহশিলা	n+f.ironstone
ল্যাং	n+m.lang
ল্যাংটন	n+m.langton
ল্যাংমুইর	n+m.langmuir
ল্যাংলি	n+m.langley
ল্যাকটিক	a.lactic
ল্যাকটেট	n+m.lactate
ল্যাকোনিয়া	n+f.laconia
ল্যাক্টোজ	n+m.lactose
ল্যাক্টোব্যাসিলাস	n+m.lactobacillus
ল্যাক্রোস	n+m.lacrosse
ল্যাগরেঞ্জিয়ান	n+m.lagrangian
