the	art+m.der@art+f.die@art+n.das
dunning	n+f.Mahnung@a.mahnend
grinch	n+m.Grinch@n+m.Spielverderber
loveless	a.lieblos
okeechobee	n.Okeechobee
sharpened	v.schärfen@a.geschärft
nostrils	n+n.Nasenloch@n+f.Nüster
cambrian	a.kambrisch@n+n.Kambrium
hydrocortisone	n+n.Hydrocortison
cerebrospinal	a.zerebrospinal
impure	a.unrein@a.verunreinigt
gridiron	n+m.Bratrost@n+n.Spielfeld
innermost	a.innerste
susana	n.Susana
rumba	n+f.Rumba
yesteryear	n+n.Vergangenes@n+n.alte Zeiten
orthotics	n+f.Orthetik@n+f.Orthopädietechnik
wry	a.ironisch@a.verzogen
spunk	n+m.Mumm@n+m.Mut
pilate	n.Pilatus
pinning	v.anstecken@v.feststecken
jolene	n.Jolene
jalapeno	n+f.Jalapeño
propellant	n+n.Treibmittel@n+m.Treibstoff
raisers	n+m.Aufzieher@n+m.Züchter
confocal	a.konfokal
alms	n+n.Almosen
stung	v.stechen@a.gestochen
phantoms	n+n.Phantom@n+n.Gespenst
retort	n+f.Erwiderung@v.erwidern@n+f.Retorte
bartenders	n+m.Barkeeper
congregate	v.sich versammeln@v.zusammenkommen
meditative	a.meditativ@a.nachdenklich
refilling	v.nachfüllen@n+n.Nachfüllen
rangefinder	n+m.Entfernungsmesser
smirking	v.grinsen@a.grinsend
chestnuts	n+f.Kastanie@n+f.Esskastanie
exacerbate	v.verschärfen@v.verschlimmern
expositions	n+f.Ausstellung@n+f.Darlegung
begotten	v.zeugen@a.gezeugt
anemone	n+f.Anemone@n+f.Seeanemone
equivalently	ad.äquivalent@ad.gleichwertig
ninjas	n+m.Ninja
gainsborough	n.Gainsborough
sparkles	v.funkeln@n+n.Funkeln
collared	a.mit Kragen@v.packen
segfault	n+m.Segmentierungsfehler
costner	n.Costner
barnabas	n.Barnabas
weeding	v.jäten@n+n.Jäten
evasive	a.ausweichend@a.Ausweich-
syrups	n+m.Sirup
smirk	v.grinsen@n+n.Grinsen
estimations	n+f.Schätzung@n+f.Einschätzung
pausing	v.pausieren@n+n.Pausieren
guesswork	n+f.Vermutung@n+n.Raten
grands	n+m.Tausender@n+m.Flügel
replete	a.voll@a.reichlich versehen
irritant	n+m.Reizstoff@a.reizend
inconceivable	a.unvorstellbar@a.undenkbar
graceland	n.Graceland
disconnects	v.trennen@n+f.Trennung
monolith	n+m.Monolith
crutches	n+f.Krücke
intrusions	n+f.Eindringen@n+m.Eingriff
glories	n+f.Herrlichkeit@n+m.Ruhm
apportioned	v.aufteilen@a.aufgeteilt
prelims	n+f.Vorrunde@n+f.Vorprüfung
pawnee	n+m.Pawnee
accumulates	v.ansammeln@v.akkumulieren
squibb	n.Squibb
failings	n+f.Schwäche@n+m.Fehler
mandala	n+n.Mandala
bristle	n+f.Borste@v.sich sträuben
terrors	n+m.Schrecken@n+m.Terror
uriah	n.Uriah
oblige	v.verpflichten@v.einen Gefallen tun
timepieces	n+f.Uhr@n+n.Zeitmessgerät
nonfarm	a.nicht-landwirtschaftlich
anklet	n+f.Fußkette@n+f.Knöchelkette
determinism	n+m.Determinismus
panacea	n+n.Allheilmittel@n+f.Panazee
vibrate	v.vibrieren@v.schwingen
addams	n.Addams
penetrates	v.durchdringen@v.eindringen
normality	n+f.Normalität
cathedrals	n+f.Kathedrale@n+m.Dom
toads	n+f.Kröte
wiesbaden	n.Wiesbaden
deflect	v.ablenken@v.umleiten
taoism	n+m.Taoismus
liber	n.Liber
perceives	v.wahrnehmen@v.empfinden
samara	n.Samara@n+f.Flügelfrucht
unsung	a.unbesungen@a.nicht gewürdigt
gargoyles	n+m.Wasserspeier
massaging	v.massieren@n+f.Massage
ajmer	n.Ajmer
gulliver	n.Gulliver
bul	n.Bul
nubian	a.nubisch@n+m.Nubier
aerodrome	n+m.Flugplatz@n+n.Aerodrom
intensification	n+f.Intensivierung@n+f.Verstärkung
stumped	a.ratlos@v.verblüffen
cramp	n+m.Krampf@v.verkrampfen
sodom	n.Sodom
imitations	n+f.Nachahmung@n+f.Imitation
dillinger	n.Dillinger
odell	n.Odell
mistletoe	n+f.Mistel
perforation	n+f.Perforation@n+f.Durchbohrung
tryout	n+n.Auswahlspiel@n+f.Probe
hallowed	a.geheiligt@a.geweiht
manageability	n+f.Handhabbarkeit@n+f.Verwaltbarkeit
pandas	n+m.Panda
appease	v.beschwichtigen@v.besänftigen
furlong	n+m.Furlong
policyholder	n+m.Versicherungsnehmer
distributional	a.verteilungs-@a.Verteilungs-
tidewater	n+n.Gezeitenwasser
follicular	a.follikulär@a.Follikel-
listeria	n+f.Listeria@n+f.Listerie
lawmaker	n+m.Gesetzgeber
heralded	v.ankündigen@a.angekündigt
flavorful	a.geschmackvoll@a.aromatisch
clearest	a.klarste@a.deutlichste
supersede	v.ersetzen@v.ablösen
shovels	n+f.Schaufel@v.schaufeln
refunding	v.erstatten@n+f.Rückerstattung
subcontracts	n+m.Unterauftrag@v.unterbeauftragen
mediates	v.vermitteln
phrasing	n+f.Formulierung@n+f.Phrasierung
polyacrylamide	n+n.Polyacrylamid
standish	n.Standish
competences	n+f.Kompetenz@n+f.Zuständigkeit
quarries	n+m.Steinbruch@n+f.Beute
sensibly	ad.vernünftig@ad.sinnvoll
biathlon	n+m.Biathlon
mouthed	a.-mäulig@v.lautlos sprechen
moxie	n+m.Mumm@n+f.Courage
biff	v.schlagen@n+m.Schlag
gills	n+f.Kieme
paulette	n.Paulette
backspace	n+f.Rücktaste@v.rückwärts löschen
braids	n+m.Zopf@n+f.Flechte@v.flechten
fugue	n+f.Fuge
dissonance	n+f.Dissonanz@n+f.Missklang
milder	a.milder@a.sanfter
medicated	a.medizinisch@a.medikamentös
inexplicable	a.unerklärlich
counterfeiting	n+f.Fälschung@v.fälschen
hypothermia	n+f.Hypothermie@n+f.Unterkühlung
expeditious	a.schnell@a.zügig
carman	n.Carman@n+m.Fuhrmann
timberline	n+f.Baumgrenze
intently	ad.aufmerksam@ad.gespannt
chrysalis	n+f.Puppe@n+f.Chrysalide
rebooting	v.neu starten@n+m.Neustart
storytellers	n+m.Geschichtenerzähler
morphing	n+n.Morphing@v.morphen
speer	n.Speer
lathes	n+f.Drehbank@n+f.Drehmaschine
refillable	a.nachfüllbar
yearbooks	n+n.Jahrbuch
hoary	a.grau@a.uralt
engin	n.Engin
kyushu	n.Kyushu
tricycle	n+n.Dreirad
corse	n.Korse
amphetamines	n+n.Amphetamin
trillium	n+n.Trillium@n+f.Dreizackblume
bulfinch	n+m.Gimpel@n.Bulfinch
transients	n+m.Durchreisende@a.vorübergehend
concedes	v.einräumen@v.zugeben
swot	n+m.Streber@v.büffeln
andante	n+n.Andante@ad.andante
crocodiles	n+n.Krokodil
bitching	a.meckern@v.sich beschweren
overtly	ad.offen@ad.unverhohlen
ronde	n+f.Ronde
zeno	n.Zenon
deceiving	v.täuschen@a.täuschend
oedipus	n.Ödipus
beamed	v.strahlen@a.strahlend
bannister	n+n.Treppengeländer@n.Bannister
omer	n.Omer
humanoid	a.menschenähnlich@n+m.Humanoid
scraped	v.schaben@v.kratzen@a.abgeschabt
chagrin	n+m.Ärger@n+f.Verdruss
infringements	n+f.Verletzung@n+m.Verstoß
tiredness	n+f.Müdigkeit
branden	n.Branden
panning	v.schwenken@n+n.Schwenken
wasabi	n+m.Wasabi
cocksucker	n+m.Schwanzlutscher
kilobytes	n+n.Kilobyte
breather	n+f.Verschnaufpause
adjudicated	v.entscheiden@a.entschieden
methylene	n+n.Methylen
wholeness	n+f.Ganzheit@n+f.Vollständigkeit
tickled	v.kitzeln@a.gekitzelt
hindrance	n+n.Hindernis@n+f.Behinderung
discreetly	ad.diskret@ad.unauffällig
hummingbirds	n+m.Kolibri
cotswolds	n.Cotswolds
sparing	a.sparsam@a.schonend
heifers	n+f.Färse@n+f.junge Kuh
emeralds	n+m.Smaragd
wanders	v.wandern@v.umherschweifen
disillusioned	a.desillusioniert@a.enttäuscht
preoccupation	n+f.Beschäftigung@n+f.Sorge
gynaecology	n+f.Gynäkologie
ottomans	n+m.Ottomane@n+m.Hocker
rodin	n.Rodin
lockable	a.abschließbar
evaporator	n+m.Verdampfer
antihistamines	n+n.Antihistaminikum
uninstaller	n+m.Deinstallationsprogramm
airliner	n+n.Verkehrsflugzeug@n+m.Airliner
unwrapped	v.auspacken@a.ausgepackt
sateen	n+m.Satin
birr	n+m.Birr
restful	a.erholsam@a.ruhig
purim	n.Purim
rhododendron	n+m.Rhododendron
aristocratic	a.aristokratisch@a.adelig
scouring	v.scheuern@v.durchsuchen
profitably	ad.rentabel@ad.gewinnbringend
pinched	a.eingeklemmt@v.kneifen
underlay	n+f.Unterlage@v.unterlegen
granule	n+n.Körnchen@n+n.Granulat
purport	v.vorgeben@n+f.Bedeutung
plunging	a.stürzend@v.stürzen
shambles	n+n.Chaos@n+n.Durcheinander
welland	n.Welland
marten	n+m.Marder
admittance	n+m.Zutritt@n+f.Zulassung
ageless	a.zeitlos@a.alterslos
bleep	n+m.Piepston@v.piepsen
regensburg	n.Regensburg
gama	n.Gama
sills	n+f.Fensterbank@n+m.Schwelle
stinking	a.stinkend@a.verdammt
howler	n+m.Heuler@n+m.grober Schnitzer
hardtop	n+n.Hardtop
carded	v.kardieren@a.kardiert
reformatted	v.neu formatieren@a.neu formatiert
internment	n+f.Internierung
porridge	n+m.Haferbrei@n+m.Porridge
dominick	n.Dominick
symbolize	v.symbolisieren
standstill	n+m.Stillstand
swaying	v.schwanken@a.schwankend
igloo	n+n.Iglu
ambler	n.Ambler@n+m.Schlenderer
voyeurism	n+m.Voyeurismus
unattractive	a.unattraktiv@a.reizlos
referential	a.referenziell@a.Bezugs-
hydrating	v.hydrieren@a.feuchtigkeitsspendend
repressor	n+m.Repressor@n+m.Unterdrücker
diffused	a.diffus@v.zerstreuen
scorecards	n+f.Wertungskarte@n+f.Scorecard
firmer	a.fester@a.stabiler
newlines	n+m.Zeilenumbruch
reproduces	v.reproduzieren@v.wiedergeben
arcana	n+n.Arkana@n+n.Geheimnis
heidegger	n.Heidegger
backhoe	n+m.Bagger@n+m.Baggerlader
leftists	n+m.Linker@n+m.Linksgerichtete
promulgation	n+f.Verkündung@n+f.Bekanntmachung
mannequin	n+f.Schaufensterpuppe@n+n.Mannequin
mako	n+m.Makohai
unshaven	a.unrasiert
noyes	n.Noyes
rakes	n+m.Rechen@v.harken@n+m.Wüstling
trashed	a.zerstört@v.zerstören
betsey	n.Betsey
rath	n.Rath
lobbies	n+f.Lobby@v.Lobbyarbeit betreiben
incognito	ad.inkognito@a.inkognito
cupcakes	n+m.Cupcake
silliness	n+f.Dummheit@n+f.Albernheit
burgh	n+f.Stadt@n+m.Ort
giggling	v.kichern@n+n.Kichern
coldest	a.kälteste
proviso	n+f.Bedingung@n+m.Vorbehalt
voldemort	n.Voldemort
oldenburg	n.Oldenburg
bazooka	n+f.Bazooka@n+f.Panzerfaust
barnyard	n+m.Bauernhof@n+m.Hof
dikes	n+m.Deich@n+m.Damm
camellia	n+f.Kamelie
pronouncements	n+f.Erklärung@n+f.Verkündung
rescind	v.aufheben@v.widerrufen
donal	n.Donal
artifice	n+f.List@n+f.Kunstfertigkeit
asps	n+f.Natter@n+f.Aspis
styrofoam	n+n.Styropor
malfunctions	n+f.Fehlfunktion@v.fehlerhaft funktionieren
dato	n+m.Dato
glides	v.gleiten@n+n.Gleiten
dioxins	n+n.Dioxin
excavator	n+m.Bagger@n+m.Ausgräber
allot	v.zuteilen@v.zuweisen
progenitor	n+m.Vorfahre@n+m.Stammvater
abomination	n+m.Gräuel@n+f.Abscheulichkeit
cwm	n+m.Kar
bibb	n.Bibb
gymnast	n+m.Turner@n+f.Turnerin
inexpensively	ad.preiswert@ad.günstig
mote	n+n.Staubkorn@n+f.Partikel
forceps	n+f.Zange@n+f.Pinzette
motherfucker	n+m.Motherfucker
argumentation	n+f.Argumentation
passively	ad.passiv
mainframes	n+m.Großrechner@n+m.Mainframe
hurled	v.schleudern@v.werfen
adjoint	n+m.Adjungierte@a.adjungiert
vesta	n.Vesta
jacky	n.Jacky
lipscomb	n.Lipscomb
wold	n+f.Hochebene@n+m.Hügelland
monocytes	n+m.Monozyt
splint	n+f.Schiene@v.schienen
straightened	v.begradigen@a.begradigt
llamas	n+n.Lama
multifaceted	a.vielseitig@a.facettenreich
deranged	a.geistesgestört@a.verrückt
contesting	v.bestreiten@v.anfechten
boas	n+f.Boa
darwinian	a.darwinistisch@a.darwinsch
touchy	a.empfindlich@a.heikel
rafters	n+m.Dachsparren
rebooted	v.neu starten@a.neu gestartet
unintelligible	a.unverständlich
tilburg	n.Tilburg
decoys	n+m.Lockvogel@n+m.Köder
pariah	n+m.Paria@n+m.Ausgestoßener
darnell	n.Darnell
meaty	a.fleischig@a.gehaltvoll
zapata	n.Zapata
supt	n.Insp.
infantile	a.infantil@a.kindisch
vermeer	n.Vermeer
pinstripe	n+m.Nadelstreifen
unspeakable	a.unsagbar@a.entsetzlich
egret	n+m.Reiher@n+m.Silberreiher
demolish	v.abreißen@v.zerstören
guildhall	n+n.Gildenhaus@n+n.Rathaus
piney	a.kiefernreich
unbundled	a.entbündelt@v.entbündeln
functioned	v.funktionieren
comforted	v.trösten@a.getröstet
disgraceful	a.schändlich@a.beschämend
worshippers	n+m.Anbeter@n+m.Gläubige
abundances	n+f.Fülle@n+f.Häufigkeit
servitude	n+f.Knechtschaft@n+f.Dienstbarkeit
oulu	n.Oulu
fractionation	n+f.Fraktionierung
aqueduct	n+n.Aquädukt
framers	n+m.Verfasser@n+m.Gestalter
cashflow	n+m.Cashflow@n+m.Geldfluss
retouching	n+f.Retusche@v.retuschieren
streamers	n+f.Luftschlange@n+m.Streamer
humbled	v.demütigen@a.gedemütigt
displacements	n+f.Verschiebung@n+f.Verdrängung
jerez	n.Jerez
marcella	n.Marcella
radiate	v.ausstrahlen@v.strahlen
fellas	n+m.Kerl@n+m.Jungs
unicorns	n+n.Einhorn
playroom	n+n.Spielzimmer
dandruff	n+f.Schuppen
stipulate	v.festlegen@v.vorschreiben
leaved	a.-blättrig
proximate	a.unmittelbar@a.nächst
unionists	n+m.Gewerkschafter@n+m.Unionist
bloodlines	n+f.Blutlinie@n+f.Abstammung
secretions	n+f.Absonderung@n+n.Sekret
attains	v.erreichen@v.erlangen
idem	pron.derselbe@pron.ebenda
auk	n+m.Alk
oocytes	n+f.Oozyte@n+f.Eizelle
armadillo	n+n.Gürteltier
hark	v.horchen@v.hören
filers	n+m.Antragsteller@n+m.Einreicher
perturbed	a.beunruhigt@v.stören
retrievers	n+m.Retriever@n+m.Apportierhund
pacifier	n+m.Schnuller
cemented	v.zementieren@a.zementiert
thurmond	n.Thurmond
dissolves	v.auflösen@v.sich auflösen
crowning	a.krönend@n+f.Krönung
unprofessional	a.unprofessionell
hydrographic	a.hydrografisch
smuggled	v.schmuggeln@a.geschmuggelt
scones	n+m.Scone
punctuated	v.unterbrechen@a.interpunktiert
paediatrics	n+f.Pädiatrie@n+f.Kinderheilkunde
blunder	n+m.Schnitzer@v.einen Fehler machen
appalachia	n.Appalachien
marist	n+m.Marist
varanasi	n.Varanasi
relativism	n+m.Relativismus
schuylkill	n.Schuylkill
ericson	n.Ericson
stravinsky	n.Strawinsky
belted	a.gegürtet@v.gürten
jud	n.Jud
tripwire	n+m.Stolperdraht
aves	n+f.Vögel
rediscovered	v.wiederentdecken@a.wiederentdeckt
headstone	n+m.Grabstein
depleting	v.erschöpfen@a.erschöpfend
junkyard	n+m.Schrottplatz
baal	n.Baal
multitasking	n+n.Multitasking
felon	n+m.Verbrecher@n+m.Straftäter
spearheaded	v.anführen@a.angeführt
nacho	n+m.Nacho
thud	n+m.dumpfer Schlag@v.dumpf aufschlagen
underlining	v.unterstreichen@n+f.Unterstreichung
hagar	n.Hagar
catalogued	v.katalogisieren@a.katalogisiert
antlers	n+n.Geweih
doubting	a.zweifelnd@v.zweifeln
differentially	ad.differenziell
powwows	n+m.Powwow@n+f.Versammlung
inductor	n+m.Induktor@n+f.Spule
encephalopathy	n+f.Enzephalopathie
grote	n.Grote
custodians	n+m.Hausmeister@n+m.Verwalter
overstated	v.übertreiben@a.übertrieben
dunkirk	n.Dünkirchen
insulators	n+m.Isolator
libretto	n+n.Libretto
weds	v.heiraten
debatable	a.umstritten@a.fraglich
reaping	v.ernten@n+f.Ernte
aborigines	n+m.Ureinwohner@n+m.Aborigine
dumbest	a.dümmste
prowler	n+m.Herumschleicher@n+m.Einbrecher
loadings	n+f.Beladung@n+f.Ladung
epos	n+n.Epos
sizzle	v.brutzeln@n+n.Zischen
desalination	n+f.Entsalzung
copolymer	n+n.Copolymer
lawnmower	n+m.Rasenmäher
nontraditional	a.nicht traditionell@a.unkonventionell
piet	n.Piet
estranged	a.entfremdet
dredged	v.ausbaggern@a.ausgebaggert
marcasite	n+m.Markasit
scoliosis	n+f.Skoliose
artie	n.Artie
decisively	ad.entscheidend@ad.entschlossen
fifths	n+n.Fünftel
carport	n+m.Carport
dubbing	n+f.Synchronisation@v.synchronisieren
bax	n.Bax
crustaceans	n+n.Krebstier@n+m.Krustentier
ural	n.Ural
haig	n.Haig
swims	v.schwimmen@n+n.Schwimmen
perk	n+m.Vorteil@v.munter werden
undeniably	ad.unbestreitbar@ad.unleugbar
spasm	n+m.Krampf@n+m.Spasmus
notables	n+m.Würdenträger@n+f.Persönlichkeiten
eminently	ad.außerordentlich@ad.höchst
snorting	v.schnauben@n+n.Schnauben
mercilessly	ad.erbarmungslos@ad.schonungslos
urbanized	a.urbanisiert@a.verstädtert
bevan	n.Bevan
loyalist	n+m.Loyalist@a.loyal
daybed	n+n.Tagesbett@n+f.Liege
rimes	n+m.Reim@n+m.Reif
firs	n+f.Tanne
evaporative	a.verdunstend@a.Verdunstungs-
preshrunk	a.vorgewaschen@a.einlaufsicher
hezbollah	n.Hisbollah
naga	n.Naga
finalizing	v.abschließen@v.fertigstellen
cobbler	n+m.Schuster@n+m.Pfuscher
printhead	n+m.Druckkopf
invigorating	a.belebend@a.erfrischend
heinous	a.abscheulich@a.verabscheuungswürdig
dusky	a.düster@a.dämmerig
kultur	n+f.Kultur
manhole	n+n.Einstiegloch@n+m.Schacht
linnaeus	n.Linné
eroding	v.erodieren@a.erodierend
typewriters	n+f.Schreibmaschine
tabasco	n.Tabasco
rhodesia	n.Rhodesien
purebred	a.reinrassig@n+n.Rassehund
masochism	n+m.Masochismus
bergamot	n+f.Bergamotte
infallible	a.unfehlbar
shutout	n+m.Shutout@n+m.Zu-Null-Sieg
loaves	n+m.Laib@n+n.Brot
prosthetics	n+f.Prothetik
proms	n+m.Abschlussball
karol	n.Karol
underlines	v.unterstreichen@n+f.Unterstreichung
heeled	a.mit Absatz@a.begütert
quibble	v.streiten@n+f.Spitzfindigkeit
meandering	a.mäandernd@v.sich schlängeln
mosh	v.moshen@n+n.Moshing
bakelite	n+n.Bakelit
prensa	n+f.Presse
incessant	a.unaufhörlich@a.ständig
klondike	n.Klondike
neoplastic	a.neoplastisch
applesauce	n+n.Apfelmus
fibreglass	n+n.Fiberglas@n+f.Glasfaser
cheery	a.fröhlich@a.heiter
gluon	n+n.Gluon
curbing	v.eindämmen@n+f.Eindämmung
harshly	ad.hart@ad.streng
betterment	n+f.Verbesserung
feisty	a.kampflustig@a.lebhaft
rump	n+m.Hinterteil@n+m.Rumpsteak
clogging	v.verstopfen@n+n.Verstopfen
sweethearts	n+m.Schatz@n+m.Liebling
nonverbal	a.nonverbal
ladybird	n+m.Marienkäfer
slush	n+m.Matsch@n+m.Schneematsch
byproduct	n+n.Nebenprodukt
specializations	n+f.Spezialisierung
mutton	n+n.Hammelfleisch
congruent	a.kongruent@a.übereinstimmend
blinked	v.blinzeln
aphis	n+f.Blattlaus
tarantula	n+f.Tarantel@n+f.Vogelspinne
lenore	n.Lenore
snuggle	v.kuscheln@v.sich anschmiegen
zigzag	n+m.Zickzack@v.im Zickzack laufen
shang	n.Shang
batten	n+f.Latte@v.verlatten
lough	n+m.See
trios	n+n.Trio
unallocated	a.nicht zugewiesen@a.frei
dragoon	n+m.Dragoner@v.zwingen
sympathies	n+f.Sympathie@n+n.Beileid
leggings	n+f.Leggings
benefactor	n+m.Wohltäter@n+m.Gönner
thales	n.Thales
maldon	n.Maldon
merrily	ad.fröhlich@ad.vergnügt
vouch	v.bürgen@v.sich verbürgen
pompey	n.Pompeius
blackness	n+f.Schwärze@n+f.Dunkelheit
engravers	n+m.Graveur@n+m.Stecher
transitory	a.vorübergehend@a.vergänglich
wether	n+m.Hammel@n+m.Schöps
handicaps	n+n.Handicap@n+f.Behinderung
gales	n+m.Sturm@n+m.Orkan
hypocrites	n+m.Heuchler
larynx	n+m.Kehlkopf@n+m.Larynx
vijayawada	n.Vijayawada
griffon	n+m.Greif@n+m.Griffon
instantiate	v.instanziieren
paperweight	n+m.Briefbeschwerer
dilation	n+f.Erweiterung@n+f.Dilatation
droughts	n+f.Dürre@n+f.Trockenheit
bedspread	n+f.Tagesdecke@n+f.Bettdecke
knudsen	n.Knudsen
kiowa	n+m.Kiowa
overtones	n+m.Oberton@n+f.Andeutung
ancona	n.Ancona
quezon	n.Quezon
pragmatism	n+m.Pragmatismus
springing	v.springen@a.springend
bethune	n.Béthune
wiretapping	n+f.Abhöraktion@n+n.Abhören
nocturne	n+n.Nocturne@n+f.Nocturne
fabricate	v.herstellen@v.erfinden
exabyte	n+n.Exabyte
pendragon	n.Pendragon
altruism	n+m.Altruismus
ceasing	v.aufhören@a.aufhörend
meeker	n.Meeker
bootlegs	n+m.Raubkopie@n+f.Schwarzware
jarrow	n.Jarrow
dutchman	n+m.Holländer
capricious	a.launisch@a.unberechenbar
angelique	n.Angélique
harmonize	v.harmonisieren@v.abstimmen
vela	n.Vela
crescendo	n+n.Crescendo
eyelash	n+f.Wimper
gob	n+m.Klumpen@n+m.Mund
antifreeze	n+m.Frostschutzmittel
clicker	n+m.Klicker@n+m.Fernbedienung
immobilized	v.immobilisieren@a.bewegungsunfähig
dalmatian	n+m.Dalmatiner@a.dalmatinisch
reshaping	v.umgestalten@n+f.Umgestaltung
stagecoach	n+f.Postkutsche
googling	v.googeln@n+n.Googeln
faisal	n.Faisal
ruddy	a.rötlich@a.verdammt
academe	n+f.Akademie@n+f.Gelehrtenwelt
fjord	n+m.Fjord
amalgamated	a.verschmolzen@v.verschmelzen
obeying	v.gehorchen@a.gehorchend
gunners	n+m.Kanonier@n+m.Schütze
knockoff	n+f.Fälschung@n+f.Kopie
pent	a.eingesperrt@a.aufgestaut
gosling	n+n.Gänschen@n.Gosling
mendel	n.Mendel
mishaps	n+m.Missgeschick@n+n.Unglück
subsidence	n+f.Senkung@n+f.Absenkung
plastering	n+n.Verputzen@v.verputzen
promiscuous	a.promiskuitiv@a.wahllos
asturias	n.Asturien
fouling	n+f.Verschmutzung@v.verschmutzen
basso	n+m.Bass
dusted	v.abstauben@a.abgestaubt
sago	n+m.Sago
inlets	n+f.Bucht@n+m.Einlass
fords	n+f.Furt@v.durchqueren
parentage	n+f.Abstammung@n+f.Herkunft
mutter	v.murmeln@n+n.Gemurmel
litters	n+m.Wurf@n+m.Müll@v.vermüllen
brothel	n+n.Bordell
rive	v.spalten@v.zerreißen
magnifiers	n+f.Lupe@n+n.Vergrößerungsglas
shelled	a.geschält@v.beschießen
outlandish	a.ausgefallen@a.befremdlich
goldwater	n.Goldwater
sneezing	v.niesen@n+n.Niesen
victimized	v.zum Opfer machen@a.schikaniert
inactivated	a.inaktiviert@v.inaktivieren
respirators	n+n.Beatmungsgerät@n+f.Atemschutzmaske
ataxia	n+f.Ataxie
sancho	n.Sancho
camaraderie	n+f.Kameradschaft
carpark	n+m.Parkplatz@n+n.Parkhaus
variegated	a.buntscheckig@a.vielfältig
gawk	v.gaffen@n+m.Gaffer
planing	v.hobeln@n+n.Hobeln
abysmal	a.abgrundtief@a.miserabel
termini	n+m.Endpunkt@n+m.Terminus
bourse	n+f.Börse
fabrications	n+f.Erfindung@n+f.Herstellung
tenacity	n+f.Beharrlichkeit@n+f.Zähigkeit
jamshedpur	n.Jamshedpur
denture	n+f.Zahnprothese
telesales	n+m.Telefonverkauf
moslem	n+m.Moslem@a.moslemisch
fourths	n+n.Viertel
revolutionized	v.revolutionieren@a.revolutioniert
ppr	n.PPR
permanence	n+f.Dauerhaftigkeit@n+f.Beständigkeit
protagonists	n+m.Protagonist@n+m.Hauptfigur
boliviano	n+m.Boliviano
curtiss	n.Curtiss
wagoner	n+m.Fuhrmann
storyboard	n+n.Storyboard
coincident	a.übereinstimmend@a.zusammenfallend
axons	n+n.Axon
immunotherapy	n+f.Immuntherapie
neva	n.Newa
inez	n.Inez
minding	v.sich kümmern@v.aufpassen
microcosm	n+m.Mikrokosmos
enviable	a.beneidenswert
accessions	n+f.Erwerbung@n+m.Beitritt
categorically	ad.kategorisch
adolfo	n.Adolfo
carpeted	a.mit Teppich ausgelegt
catnip	n+f.Katzenminze
zeke	n.Zeke
whittington	n.Whittington
boned	a.mit Knochen@a.entbeint
eloquently	ad.beredt@ad.eloquent
overtaken	v.überholen@a.überholt
hock	n+f.Haxe@n+n.Pfandhaus@v.versetzen
subheading	n+f.Unterüberschrift
pillowcases	n+m.Kissenbezug
fibonacci	n.Fibonacci
renews	v.erneuern@v.verlängern
junky	a.schäbig@n+m.Junkie
extinguish	v.löschen@v.auslöschen
ballasts	n+m.Ballast
lowing	v.muhen@n+n.Muhen
nagano	n.Nagano
bullied	v.schikanieren@a.schikaniert
accruing	v.anfallen@v.auflaufen
dirge	n+f.Totenklage@n+n.Klagelied
interleaved	a.verschachtelt@v.verschachteln
peirce	n.Peirce
actuated	v.betätigen@a.betätigt
bluish	a.bläulich
pusher	n+m.Drogendealer@n+m.Schieber
tingle	v.kribbeln@n+n.Kribbeln
gnostic	a.gnostisch@n+m.Gnostiker
uninstalling	v.deinstallieren@n+f.Deinstallation
heft	n+f.Schwere@v.hochheben
ambivalent	a.ambivalent@a.zwiespältig
captivated	v.fesseln@a.fasziniert
typist	n+m.Schreibkraft@n+f.Maschinenschreiberin
lamented	a.beklagt@v.beklagen
moisturizers	n+f.Feuchtigkeitscreme
bruise	n+m.blauer Fleck@v.quetschen
perfumed	a.parfümiert@a.duftend
lamination	n+f.Laminierung@n+f.Laminat
scottie	n.Scottie@n+m.Schottischer Terrier
pons	n+f.Brücke@n.Pons
fistful	n+f.Handvoll
somethings	n+n.Etwas
staffer	n+m.Mitarbeiter
rhiannon	n.Rhiannon
dames	n+f.Dame
cornucopia	n+n.Füllhorn
countering	v.kontern@v.entgegenwirken
unfettered	a.ungehindert@a.ungebunden
imogen	n.Imogen
almaty	n.Almaty
lewd	a.unzüchtig@a.obszön
appraise	v.schätzen@v.bewerten
runny	a.laufend@a.fließend
thither	ad.dorthin@ad.dahin
rebuke	n+m.Tadel@v.tadeln
collated	v.zusammenstellen@a.zusammengestellt
reorg	n+f.Umstrukturierung@v.umstrukturieren
occasioned	v.verursachen@v.veranlassen
swayed	v.schwanken@v.beeinflussen
dupe	n+m.Opfer@v.betrügen
bogs	n+n.Moor@n+m.Sumpf
affording	v.sich leisten@v.bieten
collocation	n+f.Kollokation@n+f.Zusammenstellung
assuredly	ad.gewiss@ad.sicherlich
vesicle	n+n.Bläschen@n+f.Vesikel
allusions	n+f.Anspielung
shadowed	v.beschatten@a.beschattet
lubricated	a.geschmiert@v.schmieren
vigilante	n+m.Bürgerwehrmann@n+m.Selbstjustizler
gauging	v.messen@v.abschätzen
lipase	n+f.Lipase
constabulary	n+f.Polizei@n+f.Gendarmerie
seamen	n+m.Seemann@n+m.Matrose
epcot	n.Epcot
cricketer	n+m.Kricketspieler
intelligible	a.verständlich
defibrillator	n+m.Defibrillator
