29	n.xxix
کچھوے	n+f.turtles@n+m.terrapins@n+m.tortoises
کچی آبادی	n+f.slum
کچی آبادیاں	n+f.slums
کچی کھال	n+f.rawhide
کڈ	n+m.kidd@n+m.kyd
کڈرمنسٹر	n+m.kidderminster
کڈزو	n+m.kudzu
کڑا	a.rigid@a.harsh@a.rigorous
کڑاہی	n+f.skillet@n+m.wok
کڑاہیاں	n+f.pans
کڑوا	a.bitter@a.pungent
کڑواہٹ	n+f.bitterness
کڑک	n+f.snap@n+m.thunder
کڑکڑانا	v.crunch@v.crunching
کڑکڑاہٹ	n+f.crunch@n+f.crunching
کڑھائی	n+f.embroidery
کڑھائی والا	a.embroidered
کڑھائی کی	v.embroidered
کڑی	n+f.link@n+f.hoop
کک	n+m.cooke
کک باکسنگ	n+f.kickboxing
کک کرنے والا	n+m.kicker
کھا رہا ہے	v.eating
کھائی	n+f.pit@n+f.ditch@n+f.abyss
کھائیاں	n+f.ditches
کھاتا نویس	n+m.bookkeeper
کھاتا ہے	v.eats
کھاتہ	n+m.account@n+m.ledger
کھاتہ داری	n+f.bookkeeping
کھاتے	n+m.ledgers
کھاتے سے کاٹنا	v.debit
کھاد	n+m.fertilizer@n+f.compost@n+f.manure@n+f.fertilizers@n+m.mulch@n+f.fertiliser
کھاد بنانا	n+f.composting@v.composting
کھاد ڈالنا	v.manure@v.mulch
کھادیں	n+f.fertilisers
کھار	n+m.alkali
کھاری	a.alkaline
کھال	n+f.hide@n+m.fur@n+f.furrow@n+f.pelt
کھال اتارنا	v.skinned@n+f.skinning@v.flay
کھال اتری	a.skinned
کھالیں	n+f.skins@n+f.hides@n+f.furs
کھانا	n+m.food@v.eat@n+f.eating@n+m.meal@n+f.cuisine@n+m.chow@v.chow
کھانا دینے والے	n+m.feeders
کھانا فراہم کرنے والے	n+m.caterers
کھانا فراہم کنندہ	n+m.caterer
کھانا پکانا	n+f.cooking@n+f.cookery
کھانا پکانے کا	a.culinary
کھانا کھا رہا ہے	v.dining
کھانا کھانا	n+f.dining@v.sup@v.dine
کھانا کھایا	v.dined
کھانستا ہے	vi.coughs
کھانسنا	v.cough@v.coughing
کھانسی	n+f.cough@n+f.coughing@n+f.whooping@n+f.coughs
کھانچ	n+f.notch
کھانچا بنایا	v.grooved
کھانچے والا	a.grooved
کھانے	n+m.foods@n+m.meals
کھانے والا	n+m.diner@n+m.eater@a.corrosive
کھانے والے	n+m.diners@n+m.eaters
کھانے کا انتظام	n+m.catering
کھانے کا شوقین	n+m.foodie
کھانے کا کمرہ	n+f.pantry
کھانے کی الماری	n+f.larder
کھانے کی جگہ	n+f.eatery@n+f.buttery
کھانے کی جگہیں	n+f.eateries
کھانے کی کتاب	n+f.cookbook
کھانے کی کتابیں	n+f.cookbooks
کھانے کے برتن	n+m.dinnerware
کھانے کے قابل	a.edible
کھانے کے چمچ	n+m.tablespoons
کھاڑی	n+f.creek@n+m.cove
کھاڑیاں	n+f.creeks
کھایا	v.ate
کھایا گیا	v.eaten
کھبا	n+m.lefty
کھجانا	v.itch
کھجور	n+m.date@n+m.palm@n+m.palms
کھدائی	n+f.dig@n+f.digging@n+f.excavation@n+f.excavations@n+m.dugout
کھدائی مشین	n+m.backhoe
کھدائی کرنا	v.excavating
کھدائی کرنے والا	n+m.excavator
کھدائی کرنے والے	n+m.excavators
کھدائی کی	v.excavated
کھدر	n+m.homespun
کھر	n+m.hoof@n+m.hooves
کھردرا	a.rough@a.coarse@a.abrasive@a.scaly@a.scratchy
کھردرا مادہ	n+m.abrasive
کھردرا پن	n+f.roughness
کھردرا کرنا	v.roughing
کھرنڈ	n+f.scab
کھرچا	v.scratched@v.raked
کھرچا ہوا	a.scraped
کھرچاؤ	n+f.abrasion@n+f.scrape
کھرچاو	n+f.scratching
کھرچتا ہے	v.scrapes
کھرچنا	v.scratch@v.scratches@v.scratching@v.scrape@n+f.scraping@v.scraped@v.raking
کھرچنی	n+m.scraper
کھرچنے والے	n+m.scrapers
کھس	n+m.vetiver
کھسیانا ہنسنا	v.giggle
کھسیانی ہنسی ہنسی	v.giggled
کھلا	a+m.open@a.loose@a.unlocked@a.uncovered@a.blatant@a.overt@a.flagrant@v.blossomed
کھلا صحن	n+m.terrace
کھلا میدان	n+f.wold
کھلا ہوا	a.unbound@a.gaping@a.unwrapped@a.unpacked@a.unsealed
کھلاتا ہے	v.feeds
کھلانا	v.feed@v.feeding
کھلانے والا	n+m.feeder
کھلاڑی	n+m.player@n+m.players@n+m.athletes@n+m.athlete@n+m.gamer@n+m.jock@n+m.sportsman@n+m.jocks@n+m.sportsmen
کھلاڑی روح	n+f.sportsmanship
کھلایا	v.fed
کھلایا گیا	a.fed
کھلتا ہوا	a.blooming
کھلم کھلا	ad.outright
کھلنا	v.bloom@v.blossom@v.blooms@v.blossoms@v.blooming@v.flowered@v.blossoming
کھلنے والا ڈھکن	n+m.clamshell
کھلونا	n+m.toy
کھلونے	n+m.toys@n+m.playthings
کھلکھلا کر ہنسنا	v.chuckled
کھلکھلانا	vi.giggles@v.giggling
کھلکھلاہٹ	n+f.giggling
کھلی	a+f.open
کھلی جگہیں	n+f.glades
کھلی سڑک	n+f.esplanade
کھلی چھت والی گاڑیاں	n+f.convertibles
کھلی گاڑی	n+m.cabriolet
کھلی ہوا	a.outdoor
کھلیان	n+f.barn
کھلے جوتے	n+m.cleats
کھلے طور پر	ad.openly@ad.overtly
کھلے عام	ad.publicly
کھلے میدان	n+f.moors
کھمبا	n+m.pole
کھمبی	n+m.mushroom
کھمبیاں	n+f.mushrooms
کھمبے	n+f.poles
کھنچا ہوا	a.stretched@a.tense@a.taut
کھنچاؤ	n+m.stretch@n+f.strain@n+f.tension@n+f.pulling@n+f.pulls@n+f.stretching@n+f.traction@n+f.entrainment
کھنچاؤ والا	a.tensile
کھنڈرات	n+f.ruins
کھنکھناہٹ	n+f.clank
کھنگالنا	v.rinsed@n+f.rinsing
کھوانے والا	n+m.rower
کھوتا ہے	v.loses
کھوج	n+f.explorations
کھوج لگانا	v.prospecting
کھوجی	a.exploratory
کھوجی آلہ	n+m.detector
کھود نکالنا	vt.unearth
کھود کر نکالنا	v.unearthed
کھود کر گھسنا	vi.burrow
کھودنا	v.dig@v.digging@v.dug@v.grub@v.digs@vi.delve@v.quarries@v.dredged@v.gouge
کھودنے والا	n+m.digger@n+m.rooter@n+m.pecker@n+m.driller
کھودنے والے	n+m.diggers
کھول دیا	v.disassembled
کھول رہا ہے	v.opening
کھولا	v.opened@v.unfolded@v.unpacked@v.oped@v.untied
کھولتا ہے	v.opens@vt.unlocks
کھولنا	v.open@v.bare@v.unlock@v.unwrap@v.unlocked@v.uncovered@v.unlocking@v.unwind@v.unfolding@v.unfold@v.undone@v.unpack@v.unpacking@v.unfolds@vt.dismantle@vt.pry@v.ope@v.uncovers@v.unwrapped@v.undoing
کھولنے والا	n+m.opener@n+m.openers
کھونا	v.lose@v.losing@v.forfeit@v.forfeited
کھونٹا لگانا	v.pegs
کھونٹی	n+f.stake@n+f.cleat@n+f.stubble
کھونٹیاں	n+f.stakes
کھونٹے	n+m.pegs
کھوپڑی	n+f.skull@n+f.scalp@n+m.cranium
کھوپڑی چہرے کا	a.craniofacial
کھوپڑی کا	a.cranial
کھوپڑی کے اندر	a.intracranial
کھوپڑیاں	n+f.skulls
کھوکھلا	a.hollow@n+m.cavity
کھوکھلاہٹ	n+f.cavities
کھوہ	n+m.den
کھوہیں	n+f.dens
کھویا	v.lost
کھٹ کھٹ	n+m.clack
کھٹا	a.sour
کھٹمنڈو	n+m.kathmandu
کھٹکھٹانا	v.clack
کھٹی	n+m.citrus
کھپریل	n+m.tile
کھپچی	n+f.splint
کھپچی باندھنا	vt.splint
کھڈی	n+f.loom@n+m.looms
کھڑا	ad.upright@a.steep@a.erect@a.erected
کھڑا رہا	v.stood
کھڑا کرنا	v.erect@v.erected@v.erecting
کھڑا ہوا	v.stood
کھڑا ہونا	v.stand
کھڑا ہے	v.standing@v.stands
کھڑاؤں	n+m.clogs@n+m.clog
کھڑاوٹ	n+f.erections
کھڑکھڑاتا	a.rattling
کھڑکھڑاتا ہے	vt.rattles
کھڑکھڑانا	v.rattle@v.rattling
کھڑکھڑاہٹ	n+f.rattle
کھڑکھڑایا	v.rattled
کھڑکی	n+f.window@n+f.dormer
کھڑکیاں	n+f.windows@n+f.hatches
کھڑکیوں کے پٹ	n+f.shutters
کھڑی	a.parked
کھڑی پہاڑی	n+m.cliff
کھڑے ہو کر	a.standup
کھڑے ہوتے ہیں	vi.bristles
کھڑے ہونا	vi.bristle
کھیت	n+m.field@n+m.farm@n+m.fields@n+f.ranch
کھیت کا صحن	n+m.farmyard
کھیت کا مالک	n+m.rancher
کھیت کے مالک	n+m.ranchers
کھیتی	n+f.tillage
کھیتی باڑی	n+f.farming@n+f.husbandry
کھیتی باڑی کی زمین	n+f.farmland
کھیتی کی	v.farmed
کھیتیاں	n+f.farms
کھیر	n+f.pudding@n+f.emulsion
کھیر بتانے والے	n+m.tellers
کھیرا	n+f.cucumber
کھیرے	n+m.cucumbers
کھیل	n+f.games@n+f.sports@n+m.game@n+m.play@n+m.sport@n+m.athletics
کھیل رہا ہے	v.playing@v.gaming@v.sporting
کھیل کا ساتھی	n+m.playmate
کھیل کا میدان	n+m.playground
کھیل کا وقت	n+m.playtime
کھیل کود	n+f.frolic
کھیل کود کا	a.athletic
کھیل کھیل میں	ad.playfully
کھیل کی کتاب	n+m.playbook
کھیل کے ساتھی	n+m.playmates
کھیل کے میدان	n+m.playgrounds
کھیل گروپ	n+m.playgroup
کھیلا	v.played
کھیلتا ہے	v.plays
کھیلنا	v.play@v.toying@vi.trifle
کھیلنے کا کمرہ	n+m.playroom
کھیلنے کی صلاحیت	n+f.playability
کھیلوں والا	a.sporty
کھیلوں کا	a.sporting
کھیلوں کے کپڑے	n+m.sportswear
کھینچ	n+f.haul@n+f.tug
کھینچ رہا ہے	v.drawing
کھینچا	v.drew@v.pulled@v.hauled@v.towed
کھینچا گیا	v.drawn
کھینچاؤ	n+m.pull@n+f.tow
کھینچتا ہے	v.draws@v.pulls@vt.drags@vt.tugs
کھینچنا	v.draw@v.pull@v.stretch@v.attract@v.pulling@v.towing@v.tow@v.haul@v.tug@v.hauling
کھینچنے والا	n+m.puller@a.ductile@n+m.attractor
کھینچنے والی کشتیاں	n+f.tugs
کھیپ	n+f.batch@n+f.shipment@n+f.shipments@n+f.consignment@n+f.consignments
کہ	conj.that
کہا	v.said@v.called@v.dit@v.quoth
کہا گیا	a.termed
کہانت	n+f.priesthood
کہانی	n+f.story@n+f.tale@n+f.fable@n+f.storyline
کہانی بورڈ	n+m.storyboard
کہانی سنانا	n+f.storytelling
کہانی سنانے والا	n+m.teller
کہانیاں	n+f.stories@n+f.tales@n+f.anecdotes@n+f.fables
کہانیوں کی کتاب	n+f.storybook
کہاوت	n+f.saying@n+m.maxim@n+m.adage
کہاوتیں	n+f.proverbs@n+f.sayings
کہاں	ad.where@n.wheres
کہاں سے	ad.whence
کہتا ہے	v.says@v.saith
کہر	n+m.fog
کہربا	n+f.amber
کہنا	v.say@v.stating@v.termed@v.bade@v.uttering
کہنی	n+f.elbow
کہنی مارنا	v.elbows
کہنیاں	n+f.elbows
کہنے والا	n+m.sayer
کہنے والے	n+m.sayers
کہکشائیں	n+f.galaxies
کہکشانی	a.galactic
کہکشاں	n+f.galaxy@n+f.constellation
کہہ رہا ہے	v.saying
کہیں	ad.somewhere@ad.someplace
کہیں اور	ad.elsewhere
کہیں بھی	ad.anywhere@ad.anyplace
کہیں نہیں	ad.nowhere
کی	prep.of
کی اسٹروکس	n+f.keystrokes
کی بورڈ	n+m.keyboard@n+m.keyboards
کی بورڈ نواز	n+m.keyboardist
کی طرح	prep.ala
کی طرف	prep.towards@prep.toward@prep.onto@prep.unto
کی طرف سے	prep.by
کی وجہ سے	prep.owing
کی پیڈ	n+m.keypad@n+f.keypads
کیا	pron.what@v.did@v.done@v.conducted@v.didst
کیا حال ہے	int.sup@int.howdy
کیا طوطا	n+m.kea
کیا ہے	pron.whats
کیات	n+m.kyat
کیاک	n+f.kayak@n+m.kayaks
کیاکنگ	n+f.kayaking
کیب	n+m.cab
کیبرنے	n+m.cabernet
کیبرے	n+m.cabaret
کیبل	n+f.cable
کیبل ٹی وی	n+f.cablevision
کیبلز	n+f.cables
کیبن	n+m.cabin@n+f.cabins@n+m.booths@n+m.stateroom
کیبنٹ	n+m.cabinets
کیبوشون	n+m.cabochon
کیبوٹ	n+m.cabot
کیتلی	n+f.kettle
کیتلیاں	n+f.kettles
کیتھ	n+m.keith@n+f.cath
کیتھرین	n+f.catherine@n+f.katherine@n+f.kathryn@n+f.katharine@n+f.catharine
کیتھلین	n+f.kathleen
کیتھنیس	n+m.caithness
کیتھولک	a.catholic@n+m.catholic@n+m.catholics
کیتھولک مذہب	n+m.catholicism
کیتھوڈ	n+m.cathode
کیتھی	n+f.kathy@n+f.cathy@n+f.kathie@n+f.cathie
کیتھیٹر	n+m.catheter
کیتھیڈرل	n+m.cathedral
کیجن	n+m.cajun@a.cajun
کیر	n+m.kerr
کیرابینر	n+m.carabiner
کیرالہ	n+f.kerala
کیرن	n+f.karen@n+f.karin@n+f.karyn
کیرنز	n+m.cairns
کیرو	n+m.carew
کیرواک	n+m.kerouac
کیرول	n+f.carol@n+m.carroll@n+f.carole@n+m.karol
کیرولائنا	n+f.carolinas
کیرولین	n+f.caroline@n+f.carolyn
کیرولینا	n+m.carolina
کیرون	n.charon
کیروٹین	n+m.carotene
کیروٹینوئڈز	n+m.carotenoids
کیرٹ	n+m.karats@n+m.caret
کیرکیگارڈ	n.kierkegaard
کیری	n+m.kerry@n+m.carey@n+f.carrie@n+m.cary@n+f.keri@n+f.kerri
کیریئر	n+m.career@n+m.careers@n+m.carrier@n+m.carriers
کیریب	n+m.carib
کیریبو	n+m.caribou
کیریبین	a.caribbean@n+m.caribbean
کیریرس	n.carreras
کیریلو	n.carrillo
کیریمل	n+m.caramel
کیریوکے	n+m.karaoke
کیریٹن	n+m.keratin
کیریکیچر	n+f.caricature
کیزون	n+m.quezon
کیس	n+f.case
کیس ورک	n+m.casework
کیسرول	n+f.casserole
کیسز	n+m.cases
کیسل	n+m.kassel@n+m.cassel
کیسنڈرا	n+f.cassandra
کیسٹ	n+f.cassette@n+f.cassettes
کیسپر	n+m.casper@n+m.caspar
کیسپین	n+m.caspian
کیسی	n+m.casey@n+f.cassie@n+f.kasey
کیسیا	n+f.cassia
کیسیس	n+m.cassius
کیسین	n+m.casein
کیسینو	n+m.casino
کیسینوز	n+m.casinos
کیسیو	n+m.casio
کیسیوپیا	n+f.cassiopeia
کیسیڈی	n+m.cassidy
کیسے	ad.how@n+f.hows
کیش	n+m.cache
کیش بیک	n+m.cashback
کیش کیا	v.cached
کیشنگ	n+f.caching
کیشیئر	n+m.cashiers@n+m.cashier@n+m.teller
کیف	n+m.kiev@n+m.kef
کیفیاتی	a.qualitative
کیفیت	n+f.mood@n+f.vibe
کیفین	n+f.caffeine
کیفین رہت	a.decaffeinated
کیفے	n+m.cafe@n+m.cafes
کیفے ٹیریا	n+f.cafeteria
کیل	n+m.stud@n+m.nail@n+f.spike@n+f.peg@n+f.studs@n+f.tack@n+f.keel@n+m.kiel@n+f.cotter
کیل سبزی	n+f.kale
کیل سے لگایا	v.pegged
کیل لگائی	v.nailed
کیل لگانا	v.peg@v.tack@v.spiked@v.nailing
کیل مہاسے	n+f.acne
کیل ٹھوکنے والا	n+m.nailer
کیلا	n+m.banana@n+m.plantain
کیلامازو	n+m.kalamazoo
کیلاہان	n+m.callahan
کیلاہن	n+m.callaghan
کیلب	n+m.caleb
کیلر	n+m.keller@n+m.keillor
کیلسائٹ	n+m.calcite
کیلسو	n+m.kelso
کیلسی	n+f.kelsey
کیلشیم	n+m.calcium
کیلنڈر	n+m.calendar@n+m.calendars@n+m.calender
کیلنڈر بنانا	v.calendaring
کیلنگ	n+m.keeling
کیلورٹ	n+m.calvert
کیلوری	n+f.cal@n+f.calorie
کیلوریز	n+f.calories
کیلومیٹ	n+m.calumet
کیلون	n+m.calvin@n+m.kelvin
کیلوگ	n+m.kellogg
کیلوں والا	a.spiked
کیلٹ	n+m.celts@n+m.celt
کیلٹک	a.celtic
کیلکولس	n+m.calculus
کیلکولیٹر	n+m.calculator@n+m.calculators
کیلگری	n+m.calgary
کیلہون	n+m.calhoun
کیلی	n+m.kelly@n+f.kelley@n+f.kelli@n+f.kellie@n+f.callie
کیلیبریشن	n+f.calibration
کیلیبریٹر	n+m.calibrator
کیلیسٹو	n+f.callisto
کیلیفورنیا	n+m.california
کیلیفورنیا والا	n+m.californian
کیلیفورنیائی	a.californian@n+m.californians
کیلیوپی	n+f.calliope
کیلیپرز	n+m.calipers
کیلیپسو	n+m.calypso
کیلیڈونیا	n+f.caledonia
کیلیگولا	n+m.caligula
کیلیں	n+f.nails@n+f.spikes@n+f.tacks
کیلے	n+m.bananas@n+m.calais
کیم	n+m.cam
کیم شافٹ	n+m.camshaft
کیم کارڈر	n+m.camcorder@n+m.camcorders
کیمبرج	n+m.cambridge
کیمبرج شائر	n+m.cambridgeshire
کیمبریا	n+f.cambria
کیمبرین	a.cambrian
کیمبرین دور	n+m.cambrian
کیمبل	n+m.campbell
کیمرون	n+m.cameron@n+m.cameroon
کیمرہ	n+m.camera
کیمرہ مین	n+m.cameraman
کیمری	n+f.camry
کیمرے	n+m.cameras@n+m.cams
کیملی	n+f.camille
کیمو تھراپی	n+f.chemo
کیموتھراپی	n+f.chemotherapy
کیمونو	n+m.kimono
کیموٹیکسس	n+f.chemotaxis
کیمپ	n+m.camp@n+m.camps@n+m.kemp
کیمپ لگانا	v.camp
کیمپ کر رہا ہے	v.camping
کیمپ کی آگ	n+f.campfires
کیمپ کی جگہ	n+m.campground
کیمپ کی جگہیں	n+m.campsites
کیمپ گراؤنڈ	n+m.campgrounds
کیمپر	n+m.camper
کیمپس	n+m.campus@n+m.campuses
کیمپنگ	n+f.camping
کیمپو	n+m.campo
کیمپوس	n+m.campos
کیمپیون	n+m.campion
کیمڈن	n+m.camden
کیمہ	n+f.hashes
کیمیا	n+f.chemistry@n+f.chem
کیمیا دان	n+m.chemist@n+m.chemists
کیمیا گر	n+m.alchemist
کیمیا گری	n+f.alchemy
کیمیائی	a.chemical@a.chemicals
کیمیائی طور پر	ad.chemically
کیمیائی مادہ	n+m.reagent
کیمیسول	n+f.camisole@n+f.camisoles
کیمیلاٹ	n+m.camelot
کیمیلیا پھول	n+f.camellia
کیمین	n+m.cayman
کیمیو	n+m.cameo
کیمیکل	n+m.chemical@n+m.chemicals
کیمیہامیہا	n.kamehameha
کین	n+m.ken@n+m.kane@n+m.caine@n+m.kean@n+m.kain@n+m.caen
کینا	n+f.canna@n+f.kina
کینائن دانت	n+m.canines
کینائی	n+m.kenai
کینابالو	n+m.kinabalu
کیناسٹا	n+f.canasta
کیناویرل	n+m.canaveral
کینبرا	n+f.canberra
کینتھ	n+m.kenneth
کینری	n+f.canary
کینری چڑیاں	n+f.canaries
کینز	n+m.keynes
کینزون	n+f.canzone
کینسر	n+m.cancer
کینسر مخالف	a.anticancer
کینسر پیدا کرنے کی صلاحیت	n+f.carcinogenicity
کینفیلڈ	n+m.canfield
کینل ورتھ	n+m.kenilworth
کینن	n+m.canon@n+m.keenan
کینو	n+m.keno@n+f.tangerine@n+m.kino
کینوس	n+m.canvas@n+f.canvases
کینوس جوتے	n+m.sneaker
کینولا	n+f.canola
کینٹ	n+m.kent
کینٹ کا	a.kentish
کینٹاٹا	n+f.cantata
کینٹربری	n+m.canterbury
کینٹریل	n+m.cantrell
کینٹن	n+m.canton@n+m.kenton
کینٹونیز	a.cantonese@n+m.cantonese
کینٹکی	n+m.kentucky
کینٹی لیور	n+m.cantilever
کینٹین	n+f.canteen
کینڈرا	n+f.kendra
کینڈرک	n+m.kendrick
کینڈس	n+f.candice
کینڈل	n+m.kendall
کینڈنسکی	n.kandinsky
کینڈو	n+m.kendo
کینڈی	n+f.kandy
کینڈیس	n+f.candace
کینڈیلا	n+f.candela
کینڈیڈا	n+f.candida
کینکون	n+m.cancun
کینگرو	n+m.kangaroo@n+m.kangaroos
کینہ	n+f.malice
کینی	n+m.kenny
کینیا	n+m.kenya
کینیائی	a.kenyan
کینیائی باشندہ	n+m.kenyan
کینیزین	a.keynesian
کینیون	n+m.kenyon
کینیڈا	n+m.canada
کینیڈی	n+m.kennedy
کینیڈین	a.canadian@n+m.canadian@n+m.canadians@n+m.canucks@n+m.canuck
کیو	n+m.cue@n+m.kew@n+m.cav
کیو ٹی ایس	n+m.qts
کیوا قبیلہ	n+m.kiowa
کیوان	n+m.cavan
کیوانیس	n+m.kiwanis
کیوبا	n+m.cuba
کیوبا کے لوگ	n+m.cubans
کیوبائی	a.cuban@n+m.cuban
کیوبزم	n+m.cubism
کیوبیک	n+m.quebec
کیوری	n+m.curie
کیوسک	n+m.kiosk@n+m.kiosks
کیوشو	n+m.kyushu
کیولر	n+m.kevlar
کیون	n+m.kevin
کیونارڈ	n+m.cunard
کیونڈش	n+m.cavendish
کیونکہ	conj.because@conj.cos
کیوٹو	n+m.kyoto
کیوٹکل	n+f.cuticle
کیوپڈ	n+m.cupid
کیوگ	n+m.keogh
کیوں	ad.why
کیوی	n+m.kiwi@n+f.kiwis
کیویار	n+m.caviar
کیٹ	n+f.kate@n+f.kat@n+f.cate
کیٹ فش	n+f.catfish@n+m.bullhead
کیٹ واک	n+f.catwalk
کیٹائن	n+m.cation
کیٹابا	n+m.catawba
کیٹالسٹ	n+m.catalyst
کیٹالیز	n+m.catalase
کیٹالینا	n+f.catalina
کیٹرنگ	n+f.catering@n+m.kettering
کیٹزل	n+m.quetzal
کیٹس	n+m.keats
کیٹسکل	n+m.catskill
کیٹسکلز	n+m.catskills
کیٹل	n+m.keitel
کیٹلاگ	n+m.catalogue
کیٹلن	n+f.caitlin
کیٹن	n+m.keaton
کیٹو	n+m.cato
کیٹون	n+m.ketone@n+m.ketones
کیٹی	n+f.katie@n+f.katy
کیٹینی	a.cationic
کیپ	n+m.cape@n+m.funnel
کیپ ٹاؤن	n.capetown
کیپر	n+f.capers
کیپرا	n+m.capra
کیپری	n+m.capri@n+f.capris
کیپسول	n+f.capsules@n+f.capsule
کیپسڈ	n+m.capsid
کیپلر	n+m.kepler
کیپون	n+m.capone
کیپوٹ	n+m.capote
کیپوچینو	n+m.cappuccino
کیپیسٹرانو	n+m.capistrano
کیپیلا	n+f.capella
کیپیٹل	n+m.capitol
کیچ	n+f.quiche
کیچوا	n+m.quechua
کیچپ	n+m.ketchup
کیچڑ	n+m.mud@n+f.sludge@n+f.ooze@n+m.mire
کیچڑ نکالنے والی مشین	n+f.dredge
کیچڑ والا	a.muddy
کیڈ	n+m.cade
کیڈر	n+m.cadre@n+m.cadres
کیڈز	n+m.cadiz
کیڈلیک	n+m.cadillac
کیڈمیم	n+m.cadmium
کیڈٹ	n+m.cadet@n+m.cadets
کیڈی	n+m.caddie
کیڑا	n+m.bug@n+m.pest@n+m.worm@n+m.insect@n+m.mite@n+m.looper@n+m.maggot
کیڑوں والا	a.bugged
کیڑے	n+m.bugs@n+m.insects@n+m.worms@n+m.mites@n+f.caterpillars
کیڑے مار دوا	n+m.pesticide@n+m.insecticides@n+m.insecticide
کیڑے مار دوائیں	n+m.pesticides
کیڑے مکوڑوں سے متعلق	a.entomological
کیڑے مکوڑے	n+m.pests@n+m.vermin
کیڑے نکالنا	vi.quibble
کیک	n+m.cake@n+m.pie@n+m.cakes
کیکٹس	n+m.cacti
کیکڑا	n+m.crab
کیکڑے	n+m.crabs
کیگنی	n+m.cagney
کیین	n+m.cayenne
کے	prep.of@n+f.kay@n+f.kaye
کے ارد گرد	prep.around
کے اندر	prep.into@prep.within@prep.inside
کے اوپر	prep.above
کے بارے میں	prep.about@prep.re@prep.regarding@prep.concerning@prep.regards@prep.respecting@prep.apropos
کے بعد	prep.after
کے بغیر	prep.without
کے خلاف	prep.against@prep.anti@prep.versus
کے درمیان	prep.between@prep.among@prep.amongst
کے دوران	prep.during
کے ذریعے	prep.through@prep.via@prep.thru
کے ساتھ	prep.with@prep.along
کے سامنے	prep.facing
کے طور پر	prep.as
کے علاوہ	prep.besides@prep.aside@prep.excluding
کے قریب	prep.near
کے لیے	prep.for@prep.fer
کے مارٹ	n+m.kmart
کے مطابق	prep.according
کے نیچے	prep.under@prep.below
کے پار	prep.across
کے پیش نظر	prep.considering
کے پیچھے	prep.behind
کے گرد	prep.round
کے گھر	prep.chez
گا	v.will@v.would@v.shall
گاؤ	n+m.gao
گاؤ بوائے	n+m.buckaroo
گاؤ تکیہ	n+m.bolster
گاؤسی	a.gaussian
گاؤن	n+m.gown@n+f.gowns
گاؤچو	n+m.gaucho
گاؤڈی	n+m.goudy
گاؤں	n+m.village@n+m.villages
گاؤں والا	n+m.villager
گائٹس	n+m.gites
گائیڈ	n+m.guide
گائیکی	n+f.singing
گائیگر	n+m.geiger
گائیں	n+f.cows@n+f.kine
گائے	n+f.cow
گائے بھینس	n+f.cattle
گائے کا	a.bovine
گائے کا گوشت	n+m.beef
گائے کی آواز	n+f.moo@n+f.lowing@n+f.moos
گائے کی آواز نکالنا	v.moos
گائے کی کھال	n+f.cowhide
گائے کی گھنٹی	n+f.cowbell
گاتا ہے	v.sings
گاجر	n+f.carrot
گاجریں	n+f.carrots
گاد	n+f.silt
گار مچھلی	n+m.gar
گارا	n+m.clay@n+m.mortar@n+f.slurry@n+m.slop
گارا بنانا	v.puddle
گاربو	n+m.garbo
گارتھ	n+m.garth
گارزا	n+m.garza
گارسیا	n+m.garcia
گارفنکل	n+m.garfunkel
گارفیلڈ	n+m.garfield
گارلینڈ	n+m.garland
گارنر	n+m.garner
گارنیٹ	n+m.garnett
گاروی	n+m.garvey
گارٹر	n+m.garter
گارڈ	n+m.gard
گارڈا	n+f.garda
گارڈن	n+f.garden
گارڈنر	n+m.gardner@n+m.gardiner
گارڈینیا پھول	n+f.gardenia
گاز	n+f.gauze
گاس	n+m.gauss
گاسپار	n.gaspar
گال	n+f.cheek@n+f.cheeks@n+m.gaul
گالجی	n+m.golgi
گالف	n+m.golf
گالف کھیلنا	n+f.golfing
گالفر	n+m.golfers@n+m.golfer
گالویسٹن	n+m.galveston
گالوے	n+m.galway
گالی	n+f.profanity@n+m.cocksucker@n+m.motherfucker@n+f.cuss
گالی دیتا ہے	vi.swears
گالی دینا	v.cursing@v.cuss
گالی دینے والا	a.abusive
گالی گلوچ	n+f.swearing
گالے	n.galle
گاما	n+m.gamma@n+m.gama
گان	n+m.gan
گانا	n+m.song@v.sing@v.singing@n+m.vocals@v.chant
گانا سنانا	v.serenade
گانا گانا	v.sing
گانجا	n+f.ganja
گاندھی	n+m.gandhi
گانوں کی کتابیں	n+f.songbooks
گانٹھ	n+f.bow@n+m.knot@n+m.lump@n+m.burl@n+m.tuber@n+m.nodule
گانٹھ باندھنا	v.knot
گانٹھیں	n+f.knots@n+f.lumps@n+f.nodules
گانے	n+m.songs
گانے والا پرندہ	n+m.warbler
گانے والی چڑیا	n+f.mavis@n+f.songbird
گانے والے	n+m.choirs
گانے والے پرندے	n+m.warblers
گاور	n+m.gower
گاڈفری	n+m.godfrey
گاڑھا	a.condensed@a.viscous
گاڑھا شدہ	n+m.condensate
گاڑھا پن	n+f.viscosity
گاڑھا کرتا ہے	v.thickens
گاڑھا کرنا	v.condensing@v.thickening@v.condense@v.thicken
گاڑھا کیا	v.condensed
گاڑھا ہوا	v.thickened
گاڑھا ہونا	n+f.condensation@n+f.thickening
گاڑی	n+f.car@n+f.cart@n+f.auto@n+f.vehicle@n+f.automobile@n+f.wagon@n+f.carriage@n+f.voiture
